task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,356.2424,352.7916,332.1765,0.0044,19.232,2.1992,3.4508,1776111044795902944
ecgclass,single_ecgclass,2.4066,55.768,52.5717,50.2891,0.0041,1.329,2.2895,3.1963,1776111047202454642
ecgclass,single_ecgclass,4.7438,54.4205,51.7149,49.8444,0.0027,1.0426,1.7791,2.7056,1776111049539163702
ecgclass,single_ecgclass,7.1277,56.169,53.4578,51.3458,0.0041,1.1248,1.7464,2.7112,1776111051923049728
ecgclass,single_ecgclass,7.4063,56.1087,53.5452,51.2021,0.004,1.2267,1.708,2.5635,1776111052201570004
ecgclass,single_ecgclass,7.4916,91.7597,89.1507,86.4668,0.0041,1.4271,1.6785,2.609,1776111052286862674
ecgclass,single_ecgclass,8.9459,84.7676,82.0845,79.448,0.0048,1.3724,1.6265,2.683,1776111053741098143
ecgclass,single_ecgclass,10.3562,67.2705,64.7118,62.6287,0.0041,1.1469,1.7679,2.5587,1776111055151518386
ecgclass,single_ecgclass,13.4817,62.9811,60.2623,58.0733,0.0039,1.2054,1.7922,2.7188,1776111058277061301
ecgclass,single_ecgclass,13.5589,54.8003,52.321,50.5682,0.0024,0.9865,1.5819,2.4793,1776111058354046190
ecgclass,single_ecgclass,14.6059,66.0188,63.38,60.9644,0.0039,1.4398,1.7211,2.6388,1776111059401148726
ecgclass,single_ecgclass,14.6751,54.3272,51.7934,49.7556,0.0038,1.2635,1.6508,2.5339,1776111059470308341
ecgclass,single_ecgclass,15.7656,57.7552,55.0423,52.7253,0.0038,1.3634,1.7672,2.713,1776111060560977631
ecgclass,single_ecgclass,17.4973,58.5034,55.6984,53.5377,0.0039,1.2663,1.8461,2.805,1776111062292663564
ecgclass,single_ecgclass,17.8833,59.2909,56.6916,54.7141,0.0039,1.0568,1.6646,2.5993,1776111062678484824
ecgclass,single_ecgclass,19.1149,59.299,56.6774,54.3982,0.0037,1.3196,1.6811,2.6216,1776111063910134667
ecgclass,single_ecgclass,19.2685,59.4323,56.7511,54.6893,0.0037,1.1466,1.7283,2.6812,1776111064063748502
ecgclass,single_ecgclass,19.3591,54.6348,52.0275,50.2205,0.0027,1.025,1.637,2.6073,1776111064154303680
ecgclass,single_ecgclass,19.6752,57.5678,54.9436,52.9499,0.0039,1.093,1.7107,2.6243,1776111064470443382
ecgclass,single_ecgclass,20.5768,57.6723,55.0798,52.9067,0.0038,1.238,1.7264,2.5925,1776111065372043776
ecgclass,single_ecgclass,20.989,58.4013,55.7287,53.4084,0.0039,1.509,1.7838,2.6727,1776111065784300997
