task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0001,511.9314,485.7425,425.9325,0.0068,58.3928,6.9153,26.1889,1776127828227544944
nyudepth,no_sharing_tpc,2.4054,96.7205,73.8393,62.5543,0.0042,10.2859,6.4967,22.8811,1776127830632449984
nyudepth,no_sharing_tpc,4.7426,142.5445,121.9957,66.9544,0.0042,53.9849,5.6736,20.5489,1776127832968780054
nyudepth,no_sharing_tpc,7.1267,95.2299,73.7342,62.3391,0.004,10.3265,5.7437,21.4957,1776127835352991093
nyudepth,no_sharing_tpc,7.4053,91.8493,72.5121,62.0195,0.0028,9.6473,4.771,19.3372,1776127835630612215
nyudepth,no_sharing_tpc,7.4972,94.1486,71.6806,61.8529,0.0024,9.0705,4.0181,22.468,1776127835721733280
nyudepth,no_sharing_tpc,8.947,93.9074,73.4427,62.3114,0.0042,10.1391,5.5852,20.4646,1776127837173126383
nyudepth,no_sharing_tpc,10.3564,92.5446,72.7638,62.204,0.0037,9.6773,4.916,19.7807,1776127838581859726
nyudepth,no_sharing_tpc,13.4796,96.0407,73.6027,62.3867,0.0043,10.2078,5.2109,22.438,1776127841705343449
nyudepth,no_sharing_tpc,13.5587,95.1908,73.8891,61.8476,0.0037,11.2689,6.8393,21.3017,1776127841786013338
nyudepth,no_sharing_tpc,14.6053,212.811,197.6808,82.9523,0.0039,113.0773,4.7722,15.1302,1776127842830545727
nyudepth,no_sharing_tpc,14.6764,163.8992,130.631,107.1492,0.004,11.8562,18.5788,33.2681,1776127842915460880
nyudepth,no_sharing_tpc,15.764,93.3337,73.9669,62.3966,0.0042,10.5427,4.7631,19.3668,1776127843989313394
nyudepth,no_sharing_tpc,17.4965,93.1807,73.5628,62.0037,0.0041,10.6176,4.9269,19.6178,1776127845721966483
nyudepth,no_sharing_tpc,17.8832,92.0763,72.9297,61.8312,0.0041,10.226,4.6592,19.1466,1776127846108355976
nyudepth,no_sharing_tpc,19.1156,99.4413,74.594,61.8258,0.0046,11.4428,4.4136,24.8473,1776127847340507661
nyudepth,no_sharing_tpc,19.2683,96.7469,73.8434,61.8947,0.0086,10.6293,6.6466,22.9035,1776127847495442776
nyudepth,no_sharing_tpc,19.365,91.6393,72.677,61.8068,0.0027,9.4821,4.3614,18.9623,1776127847589929532
nyudepth,no_sharing_tpc,19.6746,93.9934,73.6108,61.9842,0.0042,10.6007,5.1951,20.3827,1776127847900266947
nyudepth,no_sharing_tpc,20.5764,94.6417,74.4882,62.0182,0.0043,11.0818,5.1007,20.1535,1776127848802051597
nyudepth,no_sharing_tpc,20.9896,92.495,73.0814,61.8451,0.004,10.3283,4.8184,19.4135,1776127849214911123
nyudepth,no_sharing_tpc,22.2375,137.6812,114.7454,103.9956,0.0038,9.7268,7.9651,22.9358,1776127850466017087
nyudepth,no_sharing_tpc,22.4595,92.7694,73.0819,61.9957,0.004,10.1087,4.7522,19.6874,1776127850684752040
nyudepth,no_sharing_tpc,24.2992,150.9662,133.5548,109.9805,0.0031,22.6138,4.844,17.4113,1776127852524539635
nyudepth,no_sharing_tpc,25.5253,93.7274,74.1204,62.3913,0.0079,10.4946,4.9241,19.6069,1776127853750776118
nyudepth,no_sharing_tpc,26.1808,92.159,72.9485,62.2121,0.0039,9.8237,4.5364,19.2105,1776127854405863335
nyudepth,no_sharing_tpc,26.5985,93.4038,74.4123,62.0544,0.0048,11.0028,4.4303,18.9915,1776127854823421502
nyudepth,no_sharing_tpc,27.0513,98.0356,74.0261,62.3599,0.0039,10.0925,5.018,24.0094,1776127855276877734
nyudepth,no_sharing_tpc,27.1285,156.4023,131.1591,112.29,0.0034,17.5284,9.697,25.2433,1776127855358757937
nyudepth,no_sharing_tpc,27.3083,90.713,71.8701,61.8019,0.0034,9.2022,4.2806,18.8429,1776127855533059355
nyudepth,no_sharing_tpc,27.9936,92.5598,73.1939,62.328,0.0044,9.8849,4.8015,19.3659,1776127856218879196
nyudepth,no_sharing_tpc,28.3815,150.1708,131.0343,92.0377,0.0044,37.9718,4.4549,19.1365,1776127856606517513
nyudepth,no_sharing_tpc,29.6472,96.2408,75.6561,62.3907,0.0098,11.9161,5.2693,20.5847,1776127857872955479
nyudepth,no_sharing_tpc,30.3552,94.2395,72.7834,62.2308,0.0038,9.604,6.2838,21.4561,1776127858582005919
nyudepth,no_sharing_tpc,30.5928,95.1915,73.407,62.0202,0.0041,10.029,6.9957,21.7844,1776127858820294322
nyudepth,no_sharing_tpc,31.0535,92.8679,72.5752,62.1288,0.0036,9.5767,4.5748,20.2926,1776127859278606597
nyudepth,no_sharing_tpc,31.695,91.5425,72.8597,62.1928,0.0039,9.6855,4.1285,18.6827,1776127859919653680
nyudepth,no_sharing_tpc,32.039,91.8436,73.3836,61.9195,0.0036,9.8848,3.6142,18.46,1776127860263166183
nyudepth,no_sharing_tpc,32.3613,92.6232,73.0251,62.3368,0.0037,9.7364,4.6608,19.5982,1776127860586472095
nyudepth,no_sharing_tpc,33.2406,151.2387,131.4069,105.8537,0.0038,24.5469,4.8454,19.8318,1776127861466007911
nyudepth,no_sharing_tpc,33.5366,92.9914,73.1266,62.2807,0.0043,9.7975,4.9427,19.8648,1776127861762079465
nyudepth,no_sharing_tpc,34.8711,93.3325,73.8143,62.3119,0.0038,10.4744,4.8518,19.5183,1776127863096468092
nyudepth,no_sharing_tpc,36.2609,92.1352,72.6963,62.1798,0.0026,9.6214,4.5145,19.4389,1776127864485952766
nyudepth,no_sharing_tpc,37.3462,96.0305,72.8814,62.0728,0.004,9.8972,4.389,23.1491,1776127865571137559
nyudepth,no_sharing_tpc,37.4183,99.5286,71.7896,61.8829,0.0037,9.1307,13.0465,27.739,1776127865651899534
nyudepth,no_sharing_tpc,38.5527,151.2661,130.9738,91.932,0.004,37.6304,4.5485,20.2923,1776127866777812369
nyudepth,no_sharing_tpc,39.907,93.1044,73.5928,62.4663,0.0043,10.0662,4.7755,19.5115,1776127868132306048
nyudepth,no_sharing_tpc,41.0289,93.7417,73.9625,62.2954,0.0044,10.5997,4.9207,19.7791,1776127869254305959
nyudepth,no_sharing_tpc,41.309,87.3742,72.5853,62.1673,0.0027,9.5595,4.4487,14.7889,1776127869533943880
nyudepth,no_sharing_tpc,41.6298,92.9668,72.5154,62.0489,0.0039,9.6546,5.414,20.4514,1776127869855703480
nyudepth,no_sharing_tpc,41.8017,116.8232,93.5946,81.9803,0.014,9.7739,7.411,23.2286,1776127870029630638
nyudepth,no_sharing_tpc,42.1509,147.0127,127.8417,62.4902,0.004,64.1964,5.5616,19.171,1776127870376947021
nyudepth,no_sharing_tpc,42.172,141.8092,78.9609,61.4691,0.0021,9.0552,48.2569,62.8484,1776127870440808369
nyudepth,no_sharing_tpc,42.3381,89.7698,71.4384,61.8197,0.0025,8.8663,3.8579,18.3314,1776127870562437643
nyudepth,no_sharing_tpc,43.6542,91.7737,72.8724,62.1015,0.0039,9.9013,4.5283,18.9014,1776127871879273879
nyudepth,no_sharing_tpc,47.6491,93.0095,73.4099,62.3575,0.0043,10.0655,5.1193,19.5996,1776127875874734895
nyudepth,no_sharing_tpc,48.2136,95.7475,75.6886,62.4225,0.0104,11.827,4.6227,20.0589,1776127876438769249
nyudepth,no_sharing_tpc,48.4968,94.7173,73.9485,62.1416,0.003,10.9194,6.0418,20.7687,1776127876723324031
nyudepth,no_sharing_tpc,48.894,119.3864,96.0018,84.8234,0.0041,9.9047,7.6029,23.3846,1776127877122161390
nyudepth,no_sharing_tpc,49.2558,92.4656,72.9214,62.309,0.0032,9.6421,4.8091,19.5442,1776127877481179617
nyudepth,no_sharing_tpc,49.3855,91.0959,72.2608,62.0402,0.0037,9.3424,4.3883,18.8351,1776127877610445513
nyudepth,no_sharing_tpc,50.4686,92.8035,73.5513,62.3266,0.0047,10.096,4.7045,19.2522,1776127878693812146
nyudepth,no_sharing_tpc,51.8454,92.7734,73.705,62.4642,0.0044,10.1606,4.4091,19.0684,1776127880070329699
nyudepth,no_sharing_tpc,53.3534,92.8044,73.2301,62.2993,0.0041,9.9619,4.6656,19.5743,1776127881578604874
nyudepth,no_sharing_tpc,58.6629,93.4513,73.4035,62.3342,0.0042,10.0534,5.0085,20.0477,1776127886888433932
nyudepth,no_sharing_tpc,60.7701,92.5608,73.2431,62.3389,0.0032,9.8497,4.4222,19.3177,1776127888994994976
nyudepth,no_sharing_tpc,62.4147,141.3794,121.8946,66.8966,0.0042,53.9646,4.7741,19.4847,1776127890639950126
nyudepth,no_sharing_tpc,63.458,93.1776,73.8177,62.3369,0.0042,10.4533,4.5629,19.3599,1776127891683072617
nyudepth,no_sharing_tpc,64.0508,150.4252,130.8967,62.8511,0.0034,65.3878,4.3435,19.5285,1776127892275706493
nyudepth,no_sharing_tpc,64.0939,122.1545,79.7337,61.8435,0.0036,9.5181,27.6964,42.4208,1776127892342159228
nyudepth,no_sharing_tpc,65.0521,93.4432,73.0875,62.3069,0.004,9.8133,4.6306,20.3557,1776127893277262420
nyudepth,no_sharing_tpc,65.6733,155.1583,131.2147,94.4336,0.0042,35.7097,4.3547,23.9436,1776127893898134312
nyudepth,no_sharing_tpc,67.1803,93.596,73.9848,62.4201,0.0045,10.5099,4.7605,19.6112,1776127895405596104
nyudepth,no_sharing_tpc,69.21,90.2514,72.9247,62.1906,0.0041,9.8543,4.3874,17.3267,1776127897434935980
nyudepth,no_sharing_tpc,69.5406,146.5085,127.5882,62.1282,0.0038,64.3628,4.2856,18.9202,1776127897765442752
nyudepth,no_sharing_tpc,69.5906,109.9439,77.4361,61.5494,0.0021,7.7806,17.7999,32.5078,1776127897828917386
nyudepth,no_sharing_tpc,70.5149,91.8815,72.6795,62.1331,0.004,9.5682,4.5531,19.202,1776127898739944406
nyudepth,no_sharing_tpc,73.0707,93.5962,74.1084,62.3428,0.0043,10.3341,4.6563,19.4878,1776127901295918077
nyudepth,no_sharing_tpc,73.8902,95.3557,74.6459,62.0465,0.0146,10.1891,4.6945,20.7098,1776127902115454183
nyudepth,no_sharing_tpc,76.0211,94.1052,73.8358,62.4884,0.0039,10.3282,4.8878,20.2695,1776127904246515228
nyudepth,no_sharing_tpc,76.7733,93.3814,73.5661,62.3269,0.0044,10.1721,4.9882,19.8153,1776127904998834571
nyudepth,no_sharing_tpc,78.0876,94.3358,74.8352,62.3212,0.0049,10.9978,4.3128,19.5006,1776127906312399442
nyudepth,no_sharing_tpc,78.3763,91.7013,72.7059,62.0592,0.0039,9.7328,4.3721,18.9953,1776127906601177112
nyudepth,no_sharing_tpc,78.5102,91.2902,72.7373,62.0485,0.0041,9.816,3.9384,18.553,1776127906734669322
nyudepth,no_sharing_tpc,78.6527,92.2825,73.3249,62.0478,0.004,9.876,4.1738,18.9577,1776127906877432545
nyudepth,no_sharing_tpc,78.7722,146.0855,127.2753,61.969,0.0044,64.3029,4.0548,18.8102,1776127906996824868
nyudepth,no_sharing_tpc,78.8251,107.6629,78.6885,61.5329,0.0024,9.1137,14.4148,28.9744,1776127907060016432
nyudepth,no_sharing_tpc,80.544,94.1207,73.584,62.3171,0.0042,10.2006,4.8473,20.5367,1776127908769353586
nyudepth,no_sharing_tpc,80.9907,106.8501,85.0519,74.5721,0.0027,9.1743,6.9456,21.7983,1776127909218128496
nyudepth,no_sharing_tpc,81.377,92.4454,73.3243,62.4453,0.0042,9.8344,4.446,19.1211,1776127909601940220
nyudepth,no_sharing_tpc,82.3122,93.0984,73.6249,62.3762,0.0043,10.2237,4.7879,19.4735,1776127910537554916
nyudepth,no_sharing_tpc,82.4986,94.7399,75.0105,62.1046,0.0259,11.7361,4.4754,19.7294,1776127910723613790
nyudepth,no_sharing_tpc,84.4176,95.3262,73.7173,62.4665,0.0042,10.2239,6.0811,21.6089,1776127912644247131
nyudepth,no_sharing_tpc,85.7094,93.4491,73.7386,62.3092,0.0041,10.3969,4.9231,19.7105,1776127913934812379
nyudepth,no_sharing_tpc,86.0382,92.8376,73.6739,62.4247,0.0042,10.1347,4.3926,19.1636,1776127914263075649
nyudepth,no_sharing_tpc,86.2393,91.8021,72.808,62.1891,0.0042,9.6374,4.425,18.9941,1776127914464231767
nyudepth,no_sharing_tpc,86.7707,91.8326,73.0501,62.1033,0.0039,9.9693,4.1344,18.7825,1776127914995379843
nyudepth,no_sharing_tpc,87.0749,95.1691,73.2409,62.0314,0.0043,9.8441,4.6434,21.9281,1776127915300111727
nyudepth,no_sharing_tpc,87.151,96.6847,73.0855,62.0324,0.0035,10.1319,8.672,23.5992,1776127915380233405
nyudepth,no_sharing_tpc,87.6546,92.8423,74.27,62.4307,0.004,10.7805,4.9899,18.5723,1776127915880102405
nyudepth,no_sharing_tpc,89.9074,147.6111,131.0492,83.0141,0.0043,47.0597,4.4768,16.5619,1776127918132356744
nyudepth,no_sharing_tpc,90.9152,92.6452,73.4875,62.2902,0.0042,10.1481,4.6871,19.1577,1776127919140438782
nyudepth,no_sharing_tpc,93.9988,92.7675,73.5141,62.3758,0.0043,10.0792,4.6437,19.2534,1776127922223954090
nyudepth,no_sharing_tpc,96.0453,93.7846,73.4342,62.3762,0.0042,10.0215,4.8151,20.3504,1776127924270654315
nyudepth,no_sharing_tpc,97.1626,92.829,73.9317,62.3169,0.0042,10.5532,4.214,18.8973,1776127925387320159
nyudepth,no_sharing_tpc,99.0128,92.6921,73.2846,62.3544,0.0043,9.9062,4.6117,19.4075,1776127927237887628
nyudepth,no_sharing_tpc,99.7407,143.7926,119.6236,109.1245,0.0041,9.6302,7.5619,24.1691,1776127927968790281
nyudepth,no_sharing_tpc,100.8069,93.3228,73.4064,62.2789,0.0043,10.1156,5.0869,19.9164,1776127929032518176
nyudepth,no_sharing_tpc,101.1887,91.4524,72.6746,62.0776,0.004,9.6023,4.1246,18.7778,1776127929413364302
nyudepth,no_sharing_tpc,101.4065,92.3867,73.4235,62.0209,0.004,9.8304,4.3123,18.9632,1776127929631308395
nyudepth,no_sharing_tpc,103.5531,93.0738,73.1683,62.0767,0.0027,10.1485,3.9067,19.9056,1776127931777514846
nyudepth,no_sharing_tpc,103.6914,94.4793,75.0597,62.9579,0.0043,10.7161,4.5485,19.4196,1776127931916457907
nyudepth,no_sharing_tpc,103.8791,91.6655,72.8841,62.1353,0.0037,9.7993,4.1833,18.7814,1776127932103838671
nyudepth,no_sharing_tpc,104.1902,91.049,71.809,62.062,0.0023,8.9358,4.5407,19.2399,1776127932415256000
nyudepth,no_sharing_tpc,105.1583,91.4674,72.6237,61.9857,0.0039,9.7481,4.2858,18.8437,1776127933383101193
nyudepth,no_sharing_tpc,105.5707,93.5669,73.7734,62.1648,0.0047,10.2198,5.0697,19.7935,1776127933796286282
nyudepth,no_sharing_tpc,106.2561,91.5864,72.7381,61.9723,0.0041,9.8935,4.3485,18.8482,1776127934480925237
