task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,365.7024,338.0185,284.6027,0.0039,52.9513,8.7664,27.6839,1775696081548811166
nyudepth,sharing,0.2408,389.2415,235.7923,42.5363,0.0036,0.816,117.4674,153.4492,1775696081898207830
nyudepth,sharing,0.4751,294.7633,119.4281,30.8678,0.0024,77.273,161.1526,175.3352,1775696082176209010
nyudepth,sharing,0.7129,225.0135,145.8105,30.3457,0.002,35.5312,63.9982,79.203,1775696082316866054
nyudepth,sharing,0.7413,234.5557,145.8105,30.3457,0.002,35.5312,35.5954,88.7452,1775696082316866054
nyudepth,sharing,0.7499,226.0437,145.8105,30.3457,0.002,35.5312,27.0309,80.2332,1775696082316866054
nyudepth,sharing,0.8951,138.4473,63.4297,22.3351,0.0016,0.6729,53.2353,75.0176,1775696082488271372
nyudepth,sharing,1.0361,47.3268,27.8121,12.0432,0.0015,15.5325,5.6641,19.5147,1775696082581700993
nyudepth,sharing,1.3487,48.5125,28.274,14.8651,0.0019,13.1362,3.475,20.2384,1775696082892154422
nyudepth,sharing,1.3563,74.5063,28.0292,13.5825,0.0017,14.1725,29.7365,46.4771,1775696082925969803
nyudepth,sharing,1.4606,124.1555,87.5881,26.9274,0.0022,59.1558,22.0797,36.5674,1775696083022646778
nyudepth,sharing,1.4692,184.9425,51.3162,13.96,0.0019,36.2296,116.6909,133.6263,1775696083125787623
nyudepth,sharing,1.585,128.1393,51.6178,12.5276,0.0018,38.0355,62.7246,76.5215,1775696083187685077
nyudepth,sharing,1.7501,53.9126,27.6879,13.5835,0.0021,13.842,5.6415,26.2247,1775696083295728522
nyudepth,sharing,1.7886,48.9666,29.3332,13.4672,0.0016,15.3185,5.358,19.6334,1775696083333887794
nyudepth,sharing,1.9118,50.0956,27.4589,12.4821,0.0017,14.7282,4.7071,22.6367,1775696083456446351
nyudepth,sharing,1.9271,94.6589,55.2013,16.9483,0.0023,18.976,22.7938,39.4575,1775696083489811150
nyudepth,sharing,1.9364,93.7963,55.2013,16.9483,0.0023,18.976,13.4668,38.5949,1775696083489811150
nyudepth,sharing,1.9678,124.4857,51.4414,12.1479,0.0028,0.7422,47.7953,73.0443,1775696083555552740
nyudepth,sharing,2.0583,96.2062,50.9657,12.5369,0.0019,0.6734,19.4626,45.2405,1775696083617676750
nyudepth,sharing,2.0995,81.8655,28.1417,13.0006,0.0017,14.8908,39.712,53.7239,1775696083679154865
nyudepth,sharing,2.2261,91.6858,53.4028,17.0369,0.002,0.706,12.5849,38.283,1775696083778662017
nyudepth,sharing,2.2507,94.6765,28.7273,13.8894,0.0019,14.5836,51.9769,65.9492,1775696083842587671
nyudepth,sharing,2.4306,48.9869,27.8528,22.0603,0.0034,5.3567,3.9878,21.1341,1775696083974529510
nyudepth,sharing,2.5532,82.2845,52.9807,16.5098,0.0023,35.2894,13.6886,29.3038,1775696084106805396
nyudepth,sharing,2.6189,58.0189,28.6765,13.9135,0.0022,14.4774,12.8417,29.3424,1775696084171674492
nyudepth,sharing,2.6605,51.2805,28.1226,13.5055,0.0021,14.3226,6.5207,23.1579,1775696084206983029
nyudepth,sharing,2.7121,111.6831,73.3024,15.7183,0.0025,28.1553,23.8307,38.3808,1775696084275869948
nyudepth,sharing,2.7163,128.9015,73.3024,15.7183,0.0025,28.1553,19.6309,55.5991,1775696084275869948
nyudepth,sharing,2.7317,191.8094,74.2145,17.3597,0.0029,0.4521,93.5199,117.5949,1775696084365156972
nyudepth,sharing,2.8013,129.9555,74.2145,17.3597,0.0029,0.4521,23.8841,55.741,1775696084365156972
nyudepth,sharing,2.8452,169.1909,73.809,14.7178,0.002,0.7464,70.0705,95.3819,1775696084455234076
nyudepth,sharing,2.9655,85.0027,28.6946,13.8508,0.002,14.5692,39.2866,56.308,1775696084544710273
nyudepth,sharing,3.0365,50.2079,28.8126,14.6179,0.0022,13.8993,4.6585,21.3953,1775696084581100175
nyudepth,sharing,3.0596,83.7507,50.7215,13.5634,0.0022,35.9957,16.1312,33.0292,1775696084615652518
nyudepth,sharing,3.1059,75.1457,28.5739,13.7407,0.002,14.5532,31.0693,46.5718,1775696084676926859
nyudepth,sharing,3.1712,58.4183,27.734,16.32,0.0026,11.1059,13.8695,30.6842,1775696084725048844
nyudepth,sharing,3.2041,115.1593,74.6265,14.1787,0.0027,0.7752,14.78,40.5327,1775696084758832346
nyudepth,sharing,3.2369,141.8619,52.2761,14.0392,0.0023,36.9043,72.4964,89.5859,1775696084849299786
nyudepth,sharing,3.3278,133.1947,74.224,15.1525,0.0022,28.8978,44.8921,58.9706,1775696084912660555
nyudepth,sharing,3.3542,128.2778,74.224,15.1525,0.0022,28.8978,18.5585,54.0537,1775696084912660555
nyudepth,sharing,3.4877,154.3577,74.3594,14.0182,0.0021,58.7992,65.5982,79.9983,1775696085093200606
nyudepth,sharing,3.6264,95.8877,28.6059,11.1764,0.0017,17.2218,52.0525,67.2818,1775696085218374813
nyudepth,sharing,3.7365,49.6416,27.5709,12.5946,0.0022,14.7406,5.2674,22.0707,1775696085281692495
nyudepth,sharing,3.7428,74.2438,27.6001,11.1456,0.0015,16.2255,32.1441,46.6437,1775696085314921286
nyudepth,sharing,3.8556,115.766,73.2035,13.0756,0.0021,58.1473,28.5344,42.5626,1775696085424107193
nyudepth,sharing,3.9918,58.3963,28.0273,11.0354,0.0016,16.7741,15.9352,30.369,1775696085547671157
nyudepth,sharing,4.1038,47.1826,27.5758,12.2445,0.0018,15.0819,3.0179,19.6067,1775696085646755411
nyudepth,sharing,4.1323,53.7622,28.4925,11.1265,0.0017,17.1441,8.5626,25.2697,1775696085680824695
nyudepth,sharing,4.1632,56.7901,28.0563,11.5295,0.0016,16.271,11.6622,28.7338,1775696085714780938
nyudepth,sharing,4.1865,142.529,94.2928,12.8225,0.0027,0.7015,23.7782,48.2362,1775696085750176414
nyudepth,sharing,4.22,191.4878,72.2997,12.337,0.0019,19.9035,105.504,119.1881,1775696085865438550
nyudepth,sharing,4.22,202.5542,72.2997,12.337,0.0019,19.9035,105.4711,130.2545,1775696085865438550
nyudepth,sharing,4.2342,198.3063,72.2997,12.337,0.0019,19.9035,91.3157,126.0066,1775696085865438550
nyudepth,sharing,4.3658,90.6332,29.0153,11.6545,0.0018,17.1252,47.0831,61.6178,1775696085952859976
nyudepth,sharing,4.7659,45.1396,27.6494,15.4846,0.0022,11.884,3.4442,17.4902,1775696086309336987
nyudepth,sharing,4.8227,70.6868,27.7821,15.4759,0.002,12.052,26.1066,42.9048,1775696086388792110
nyudepth,sharing,4.86,67.7555,28.745,13.4476,0.0019,15.0459,22.2638,39.0105,1775696086422237607
nyudepth,sharing,4.8938,100.1079,51.5173,14.4534,0.0023,0.6231,23.1087,48.5906,1775696086456856941
nyudepth,sharing,4.9278,118.0272,50.0834,12.1294,0.0025,18.8475,51.4569,67.9438,1775696086519211496
nyudepth,sharing,4.9397,115.0897,50.0834,12.1294,0.0025,18.8475,39.5675,65.0063,1775696086519211496
nyudepth,sharing,5.0548,60.6971,27.7199,12.209,0.0024,14.7434,18.9831,32.9772,1775696086613738352
nyudepth,sharing,5.1846,44.2393,27.4609,12.4512,0.0017,14.7638,3.0494,16.7784,1775696086727602356
nyudepth,sharing,5.3364,47.4541,27.6411,12.2795,0.0018,15.0899,3.1245,19.813,1775696086879469574
nyudepth,sharing,5.8665,47.0552,27.6469,15.0259,0.0022,12.3526,5.3062,19.4084,1775696087411778441
nyudepth,sharing,6.0779,47.5543,27.8905,20.796,0.0029,6.682,5.3711,19.6637,1775696087623228014
nyudepth,sharing,6.247,49.3937,28.5229,18.8703,0.0026,9.3143,3.967,20.8707,1775696087790884999
nyudepth,sharing,6.3477,47.4288,28.0502,16.0418,0.0023,11.7134,5.5375,19.3786,1775696087893147464
nyudepth,sharing,6.4053,48.1536,27.6657,17.5424,0.0025,9.8188,3.4339,20.4879,1775696087948633500
nyudepth,sharing,6.4099,75.9056,28.3147,18.0758,0.0094,9.8893,32.3207,47.5908,1775696087982185278
nyudepth,sharing,6.506,52.278,28.0228,15.5918,0.0019,12.1237,7.4921,24.2553,1775696088053472118
nyudepth,sharing,6.5685,59.6056,29.8306,19.0308,0.0029,10.3728,13.1044,29.775,1775696088121567124
nyudepth,sharing,6.719,46.2561,27.9769,16.2024,0.0024,11.4646,3.9468,18.2791,1775696088262907360
nyudepth,sharing,6.9216,48.2721,27.7077,17.5329,0.0025,9.8569,3.788,20.5645,1775696088465326013
nyudepth,sharing,6.9544,52.3548,28.6093,18.5048,0.0024,9.7415,6.5782,23.7455,1775696088500910532
nyudepth,sharing,6.9698,68.1353,28.1887,16.6288,0.0021,11.2493,25.8853,39.9465,1775696088535605766
nyudepth,sharing,7.0518,71.1849,28.8084,16.5837,0.0022,11.906,27.7212,42.3765,1775696088619500962
nyudepth,sharing,7.308,45.6965,27.6648,17.3905,0.0023,9.9667,3.7227,18.0317,1775696088851650962
nyudepth,sharing,7.3909,45.4898,27.7466,17.7953,0.0026,9.6318,3.5388,17.7432,1775696088934375579
nyudepth,sharing,7.6031,48.3322,27.7473,18.3857,0.0024,9.0173,3.6545,20.5849,1775696089146667718
nyudepth,sharing,7.6841,47.2662,28.0158,15.3546,0.0022,12.3703,5.1854,19.2504,1775696089229209421
nyudepth,sharing,7.8094,47.9984,27.6365,15.3435,0.0023,11.9566,3.5415,20.3619,1775696089352888914
nyudepth,sharing,7.8381,55.3265,27.581,16.2591,0.0022,11.0059,9.4526,27.7454,1775696089387486877
nyudepth,sharing,7.8574,91.4361,51.7189,18.8381,0.0028,16.2769,24.4944,39.7172,1775696089421864489
nyudepth,sharing,7.8661,92.452,51.7189,18.8381,0.0028,16.2769,15.8343,40.7331,1775696089421864489
nyudepth,sharing,7.8777,165.7417,73.918,14.4019,0.0021,0.3769,68.3341,91.8237,1775696089485998120
nyudepth,sharing,7.8933,159.2512,73.918,14.4019,0.0021,0.3769,52.7232,85.3333,1775696089485998120
nyudepth,sharing,8.0548,49.1447,28.0115,14.5685,0.0022,13.1439,6.4285,21.1332,1775696089601164488
nyudepth,sharing,8.1047,80.9643,28.5414,14.8329,0.0022,13.4294,35.9519,52.4229,1775696089680645502
nyudepth,sharing,8.1381,81.424,28.0915,13.3216,0.0018,14.5147,36.5894,53.3325,1775696089714664221
nyudepth,sharing,8.2318,57.1461,28.8274,13.3669,0.0022,15.1635,11.735,28.3187,1775696089783434613
nyudepth,sharing,8.2549,66.4427,28.8972,13.4776,0.0019,15.1523,22.9721,37.5456,1775696089817790429
nyudepth,sharing,8.4424,45.0141,27.6311,14.408,0.0021,12.961,3.3906,17.383,1775696089985751617
nyudepth,sharing,8.5775,47.879,27.6206,16.254,0.0023,11.0695,3.3543,20.2583,1775696090120794658
nyudepth,sharing,8.6047,111.9523,50.0211,13.7905,0.0018,17.9782,44.8718,61.9312,1775696090189521433
nyudepth,sharing,8.6254,101.4078,50.0211,13.7905,0.0018,17.9782,24.1768,51.3867,1775696090189521433
nyudepth,sharing,8.6777,78.5494,29.1466,14.0507,0.0021,14.7964,32.5456,49.4027,1775696090250176447
nyudepth,sharing,8.7169,96.1537,50.7299,15.0321,0.0023,17.6897,28.3096,45.4238,1775696090285157840
nyudepth,sharing,8.7169,104.5609,50.7299,15.0321,0.0023,17.6897,28.2776,53.8309,1775696090285157840
nyudepth,sharing,8.7661,140.7337,74.6898,14.8111,0.0022,0.7257,41.0082,66.0439,1775696090347047027
nyudepth,sharing,8.9913,48.9326,27.6714,18.0132,0.0024,9.3505,4.3852,21.2611,1775696090535630690
nyudepth,sharing,9.0922,87.9438,50.5569,13.8884,0.0022,35.4823,20.8628,37.3869,1775696090653056089
nyudepth,sharing,9.4001,48.8863,27.7479,17.2072,0.0025,10.2301,4.0455,21.1384,1775696090944105170
nyudepth,sharing,9.6049,47.4381,27.7048,17.343,0.0023,9.2529,5.5544,19.7334,1775696091150435079
nyudepth,sharing,9.7175,64.9595,28.6591,18.4781,0.0024,9.8417,21.9121,36.3004,1775696091279323719
nyudepth,sharing,9.9017,45.4946,27.7385,18.3043,0.0026,9.0995,3.5825,17.7561,1775696091445274921
nyudepth,sharing,9.9777,91.821,28.4674,14.6015,0.002,13.5958,45.3284,63.3536,1775696091563022578
nyudepth,sharing,10.0818,56.0298,27.9927,15.1231,0.0021,12.5673,11.3845,28.0371,1775696091633107716
nyudepth,sharing,10.1194,53.3516,27.9377,14.3203,0.0023,13.3519,8.6405,25.4139,1775696091668033697
nyudepth,sharing,10.1413,63.2136,28.4533,13.8967,0.002,14.3039,20.4484,34.7602,1775696091701651958
nyudepth,sharing,10.3558,50.307,27.6567,18.3838,0.0024,8.9447,5.4405,22.6503,1775696091901182781
nyudepth,sharing,10.3694,68.7988,29.5419,20.5879,0.0029,8.5945,25.0893,39.2569,1775696091934475631
