task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_mps,0.0001,434.4127,402.849,316.7407,0.0034,85.5966,7.7257,31.5637,1775793072611740817
nyudepth,no_sharing_mps,0.4817,82.69,65.3923,16.2954,0.0023,48.7709,5.1754,17.2977,1775793073090814388
nyudepth,no_sharing_mps,0.9493,81.1172,62.7344,17.5713,0.0029,44.7616,7.5088,18.3827,1775793073560703719
nyudepth,no_sharing_mps,1.4253,83.883,61.9242,16.6913,0.0031,44.805,6.8059,21.9589,1775793074036020644
nyudepth,no_sharing_mps,1.4826,87.6114,63.167,15.8133,0.0021,47.0797,14.8125,24.4445,1775793074101352990
nyudepth,no_sharing_mps,1.5092,130.4448,65.6898,15.3712,0.0017,50.0502,53.7989,64.755,1775793074166922655
nyudepth,no_sharing_mps,1.7893,81.1968,61.7348,16.5536,0.0026,44.7725,7.0004,19.462,1775793074400208034
nyudepth,no_sharing_mps,2.0722,78.9316,61.6713,15.9615,0.0022,45.4323,6.197,17.2603,1775793074682289180
nyudepth,no_sharing_mps,2.6963,79.4978,61.77,16.1231,0.0027,45.2994,6.5942,17.7278,1775793075306792916
nyudepth,no_sharing_mps,2.7125,128.1946,61.6499,12.3119,0.0017,49.1147,54.7123,66.5447,1775793075371171674
nyudepth,no_sharing_mps,2.9213,79.051,62.7257,12.5252,0.0018,49.5743,3.7038,16.3253,1775793075528900057
nyudepth,no_sharing_mps,2.9354,132.5181,62.5473,12.6061,0.0017,49.7014,57.9083,69.9708,1775793075597230592
nyudepth,no_sharing_mps,3.1536,80.822,62.0336,12.4818,0.002,49.2334,4.5352,18.7884,1775793075762098049
nyudepth,no_sharing_mps,3.4996,82.7622,61.8024,16.256,0.0028,45.177,6.9034,20.9599,1775793076110436033
nyudepth,no_sharing_mps,3.5827,81.351,61.4767,13.2115,0.0018,48.0068,6.0527,19.8744,1775793076192645126
nyudepth,no_sharing_mps,3.8236,82.8426,61.6473,16.0027,0.0022,45.3611,6.2742,21.1953,1775793076433821496
nyudepth,no_sharing_mps,3.855,232.7132,174.0859,34.1384,0.0022,69.812,44.1694,58.6273,1775793076503111430
nyudepth,no_sharing_mps,3.872,224.9429,174.0859,34.1384,0.0022,69.812,27.1726,50.857,1775793076503111430
nyudepth,no_sharing_mps,3.9356,224.1459,62.3646,11.9418,0.0017,50.1959,148.9863,161.7813,1775793076688457086
nyudepth,no_sharing_mps,4.1171,111.2113,61.7287,11.3049,0.0021,50.1775,35.3279,49.4826,1775793076756359954
nyudepth,no_sharing_mps,4.1985,96.7698,61.4557,11.1245,0.0016,50.0661,21.3413,35.3142,1775793076823745181
nyudepth,no_sharing_mps,4.448,79.9549,62.2971,12.404,0.002,49.6033,5.0991,17.6577,1775793077056988917
nyudepth,no_sharing_mps,4.4937,103.538,62.4212,11.2879,0.0018,50.8642,27.1242,41.1168,1775793077124786418
nyudepth,no_sharing_mps,4.86,79.0172,62.7802,17.1523,0.0029,45.2404,6.5331,16.237,1775793077470493509
nyudepth,no_sharing_mps,5.1056,78.3634,62.0639,11.4475,0.0018,50.311,2.9988,16.2995,1775793077712553847
nyudepth,no_sharing_mps,5.2375,78.1066,61.6322,11.9026,0.0021,49.4761,5.4963,16.4745,1775793077846901932
nyudepth,no_sharing_mps,5.32,79.8461,62.3567,14.8952,0.002,47.0901,5.3325,17.4894,1775793077929206310
nyudepth,no_sharing_mps,5.4109,78.7218,62.1906,14.6258,0.0023,47.2134,3.7963,16.5311,1775793078018629022
nyudepth,no_sharing_mps,5.426,179.8511,109.4591,15.294,0.0022,46.9067,57.8914,70.392,1775793078087857299
nyudepth,no_sharing_mps,5.4622,149.8146,109.4591,15.294,0.0022,46.9067,21.7268,40.3555,1775793078087857299
nyudepth,no_sharing_mps,5.5991,85.0,62.4411,12.6208,0.0019,49.5261,9.8062,22.5589,1775793078212796026
nyudepth,no_sharing_mps,5.6771,84.5785,62.8676,12.6477,0.0021,49.9117,9.9432,21.711,1775793078290910065
nyudepth,no_sharing_mps,5.93,75.9504,61.5882,14.5821,0.0024,46.6901,4.7066,14.3622,1775793078538606048
nyudepth,no_sharing_mps,6.0713,78.6111,61.7985,14.2346,0.0019,47.2842,4.247,16.8126,1775793078679483465
nyudepth,no_sharing_mps,6.1195,95.4275,61.9706,13.274,0.002,48.4049,23.4876,33.4569,1775793078746931042
nyudepth,no_sharing_mps,6.215,74.7461,61.462,12.892,0.0021,48.2981,3.8972,13.2842,1775793078822781021
nyudepth,no_sharing_mps,6.3391,80.2925,61.8609,15.6404,0.0022,45.9189,5.527,18.4316,1775793078948520626
nyudepth,no_sharing_mps,6.4091,79.8655,62.4493,15.3669,0.0023,46.7292,4.6179,17.4161,1775793079017616413
nyudepth,no_sharing_mps,6.4735,80.5011,62.4968,12.7312,0.0022,49.4904,8.3427,18.0043,1775793079085742168
nyudepth,no_sharing_mps,6.6485,84.9831,62.5689,14.5942,0.002,47.646,5.5497,22.4142,1775793079257935139
nyudepth,no_sharing_mps,6.7077,91.9158,62.6898,12.6385,0.002,49.7743,14.5183,29.226,1775793079326153062
nyudepth,no_sharing_mps,6.9742,81.7757,62.2502,13.0121,0.0019,48.9656,3.5529,19.5254,1775793079581716627
nyudepth,no_sharing_mps,7.253,83.3163,62.4521,12.8112,0.002,49.3359,6.3629,20.8643,1775793079863265241
nyudepth,no_sharing_mps,7.4696,84.722,61.7629,18.1837,0.0029,43.2102,6.2242,22.9592,1775793080079759040
nyudepth,no_sharing_mps,7.484,135.498,61.4438,14.1757,0.0018,47.0034,59.3045,74.0542,1775793080147189118
nyudepth,no_sharing_mps,7.7109,83.6747,62.7836,16.2467,0.0026,46.1791,6.6917,20.8911,1775793080321491123
nyudepth,no_sharing_mps,7.9816,82.9225,62.0076,17.6698,0.0027,43.9307,6.7651,20.9149,1775793080592235638
nyudepth,no_sharing_mps,8.2063,84.7175,61.755,14.7743,0.0024,46.643,6.1595,22.9625,1775793080816409307
nyudepth,no_sharing_mps,8.2636,91.9676,61.4827,12.4972,0.002,48.7221,16.3143,30.4849,1775793080883822548
nyudepth,no_sharing_mps,8.3263,96.5867,62.4698,22.3809,0.0033,39.6538,20.705,34.1169,1775793080950878404
nyudepth,no_sharing_mps,8.3591,132.1025,62.7621,13.8168,0.0022,48.5218,56.0267,69.3404,1775793081019078534
nyudepth,no_sharing_mps,8.4351,381.4461,318.1848,65.7126,0.0022,84.0644,50.384,63.2613,1775793081089448641
nyudepth,no_sharing_mps,8.4352,387.9197,318.1848,65.7126,0.0022,84.0644,50.35,69.7349,1775793081089448641
nyudepth,no_sharing_mps,8.468,363.7223,318.1848,65.7126,0.0022,84.0644,17.5436,45.5375,1775793081089448641
nyudepth,no_sharing_mps,8.731,164.8586,61.7655,11.8944,0.0016,49.6379,89.7348,103.0931,1775793081424685391
nyudepth,no_sharing_mps,9.53,83.5512,61.9408,16.6101,0.0029,44.9508,7.2703,21.6104,1775793082141161282
nyudepth,no_sharing_mps,9.6433,84.6531,62.3046,13.6626,0.0022,48.322,5.3496,22.3485,1775793082252558741
nyudepth,no_sharing_mps,9.6998,97.3587,61.4829,11.9104,0.0022,49.3268,16.6707,35.8758,1775793082320427250
nyudepth,no_sharing_mps,9.7793,88.9406,64.7741,13.9694,0.0018,50.5556,7.0066,24.1665,1775793082390231155
nyudepth,no_sharing_mps,9.854,81.9206,61.7484,11.6989,0.0017,49.8137,3.6237,20.1722,1775793082461590074
nyudepth,no_sharing_mps,9.8784,122.1299,61.3708,11.0509,0.0018,50.1034,46.3817,60.7591,1775793082528745977
nyudepth,no_sharing_mps,10.0939,82.7754,61.6848,12.6632,0.002,48.7213,6.3715,21.0906,1775793082704193091
nyudepth,no_sharing_mps,10.3701,82.1936,61.7093,14.9919,0.0026,46.3976,6.4316,20.4843,1775793082980404428
nyudepth,no_sharing_mps,10.671,82.7606,62.4406,16.413,0.0025,44.9553,6.4657,20.32,1775793083281372802
nyudepth,no_sharing_mps,11.733,82.89,61.676,13.5259,0.0027,47.7958,6.1743,21.214,1775793084343129619
nyudepth,no_sharing_mps,12.1548,81.789,61.6585,13.437,0.0022,47.892,5.9433,20.1305,1775793084764626024
nyudepth,no_sharing_mps,12.4861,83.3972,62.5334,15.8627,0.0023,46.3084,6.5618,20.8638,1775793085096584164
nyudepth,no_sharing_mps,12.6921,82.4246,61.7085,16.2785,0.0026,45.1106,6.5544,20.7161,1775793085302560765
nyudepth,no_sharing_mps,12.812,81.459,61.4627,16.8541,0.0025,44.3151,5.9235,19.9963,1775793085421855585
nyudepth,no_sharing_mps,12.8192,141.541,61.4655,14.6885,0.0017,46.5197,65.8128,80.0755,1775793085488977210
nyudepth,no_sharing_mps,13.011,82.1953,61.9106,13.4574,0.002,48.1817,6.2394,20.2846,1775793085621117664
nyudepth,no_sharing_mps,13.1354,78.2692,62.3069,11.7099,0.0022,50.0813,3.7465,15.9624,1775793085743035348
nyudepth,no_sharing_mps,13.4366,81.1515,61.624,13.3391,0.0021,47.9649,5.6646,19.5275,1775793086046227267
nyudepth,no_sharing_mps,13.8426,82.3135,61.6236,15.9857,0.0022,45.3536,6.5622,20.69,1775793086453042238
nyudepth,no_sharing_mps,13.909,84.3577,61.5296,15.4978,0.0023,45.7261,8.5535,22.8281,1775793086521439144
nyudepth,no_sharing_mps,13.9249,134.6836,61.4104,12.1633,0.0015,49.0123,59.6347,73.2732,1775793086588452650
nyudepth,no_sharing_mps,14.1032,83.1685,62.3286,11.8371,0.0018,50.2151,6.4223,20.8399,1775793086713584540
nyudepth,no_sharing_mps,14.6145,83.1215,61.8855,16.5894,0.0029,44.935,7.0949,21.236,1775793087225479123
nyudepth,no_sharing_mps,14.7781,82.2723,61.6627,15.9005,0.002,45.4816,6.3217,20.6096,1775793087388346845
nyudepth,no_sharing_mps,15.2048,82.8495,62.0446,14.7395,0.002,46.9684,6.3953,20.8049,1775793087815090447
nyudepth,no_sharing_mps,15.3556,81.9185,61.6943,13.2522,0.0022,48.1009,6.1948,20.2241,1775793087965733887
nyudepth,no_sharing_mps,15.618,84.5389,61.5888,13.2285,0.0022,48.0772,6.0711,22.9501,1775793088227947192
nyudepth,no_sharing_mps,15.6761,94.4326,61.3868,16.3368,0.0047,44.7459,15.2118,33.0458,1775793088295218982
nyudepth,no_sharing_mps,15.7025,188.7038,110.0075,12.6086,0.0019,48.5557,57.0729,78.6963,1775793088363512450
nyudepth,no_sharing_mps,15.7313,168.1406,110.0075,12.6086,0.0019,48.5557,28.3067,58.1331,1775793088363512450
nyudepth,no_sharing_mps,15.7547,248.2681,108.2697,12.3821,0.0021,47.806,125.6182,139.9984,1775793088484228238
nyudepth,no_sharing_mps,15.7705,241.5695,108.2697,12.3821,0.0021,47.806,109.7646,133.2998,1775793088484228238
nyudepth,no_sharing_mps,16.1094,81.7125,61.552,13.3661,0.002,47.9055,6.2814,20.1605,1775793088719575819
nyudepth,no_sharing_mps,16.1985,83.6608,62.3216,12.3422,0.002,49.6933,6.8686,21.3392,1775793088809256287
nyudepth,no_sharing_mps,16.2822,81.0132,61.6564,11.4864,0.0017,49.9275,5.6205,19.3568,1775793088891691282
nyudepth,no_sharing_mps,16.4628,84.2674,62.0401,14.4515,0.0027,47.0678,5.8355,22.2273,1775793089072559462
nyudepth,no_sharing_mps,16.5006,111.0809,61.4643,12.4587,0.0019,48.7366,35.502,49.6166,1775793089140019571
nyudepth,no_sharing_mps,16.8837,81.4943,62.183,23.263,0.0034,38.3983,6.3376,19.3114,1775793089494002590
nyudepth,no_sharing_mps,17.1454,84.1699,62.5429,15.0095,0.0023,47.1786,5.8179,21.627,1775793089755128159
nyudepth,no_sharing_mps,17.2081,87.9977,61.9793,13.5245,0.0022,48.1538,10.2427,26.0184,1775793089822287307
nyudepth,no_sharing_mps,17.2487,111.4728,61.6486,13.4752,0.002,47.874,35.7771,49.8242,1775793089888423319
nyudepth,no_sharing_mps,17.3606,85.6793,61.8111,20.2258,0.0028,41.1899,6.0351,23.8681,1775793089970523238
nyudepth,no_sharing_mps,17.4159,97.3835,61.9546,22.3021,0.003,39.1852,18.4376,35.4289,1775793090038244910
nyudepth,no_sharing_mps,17.4307,149.9305,62.5542,19.2959,0.0028,42.9058,71.3394,87.3762,1775793090105990212
nyudepth,no_sharing_mps,17.5315,115.0718,62.938,14.8738,0.0026,47.6057,38.1837,52.1338,1775793090173561918
nyudepth,no_sharing_mps,17.9815,84.065,62.7987,22.4531,0.0036,39.8803,6.793,21.2663,1775793090592199548
nyudepth,no_sharing_mps,18.1832,83.7502,62.6169,18.7546,0.0032,43.2379,7.1235,21.1333,1775793090794245266
nyudepth,no_sharing_mps,18.8005,84.8918,63.4934,30.0784,0.0046,32.6254,6.2745,21.3984,1775793091410653201
nyudepth,no_sharing_mps,19.2092,83.1037,62.0161,17.5986,0.0028,44.014,7.0968,21.0875,1775793091820176436
nyudepth,no_sharing_mps,19.4333,84.9941,62.9437,25.4764,0.0041,36.9104,7.3388,22.0503,1775793092044512661
