task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0001,430.6207,406.3417,316.2615,0.006,89.5992,6.767,24.279,1775692803417273652
vocseg,single_vocseg,0.0338,524.9217,120.4095,32.1868,0.0036,21.9778,390.0778,404.5122,1775692803834240772
vocseg,single_vocseg,0.0511,516.2849,120.4095,32.1868,0.0036,21.9778,372.7973,395.8755,1775692803834240772
vocseg,single_vocseg,0.0614,524.2841,120.4095,32.1868,0.0036,21.9778,362.4692,403.8747,1775692803834240772
vocseg,single_vocseg,0.2998,285.8753,120.4095,32.1868,0.0036,21.9778,124.0358,165.4659,1775692803834240772
vocseg,single_vocseg,0.6109,48.5401,28.4882,16.3373,0.0039,11.7826,5.7909,20.0519,1775692804027094106
vocseg,single_vocseg,0.6917,47.8611,27.9922,15.9822,0.003,11.7225,4.4401,19.8689,1775692804106509950
vocseg,single_vocseg,0.96,49.6724,27.9799,16.6548,0.0031,11.0405,4.5218,21.6925,1775692804374847108
vocseg,single_vocseg,0.9838,57.3635,27.9293,15.5821,0.0034,12.0471,14.6966,29.4343,1775692804408910332
vocseg,single_vocseg,1.1975,48.0363,28.0815,16.9621,0.0033,10.7923,5.5351,19.9548,1775692804613445695
vocseg,single_vocseg,1.3058,46.936,28.0355,17.5571,0.0031,10.157,4.3216,18.9006,1775692804720451291
vocseg,single_vocseg,1.516,46.9725,28.0777,18.5451,0.0032,9.2037,4.3039,18.8948,1775692804930710908
vocseg,single_vocseg,2.1988,46.9856,28.1936,19.0781,0.0035,8.7433,4.4899,18.792,1775692805613668276
vocseg,single_vocseg,2.3441,47.0047,28.186,20.2517,0.0036,7.1271,4.2262,18.8187,1775692805758661125
vocseg,single_vocseg,2.5934,48.2953,28.2611,20.8536,0.0039,6.9976,4.4246,20.0342,1775692806008241984
vocseg,single_vocseg,2.8081,52.2256,28.3037,22.7696,0.0038,5.0575,6.7172,23.9219,1775692806225227394
vocseg,single_vocseg,2.8082,86.7734,29.7475,27.8533,0.005,1.3936,40.8258,57.0259,1775692806259429920
vocseg,single_vocseg,2.8604,65.1636,28.3863,23.2952,0.0035,4.7001,23.3164,36.7773,1775692806294079982
vocseg,single_vocseg,2.9298,45.7444,28.2069,20.2438,0.0038,7.5669,4.9446,17.5375,1775692806345101492
vocseg,single_vocseg,3.1158,44.4279,28.235,19.0272,0.0035,8.8369,3.6926,16.1928,1775692806529896792
vocseg,single_vocseg,3.2525,44.5695,28.3068,20.9258,0.0037,6.9843,3.5534,16.2626,1775692806666443711
vocseg,single_vocseg,3.9027,45.2225,28.2989,21.7066,0.0038,6.1736,3.6826,16.9237,1775692807316770695
vocseg,single_vocseg,4.0863,46.1996,28.3563,23.0153,0.0037,4.8751,4.2512,17.8432,1775692807500873352
vocseg,single_vocseg,4.4019,46.5426,28.4481,23.9054,0.0042,4.0765,4.1158,18.0946,1775692807816381759
vocseg,single_vocseg,4.4485,45.8429,28.4344,25.136,0.0048,2.8009,3.757,17.4084,1775692807862590118
vocseg,single_vocseg,4.8639,48.4364,28.4173,25.2765,0.0047,2.63,3.6368,20.0191,1775692808277866587
vocseg,single_vocseg,4.8687,74.8258,28.5331,26.2398,0.0039,1.8372,32.2778,46.2927,1775692808311375427
vocseg,single_vocseg,4.9808,47.3428,28.3719,23.9446,0.004,3.9616,5.3,18.9709,1775692808396459283
vocseg,single_vocseg,5.0474,45.8231,28.4148,25.1166,0.0044,2.8018,3.5331,17.4083,1775692808461260761
vocseg,single_vocseg,5.3576,46.4041,28.4597,25.0471,0.0047,2.9132,4.215,17.9444,1775692808772198522
vocseg,single_vocseg,5.4282,46.891,28.4992,26.4278,0.0047,1.5479,4.1542,18.3917,1775692808842763717
vocseg,single_vocseg,5.5434,47.5724,29.2298,26.3954,0.0046,2.3307,3.9797,18.3426,1775692808957723640
vocseg,single_vocseg,5.6472,51.4505,29.3118,27.3773,0.0049,1.4042,3.7549,22.1387,1775692809061302231
vocseg,single_vocseg,5.6833,49.0289,28.5943,26.3693,0.0043,1.7495,6.4373,20.4346,1775692809100109453
vocseg,single_vocseg,6.1029,47.4136,28.403,23.8609,0.0042,4.0714,5.3179,19.0106,1775692809518587660
vocseg,single_vocseg,6.3787,50.5812,29.8198,27.8398,0.0053,1.4257,3.7293,20.7614,1775692809792811917
