task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0001,465.8747,439.5763,370.7995,0.0061,67.6235,8.594,26.2984,1776116288767153805
nyudepth,no_sharing_tpc,0.4812,203.1794,184.7972,129.8387,0.0053,54.2382,4.1971,18.3822,1776116289243853435
nyudepth,no_sharing_tpc,0.9494,149.9655,133.0323,119.1888,0.0055,13.0173,5.3716,16.9332,1776116289713220067
nyudepth,no_sharing_tpc,1.4263,213.4593,194.5553,62.0056,0.0061,131.6126,4.2565,18.9039,1776116290189027208
nyudepth,no_sharing_tpc,1.4812,231.7421,204.3614,95.8883,0.0083,67.4392,13.1223,27.3808,1776116290252814700
nyudepth,no_sharing_tpc,1.4992,228.627,81.9877,64.6844,0.0038,9.2257,132.2691,146.6393,1776116290389895218
nyudepth,no_sharing_tpc,1.789,92.0055,72.5683,61.8704,0.0052,9.9661,5.3215,19.4372,1776116290552806775
nyudepth,no_sharing_tpc,2.0714,90.5745,73.7706,62.0717,0.0057,10.9135,4.4932,16.8039,1776116290834357024
nyudepth,no_sharing_tpc,2.6965,201.6869,180.478,62.0824,0.0057,117.5994,4.2007,21.2089,1776116291459124175
nyudepth,no_sharing_tpc,2.7124,361.7191,297.0416,70.6332,0.0038,174.3575,51.6999,64.6776,1776116291522503127
nyudepth,no_sharing_tpc,2.9213,284.7135,266.9897,130.0083,0.0057,126.4381,4.6549,17.7238,1776116291684451387
nyudepth,no_sharing_tpc,2.9356,401.9761,257.4277,80.1592,0.0053,125.5077,131.1123,144.5484,1776116291825146001
nyudepth,no_sharing_tpc,3.1536,206.8264,146.0349,79.1285,0.004,15.1338,45.1143,60.7916,1776116291957168412
nyudepth,no_sharing_tpc,3.5008,87.8594,72.102,61.8826,0.0041,9.5186,3.8991,15.7574,1776116292263115099
nyudepth,no_sharing_tpc,3.5767,89.0288,71.4762,61.7575,0.0054,9.033,6.9754,17.5526,1776116292342090348
nyudepth,no_sharing_tpc,3.823,103.9515,82.7361,62.036,0.0056,19.784,4.7386,21.2153,1776116292586169181
nyudepth,no_sharing_tpc,3.8543,442.2131,386.5594,202.1733,0.0169,91.8375,37.9407,55.6536,1776116292650666693
nyudepth,no_sharing_tpc,3.8724,432.616,386.5594,202.1733,0.0169,91.8375,19.8336,46.0566,1776116292650666693
nyudepth,no_sharing_tpc,3.9352,483.9382,304.762,126.8326,0.006,118.347,162.9944,179.1762,1776116292856594508
nyudepth,no_sharing_tpc,4.1161,402.0417,214.002,109.4499,0.0047,47.2764,173.4276,188.0396,1776116293047960548
nyudepth,no_sharing_tpc,4.198,328.8181,214.002,109.4499,0.0047,47.2764,91.4679,114.8161,1776116293047960548
nyudepth,no_sharing_tpc,4.4482,244.4315,219.9504,129.7786,0.0045,89.2555,3.8178,24.4811,1776116293210512793
nyudepth,no_sharing_tpc,4.4921,209.152,103.8992,85.8601,0.0028,9.7152,91.089,105.2528,1776116293341591615
nyudepth,no_sharing_tpc,4.8603,202.1282,183.1391,126.7679,0.0057,55.3712,5.4762,18.989,1776116293624182689
