task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,396.9822,372.3282,300.4895,0.0046,70.7293,5.8374,24.654,1776117773894990333
nyudepth,single_nyudepth,0.2424,168.5941,86.9567,42.0477,0.0038,11.276,66.2239,81.6374,1776117774197689499
nyudepth,single_nyudepth,0.4752,59.3998,39.9637,28.2094,0.005,10.7679,4.8976,19.4362,1776117774369197230
nyudepth,single_nyudepth,0.713,60.9879,43.9038,28.8959,0.005,13.9397,4.3104,17.0842,1776117774606364689
nyudepth,single_nyudepth,0.7421,90.4968,69.8847,37.8937,0.005,30.8895,5.9614,20.6121,1776117774637085737
nyudepth,single_nyudepth,0.7513,96.5095,45.3693,28.1393,0.0043,9.5721,36.4268,51.1401,1776117774676736872
nyudepth,single_nyudepth,0.895,59.9527,40.6399,28.1548,0.003,11.511,4.5671,19.3129,1776117774788617594
nyudepth,single_nyudepth,1.0362,59.6955,40.6809,28.2784,0.0046,11.2359,4.2927,19.0146,1776117774929555420
nyudepth,single_nyudepth,1.3483,79.1678,60.3983,29.8243,0.0053,29.4012,4.3073,18.7695,1776117775241694801
nyudepth,single_nyudepth,1.3563,88.0895,45.9007,35.4566,0.0029,9.4084,27.9598,42.1887,1776117775273342915
nyudepth,single_nyudepth,1.4607,77.1723,57.8333,29.7425,0.0052,26.8254,4.5829,19.339,1776117775354299487
nyudepth,single_nyudepth,1.468,89.5078,46.2595,35.6897,0.0045,9.5182,28.8179,43.2483,1776117775385860633
nyudepth,single_nyudepth,1.5767,55.4793,40.7779,28.5954,0.0048,11.0702,4.3099,14.7014,1776117775470094156
nyudepth,single_nyudepth,1.7515,75.4392,56.4307,29.1459,0.0047,26.1205,4.2903,19.0085,1776117775644841089
nyudepth,single_nyudepth,1.7886,65.7043,46.9254,35.6766,0.0047,10.4142,4.4875,18.7789,1776117775682130610
nyudepth,single_nyudepth,1.9126,68.8574,46.185,30.4853,0.0055,14.4499,4.411,22.6724,1776117775806017916
nyudepth,single_nyudepth,1.9288,191.7183,152.0213,66.3046,0.0039,42.3423,21.5316,39.697,1776117775839407060
nyudepth,single_nyudepth,1.937,192.0485,152.0213,66.3046,0.0039,42.3423,13.3281,40.0272,1776117775839407060
nyudepth,single_nyudepth,1.9692,193.3968,127.2392,28.8478,0.0033,37.3033,48.9841,66.1576,1776117775907243967
nyudepth,single_nyudepth,2.0587,137.5422,61.8961,30.2906,0.0028,24.1168,54.347,75.6461,1776117776002095049
nyudepth,single_nyudepth,2.0997,119.1087,52.2879,42.8123,0.0056,8.4115,51.1982,66.8207,1776117776040001284
nyudepth,single_nyudepth,2.2241,75.6454,56.8998,28.5395,0.0046,27.1861,3.9656,18.7457,1776117776117097297
nyudepth,single_nyudepth,2.2462,70.8416,44.6465,35.0025,0.0026,8.6813,12.1808,26.195,1776117776147409503
nyudepth,single_nyudepth,2.4303,60.07,40.7782,28.306,0.0044,11.3795,4.5743,19.2918,1776117776323940761
nyudepth,single_nyudepth,2.5536,59.8021,39.855,28.276,0.005,10.4671,4.2255,19.9471,1776117776446904004
nyudepth,single_nyudepth,2.6187,64.0559,41.3567,28.3154,0.0051,11.9235,4.674,22.6993,1776117776512392278
nyudepth,single_nyudepth,2.6601,68.5792,42.0857,29.4364,0.0054,11.6283,10.3788,26.4935,1776117776559489770
nyudepth,single_nyudepth,2.7059,114.4457,91.6926,37.0068,0.006,53.4539,4.1583,22.753,1776117776599150172
nyudepth,single_nyudepth,2.7132,147.2816,94.5028,49.0527,0.0038,17.6778,36.0863,52.7788,1776117776638368734
nyudepth,single_nyudepth,2.7319,137.2113,94.5028,49.0527,0.0038,17.6778,17.4575,42.7085,1776117776638368734
nyudepth,single_nyudepth,2.8003,100.5292,75.1186,29.2727,0.0044,30.6419,10.3748,25.4106,1776117776699690642
nyudepth,single_nyudepth,2.8396,74.5571,44.9471,28.0239,0.0026,8.9875,15.615,29.61,1776117776744267164
nyudepth,single_nyudepth,2.9654,58.3494,39.418,27.9317,0.0044,10.5327,4.5121,18.9313,1776117776858961586
nyudepth,single_nyudepth,3.036,75.2327,59.5694,27.8993,0.0049,30.6675,3.6724,15.6634,1776117776928710344
nyudepth,single_nyudepth,3.0599,64.6906,40.9766,27.5066,0.0043,7.8567,9.1276,23.7139,1776117776958129121
nyudepth,single_nyudepth,3.1112,54.7111,37.4789,28.0716,0.0028,8.5884,3.2938,17.2322,1776117777003590433
nyudepth,single_nyudepth,3.1702,84.5196,64.2134,27.8532,0.0044,35.4922,3.3932,20.3062,1776117777062631128
nyudepth,single_nyudepth,3.2041,86.3721,67.9208,27.5693,0.0063,32.5387,3.9136,18.4513,1776117777097059714
nyudepth,single_nyudepth,3.237,67.7469,45.2531,28.2556,0.004,14.0055,8.131,22.4938,1776117777134166098
nyudepth,single_nyudepth,3.325,80.0583,61.6934,27.9232,0.0046,32.2299,3.9675,18.3649,1776117777217978147
nyudepth,single_nyudepth,3.3541,65.0885,44.7357,27.5375,0.0041,8.9816,6.3674,20.3528,1776117777249531606
nyudepth,single_nyudepth,3.4875,58.8925,40.103,27.9728,0.0047,11.1344,4.4026,18.7895,1776117777380914300
nyudepth,single_nyudepth,3.6266,57.7555,39.4022,28.1056,0.0051,10.2652,3.8323,18.3533,1776117777519490867
nyudepth,single_nyudepth,3.7356,67.8854,49.319,28.9852,0.0054,19.2273,3.8517,18.5664,1776117777628492486
nyudepth,single_nyudepth,3.7427,89.6466,47.6262,36.3161,0.0046,10.3153,27.7398,42.0204,1776117777659451522
nyudepth,single_nyudepth,3.8555,59.3224,40.7746,28.228,0.0049,11.4238,4.2813,18.5478,1776117777748867498
nyudepth,single_nyudepth,3.9911,58.2848,40.1339,28.1864,0.0056,10.7833,3.8319,18.1509,1776117777883996395
nyudepth,single_nyudepth,4.1036,79.2983,58.3877,29.2267,0.0056,27.913,3.8147,20.9106,1776117777996492828
nyudepth,single_nyudepth,4.1326,77.6718,57.0622,36.2778,0.005,19.5583,5.8703,20.6095,1776117778027551291
nyudepth,single_nyudepth,4.1638,80.2727,51.724,35.411,0.0052,14.1032,12.7282,28.5487,1776117778065613280
nyudepth,single_nyudepth,4.1829,102.2458,54.4459,38.0142,0.0046,15.2759,31.9674,47.7999,1776117778103971066
nyudepth,single_nyudepth,4.2155,156.203,102.1589,89.3304,0.0048,3.9908,39.885,54.0442,1776117778144441701
nyudepth,single_nyudepth,4.2178,163.6221,102.1589,89.3304,0.0048,3.9908,37.5962,61.4633,1776117778144441701
nyudepth,single_nyudepth,4.2347,158.7851,102.1589,89.3304,0.0048,3.9908,20.7357,56.6262,1776117778144441701
nyudepth,single_nyudepth,4.372,66.5722,39.3497,28.261,0.0046,10.2769,12.4266,27.2225,1776117778273480950
nyudepth,single_nyudepth,4.7661,60.7178,41.4275,28.5766,0.005,11.6609,4.6797,19.2903,1776117778659818209
nyudepth,single_nyudepth,4.8268,81.0187,59.9829,28.0575,0.0053,30.831,4.1907,21.0358,1776117778720071806
nyudepth,single_nyudepth,4.8499,96.7157,68.657,27.8837,0.0045,33.1315,11.0497,28.0587,1776117778750008624
nyudepth,single_nyudepth,4.8909,93.6873,68.5822,28.7156,0.0029,31.9829,7.9081,25.1051,1776117778787828601
nyudepth,single_nyudepth,4.9271,90.6017,66.0981,27.8661,0.003,30.1012,9.9487,24.5036,1776117778826063982
nyudepth,single_nyudepth,4.9466,84.281,45.0289,27.6496,0.0109,14.5224,26.4347,39.2521,1776117778862135275
nyudepth,single_nyudepth,5.0472,57.9162,40.0899,27.9354,0.0046,11.294,3.6469,17.8263,1776117778939856604
nyudepth,single_nyudepth,5.1853,58.5675,39.8205,28.1023,0.0048,10.7155,4.2033,18.7471,1776117779078587570
nyudepth,single_nyudepth,5.3362,59.0341,40.5938,28.1358,0.005,11.3441,3.7947,18.4403,1776117779229018651
