task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,299.6192,296.3267,281.0172,0.0023,14.6709,1.9736,3.2925,1775705199888568423
ecgclass,no_sharing,2.407,110.7771,107.5494,105.4412,0.0048,1.4245,2.1369,3.2277,1775705202295637451
ecgclass,no_sharing,4.7432,77.2533,74.4258,72.4164,0.0044,1.3994,1.7889,2.8276,1775705204631467140
ecgclass,no_sharing,7.1279,110.1146,107.1716,105.1005,0.0046,1.4221,1.8196,2.943,1775705207016228054
ecgclass,no_sharing,7.4054,66.2792,63.6546,62.3146,0.0026,0.9856,1.785,2.6246,1775705207293643313
ecgclass,no_sharing,7.4919,59.4845,57.1158,56.0881,0.0024,0.7123,1.5507,2.3687,1775705207379896002
ecgclass,no_sharing,8.9459,62.5427,59.9749,58.9538,0.0023,0.6656,1.7481,2.5678,1775705208834136298
ecgclass,no_sharing,10.3559,60.8647,58.2334,57.1543,0.0022,0.7039,1.7474,2.6313,1775705210244183773
ecgclass,no_sharing,13.483,61.4986,58.9138,57.9116,0.0021,0.6666,1.7629,2.5848,1775705213371300110
ecgclass,no_sharing,13.5588,53.8886,51.4844,50.5552,0.0021,0.6538,1.6077,2.4042,1775705213446854180
ecgclass,no_sharing,14.6058,60.9179,58.3289,57.2741,0.0024,0.6816,1.7378,2.589,1775705214494030297
ecgclass,no_sharing,14.6749,52.5212,50.549,49.4236,0.002,0.6224,1.1859,1.9722,1775705214562603913
ecgclass,no_sharing,15.7656,95.3932,92.5565,90.5579,0.0047,1.4084,1.7712,2.8367,1775705215653913946
ecgclass,no_sharing,17.4968,109.8518,107.0441,105.0119,0.0043,1.4107,1.7173,2.8077,1775705217385055621
ecgclass,no_sharing,17.8831,66.1643,63.5531,62.3991,0.0026,0.7578,1.7853,2.6111,1775705217771419403
ecgclass,no_sharing,19.1156,63.3786,60.8221,59.8556,0.0023,0.6662,1.7312,2.5564,1775705219003868778
ecgclass,no_sharing,19.2683,98.5074,95.7091,93.6658,0.0046,1.4105,1.7083,2.7983,1775705219156471728
ecgclass,no_sharing,19.359,75.1979,66.6732,65.5786,0.0025,0.7471,7.699,8.5248,1775705219253225946
