task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,312.7441,309.2386,267.906,0.0029,40.479,2.403,3.5055,1775710547760917329
ecgclass,no_sharing_tpc,0.4811,43.0889,40.343,39.2654,0.0022,0.6362,1.8477,2.7459,1775710548241315826
ecgclass,no_sharing_tpc,0.9489,84.0294,81.2731,79.042,0.0036,1.554,1.6973,2.7563,1775710548708919601
ecgclass,no_sharing_tpc,1.4257,69.3755,66.6069,64.571,0.0034,1.302,1.797,2.7686,1775710549185828477
ecgclass,no_sharing_tpc,1.4821,65.716,52.068,50.0576,0.0017,1.616,12.7683,13.648,1775710549253262076
ecgclass,no_sharing_tpc,1.4992,125.3178,76.0255,74.0829,0.0019,1.5372,48.3961,49.2923,1775710549305972079
ecgclass,no_sharing_tpc,1.7899,55.2082,52.5753,51.4129,0.0021,0.7515,1.6916,2.6329,1775710549549916303
ecgclass,no_sharing_tpc,2.0712,73.7686,71.0939,68.4695,0.0033,2.0468,1.7517,2.6747,1775710549831321124
ecgclass,no_sharing_tpc,2.6959,46.1454,43.8721,42.3395,0.0014,1.1948,1.425,2.2734,1775710550455674182
ecgclass,no_sharing_tpc,2.7126,114.4011,84.2142,83.123,0.0017,0.677,29.2456,30.1869,1775710550500171363
ecgclass,no_sharing_tpc,2.9212,60.6551,58.0742,56.3845,0.0027,1.1251,1.6909,2.5809,1775710550681276131
ecgclass,no_sharing_tpc,2.9359,95.0525,48.3456,46.9107,0.002,0.9753,45.8441,46.7069,1775710550740158239
ecgclass,no_sharing_tpc,3.153,46.5209,44.1394,41.1329,0.0018,2.6653,1.539,2.3815,1775710550912906762
ecgclass,no_sharing_tpc,3.4997,47.7705,45.3195,44.3155,0.0018,0.6527,1.5299,2.451,1775710551259557275
ecgclass,no_sharing_tpc,3.5773,51.5895,49.2696,46.4594,0.0016,2.478,1.4257,2.3199,1775710551337098971
ecgclass,no_sharing_tpc,3.8231,46.3355,43.9411,43.0203,0.0014,0.5885,1.5094,2.3944,1775710551582951630
ecgclass,no_sharing_tpc,3.8538,56.5844,40.3843,39.4628,0.0014,0.5607,15.3167,16.2001,1775710551627471029
ecgclass,no_sharing_tpc,3.8726,75.397,37.1216,36.1919,0.0015,0.5541,37.4372,38.2754,1775710551668411767
ecgclass,no_sharing_tpc,3.9356,58.9447,45.9079,44.7604,0.002,0.7393,12.1493,13.0368,1775710551706084961
ecgclass,no_sharing_tpc,4.1156,47.4801,44.9968,43.6976,0.0017,0.8898,1.5688,2.4833,1775710551875538237
ecgclass,no_sharing_tpc,4.1983,47.4,44.9662,43.7075,0.0018,0.5912,1.5481,2.4338,1775710551958208290
ecgclass,no_sharing_tpc,4.4493,80.0939,77.49,73.9234,0.0027,2.978,1.6513,2.6039,1775710552209366972
