task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_mps,0.0003,520.0493,515.8634,474.9379,0.0041,40.0897,3.2263,4.186,1775719849707047065
ecgclass,no_sharing_mps,2.4049,55.948,53.0332,51.8421,0.0077,0.7381,1.9736,2.9148,1775719852110453897
ecgclass,no_sharing_mps,4.741,52.8483,50.0147,48.9709,0.0027,0.6543,1.8451,2.8336,1775719854446390743
ecgclass,no_sharing_mps,7.1259,54.5046,51.7524,50.7057,0.0023,0.6497,1.8222,2.7522,1775719856831333782
ecgclass,no_sharing_mps,7.4056,44.553,41.9738,40.8705,0.0022,0.7479,1.6646,2.5792,1775719857110851283
ecgclass,no_sharing_mps,7.4924,44.5917,42.0203,41.1403,0.0019,0.548,1.6632,2.5714,1775719857197619100
ecgclass,no_sharing_mps,8.9455,51.7449,49.0866,48.1243,0.0019,0.6049,1.7326,2.6583,1775719858650804986
ecgclass,no_sharing_mps,10.3549,51.2965,48.6259,47.6607,0.0022,0.6087,1.7035,2.6705,1775719860060189669
ecgclass,no_sharing_mps,13.4788,53.1931,50.4306,48.9009,0.0023,1.1662,1.7726,2.7625,1775719863184159010
ecgclass,no_sharing_mps,13.5592,52.6292,49.8406,48.8374,0.0022,0.6044,1.8888,2.7886,1775719863264681683
ecgclass,no_sharing_mps,14.6048,52.3131,49.7496,47.6688,0.0023,1.7546,1.6406,2.5635,1775719864309972556
ecgclass,no_sharing_mps,14.6763,43.9794,41.6178,40.5158,0.0018,0.5763,1.4956,2.3616,1775719864381350044
ecgclass,no_sharing_mps,15.764,52.6655,50.0413,45.6997,0.0022,4.0472,1.689,2.6241,1775719865469269117
ecgclass,no_sharing_mps,17.4953,49.1908,46.5048,45.6209,0.0023,0.5936,1.7505,2.6859,1775719867200580289
ecgclass,no_sharing_mps,17.8822,50.9555,48.2608,47.3082,0.0024,0.6525,1.7481,2.6947,1775719867587513528
ecgclass,no_sharing_mps,19.1145,50.8862,48.2152,47.2432,0.0021,0.6559,1.7292,2.671,1775719868819742913
ecgclass,no_sharing_mps,19.2676,50.638,48.0037,47.0084,0.002,0.6199,1.6992,2.6342,1775719868972872325
