task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0001,377.0912,371.8734,352.7802,0.0038,18.2011,3.9904,5.2178,1775736221630587459
ecgclass,sharing,0.483,319.2935,130.8602,55.2238,0.0021,71.899,187.0735,188.4333,1775736222296516655
ecgclass,sharing,0.9495,104.9471,85.4498,46.2019,0.0014,37.3761,18.2128,19.4973,1775736222594157886
ecgclass,sharing,1.427,47.6999,45.2396,43.5445,0.0017,1.366,1.5042,2.4603,1775736223054911407
ecgclass,sharing,1.4819,104.1536,64.9667,45.2293,0.0018,0.3038,37.9331,39.187,1775736223146243160
ecgclass,sharing,1.4986,87.4534,64.9667,45.2293,0.0018,0.3038,21.2133,22.4867,1775736223146243160
ecgclass,sharing,1.7897,57.4687,54.8073,53.8128,0.0017,0.6765,1.6801,2.6614,1775736223417850683
ecgclass,sharing,2.0717,46.1831,43.7483,42.8095,0.0016,0.6371,1.5178,2.4348,1775736223699651360
ecgclass,sharing,2.6967,103.1909,65.0728,45.1789,0.0016,9.501,36.8812,38.118,1775736224360064358
ecgclass,sharing,2.7131,86.8411,65.0728,45.1789,0.0016,9.501,20.4713,21.7683,1775736224360064358
ecgclass,sharing,2.9228,87.0695,65.4099,44.8943,0.0015,9.8135,20.4637,21.6596,1775736224569760931
ecgclass,sharing,2.9352,74.7628,65.4099,44.8943,0.0015,9.8135,8.1003,9.3529,1775736224569760931
ecgclass,sharing,3.1534,104.2531,65.6317,44.893,0.0017,19.2297,37.4143,38.6213,1775736224817246437
ecgclass,sharing,3.4996,79.2072,48.6826,46.4914,0.0042,1.1815,29.0039,30.5246,1775736225155102896
ecgclass,sharing,3.5779,89.8857,43.671,42.7128,0.0015,0.6239,45.2991,46.2147,1775736225249626254
ecgclass,sharing,3.8229,51.5251,46.5899,45.0843,0.0016,0.6245,3.7026,4.9352,1775736225453107013
ecgclass,sharing,3.8541,65.7275,44.9732,43.9829,0.0017,0.6522,19.8231,20.7543,1775736225500420589
ecgclass,sharing,3.8739,113.3423,66.3758,45.2438,0.0017,1.2927,45.7141,46.9664,1775736225546047075
ecgclass,sharing,3.9351,97.0368,44.4824,43.4217,0.0016,0.6202,51.6603,52.5544,1775736225613187762
ecgclass,sharing,4.1157,97.6274,85.2264,44.778,0.0016,38.3073,11.1017,12.401,1775736225753293667
ecgclass,sharing,4.198,62.6597,46.5613,44.4614,0.0016,1.223,15.0518,16.0984,1775736225839539422
ecgclass,sharing,4.4475,76.8943,66.0138,50.8814,0.0017,13.5714,9.6762,10.8805,1775736226083645130
ecgclass,sharing,4.4938,138.042,105.5725,44.8893,0.0018,0.6314,30.3347,32.4695,1775736226150557374
ecgclass,sharing,4.8602,58.7521,56.1687,55.1098,0.0016,0.7281,1.6088,2.5833,1775736226488280903
ecgclass,sharing,5.1067,64.7328,43.8967,42.9168,0.0017,0.6288,19.9671,20.8361,1775736226753165697
ecgclass,sharing,5.2364,65.202,45.7856,44.1947,0.0015,0.6167,18.3806,19.4164,1775736226881229462
ecgclass,sharing,5.3208,47.4787,45.0484,44.1234,0.0016,0.627,1.5419,2.4303,1775736226948817526
ecgclass,sharing,5.4112,53.4587,47.5886,45.8413,0.0017,0.8482,4.822,5.8701,1775736227042438786
ecgclass,sharing,5.427,124.3289,85.4769,45.0426,0.0019,0.6104,37.4303,38.852,1775736227090877769
ecgclass,sharing,5.4628,194.7739,104.9339,45.0049,0.0018,0.6126,88.2366,89.84,1775736227177526298
ecgclass,sharing,5.5992,145.5853,86.189,45.7454,0.0017,0.611,58.0177,59.3963,1775736227283696299
ecgclass,sharing,5.6768,154.7253,85.5629,45.2123,0.0019,0.6226,67.7142,69.1624,1775736227371003257
ecgclass,sharing,5.9295,46.0413,43.6135,42.6831,0.0015,0.6325,1.5364,2.4278,1775736227557529881
ecgclass,sharing,6.0719,112.8335,65.6602,45.4938,0.0015,18.6084,45.9747,47.1733,1775736227744303088
ecgclass,sharing,6.1193,131.9957,65.7073,44.9523,0.0015,19.7511,65.2139,66.2884,1775736227811018920
ecgclass,sharing,6.212,84.1072,43.9708,42.9777,0.0016,0.618,39.2208,40.1364,1775736227877631063
ecgclass,sharing,6.34,60.6375,47.7431,46.2299,0.0017,0.632,11.8678,12.8944,1775736227978300555
ecgclass,sharing,6.4078,145.1876,46.2171,44.761,0.0016,0.5255,97.9431,98.9705,1775736228132227597
ecgclass,sharing,6.4725,80.4963,46.2171,44.761,0.0016,0.5255,33.2284,34.2792,1775736228132227597
ecgclass,sharing,6.6487,50.7886,48.0024,47.057,0.0016,0.6363,1.5838,2.7862,1775736228276722630
ecgclass,sharing,6.7077,107.1188,66.2049,45.1196,0.0017,0.6334,39.541,40.914,1775736228373664393
ecgclass,sharing,6.9746,81.0537,46.8595,45.1966,0.0017,0.6512,33.1306,34.1942,1775736228634140378
ecgclass,sharing,7.2529,63.6551,43.117,42.0421,0.0021,0.6752,19.4378,20.5382,1775736228898763160
ecgclass,sharing,7.4699,57.7426,43.7148,42.6426,0.0021,0.6578,13.041,14.0278,1775736229109368970
ecgclass,sharing,7.4844,89.5619,45.5499,38.5973,0.0018,6.1003,42.9099,44.0121,1775736229153783518
ecgclass,sharing,7.7117,63.0922,45.1683,36.3049,0.0013,8.1307,16.8617,17.9239,1775736229355033083
