task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
diasbp,single_diasbp,0.0001,365.1123,361.216,345.413,0.006,15.2733,2.3258,3.8963,1775715035592628178
diasbp,single_diasbp,0.3715,83.7204,80.8874,79.3992,0.0024,1.0957,1.8027,2.833,1775715035963455579
diasbp,single_diasbp,0.8567,87.6734,85.0605,83.4719,0.0025,1.1577,1.5914,2.6129,1775715036448536493
diasbp,single_diasbp,2.0637,65.5403,62.9342,61.9015,0.0017,0.7543,1.6141,2.6061,1775715037655540061
diasbp,single_diasbp,3.1405,109.8208,107.2092,104.848,0.0032,1.8046,1.5695,2.6116,1775715038732217513
diasbp,single_diasbp,3.7119,65.5923,63.1008,62.0618,0.0018,0.7487,1.6189,2.4915,1775715039303722539
diasbp,single_diasbp,3.8017,59.0117,56.6153,55.6647,0.0016,0.6944,1.4954,2.3964,1775715039393403280
diasbp,single_diasbp,4.5926,62.9303,60.2822,59.3839,0.0017,0.6609,1.6696,2.6482,1775715040184491659
diasbp,single_diasbp,6.4766,60.1482,57.62,56.6806,0.0016,0.6761,1.6341,2.5283,1775715042068381864
diasbp,single_diasbp,7.7871,60.6151,57.9888,56.9664,0.0017,0.7444,1.6804,2.6262,1775715043379001966
diasbp,single_diasbp,9.5186,60.3318,57.6794,56.707,0.0016,0.6986,1.6608,2.6524,1775715045110445376
diasbp,single_diasbp,9.9164,60.0836,57.5912,56.4483,0.0016,0.6632,1.5595,2.4924,1775715045508203667
diasbp,single_diasbp,10.6264,77.8029,75.0846,73.1874,0.0032,1.4165,1.688,2.7183,1775715046218237699
diasbp,single_diasbp,13.1608,107.6534,104.9934,103.041,0.0033,1.4203,1.6568,2.66,1775715048752640986
diasbp,single_diasbp,13.8842,67.77,65.2176,64.1823,0.0017,0.7427,1.5924,2.5524,1775715049476012576
diasbp,single_diasbp,13.9039,102.7815,54.2003,53.258,0.0016,0.6865,47.7209,48.5812,1775715049541862982
diasbp,single_diasbp,15.9198,108.8994,106.2157,104.2623,0.0032,1.4211,1.6308,2.6837,1775715051511665228
diasbp,single_diasbp,16.8798,65.5456,63.0541,61.9945,0.0019,0.7676,1.5621,2.4915,1775715052471526940
diasbp,single_diasbp,18.5701,61.2192,58.6213,57.6901,0.0017,0.6776,1.6806,2.5979,1775715054161988934
diasbp,single_diasbp,18.7857,84.9652,82.414,80.9601,0.0019,1.1386,1.6291,2.5512,1775715054377501440
