task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,326.7992,323.595,307.703,0.0053,15.2837,2.0406,3.2042,1775706519259771677
ecgclass,single_ecgclass,0.4812,56.0679,52.9876,51.8972,0.0026,0.7108,2.0888,3.0803,1775706519740952940
ecgclass,single_ecgclass,0.9499,55.4216,52.613,51.4929,0.0026,0.7001,1.8263,2.8086,1775706520209344716
ecgclass,single_ecgclass,1.4259,80.2684,77.4122,76.2217,0.0028,0.7965,1.8513,2.8562,1775706520685388886
ecgclass,single_ecgclass,1.4817,83.2148,58.0393,51.5471,0.0023,2.9515,24.1842,25.1754,1775706520763487203
ecgclass,single_ecgclass,1.4995,65.5761,58.0393,51.5471,0.0023,2.9515,6.3884,7.5367,1775706520763487203
ecgclass,single_ecgclass,1.7894,55.7435,52.9729,51.8571,0.0025,0.6949,1.7953,2.7705,1775706521048862937
ecgclass,single_ecgclass,2.0716,55.4638,52.7083,51.6501,0.0025,0.6917,1.7867,2.7555,1775706521330988973
ecgclass,single_ecgclass,2.6978,55.8445,53.1401,52.0417,0.0024,0.7134,1.7493,2.7044,1775706521957153151
ecgclass,single_ecgclass,2.7125,87.7063,45.9538,44.9063,0.0022,0.6556,40.9439,41.7526,1775706522011114728
ecgclass,single_ecgclass,2.9216,60.503,57.8498,56.7058,0.0027,0.7193,1.75,2.6532,1775706522180929250
ecgclass,single_ecgclass,2.9363,92.9675,46.5273,45.2433,0.0024,0.9021,45.5413,46.4402,1775706522239481812
ecgclass,single_ecgclass,3.1536,54.6114,51.9381,50.8883,0.0024,0.6867,1.7183,2.6733,1775706522412925782
ecgclass,single_ecgclass,3.4997,54.1425,51.4512,50.5529,0.0023,0.6056,1.7772,2.6912,1775706522759061838
ecgclass,single_ecgclass,3.577,46.7532,44.2236,43.3687,0.002,0.5774,1.6201,2.5296,1775706522836213945
ecgclass,single_ecgclass,3.8231,51.3957,48.2165,47.3261,0.0022,0.6056,1.7781,3.1791,1775706523082502576
ecgclass,single_ecgclass,3.8539,62.295,41.4989,40.6314,0.0021,0.5542,19.8925,20.7961,1775706523131415660
ecgclass,single_ecgclass,3.8737,91.9487,48.7897,47.6168,0.0025,0.7882,42.2151,43.159,1775706523173522897
ecgclass,single_ecgclass,3.9354,85.4306,54.5879,53.2573,0.0028,0.8443,29.8915,30.8427,1775706523222914541
ecgclass,single_ecgclass,4.1161,50.7774,48.1315,46.8756,0.0021,0.9573,1.7309,2.6459,1775706523375457175
ecgclass,single_ecgclass,4.1981,47.0235,44.4137,43.5659,0.0022,0.5799,1.688,2.6098,1775706523457410768
ecgclass,single_ecgclass,4.4475,51.163,48.4726,47.5375,0.0022,0.6121,1.7452,2.6903,1775706523706861647
ecgclass,single_ecgclass,4.4923,48.2466,41.2076,40.3183,0.002,0.5671,6.0873,7.039,1775706523755970961
ecgclass,single_ecgclass,4.86,50.1974,47.5311,46.6416,0.0021,0.6077,1.7068,2.6663,1775706524119331016
ecgclass,single_ecgclass,5.1056,50.559,47.8642,46.9204,0.0022,0.6065,1.7655,2.6948,1775706524364954828
ecgclass,single_ecgclass,5.2364,50.4973,47.8459,46.9422,0.0023,0.6139,1.7009,2.6513,1775706524495705651
ecgclass,single_ecgclass,5.3201,48.5156,45.8146,44.8751,0.0021,0.6124,1.7474,2.701,1775706524579471151
ecgclass,single_ecgclass,5.4108,64.5275,61.8455,60.4442,0.0034,0.9641,1.6067,2.682,1775706524670064602
ecgclass,single_ecgclass,5.4266,97.7125,48.4768,47.0644,0.0021,0.5106,48.4672,49.2357,1775706524732690154
ecgclass,single_ecgclass,5.4624,62.1269,48.4768,47.0644,0.0021,0.5106,12.6932,13.6501,1775706524732690154
ecgclass,single_ecgclass,5.5987,50.9634,48.2774,46.9638,0.0024,1.0105,1.7505,2.686,1775706524858121029
ecgclass,single_ecgclass,5.6769,47.188,44.6247,43.7722,0.0021,0.5796,1.6489,2.5634,1775706524936216377
ecgclass,single_ecgclass,5.9305,68.9321,66.1477,64.758,0.0037,0.9409,1.7431,2.7844,1775706525189874173
ecgclass,single_ecgclass,6.0727,55.3579,52.6792,51.641,0.0025,0.6854,1.6623,2.6787,1775706525331972700
ecgclass,single_ecgclass,6.1195,55.0795,45.875,44.871,0.0024,0.6266,8.2924,9.2045,1775706525385371743
ecgclass,single_ecgclass,6.2117,46.8788,44.4072,43.5053,0.0022,0.6086,1.538,2.4716,1775706525470872959
ecgclass,single_ecgclass,6.3398,53.0951,50.5491,49.4779,0.0023,0.7604,1.6248,2.546,1775706525599091197
ecgclass,single_ecgclass,6.4081,51.3899,48.8335,47.8102,0.0026,0.6939,1.5814,2.5565,1775706525667311355
ecgclass,single_ecgclass,6.4737,50.9233,48.4126,47.3612,0.0024,0.709,1.5576,2.5108,1775706525732891606
ecgclass,single_ecgclass,6.6489,57.6272,54.9937,53.9072,0.0027,0.7343,1.6923,2.6335,1775706525908248826
ecgclass,single_ecgclass,6.7077,47.8354,45.347,44.3849,0.0023,0.6431,1.6072,2.4883,1775706525966962915
ecgclass,single_ecgclass,6.975,55.244,52.5267,51.4731,0.0024,0.6855,1.7381,2.7173,1775706526234322879
ecgclass,single_ecgclass,7.2526,54.4779,51.7662,50.754,0.0026,0.691,1.7195,2.7117,1775706526511947648
ecgclass,single_ecgclass,7.4694,54.9996,52.3376,51.2933,0.0025,0.6978,1.7478,2.662,1775706526728792760
ecgclass,single_ecgclass,7.4842,86.2916,45.3842,44.4164,0.0021,0.6219,39.9947,40.9073,1775706526781803990
ecgclass,single_ecgclass,7.7108,54.2805,51.6066,50.5794,0.0025,0.6846,1.7169,2.6739,1775706526970135998
ecgclass,single_ecgclass,7.9825,54.1718,51.473,50.5547,0.0024,0.6241,1.7169,2.6988,1775706527241806642
ecgclass,single_ecgclass,8.206,50.5869,47.9016,46.9379,0.0023,0.6186,1.7691,2.6853,1775706527465376498
ecgclass,single_ecgclass,8.2628,44.3885,41.8131,40.9725,0.0021,0.5782,1.6153,2.5754,1775706527522026727
ecgclass,single_ecgclass,8.3264,42.973,40.4522,39.5805,0.0021,0.5975,1.5783,2.5208,1775706527585604334
ecgclass,single_ecgclass,8.3601,46.418,36.6474,35.8287,0.0018,0.5245,8.872,9.7705,1775706527626632707
ecgclass,single_ecgclass,8.4308,52.3474,49.9546,48.8841,0.0027,0.7328,1.4541,2.3929,1775706527689844048
ecgclass,single_ecgclass,8.4344,94.8951,45.4642,40.427,0.0019,2.3497,48.4235,49.4309,1775706527740499641
ecgclass,single_ecgclass,8.4681,61.2242,45.4642,40.427,0.0019,2.3497,14.729,15.76,1775706527740499641
ecgclass,single_ecgclass,8.7317,50.288,47.638,46.7204,0.0023,0.6084,1.7078,2.65,1775706527991068616
ecgclass,single_ecgclass,9.531,50.4296,47.7439,46.7786,0.0024,0.6043,1.7405,2.6857,1775706528790321170
ecgclass,single_ecgclass,9.6436,50.3561,47.6884,46.8016,0.0022,0.603,1.6952,2.6677,1775706528902943395
ecgclass,single_ecgclass,9.7002,44.2848,41.8871,41.0474,0.002,0.5778,1.4763,2.3977,1775706528959287853
ecgclass,single_ecgclass,9.7797,43.6804,41.3089,40.4918,0.002,0.5593,1.4758,2.3716,1775706529038786791
ecgclass,single_ecgclass,9.8516,42.5155,40.1305,39.318,0.002,0.5585,1.4694,2.385,1775706529110675403
ecgclass,single_ecgclass,9.8773,55.284,37.9023,36.9763,0.0021,0.6065,16.5055,17.3818,1775706529151442797
ecgclass,single_ecgclass,10.0949,50.1039,47.5753,46.6782,0.0025,0.6078,1.6248,2.5286,1775706529354184780
ecgclass,single_ecgclass,10.3694,50.7493,48.1826,46.8106,0.0021,0.6307,1.6248,2.5667,1775706529628688377
ecgclass,single_ecgclass,10.6716,50.5488,47.9106,46.946,0.0023,0.606,1.7002,2.6381,1775706529930937161
ecgclass,single_ecgclass,11.7354,50.2384,47.6418,46.6927,0.0023,0.6114,1.677,2.5966,1775706530994686770
