task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
sysbp,single_sysbp,0.0001,314.4736,310.8348,302.3092,0.0036,8.1271,2.4188,3.6388,1775720523695510069
sysbp,single_sysbp,0.153,196.9233,34.8321,34.0882,0.0013,0.5362,161.1948,162.0911,1775720524007139239
sysbp,single_sysbp,0.3268,57.7443,33.9829,33.2882,0.0013,0.4951,22.8033,23.7614,1775720524042574401
sysbp,single_sysbp,0.6019,55.7277,53.0675,52.0838,0.0018,0.7121,1.6766,2.6603,1775720524296573688
sysbp,single_sysbp,0.6719,49.6399,47.1627,46.0729,0.0018,0.6398,1.5552,2.4772,1775720524366386350
sysbp,single_sysbp,0.9219,51.8041,49.1805,48.3363,0.0017,0.6041,1.6568,2.6236,1775720524616492320
sysbp,single_sysbp,0.9606,55.171,41.5473,40.7815,0.0016,0.5528,12.7482,13.6237,1775720524666274798
sysbp,single_sysbp,1.0179,40.7438,38.4145,37.689,0.0015,0.5162,1.4501,2.3293,1775720524712357447
sysbp,single_sysbp,1.0406,54.2843,35.6785,34.9615,0.0013,0.5095,17.7479,18.6058,1775720524751316047
sysbp,single_sysbp,1.1171,41.8823,39.7074,38.8845,0.0015,0.574,1.4124,2.1749,1775720524811480641
sysbp,single_sysbp,1.2602,40.724,38.368,37.4063,0.0015,0.7402,1.4575,2.3561,1775720524954660300
sysbp,single_sysbp,1.3422,40.2374,37.8866,37.1659,0.0014,0.5173,1.4627,2.3509,1775720525036597660
sysbp,single_sysbp,1.9782,90.368,87.6601,85.8983,0.0033,1.2564,1.6909,2.7079,1775720525672844305
sysbp,single_sysbp,2.2929,55.2382,52.6362,51.6596,0.002,0.6867,1.6654,2.602,1775720525987584391
sysbp,single_sysbp,2.7027,55.1486,52.5286,51.5881,0.0021,0.6789,1.6859,2.62,1775720526397369257
sysbp,single_sysbp,2.8461,55.1205,52.6201,51.6548,0.0019,0.7003,1.6108,2.5003,1775720526540702970
sysbp,single_sysbp,3.3198,55.629,53.0243,52.0433,0.0019,0.6943,1.6928,2.6047,1775720527014495570
sysbp,single_sysbp,3.9052,90.3304,87.6284,85.8051,0.0035,1.2739,1.6873,2.702,1775720527599840494
sysbp,single_sysbp,3.9859,73.8523,63.4542,62.3533,0.0022,0.7647,9.4666,10.3981,1775720527688372623
sysbp,single_sysbp,4.0387,72.2136,49.7456,48.8804,0.0017,0.6217,20.7362,22.468,1775720527752430096
sysbp,single_sysbp,4.07,93.5552,51.8636,44.5273,0.0016,3.5313,40.7228,41.6916,1775720527803682724
