task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,43.4453,42.1398,40.1257,0.0024,1.4821,0.7062,0.0,1.3055,1777564443954070372
ecgclass,no_sharing,2.406,25.2917,23.8186,22.8192,0.0023,0.4362,0.9189,0.0,1.4731,1777564446360219529
ecgclass,no_sharing,4.7426,25.4545,23.9803,22.9781,0.0023,0.4183,0.912,0.0,1.4742,1777564448696805068
ecgclass,no_sharing,7.1274,25.3215,23.7904,22.7602,0.0027,0.4094,0.9441,0.0,1.5311,1777564451081648459
ecgclass,no_sharing,7.4056,25.0902,23.7149,22.727,0.0021,0.404,0.8526,0.0,1.3754,1777564451359772601
ecgclass,no_sharing,7.4919,24.9286,23.6134,22.6377,0.0028,0.4153,0.7887,0.0,1.3151,1777564451446000748
ecgclass,no_sharing,8.9461,25.3155,23.8864,22.8439,0.0025,0.4202,0.8993,0.0,1.4291,1777564452900333603
ecgclass,no_sharing,10.3556,25.6693,24.2396,22.7167,0.0025,0.9124,0.9072,0.0,1.4297,1777564454309781281
ecgclass,no_sharing,13.4793,25.3232,23.7975,22.7752,0.0025,0.4183,0.9129,0.0,1.5257,1777564457433526665
ecgclass,no_sharing,13.5578,25.1038,23.6634,22.6935,0.0025,0.4084,0.8519,0.0,1.4404,1777564457511974349
ecgclass,no_sharing,14.6061,25.121,23.6408,22.6191,0.0023,0.4412,0.9131,0.0,1.4801,1777564458560333546
ecgclass,no_sharing,14.6754,25.0468,23.5671,22.5455,0.0024,0.4339,0.8712,0.0,1.4798,1777564458629653578
ecgclass,no_sharing,15.7644,26.4039,25.0478,24.0971,0.0022,0.3933,0.8547,0.0,1.3561,1777564459718543068
ecgclass,no_sharing,17.4957,25.1799,23.6953,22.7134,0.0025,0.3993,0.9158,0.0,1.4846,1777564461449977059
ecgclass,no_sharing,17.882,25.279,23.8312,22.8377,0.0025,0.4249,0.8936,0.0,1.4479,1777564461836234843
ecgclass,no_sharing,19.1143,25.1701,23.6839,22.6717,0.0025,0.4109,0.8879,0.0,1.4862,1777564463068516599
ecgclass,no_sharing,19.2677,24.8823,23.4442,22.4509,0.0023,0.3977,0.8638,0.0,1.4381,1777564463221925394
ecgclass,no_sharing,19.3608,25.0297,23.5827,22.6305,0.0023,0.3987,0.8724,0.0,1.447,1777564463315012768
ecgclass,no_sharing,19.6753,25.1293,23.717,22.6972,0.002,0.4548,0.8626,0.0,1.4123,1777564463629462003
ecgclass,no_sharing,20.5754,27.7536,26.4227,25.4409,0.0021,0.4202,0.8354,0.0,1.3309,1777564464529580521
ecgclass,no_sharing,20.9887,25.0306,23.5874,22.5952,0.0027,0.4068,0.8593,0.0,1.4432,1777564464942912151
ecgclass,no_sharing,22.2368,25.2964,23.8367,22.8429,0.0023,0.4289,0.8891,0.0,1.4598,1777564466190999640
ecgclass,no_sharing,22.4599,25.3451,23.892,22.8621,0.0022,0.4319,0.891,0.0,1.4531,1777564466414112167
ecgclass,no_sharing,24.2989,25.1377,23.6573,22.6738,0.0019,0.4156,0.9277,0.0,1.4803,1777564468253140983
ecgclass,no_sharing,25.525,25.1563,23.6785,22.7045,0.0021,0.4213,0.9053,0.0,1.4777,1777564469479224619
ecgclass,no_sharing,26.1806,33.2682,31.7539,29.081,0.0024,2.0696,0.9131,0.0,1.5143,1777564470134861050
ecgclass,no_sharing,26.5978,25.0957,23.612,22.6548,0.0019,0.3975,0.9065,0.0,1.4837,1777564470552009441
