task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,55.752,54.5742,53.5895,0.0036,0.4378,0.7448,0.0,1.1778,1777572391794038654
ecgclass,no_sharing_tpc,0.2406,27.8463,26.5772,25.5716,0.0027,0.4099,0.818,0.0,1.2691,1777572392034654597
ecgclass,no_sharing_tpc,0.4743,34.5418,33.1639,30.528,0.0027,2.0538,0.843,0.0,1.378,1777572392268369434
ecgclass,no_sharing_tpc,0.7131,28.2538,26.9153,25.8175,0.0032,0.5136,0.8829,0.0,1.3385,1777572392507255004
ecgclass,no_sharing_tpc,0.7409,54.0073,52.713,51.6718,0.003,0.5021,0.7896,0.0,1.2943,1777572392534891920
ecgclass,no_sharing_tpc,0.7495,100.5099,54.8507,53.7529,0.0028,0.5554,45.2332,0.0,45.6592,1777572392587979275
ecgclass,no_sharing_tpc,0.8952,27.7543,26.4365,25.4625,0.0032,0.405,0.8006,0.0,1.3179,1777572392689204280
ecgclass,no_sharing_tpc,1.0365,27.9231,26.5765,25.542,0.003,0.4346,0.8504,0.0,1.3466,1777572392830572331
ecgclass,no_sharing_tpc,1.3483,46.8624,45.728,44.7199,0.0037,0.4434,0.725,0.0,1.1343,1777572393142219462
ecgclass,no_sharing_tpc,1.3566,65.5825,26.6875,25.7997,0.0028,0.4014,38.455,0.0,38.895,1777572393188298569
ecgclass,no_sharing_tpc,1.4613,27.5326,26.2995,25.3929,0.0028,0.3856,0.7298,0.0,1.2331,1777572393255311636
ecgclass,no_sharing_tpc,1.4677,47.4107,25.9339,25.0659,0.0025,0.3984,21.0292,0.0,21.4769,1777572393281996272
ecgclass,no_sharing_tpc,1.5766,44.076,42.9437,41.5493,0.0032,0.8154,0.6459,0.0,1.1323,1777572393370493580
ecgclass,no_sharing_tpc,1.7498,52.3198,51.1381,48.4686,0.0028,2.0504,0.7329,0.0,1.1816,1777572393543737235
ecgclass,no_sharing_tpc,1.7883,74.6253,60.4771,59.3787,0.0036,0.5612,13.6983,0.0,14.1481,1777572393595271036
ecgclass,no_sharing_tpc,1.912,28.1036,26.9144,25.9402,0.0029,0.425,0.7772,0.0,1.1892,1777572393705959990
ecgclass,no_sharing_tpc,1.9273,58.6331,45.2691,35.4638,0.0035,4.3789,12.7482,0.0,13.364,1777572393733299983
ecgclass,no_sharing_tpc,1.9377,48.2881,45.2691,35.4638,0.0035,4.3789,2.3885,0.0,3.019,1777572393733299983
ecgclass,no_sharing_tpc,1.9682,50.1451,32.01,29.3699,0.0039,2.0613,17.6387,0.0,18.1351,1777572393779087210
ecgclass,no_sharing_tpc,2.0579,53.7336,52.5879,51.4929,0.0042,0.4785,0.7501,0.0,1.1457,1777572393851857837
ecgclass,no_sharing_tpc,2.0992,44.908,32.0988,29.4916,0.0027,2.0827,12.3281,0.0,12.8092,1777572393904781315
ecgclass,no_sharing_tpc,2.2256,41.9822,40.6387,37.9836,0.0028,2.0372,0.807,0.0,1.3434,1777572394019629352
ecgclass,no_sharing_tpc,2.2463,59.1695,37.5642,36.577,0.0032,0.4078,21.1678,0.0,21.6054,1777572394060701799
ecgclass,no_sharing_tpc,2.4303,46.7277,45.3184,42.6611,0.0028,2.061,0.8397,0.0,1.4093,1777572394224366551
ecgclass,no_sharing_tpc,2.5535,28.7602,27.4821,26.4596,0.0032,0.4127,0.8113,0.0,1.2781,1777572394347581073
ecgclass,no_sharing_tpc,2.6189,52.5761,51.2723,48.6663,0.0035,1.9967,0.8297,0.0,1.3038,1777572394412932979
ecgclass,no_sharing_tpc,2.6602,63.1063,51.5593,48.9504,0.0038,2.0473,11.0662,0.0,11.547,1777572394464542925
ecgclass,no_sharing_tpc,2.7056,97.5413,79.3818,76.7582,0.0039,0.9943,17.6663,0.0,18.1595,1777572394516517658
ecgclass,no_sharing_tpc,2.7133,89.9255,79.3818,76.7582,0.0039,0.9943,10.0315,0.0,10.5437,1777572394516517658
ecgclass,no_sharing_tpc,2.7315,143.2481,71.1662,70.1825,0.0029,0.2048,71.625,0.0,72.0819,1777572394596407684
ecgclass,no_sharing_tpc,2.8004,74.4274,71.1662,70.1825,0.0029,0.2048,2.7564,0.0,3.2611,1777572394596407684
ecgclass,no_sharing_tpc,2.8393,63.7598,27.7804,26.7915,0.0027,0.4134,35.5091,0.0,35.9794,1777572394668025565
ecgclass,no_sharing_tpc,2.9656,27.8759,26.6384,25.6902,0.0031,0.4126,0.7291,0.0,1.2375,1777572394759573758
ecgclass,no_sharing_tpc,3.0364,39.4394,38.1087,35.5068,0.0028,2.0622,0.737,0.0,1.3307,1777572394830346211
ecgclass,no_sharing_tpc,3.0601,68.5794,52.5125,49.8817,0.0029,2.0964,15.4877,0.0,16.067,1777572394868833040
ecgclass,no_sharing_tpc,3.1059,79.3145,56.2255,55.1273,0.0028,0.5787,22.6102,0.0,23.089,1777572394921705179
ecgclass,no_sharing_tpc,3.1703,70.3118,55.1165,54.1574,0.0028,0.4393,14.7254,0.0,15.1953,1777572394978285036
ecgclass,no_sharing_tpc,3.2058,117.8603,82.6531,81.5939,0.0033,0.2314,34.6837,0.0,35.2072,1777572395033714440
ecgclass,no_sharing_tpc,3.2363,87.3892,82.6531,81.5939,0.0033,0.2314,4.199,0.0,4.7361,1777572395033714440
