task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0,24.1759,23.0712,22.2016,0.0021,0.4087,0.5796,0.0,1.1047,1777575896062949929
gestureclass,single_gestureclass,0.0964,25.4409,24.1207,23.144,0.0019,0.3975,0.8135,0.0,1.3202,1777575896159562958
gestureclass,single_gestureclass,0.1068,38.7158,23.3,22.3681,0.0021,0.3866,14.9131,0.0,15.4158,1777575896184066776
gestureclass,single_gestureclass,0.1857,24.8966,23.6253,22.6447,0.0021,0.4001,0.7539,0.0,1.2713,1777575896248787661
gestureclass,single_gestureclass,0.2267,24.6055,23.4042,22.432,0.0221,0.4222,0.7203,0.0,1.2013,1777575896289800459
gestureclass,single_gestureclass,0.3275,25.4269,24.1788,23.1719,0.0029,0.4203,0.7594,0.0,1.2481,1777575896390640641
gestureclass,single_gestureclass,0.3319,45.0995,23.6777,22.7491,0.003,0.4108,20.9496,0.0,21.4218,1777575896415185389
gestureclass,single_gestureclass,0.3581,42.4566,23.2126,22.3241,0.0019,0.3734,18.7714,0.0,19.244,1777575896439210126
gestureclass,single_gestureclass,0.4908,24.8959,23.5993,22.6159,0.0023,0.3966,0.7818,0.0,1.2966,1777575896553886526
gestureclass,single_gestureclass,0.5258,24.3392,23.2071,22.3039,0.0022,0.4111,0.6618,0.0,1.1321,1777575896588804946
gestureclass,single_gestureclass,0.6143,24.9343,23.596,22.6074,0.002,0.4406,0.7975,0.0,1.3382,1777575896677467913
gestureclass,single_gestureclass,0.7125,25.6822,24.2706,22.6741,0.002,0.437,0.8969,0.0,1.4117,1777575896775717148
gestureclass,single_gestureclass,0.7125,49.5448,23.677,22.7535,0.0019,0.4178,25.4464,0.0,25.8678,1777575896800369805
gestureclass,single_gestureclass,0.7593,26.3479,23.1562,22.2927,0.0023,0.3733,2.7263,0.0,3.1917,1777575896824383134
gestureclass,single_gestureclass,0.8028,24.8497,23.6738,22.747,0.0021,0.4015,0.6588,0.0,1.1759,1777575896865812542
gestureclass,single_gestureclass,0.8071,44.9438,24.1505,23.196,0.0029,0.4048,20.3958,0.0,20.7934,1777575896889875661
gestureclass,single_gestureclass,0.8358,52.1579,35.4664,26.0896,0.002,4.4207,16.2134,0.0,16.6915,1777575896914356762
gestureclass,single_gestureclass,0.8481,39.8705,35.4664,26.0896,0.002,4.4207,3.8919,0.0,4.4041,1777575896914356762
gestureclass,single_gestureclass,0.8602,55.9795,27.735,26.7749,0.0023,0.1999,27.7112,0.0,28.2445,1777575896950269538
