task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0,24.5407,23.3901,22.4844,0.0024,0.4094,0.5953,0.0,1.1506,1777566416629057326
ecgclass,single_ecgclass,0.4822,25.3196,23.8847,22.8808,0.0023,0.4063,0.9036,0.0,1.4349,1777566417111519219
ecgclass,single_ecgclass,0.9487,25.3172,23.9143,22.9127,0.0026,0.4362,0.8564,0.0,1.4029,1777566417578016162
ecgclass,single_ecgclass,1.4257,25.5935,24.109,23.0905,0.0023,0.4346,0.9332,0.0,1.4845,1777566418055033883
ecgclass,single_ecgclass,1.4814,25.5213,24.2369,23.2245,0.0023,0.4342,0.8106,0.0,1.2844,1777566418110673296
ecgclass,single_ecgclass,1.499,31.7292,23.3768,22.4721,0.0027,0.3969,7.8347,0.0,8.3525,1777566418135315248
ecgclass,single_ecgclass,1.7892,25.3563,23.9675,22.966,0.0022,0.4036,0.8726,0.0,1.3888,1777566418418482816
ecgclass,single_ecgclass,2.0719,25.4619,24.0012,22.9758,0.0022,0.4233,0.9444,0.0,1.4607,1777566418701336773
ecgclass,single_ecgclass,2.6972,25.5897,24.1903,23.2052,0.0022,0.4108,0.8814,0.0,1.3994,1777566419326486302
ecgclass,single_ecgclass,2.7126,33.9899,23.4516,22.4759,0.0024,0.4067,10.0465,0.0,10.5383,1777566419351082349
ecgclass,single_ecgclass,2.9229,25.3878,24.1383,23.1377,0.0026,0.4069,0.8116,0.0,1.2495,1777566419552148975
ecgclass,single_ecgclass,2.9353,36.8493,23.3581,22.4106,0.0026,0.4236,13.0014,0.0,13.4912,1777566419576705261
ecgclass,single_ecgclass,3.1534,25.3813,24.0132,23.0091,0.0023,0.4131,0.8495,0.0,1.3681,1777566419782732716
ecgclass,single_ecgclass,3.5003,25.3873,23.983,22.9476,0.0026,0.4148,0.8717,0.0,1.4043,1777566420129607684
