task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0001,61.9087,57.2268,55.7793,0.0024,0.8943,1.7562,0.0,4.6819,1777564718264825450
nyudepth,no_sharing_tpc,2.4061,29.9015,24.9653,23.7684,0.0022,0.6315,2.178,0.0,4.9363,1777564720671292533
nyudepth,no_sharing_tpc,4.7418,29.8741,24.9143,23.6805,0.0022,0.6879,2.0764,0.0,4.9597,1777564723006909140
nyudepth,no_sharing_tpc,7.1273,29.9051,24.8998,23.7064,0.0022,0.6188,2.1996,0.0,5.0053,1777564725392538432
nyudepth,no_sharing_tpc,7.4057,29.7394,24.9232,23.7327,0.0025,0.6564,2.0444,0.0,4.8162,1777564725670737453
nyudepth,no_sharing_tpc,7.4917,29.722,24.8718,23.6751,0.0024,0.6523,2.0819,0.0,4.8502,1777564725756748894
nyudepth,no_sharing_tpc,8.946,29.7799,24.9314,23.7371,0.0025,0.6649,2.0204,0.0,4.8485,1777564727210981174
nyudepth,no_sharing_tpc,10.3563,29.7382,24.8781,23.7255,0.0028,0.6178,2.0669,0.0,4.8601,1777564728621366886
nyudepth,no_sharing_tpc,13.4795,29.8381,24.9219,23.7282,0.0025,0.6275,2.0597,0.0,4.9162,1777564731744569443
nyudepth,no_sharing_tpc,13.5585,30.2529,25.3452,24.1802,0.0028,0.6445,2.1324,0.0,4.9077,1777564731823660409
nyudepth,no_sharing_tpc,14.6052,29.7544,24.9148,23.7364,0.0028,0.6527,2.0857,0.0,4.8396,1777564732870268568
nyudepth,no_sharing_tpc,14.675,30.0679,25.3319,24.1729,0.0029,0.6177,1.9922,0.0,4.736,1777564732940037127
nyudepth,no_sharing_tpc,15.7643,30.0069,25.0507,23.877,0.0021,0.6278,2.115,0.0,4.9562,1777564734029374232
nyudepth,no_sharing_tpc,17.4971,29.7904,24.9152,23.7188,0.0023,0.6619,2.0704,0.0,4.8752,1777564735762154188
nyudepth,no_sharing_tpc,17.8824,29.7315,24.9035,23.6794,0.0023,0.6401,2.0213,0.0,4.8281,1777564736147404276
nyudepth,no_sharing_tpc,19.1155,30.4704,25.4422,23.7155,0.0029,0.6873,2.1751,0.0,5.0282,1777564737380658560
nyudepth,no_sharing_tpc,19.2682,29.9425,25.0594,23.8701,0.0022,0.6366,2.0037,0.0,4.8831,1777564737533213584
