task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,47.7793,42.1633,39.5152,0.0028,2.1313,1.78,0.0,5.616,1777570641797989600
nyudepth,no_sharing,0.2415,21.0166,16.4613,15.4111,0.0023,0.5633,1.8611,0.0,4.5553,1777570642039550605
nyudepth,no_sharing,0.4746,32.7871,28.1353,25.4322,0.0025,2.1903,1.9703,0.0,4.6518,1777570642272716989
nyudepth,no_sharing,0.7135,21.2672,16.4739,15.3745,0.0021,0.5962,1.996,0.0,4.7932,1777570642511680841
nyudepth,no_sharing,0.741,20.9584,16.298,15.2889,0.002,0.5618,1.6952,0.0,4.6604,1777570642538803184
nyudepth,no_sharing,0.7499,48.924,34.2383,33.2655,0.0021,0.5136,12.0034,0.0,14.6857,1777570642558001992
nyudepth,no_sharing,0.895,21.0972,16.4604,15.4562,0.0022,0.533,1.8959,0.0,4.6368,1777570642693036753
nyudepth,no_sharing,1.0364,21.2016,16.4661,15.3847,0.002,0.5673,1.9329,0.0,4.7355,1777570642834457628
nyudepth,no_sharing,1.3487,21.1062,16.408,15.3643,0.0025,0.5417,1.8954,0.0,4.6982,1777570643146767554
nyudepth,no_sharing,1.3567,32.5735,16.6501,15.7202,0.0016,0.5282,13.4079,0.0,15.9233,1777570643166195016
nyudepth,no_sharing,1.4617,37.0862,32.4602,29.698,0.003,2.1163,1.8075,0.0,4.6261,1777570643259636892
nyudepth,no_sharing,1.4676,58.2228,24.5196,23.5634,0.0017,0.5193,31.049,0.0,33.7032,1777570643294788886
nyudepth,no_sharing,1.578,22.0058,17.421,16.394,0.0021,0.5428,1.9014,0.0,4.5848,1777570643376007879
nyudepth,no_sharing,1.7505,21.2054,16.4622,15.3839,0.0026,0.5784,1.9038,0.0,4.7433,1777570643548570962
nyudepth,no_sharing,1.7889,21.0128,16.4002,15.2832,0.0023,0.6224,1.7161,0.0,4.6126,1777570643586738430
nyudepth,no_sharing,1.9121,20.9603,16.3561,15.327,0.0021,0.5447,1.9116,0.0,4.6042,1777570643710199253
nyudepth,no_sharing,1.9271,25.4445,16.1624,15.2155,0.002,0.5211,5.8684,0.0,9.2821,1777570643729152200
nyudepth,no_sharing,1.9363,52.9344,34.7939,33.1917,0.002,0.6871,15.4517,0.0,18.1405,1777570643747854081
nyudepth,no_sharing,1.9678,44.0805,20.163,19.2573,0.0018,0.4971,21.3745,0.0,23.9175,1777570643785265344
nyudepth,no_sharing,2.058,22.9259,18.3889,17.3619,0.0019,0.5434,1.8697,0.0,4.5369,1777570643855980105
nyudepth,no_sharing,2.1001,22.8603,18.5398,17.6009,0.002,0.5033,1.6677,0.0,4.3205,1777570643897860597
nyudepth,no_sharing,2.2243,39.6109,35.1973,34.1487,0.0025,0.5337,1.7998,0.0,4.4135,1777570644022271055
nyudepth,no_sharing,2.2462,40.8266,20.6487,19.7444,0.0017,0.5065,17.6916,0.0,20.1779,1777570644060011963
nyudepth,no_sharing,2.4313,39.2187,34.3017,33.2246,0.0025,0.5791,2.0633,0.0,4.917,1777570644229491412
nyudepth,no_sharing,2.5531,23.2577,18.7696,17.7683,0.0024,0.5342,1.7822,0.0,4.4882,1777570644350986123
nyudepth,no_sharing,2.6185,21.0834,16.6403,15.6616,0.0018,0.5297,1.7455,0.0,4.443,1777570644416383766
nyudepth,no_sharing,2.6607,20.927,16.2298,15.2945,0.0019,0.5025,1.5788,0.0,4.6972,1777570644458451531
nyudepth,no_sharing,2.7058,32.7876,28.1183,26.04,0.0025,1.5981,1.694,0.0,4.6692,1777570644503646430
nyudepth,no_sharing,2.7137,141.2623,112.7155,67.6972,0.003,22.2607,25.3952,0.0,28.5468,1777570644535285637
nyudepth,no_sharing,2.7312,126.0183,112.7155,67.6972,0.003,22.2607,7.9973,0.0,13.3028,1777570644535285637
nyudepth,no_sharing,2.7998,106.3063,45.9438,44.7474,0.0022,0.3139,57.7476,0.0,60.3625,1777570644653660492
nyudepth,no_sharing,2.8389,69.5746,45.9438,44.7474,0.0022,0.3139,18.6234,0.0,23.6308,1777570644653660492
nyudepth,no_sharing,2.9647,21.7552,17.1488,16.0961,0.0021,0.5733,1.8821,0.0,4.6064,1777570644762671270
nyudepth,no_sharing,3.0356,20.9689,16.4434,15.367,0.0022,0.5893,1.7369,0.0,4.5255,1777570644833444287
nyudepth,no_sharing,3.0597,33.4728,29.2073,28.1368,0.002,0.5567,1.6272,0.0,4.2655,1777570644857443824
nyudepth,no_sharing,3.1073,23.1986,18.9535,17.9872,0.0022,0.5309,1.6487,0.0,4.2451,1777570644905090382
nyudepth,no_sharing,3.1697,21.0826,16.6639,15.6644,0.002,0.5168,1.7228,0.0,4.4187,1777570644967526588
nyudepth,no_sharing,3.2047,39.3775,34.1808,31.4279,0.0029,2.1248,2.5282,0.0,5.1966,1777570645003346266
nyudepth,no_sharing,3.2363,31.7488,21.4507,20.4984,0.002,0.5214,7.74,0.0,10.298,1777570645040170483
nyudepth,no_sharing,3.3248,40.6337,36.04,34.7073,0.0021,0.8084,1.811,0.0,4.5937,1777570645122723327
nyudepth,no_sharing,3.3547,54.7128,41.2931,39.0567,0.0021,1.7428,10.6277,0.0,13.4197,1777570645161433253
nyudepth,no_sharing,3.4877,21.8096,17.1539,16.1151,0.0023,0.5629,1.8902,0.0,4.6557,1777570645285730285
nyudepth,no_sharing,3.6266,26.5348,22.0389,21.0036,0.0022,0.5465,1.8547,0.0,4.4959,1777570645424614629
nyudepth,no_sharing,3.7354,21.1699,16.5306,15.5061,0.0022,0.5543,1.8513,0.0,4.6393,1777570645533355801
nyudepth,no_sharing,3.7423,32.8019,16.3094,15.3652,0.0014,0.4961,14.004,0.0,16.4924,1777570645552489550
nyudepth,no_sharing,3.8563,32.9463,28.4322,25.7791,0.0022,2.1548,1.7982,0.0,4.5142,1777570645654208260
nyudepth,no_sharing,3.9916,21.3885,16.8345,15.8035,0.002,0.5464,1.8537,0.0,4.554,1777570645789612470
nyudepth,no_sharing,4.1036,21.4195,16.7876,15.776,0.0024,0.5235,1.8697,0.0,4.6319,1777570645901601387
nyudepth,no_sharing,4.1312,20.6921,16.6681,15.7774,0.0016,0.4855,1.4377,0.0,4.024,1777570645928726392
nyudepth,no_sharing,4.164,26.2656,22.1327,19.4963,0.0021,2.2038,1.4794,0.0,4.1329,1777570645961603472
nyudepth,no_sharing,4.1797,43.8581,30.6092,28.8225,0.0025,1.2341,10.5026,0.0,13.2488,1777570645986296245
nyudepth,no_sharing,4.2151,53.5312,42.3888,40.8198,0.0023,0.5449,8.3859,0.0,11.1423,1777570646019656799
nyudepth,no_sharing,4.218,52.5084,42.3888,40.8198,0.0023,0.5449,5.486,0.0,10.1195,1777570646019656799
nyudepth,no_sharing,4.2347,83.6625,45.0982,42.4429,0.002,2.2023,35.8055,0.0,38.5643,1777570646066650983
nyudepth,no_sharing,4.3663,22.2821,17.6268,16.6052,0.002,0.5564,1.8487,0.0,4.6553,1777570646164314418
nyudepth,no_sharing,4.7662,21.6093,16.8757,15.8747,0.0021,0.5222,1.9948,0.0,4.7336,1777570646564348373
nyudepth,no_sharing,4.8219,23.3536,17.9558,16.9526,0.0019,0.5373,2.7349,0.0,5.3978,1777570646620778665
nyudepth,no_sharing,4.8504,22.2063,18.0733,17.1577,0.0018,0.4908,1.5128,0.0,4.133,1777570646648062303
nyudepth,no_sharing,4.8896,38.331,33.7276,32.7347,0.0021,0.5159,1.8864,0.0,4.6035,1777570646687638936
nyudepth,no_sharing,4.9258,25.1923,19.9596,18.5631,0.0018,0.5018,2.6746,0.0,5.2326,1777570646724611081
nyudepth,no_sharing,4.9391,32.9671,18.5836,17.7438,0.0016,0.4719,11.8585,0.0,14.3835,1777570646747086351
nyudepth,no_sharing,5.0478,21.2107,16.7651,15.7577,0.0021,0.5298,1.7023,0.0,4.4456,1777570646845632696
nyudepth,no_sharing,5.1846,21.0922,16.3642,15.3399,0.0027,0.5509,1.8976,0.0,4.7279,1777570646982624956
nyudepth,no_sharing,5.3359,27.638,23.017,20.3249,0.0022,2.181,1.8923,0.0,4.6209,1777570647133883299
nyudepth,no_sharing,5.8663,21.1947,16.5524,15.522,0.0021,0.5521,1.8783,0.0,4.6423,1777570647664321501
nyudepth,no_sharing,6.0773,21.1747,16.5343,15.4757,0.002,0.5626,1.8916,0.0,4.6404,1777570647875370898
nyudepth,no_sharing,6.2422,35.4011,30.5349,27.8524,0.0025,2.1657,1.8954,0.0,4.8662,1777570648040183746
nyudepth,no_sharing,6.3461,21.1992,16.5757,15.5636,0.0019,0.5471,1.8764,0.0,4.6235,1777570648144079305
nyudepth,no_sharing,6.4054,20.993,16.4258,15.3483,0.0021,0.5706,1.8895,0.0,4.5672,1777570648203461620
nyudepth,no_sharing,6.4104,34.6582,16.1722,15.2661,0.0017,0.499,15.9664,0.0,18.486,1777570648222492789
nyudepth,no_sharing,6.5052,20.7658,16.2764,15.3094,0.002,0.5142,1.7476,0.0,4.4894,1777570648303120096
nyudepth,no_sharing,6.5673,38.5234,33.8578,31.1318,0.0023,2.2278,1.7705,0.0,4.6656,1777570648365183194
nyudepth,no_sharing,6.7184,20.9861,16.4204,15.416,0.0021,0.5369,1.8749,0.0,4.5657,1777570648516424188
nyudepth,no_sharing,6.9217,21.0412,16.3584,15.3179,0.0028,0.5408,1.93,0.0,4.6827,1777570648719809402
nyudepth,no_sharing,6.9549,21.3974,17.0866,16.104,0.0022,0.5367,1.6348,0.0,4.3108,1777570648752703816
nyudepth,no_sharing,6.9598,35.7473,16.7912,15.8981,0.0161,0.4812,16.3629,0.0,18.9561,1777570648772294555
nyudepth,no_sharing,7.0526,27.3955,22.8883,21.833,0.0022,0.5578,1.8189,0.0,4.5072,1777570648850620294
nyudepth,no_sharing,7.3075,21.1473,16.4066,15.3528,0.002,0.5544,1.9517,0.0,4.7406,1777570649105575059
nyudepth,no_sharing,7.3898,21.0624,16.4575,15.449,0.0021,0.5277,1.8508,0.0,4.6048,1777570649187820660
nyudepth,no_sharing,7.6038,22.0025,16.8663,15.3362,0.002,0.5581,1.9002,0.0,5.1362,1777570649401801621
nyudepth,no_sharing,7.6782,21.4877,16.9923,15.991,0.0024,0.523,1.8044,0.0,4.4954,1777570649476141250
nyudepth,no_sharing,7.81,21.138,16.4773,15.4775,0.0018,0.5276,1.9243,0.0,4.6607,1777570649608077125
nyudepth,no_sharing,7.8383,22.2287,17.9811,16.9627,0.0017,0.5605,1.5042,0.0,4.2476,1777570649635933962
nyudepth,no_sharing,7.8511,29.2163,17.508,16.4717,0.0018,0.5799,9.1555,0.0,11.7083,1777570649656439177
nyudepth,no_sharing,7.8657,35.7523,18.2591,17.251,0.0016,0.5786,14.7078,0.0,17.4932,1777570649676572506
nyudepth,no_sharing,7.8777,74.764,48.2414,47.1486,0.0026,0.3089,23.8624,0.0,26.5227,1777570649697670872
nyudepth,no_sharing,7.8836,70.8361,48.2414,47.1486,0.0026,0.3089,17.9741,0.0,22.5947,1777570649697670872
nyudepth,no_sharing,8.0546,21.2708,16.5144,15.4889,0.0025,0.5313,1.9593,0.0,4.7563,1777570649852733275
nyudepth,no_sharing,8.0999,34.9307,30.4743,29.4567,0.0025,0.5424,1.8322,0.0,4.4565,1777570649897923770
nyudepth,no_sharing,8.138,24.977,20.631,19.6455,0.0019,0.5255,1.6577,0.0,4.3459,1777570649935818608
nyudepth,no_sharing,8.2321,21.0917,16.5712,15.5601,0.002,0.5179,1.6868,0.0,4.5205,1777570650029882777
nyudepth,no_sharing,8.2518,20.8795,16.6868,15.7847,0.0014,0.4904,1.6711,0.0,4.1927,1777570650049651367
nyudepth,no_sharing,8.4421,21.3234,16.63,15.5768,0.002,0.5618,1.9464,0.0,4.6935,1777570650240165201
nyudepth,no_sharing,8.572,21.9767,16.4832,15.4416,0.0028,0.5471,1.8229,0.0,5.4935,1777570650369995816
nyudepth,no_sharing,8.6042,23.3216,18.9945,17.9646,0.002,0.5693,1.7669,0.0,4.3272,1777570650402119049
nyudepth,no_sharing,8.6244,27.117,20.8943,19.9922,0.0019,0.5043,3.664,0.0,6.2227,1777570650424165208
nyudepth,no_sharing,8.6786,21.6727,17.3263,16.3451,0.0022,0.5372,1.6522,0.0,4.3464,1777570650476410580
nyudepth,no_sharing,8.7084,21.3048,17.1751,16.2221,0.0018,0.5113,1.5728,0.0,4.1298,1777570650506143557
nyudepth,no_sharing,8.7153,33.9119,17.125,16.2644,0.0018,0.4857,14.3428,0.0,16.7869,1777570650525756172
nyudepth,no_sharing,8.7662,38.8818,34.4499,31.7302,0.002,2.2648,1.7247,0.0,4.4319,1777570650564045660
nyudepth,no_sharing,8.9909,38.661,33.2783,30.6006,0.0025,2.1847,1.9395,0.0,5.3827,1777570650788983909
nyudepth,no_sharing,9.0918,31.7581,27.2599,24.5281,0.0023,2.225,1.677,0.0,4.4981,1777570650889640430
nyudepth,no_sharing,9.4007,21.2138,16.5233,15.484,0.0021,0.5359,1.945,0.0,4.6905,1777570651198783483
nyudepth,no_sharing,9.6053,21.2126,16.5334,15.4449,0.0018,0.5794,1.9546,0.0,4.6792,1777570651403396084
nyudepth,no_sharing,9.7167,21.39,16.928,15.8928,0.0021,0.5571,1.8477,0.0,4.462,1777570651514713320
nyudepth,no_sharing,9.9019,21.1344,16.5196,15.4836,0.0022,0.5388,1.9052,0.0,4.6148,1777570651699915865
nyudepth,no_sharing,9.9741,39.1746,34.6127,33.5687,0.0024,0.5568,1.8263,0.0,4.5619,1777570651772064455
nyudepth,no_sharing,10.0812,21.7803,17.2481,16.2185,0.0018,0.5406,1.781,0.0,4.5321,1777570651879102197
nyudepth,no_sharing,10.1191,21.2164,16.8749,15.8795,0.0019,0.5514,1.6832,0.0,4.3415,1777570651916934970
nyudepth,no_sharing,10.1415,22.4047,18.2718,17.3257,0.0018,0.5193,1.5109,0.0,4.1329,1777570651939133348
nyudepth,no_sharing,10.3562,21.2715,16.5258,15.447,0.0021,0.5775,1.9784,0.0,4.7457,1777570652154355267
nyudepth,no_sharing,10.3693,27.0603,16.4526,15.4679,0.0018,0.5411,8.0669,0.0,10.6077,1777570652173526961
nyudepth,no_sharing,10.3887,27.0629,16.8581,15.9668,0.0015,0.4867,7.5986,0.0,10.2047,1777570652192414012
nyudepth,no_sharing,10.4199,21.4589,17.1994,16.2763,0.0016,0.5138,1.6086,0.0,4.2595,1777570652217632112
nyudepth,no_sharing,10.5165,21.1687,16.6673,15.6517,0.0025,0.5195,1.8048,0.0,4.5014,1777570652314486959
nyudepth,no_sharing,10.5587,21.5075,17.0436,16.0465,0.0022,0.5368,1.8339,0.0,4.4639,1777570652356629650
nyudepth,no_sharing,10.6263,21.2467,16.7663,15.7605,0.0022,0.5414,1.7831,0.0,4.4803,1777570652424251468
nyudepth,no_sharing,10.8426,34.1568,28.1719,25.5225,0.002,2.1345,1.9403,0.0,5.9849,1777570652640674863
nyudepth,no_sharing,10.9959,20.973,16.4162,15.4037,0.0027,0.5262,1.8711,0.0,4.5567,1777570652793920086
nyudepth,no_sharing,11.1131,39.6843,34.7496,33.0429,0.0021,0.7159,1.9791,0.0,4.9347,1777570652911241165
nyudepth,no_sharing,11.13,44.4746,19.3204,18.3517,0.0021,0.5319,22.5163,0.0,25.1542,1777570652948693892
nyudepth,no_sharing,11.2497,21.2927,16.6052,15.5411,0.0024,0.5598,1.883,0.0,4.6875,1777570653047733083
nyudepth,no_sharing,11.2952,23.5751,18.6976,16.0718,0.003,2.0653,1.8468,0.0,4.8775,1777570653093142548
nyudepth,no_sharing,11.3072,45.3475,31.3678,30.3889,0.0025,0.549,11.3456,0.0,13.9796,1777570653114639305
nyudepth,no_sharing,11.3469,28.7378,20.4914,19.5496,0.0018,0.5254,5.5261,0.0,8.2464,1777570653148548664
nyudepth,no_sharing,11.3547,44.811,21.3099,20.4272,0.0017,0.4894,20.9546,0.0,23.5011,1777570653171743281
nyudepth,no_sharing,11.4456,21.4753,17.0917,16.0994,0.002,0.5075,1.7443,0.0,4.3837,1777570653243508234
nyudepth,no_sharing,11.5432,21.1685,16.4978,15.4486,0.0027,0.5691,1.9317,0.0,4.6706,1777570653341300797
nyudepth,no_sharing,11.5726,21.2972,16.8613,15.8329,0.0023,0.572,1.6081,0.0,4.436,1777570653370295606
nyudepth,no_sharing,11.5764,37.334,17.429,16.488,0.0018,0.5111,17.2582,0.0,19.905,1777570653389811118
nyudepth,no_sharing,11.8511,21.1587,16.4297,15.4177,0.0021,0.5437,1.9634,0.0,4.729,1777570653649230816
nyudepth,no_sharing,11.9303,37.2629,32.6292,29.9248,0.0023,2.1667,1.8313,0.0,4.6337,1777570653728246344
nyudepth,no_sharing,12.0797,21.4493,16.8035,15.8033,0.0018,0.5284,1.8733,0.0,4.6458,1777570653877743474
nyudepth,no_sharing,12.1153,36.833,32.3357,29.6099,0.0023,2.2491,1.7352,0.0,4.4974,1777570653913211520
nyudepth,no_sharing,12.2823,25.9471,21.3775,18.6607,0.0032,2.1593,1.837,0.0,4.5696,1777570654080239373
nyudepth,no_sharing,12.4464,21.0836,16.4764,15.3943,0.0024,0.5693,1.966,0.0,4.6072,1777570654244483466
nyudepth,no_sharing,12.4553,31.5597,17.007,16.1184,0.0021,0.49,11.9939,0.0,14.5527,1777570654263478602
nyudepth,no_sharing,12.9989,21.085,16.3741,15.3311,0.002,0.537,1.9581,0.0,4.711,1777570654797035715
nyudepth,no_sharing,13.0672,26.9632,22.4368,21.3584,0.0021,0.5742,1.8232,0.0,4.5265,1777570654865107776
nyudepth,no_sharing,13.2064,21.8139,16.9217,15.3939,0.0021,0.548,2.0971,0.0,4.8922,1777570655004615877
nyudepth,no_sharing,13.2303,20.3402,16.2084,15.2668,0.002,0.5014,1.5347,0.0,4.1318,1777570655028009763
nyudepth,no_sharing,13.3289,21.0278,16.4415,15.4367,0.0022,0.5292,1.8625,0.0,4.5863,1777570655126889637
nyudepth,no_sharing,13.3571,20.7646,16.5984,15.6564,0.0019,0.5074,1.4944,0.0,4.1662,1777570655154687956
nyudepth,no_sharing,13.5191,21.1108,16.4009,15.3956,0.0025,0.5327,1.9197,0.0,4.7098,1777570655317151512
nyudepth,no_sharing,13.5654,21.3084,16.7356,15.6649,0.0023,0.5866,1.7877,0.0,4.5728,1777570655363290266
nyudepth,no_sharing,13.6431,21.106,16.41,15.377,0.0026,0.5536,1.941,0.0,4.696,1777570655441205508
nyudepth,no_sharing,13.6954,20.6378,16.2482,15.2801,0.0027,0.52,1.6868,0.0,4.3895,1777570655493212453
nyudepth,no_sharing,13.7712,21.0252,16.4993,15.5009,0.0023,0.5407,1.7893,0.0,4.5259,1777570655569119160
nyudepth,no_sharing,13.8194,20.7121,16.3305,15.3607,0.0018,0.5311,1.6944,0.0,4.3816,1777570655617210356
nyudepth,no_sharing,13.8811,22.4142,17.8833,16.8583,0.002,0.5551,1.785,0.0,4.5309,1777570655679026749
nyudepth,no_sharing,13.883,40.8471,17.7298,16.7975,0.0016,0.4978,20.5114,0.0,23.1172,1777570655699618496
nyudepth,no_sharing,14.0411,39.1929,34.4465,33.3609,0.0024,0.5678,1.9026,0.0,4.7464,1777570655839109379
nyudepth,no_sharing,14.2938,23.2427,18.6016,15.9705,0.0024,2.067,1.9448,0.0,4.6411,1777570656091901915
nyudepth,no_sharing,14.3508,33.8495,29.4094,28.352,0.0024,0.5744,1.8089,0.0,4.4401,1777570656148707320
nyudepth,no_sharing,14.691,21.7085,17.0089,15.378,0.0025,1.106,1.9822,0.0,4.6996,1777570656489083511
nyudepth,no_sharing,14.708,23.9348,16.8237,15.9438,0.0018,0.4846,4.5614,0.0,7.1111,1777570656508670795
nyudepth,no_sharing,14.9863,21.2612,16.4845,15.4435,0.0026,0.5484,1.9917,0.0,4.7767,1777570656784429848
nyudepth,no_sharing,15.0225,25.9795,21.5662,20.5436,0.0027,0.549,1.7083,0.0,4.4133,1777570656820366138
nyudepth,no_sharing,15.0897,21.4016,16.9142,15.9144,0.0022,0.5226,1.7612,0.0,4.4875,1777570656887557502
nyudepth,no_sharing,15.3329,35.4135,30.7306,28.007,0.0023,2.1799,2.008,0.0,4.6829,1777570657131100411
nyudepth,no_sharing,15.3459,43.5007,18.579,17.6193,0.0022,0.5401,22.418,0.0,24.9217,1777570657164428929
nyudepth,no_sharing,15.3658,44.4806,18.3846,17.4438,0.0018,0.5261,23.5775,0.0,26.096,1777570657185506336
nyudepth,no_sharing,15.499,21.7428,17.0384,16.0315,0.0022,0.5267,1.9932,0.0,4.7044,1777570657297130864
nyudepth,no_sharing,15.5976,21.4503,16.6603,15.6199,0.002,0.5501,1.9958,0.0,4.7899,1777570657395769967
nyudepth,no_sharing,15.6262,22.3713,17.9819,16.9806,0.0023,0.557,1.6384,0.0,4.3894,1777570657424007183
nyudepth,no_sharing,15.6708,21.0104,16.7446,15.7576,0.0023,0.5182,1.6241,0.0,4.2658,1777570657468520167
nyudepth,no_sharing,15.7459,20.9477,16.4762,15.4661,0.0024,0.5326,1.7271,0.0,4.4715,1777570657543797977
nyudepth,no_sharing,15.9353,22.3062,17.7061,16.6723,0.002,0.5613,1.8024,0.0,4.6001,1777570657733208333
nyudepth,no_sharing,15.9717,28.101,23.7684,21.0868,0.0026,2.2157,1.5988,0.0,4.3325,1777570657769462513
nyudepth,no_sharing,16.0477,36.1135,31.6047,28.8838,0.0024,2.2269,1.7481,0.0,4.5088,1777570657845615396
nyudepth,no_sharing,16.083,25.9798,21.6392,20.7043,0.0021,0.5103,1.7116,0.0,4.3405,1777570657880839368
nyudepth,no_sharing,16.1141,24.9,20.7441,19.8145,0.0018,0.5145,1.5113,0.0,4.1559,1777570657911754755
nyudepth,no_sharing,16.3273,21.2851,16.5141,15.4467,0.0022,0.5785,1.9648,0.0,4.771,1777570658125410634
nyudepth,no_sharing,16.3828,21.085,16.7555,15.7373,0.0018,0.5294,1.6639,0.0,4.3296,1777570658180548795
nyudepth,no_sharing,16.5167,22.3651,17.7347,16.7291,0.0026,0.5401,1.8892,0.0,4.6304,1777570658314721749
nyudepth,no_sharing,16.5472,20.7894,16.6464,15.7064,0.0018,0.5088,1.5564,0.0,4.143,1777570658344896948
nyudepth,no_sharing,16.565,23.7286,17.8411,16.9328,0.002,0.4863,3.3464,0.0,5.8875,1777570658364521596
nyudepth,no_sharing,16.6799,20.8879,16.4578,15.4825,0.0021,0.5187,1.7531,0.0,4.4301,1777570658477779506
nyudepth,no_sharing,16.8221,21.8143,17.0388,15.4199,0.0026,1.1555,2.008,0.0,4.7756,1777570658620208276
nyudepth,no_sharing,16.9165,21.5211,17.2037,16.2087,0.0024,0.5216,1.579,0.0,4.3174,1777570658714247000
nyudepth,no_sharing,17.0353,21.2133,16.5538,15.503,0.0019,0.5637,1.9095,0.0,4.6595,1777570658833324390
nyudepth,no_sharing,17.1374,21.178,16.4786,15.4002,0.0023,0.5727,1.9271,0.0,4.6994,1777570658935447701
nyudepth,no_sharing,17.2468,21.0745,16.4369,15.3999,0.0025,0.5394,1.8296,0.0,4.6376,1777570659044749426
