task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,22.3939,18.1448,16.685,0.0026,0.7256,1.5771,0.0,4.2491,1777568707799828000
nyudepth,sharing,0.4815,21.328,16.6379,15.3682,0.0026,0.574,1.9038,0.0,4.6901,1777568708281612857
nyudepth,sharing,0.949,21.6999,16.9866,15.4234,0.0023,0.7529,1.9469,0.0,4.7133,1777568708749081969
nyudepth,sharing,1.4255,21.369,16.6866,15.3884,0.0025,0.5755,1.8613,0.0,4.6824,1777568709225533874
nyudepth,sharing,1.482,22.6893,17.4864,15.3363,0.0028,0.7378,1.9038,0.0,5.203,1777568709282130026
nyudepth,sharing,1.499,24.9414,19.8197,18.3074,0.0022,0.7144,1.9743,0.0,5.1217,1777568709299178710
nyudepth,sharing,1.7894,21.4238,16.7352,15.3932,0.0028,0.6061,1.8406,0.0,4.6886,1777568709589451736
nyudepth,sharing,2.0713,21.4119,16.6835,15.3253,0.0024,0.6079,1.9698,0.0,4.7284,1777568709871431654
nyudepth,sharing,2.6959,22.4674,17.2781,15.6541,0.0025,0.7633,1.8616,0.0,5.1893,1777568710495931228
nyudepth,sharing,2.7119,24.2748,19.5657,18.4464,0.0023,0.5528,2.2657,0.0,4.7091,1777568710512308159
nyudepth,sharing,2.9217,21.8225,16.9526,15.6344,0.0026,0.5915,1.8003,0.0,4.8698,1777568710721671790
nyudepth,sharing,2.9355,57.0719,49.2354,47.0036,0.0014,1.3804,4.9961,0.0,7.8365,1777568710738799245
nyudepth,sharing,3.153,21.4806,16.7591,15.4149,0.0026,0.6416,1.8766,0.0,4.7214,1777568710953084660
nyudepth,sharing,3.4997,21.2786,16.6453,15.3499,0.0023,0.5802,1.8911,0.0,4.6333,1777568711299787742
nyudepth,sharing,3.5772,21.5471,16.7154,15.386,0.0028,0.6126,1.9927,0.0,4.8316,1777568711377371904
nyudepth,sharing,3.8231,21.3325,16.6245,15.3014,0.0023,0.6173,1.9083,0.0,4.708,1777568711623204765
nyudepth,sharing,3.8546,21.1649,16.6516,15.2236,0.0021,0.7593,1.6673,0.0,4.5133,1777568711654443573
nyudepth,sharing,3.8725,24.8623,18.3772,17.0042,0.0024,0.726,3.7551,0.0,6.4851,1777568711674455794
nyudepth,sharing,3.9364,21.368,17.0579,15.8886,0.0023,0.541,1.6007,0.0,4.3101,1777568711736159141
nyudepth,sharing,4.1161,21.1172,16.5884,15.3011,0.0023,0.571,1.7409,0.0,4.5288,1777568711916020800
nyudepth,sharing,4.1984,21.5299,16.8173,15.488,0.0025,0.5868,1.8194,0.0,4.7126,1777568711998463400
nyudepth,sharing,4.4482,35.5742,19.8051,18.581,0.002,0.569,13.108,0.0,15.7691,1777568712259478279
nyudepth,sharing,4.4919,22.7113,18.3155,17.0298,0.0024,0.6133,1.6088,0.0,4.3957,1777568712291700852
nyudepth,sharing,4.8599,21.9996,16.8062,15.4243,0.0025,0.6742,1.9767,0.0,5.1934,1777568712660073081
nyudepth,sharing,5.1052,21.9815,17.3037,15.7265,0.0024,0.8393,1.8601,0.0,4.6778,1777568712905308294
nyudepth,sharing,5.2365,21.6148,16.8765,15.5219,0.0028,0.6055,1.8923,0.0,4.7383,1777568713036599477
nyudepth,sharing,5.3203,21.4262,16.7342,15.4338,0.0028,0.6043,1.8737,0.0,4.692,1777568713120399750
nyudepth,sharing,5.4108,22.7988,17.6077,15.4602,0.0024,0.7568,1.8196,0.0,5.191,1777568713210773157
nyudepth,sharing,5.4257,37.0302,29.5876,27.9475,0.003,0.8777,4.0374,0.0,7.4427,1777568713227923514
nyudepth,sharing,5.4617,25.1746,19.615,18.3683,0.0026,0.5858,2.8796,0.0,5.5596,1777568713262812323
nyudepth,sharing,5.5994,21.6846,17.1485,15.8651,0.0025,0.581,1.812,0.0,4.5362,1777568713399357129
nyudepth,sharing,5.6764,23.6797,18.6059,17.0013,0.0022,0.8742,1.6158,0.0,5.0738,1777568713476189919
nyudepth,sharing,5.9297,21.4889,16.8015,15.4644,0.0026,0.6145,1.8775,0.0,4.6874,1777568713729759774
nyudepth,sharing,6.0714,21.5855,16.8361,15.4932,0.0021,0.5897,1.9011,0.0,4.7494,1777568713871546598
nyudepth,sharing,6.1192,26.0172,20.3283,19.0772,0.002,0.6051,2.9886,0.0,5.6888,1777568713920322126
nyudepth,sharing,6.2114,21.6184,16.8055,15.4953,0.0022,0.5909,1.9734,0.0,4.8129,1777568714011548319
nyudepth,sharing,6.3393,21.605,16.8198,15.5437,0.0022,0.6012,1.9093,0.0,4.7852,1777568714139364236
nyudepth,sharing,6.4084,34.0092,23.2666,22.1048,0.0021,0.5737,8.1716,0.0,10.7426,1777568714214721902
nyudepth,sharing,6.4726,22.5554,17.8687,16.5558,0.0025,0.5951,1.8878,0.0,4.6866,1777568714272642105
nyudepth,sharing,6.6483,21.7979,17.0431,15.5405,0.0027,0.7172,1.9071,0.0,4.7548,1777568714448400546
nyudepth,sharing,6.7077,22.9352,17.8891,15.826,0.0026,0.7205,1.9355,0.0,5.0461,1777568714507855934
nyudepth,sharing,6.9741,22.2008,17.4184,15.5113,0.0028,0.6341,1.9515,0.0,4.7824,1777568714774267706
nyudepth,sharing,7.2529,21.9281,17.3157,16.0392,0.0023,0.6043,1.6825,0.0,4.6124,1777568715052782776
nyudepth,sharing,7.4702,21.6234,16.8063,15.3669,0.0023,0.7377,1.9472,0.0,4.8171,1777568715270301855
nyudepth,sharing,7.4852,25.2788,19.4943,18.2595,0.0027,0.597,3.0959,0.0,5.7845,1777568715286436274
nyudepth,sharing,7.7107,23.0646,18.4944,17.0313,0.0023,0.7723,1.7378,0.0,4.5702,1777568715510643438
nyudepth,sharing,7.9829,21.4174,16.6432,15.3888,0.0021,0.5839,1.9372,0.0,4.7741,1777568715783049632
nyudepth,sharing,8.2064,21.5473,16.7986,15.4645,0.0024,0.6062,1.8778,0.0,4.7487,1777568716006446687
nyudepth,sharing,8.2621,21.4727,16.7686,15.452,0.0024,0.6313,1.8594,0.0,4.704,1777568716062155670
nyudepth,sharing,8.3268,21.4159,16.6794,15.4036,0.0022,0.5892,1.9004,0.0,4.7365,1777568716126838969
nyudepth,sharing,8.3593,33.5159,20.241,18.8747,0.0021,0.7234,10.6916,0.0,13.2749,1777568716168133940
nyudepth,sharing,8.4307,25.212,20.8269,19.3679,0.0027,0.6906,1.6501,0.0,4.3851,1777568716230488789
nyudepth,sharing,8.4345,43.2653,22.6395,21.0762,0.0021,0.9154,17.941,0.0,20.6259,1777568716250626810
nyudepth,sharing,8.468,31.9903,23.1752,21.9958,0.0019,0.5534,6.1488,0.0,8.8151,1777568716272346643
nyudepth,sharing,8.7314,21.5023,16.7235,15.3881,0.0028,0.5812,1.9491,0.0,4.7788,1777568716531550727
nyudepth,sharing,9.5303,21.5826,16.792,15.3684,0.0025,0.6393,1.9784,0.0,4.7906,1777568717330482436
nyudepth,sharing,9.6428,21.6925,17.1129,15.781,0.0025,0.6397,1.7245,0.0,4.5796,1777568717442690980
nyudepth,sharing,9.6997,22.0129,17.311,16.0213,0.0026,0.5981,1.8337,0.0,4.7019,1777568717499680410
nyudepth,sharing,9.7799,28.7368,16.8304,15.6401,0.0026,0.5513,9.2866,0.0,11.9064,1777568717587346196
nyudepth,sharing,9.8518,21.9536,17.2467,15.9622,0.0026,0.5986,1.8842,0.0,4.7068,1777568717651864198
nyudepth,sharing,9.8779,20.9599,16.6522,15.4718,0.0022,0.5408,1.5748,0.0,4.3077,1777568717677655046
nyudepth,sharing,10.094,21.6753,16.8924,15.5013,0.0026,0.6415,1.9083,0.0,4.7829,1777568717894131175
nyudepth,sharing,10.3698,21.4617,16.639,15.3107,0.0024,0.5957,1.9133,0.0,4.8227,1777568718169892842
nyudepth,sharing,10.6714,22.0761,16.6608,15.3623,0.0026,0.5854,1.8916,0.0,5.4153,1777568718471510578
nyudepth,sharing,11.7341,21.5473,16.7309,15.3936,0.0025,0.621,1.9715,0.0,4.8164,1777568719534279013
nyudepth,sharing,12.1541,21.4849,16.6407,15.3391,0.0024,0.6019,1.9562,0.0,4.8441,1777568719954204670
nyudepth,sharing,12.4835,21.9111,17.2231,15.5286,0.0024,0.9193,1.8802,0.0,4.6881,1777568720283597066
nyudepth,sharing,12.6917,21.6992,16.8266,15.5045,0.0024,0.6108,1.955,0.0,4.8726,1777568720491863332
nyudepth,sharing,12.8107,21.9009,17.0645,15.4309,0.0024,0.9149,1.9128,0.0,4.8364,1777568720610750514
nyudepth,sharing,12.8197,28.353,16.7834,15.6569,0.0022,0.5504,9.1166,0.0,11.5696,1777568720626958596
nyudepth,sharing,13.0103,21.6613,16.8922,15.5624,0.0026,0.5989,1.9467,0.0,4.7691,1777568720810435618
nyudepth,sharing,13.1352,22.4893,17.6921,15.4641,0.0021,0.9511,1.9112,0.0,4.7972,1777568720935323934
nyudepth,sharing,13.4369,21.5375,16.8165,15.4457,0.0023,0.6776,1.8978,0.0,4.721,1777568721236929621
nyudepth,sharing,13.843,21.3091,16.5783,15.285,0.0028,0.6057,1.9197,0.0,4.7309,1777568721643070947
nyudepth,sharing,13.9085,21.6742,17.0134,15.2776,0.0026,1.0015,1.862,0.0,4.6607,1777568721708525550
nyudepth,sharing,13.9194,28.723,18.9504,17.7424,0.0024,0.5597,7.0062,0.0,9.7726,1777568721724610560
nyudepth,sharing,14.1034,20.9792,16.5057,15.3362,0.0022,0.5703,1.8587,0.0,4.4735,1777568721903496639
nyudepth,sharing,14.616,21.4875,16.6319,15.3133,0.0022,0.6331,1.9703,0.0,4.8556,1777568722416110585
nyudepth,sharing,14.7788,21.5983,16.7106,15.4436,0.0025,0.602,2.0859,0.0,4.8877,1777568722579023877
nyudepth,sharing,15.2048,21.3838,16.5981,15.3295,0.0023,0.5727,1.9426,0.0,4.7857,1777568723004922473
