task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,22.0206,17.816,16.8576,0.0016,0.5347,1.4634,0.0,4.2046,1777572713894959344
nyudepth,single_nyudepth,0.1614,21.1768,16.458,15.3934,0.002,0.564,1.9436,0.0,4.7189,1777572714056748606
nyudepth,single_nyudepth,0.3178,21.0302,16.3159,15.3423,0.0018,0.5016,1.9617,0.0,4.7143,1777572714213215084
nyudepth,single_nyudepth,0.4761,20.9379,16.3604,15.33,0.002,0.5441,1.8318,0.0,4.5775,1777572714371382879
nyudepth,single_nyudepth,0.4941,22.6524,16.1929,15.268,0.0017,0.5068,3.4277,0.0,6.4595,1777572714390941330
nyudepth,single_nyudepth,0.5003,35.8691,16.7111,15.8199,0.0143,0.4857,16.67,0.0,19.158,1777572714410376050
nyudepth,single_nyudepth,0.5974,21.1957,16.4646,15.4503,0.0018,0.5277,2.002,0.0,4.7311,1777572714492786153
nyudepth,single_nyudepth,0.6918,20.8664,16.3278,15.331,0.0021,0.5153,1.8344,0.0,4.5385,1777572714587006935
nyudepth,single_nyudepth,0.8989,20.9746,16.3057,15.3049,0.0019,0.5247,1.8923,0.0,4.6689,1777572714794241734
nyudepth,single_nyudepth,0.9049,33.628,16.2987,15.3769,0.0015,0.4658,14.8044,0.0,17.3293,1777572714813169295
nyudepth,single_nyudepth,0.9737,20.9939,16.578,15.6347,0.0016,0.5114,1.7846,0.0,4.416,1777572714868929520
nyudepth,single_nyudepth,0.9787,35.537,16.9169,16.0159,0.0017,0.5104,15.8081,0.0,18.6201,1777572714887928495
nyudepth,single_nyudepth,1.0514,21.636,17.0058,15.9612,0.002,0.5677,1.8725,0.0,4.6302,1777572714946737289
nyudepth,single_nyudepth,1.1673,21.2867,16.5695,15.4933,0.0021,0.5748,1.8435,0.0,4.7172,1777572715062567058
nyudepth,single_nyudepth,1.1927,21.3919,16.8524,15.7857,0.0021,0.5785,1.7526,0.0,4.5394,1777572715087914350
nyudepth,single_nyudepth,1.2753,22.3885,17.836,16.6966,0.0022,0.5991,1.8539,0.0,4.5524,1777572715170621339
nyudepth,single_nyudepth,1.2863,91.1503,76.6373,47.8523,0.002,14.154,11.5643,0.0,14.513,1777572715191260566
nyudepth,single_nyudepth,1.2912,88.346,76.6373,47.8523,0.002,14.154,6.6645,0.0,11.7087,1777572715191260566
nyudepth,single_nyudepth,1.3119,88.8903,18.3092,17.3588,0.0018,0.5032,67.6839,0.0,70.5811,1777572715273011311
nyudepth,single_nyudepth,1.3729,47.4205,17.4898,16.6036,0.0016,0.469,27.4096,0.0,29.9307,1777572715293697199
nyudepth,single_nyudepth,1.3997,41.8186,18.4306,17.5715,0.0014,0.4568,20.5431,0.0,23.3881,1777572715313634788
nyudepth,single_nyudepth,1.4827,22.6581,17.1767,16.097,0.002,0.5884,2.7621,0.0,5.4814,1777572715378865607
nyudepth,single_nyudepth,1.4984,26.345,16.8144,15.7924,0.0024,0.5558,6.7883,0.0,9.5306,1777572715398616381
nyudepth,single_nyudepth,1.621,21.3108,16.6123,15.5713,0.0019,0.557,1.909,0.0,4.6985,1777572715516309710
nyudepth,single_nyudepth,1.7025,21.2038,16.519,15.479,0.0018,0.5411,1.9052,0.0,4.6848,1777572715597830329
nyudepth,single_nyudepth,1.7459,21.3499,16.7055,15.6494,0.002,0.5739,1.8537,0.0,4.6444,1777572715641150883
nyudepth,single_nyudepth,1.7734,21.0643,16.5856,15.543,0.0022,0.5643,1.7345,0.0,4.4787,1777572715668521733
nyudepth,single_nyudepth,1.8046,21.2109,16.8145,15.7344,0.0021,0.5885,1.6525,0.0,4.3964,1777572715699641860
nyudepth,single_nyudepth,1.8094,36.9425,17.8895,16.8214,0.002,0.59,16.2807,0.0,19.053,1777572715719150754
nyudepth,single_nyudepth,1.8214,46.3612,18.6138,17.5926,0.0023,0.5586,24.8756,0.0,27.7474,1777572715739682745
nyudepth,single_nyudepth,1.8666,24.5111,20.0108,18.4564,0.0019,0.5794,1.7405,0.0,4.5003,1777572715761722265
nyudepth,single_nyudepth,1.8922,22.5778,18.3269,17.3776,0.0018,0.5196,1.5738,0.0,4.2509,1777572715787220797
nyudepth,single_nyudepth,1.977,21.3845,16.6168,15.5226,0.0021,0.5861,1.9345,0.0,4.7677,1777572715872357652
