task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0001,26.0324,21.4414,19.6561,0.002,0.7656,1.7264,0.0,4.5911,1777566644642593559
vocseg,single_vocseg,0.0333,24.3793,19.4559,17.381,0.0026,0.764,1.8141,0.0,4.9234,1777566644675870231
vocseg,single_vocseg,0.0512,27.7679,18.2259,17.0948,0.0021,0.6797,6.6659,0.0,9.542,1777566644698696243
vocseg,single_vocseg,0.0618,39.7019,19.899,18.6922,0.0022,0.6912,16.9635,0.0,19.8029,1777566644719570161
vocseg,single_vocseg,0.2999,21.3938,16.6091,15.4017,0.0021,0.6836,1.8656,0.0,4.7847,1777566644942537006
vocseg,single_vocseg,0.6107,21.4193,16.5333,15.3492,0.0022,0.6688,1.9779,0.0,4.886,1777566645253494850
vocseg,single_vocseg,0.6923,21.3656,16.6321,15.4051,0.0029,0.6958,1.858,0.0,4.7335,1777566645334982499
vocseg,single_vocseg,0.9601,21.3039,16.4355,15.2566,0.0024,0.6659,1.9929,0.0,4.8684,1777566645602888180
vocseg,single_vocseg,0.9835,21.9865,17.0485,15.8363,0.0024,0.7083,1.725,0.0,4.938,1777566645626067409
vocseg,single_vocseg,1.1979,21.6632,16.594,15.4105,0.0024,0.658,2.1319,0.0,5.0692,1777566645840862904
vocseg,single_vocseg,1.3058,21.3504,16.6041,15.3881,0.002,0.6852,1.8759,0.0,4.7462,1777566645948511404
vocseg,single_vocseg,1.5165,21.5399,16.5674,15.3496,0.0027,0.6971,2.0661,0.0,4.9725,1777566646159391211
vocseg,single_vocseg,2.1989,21.4138,16.5356,15.3252,0.0024,0.6895,1.9934,0.0,4.8782,1777566646841705522
vocseg,single_vocseg,2.3436,21.359,16.4804,15.3232,0.0028,0.656,2.0235,0.0,4.8786,1777566646986409571
vocseg,single_vocseg,2.5933,21.2171,16.4548,15.2919,0.0021,0.654,1.8611,0.0,4.7623,1777566647235990915
vocseg,single_vocseg,2.8079,21.9288,16.9712,15.7923,0.0023,0.6792,2.0742,0.0,4.9576,1777566647450789852
vocseg,single_vocseg,2.8088,40.359,16.6272,15.4741,0.0023,0.6656,20.9355,0.0,23.7318,1777566647470503690
vocseg,single_vocseg,2.8533,22.4278,17.7913,16.5412,0.0021,0.7208,1.7843,0.0,4.6365,1777566647495868128
