task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0001,86.1228,81.5472,78.8753,0.0028,2.1195,1.5702,0.0,4.5756,1778798506128298850
nyudepth,no_sharing_tpc,0.8026,41.11,36.518,35.4676,0.0028,0.4974,1.8256,0.0,4.592,1778798506931054298
nyudepth,no_sharing_tpc,1.5815,62.5775,57.8788,55.1113,0.0032,2.1781,1.863,0.0,4.6987,1778798507710048196
nyudepth,no_sharing_tpc,2.3757,41.1119,36.6484,35.6378,0.0033,0.4819,1.7335,0.0,4.4635,1778798508504121000
nyudepth,no_sharing_tpc,2.47,40.6547,36.3804,35.509,0.0028,0.4554,1.44,0.0,4.2742,1778798508598086650
nyudepth,no_sharing_tpc,2.4978,80.7345,64.9882,62.2841,0.0027,2.2236,13.0143,0.0,15.7463,1778798508637528201
nyudepth,no_sharing_tpc,2.9821,40.9994,36.5406,35.5448,0.0033,0.4967,1.7054,0.0,4.4588,1778798509110472085
nyudepth,no_sharing_tpc,3.4527,40.5605,36.0085,35.0071,0.0026,0.4778,1.7028,0.0,4.552,1778798509581021695
nyudepth,no_sharing_tpc,4.4939,41.5165,36.8851,35.9048,0.0029,0.4835,1.7292,0.0,4.6314,1778798510622306838
nyudepth,no_sharing_tpc,4.5197,55.7997,37.693,36.7846,0.003,0.4498,15.5103,0.0,18.1067,1778798510661862760
nyudepth,no_sharing_tpc,4.8685,73.7815,68.0836,65.3809,0.0034,2.1237,1.6806,0.0,5.6979,1778798510996876453
nyudepth,no_sharing_tpc,4.8921,99.1089,46.1715,45.1556,0.0032,0.4771,50.2629,0.0,52.9374,1778798511068998327
nyudepth,no_sharing_tpc,5.2549,41.9092,37.3053,36.2372,0.0028,0.4963,1.8291,0.0,4.6039,1778798511383378112
nyudepth,no_sharing_tpc,5.8329,40.9105,36.188,35.1304,0.0028,0.4794,1.8525,0.0,4.7225,1778798511961389154
nyudepth,no_sharing_tpc,5.962,41.1806,36.8522,35.8401,0.0029,0.4756,1.586,0.0,4.3285,1778798512090235190
nyudepth,no_sharing_tpc,6.3717,41.4014,36.6126,35.5841,0.003,0.4816,1.9546,0.0,4.7888,1778798512500295136
nyudepth,no_sharing_tpc,6.4232,42.3272,38.3636,37.4633,0.0026,0.4419,1.3125,0.0,3.9636,1778798512551199904
nyudepth,no_sharing_tpc,6.4539,52.2087,38.0342,37.2614,0.0025,0.4103,11.5061,0.0,14.1744,1778798512592078576
