task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,34.9975,30.3122,28.7386,0.0027,0.8003,1.868,0.0,4.6853,1778800071970668383
nyudepth,sharing,0.8037,34.8749,29.9144,28.5677,0.0028,0.5562,2.0833,0.0,4.9605,1778800072774547862
nyudepth,sharing,1.5809,35.9013,30.9935,29.3167,0.0031,0.8671,2.0034,0.0,4.9078,1778800073551668175
nyudepth,sharing,2.3758,34.7421,29.8721,28.6196,0.0026,0.5323,2.0533,0.0,4.87,1778800074346562796
nyudepth,sharing,2.4687,35.095,30.3495,28.6434,0.0027,0.895,1.9782,0.0,4.7454,1778800074439422403
nyudepth,sharing,2.4977,39.412,34.134,32.4768,0.0026,0.9165,2.5039,0.0,5.278,1778800074468935692
nyudepth,sharing,2.9832,34.8411,30.0364,28.7112,0.003,0.5517,2.0289,0.0,4.8046,1778800074953919062
nyudepth,sharing,3.4526,35.0554,30.1578,28.7745,0.0029,0.5564,2.0823,0.0,4.8976,1778800075423398955
nyudepth,sharing,4.4936,36.6766,31.7426,30.0367,0.0026,0.9091,2.0325,0.0,4.9341,1778800076464355522
nyudepth,sharing,4.5196,41.6453,32.0268,30.7823,0.0025,0.5218,6.9296,0.0,9.6185,1778800076495250238
nyudepth,sharing,4.869,37.8129,32.7282,31.4337,0.0028,0.5443,1.9391,0.0,5.0847,1778800076839658382
nyudepth,sharing,4.8929,73.1204,59.4448,57.4066,0.0025,1.2171,10.8683,0.0,13.6756,1778800076872605304
nyudepth,sharing,5.255,35.2168,30.3963,29.0726,0.0024,0.5255,1.9948,0.0,4.8205,1778800077225688933
nyudepth,sharing,5.8326,35.2471,30.2439,28.999,0.0028,0.5594,2.073,0.0,5.0032,1778800077803453306
nyudepth,sharing,5.9611,35.1393,30.237,28.943,0.0025,0.5276,2.0463,0.0,4.9024,1778800077931904223
nyudepth,sharing,6.3718,35.2216,30.1974,28.862,0.0025,0.5673,2.0425,0.0,5.0242,1778800078342612629
nyudepth,sharing,6.4232,36.1245,31.3896,28.9373,0.0027,1.0903,1.9183,0.0,4.7349,1778800078393874038
nyudepth,sharing,6.4532,37.8842,32.7968,31.5519,0.0024,0.5473,2.2669,0.0,5.0874,1778800078424232617
nyudepth,sharing,6.5597,34.7536,30.1314,28.8423,0.0025,0.5312,1.8098,0.0,4.6221,1778800078530237494
