task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,63.1022,59.0289,56.6995,0.0035,1.7883,1.4336,0.0,4.0733,1778787564594198801
nyudepth,no_sharing,0.3439,34.4071,29.9343,28.9232,0.0034,0.4711,1.9121,0.0,4.4728,1778787564938493058
nyudepth,no_sharing,0.6783,52.3515,46.772,44.0141,0.0033,2.2082,1.6816,0.0,5.5794,1778787565272641221
nyudepth,no_sharing,1.0191,34.5662,30.1659,29.1157,0.0029,0.5053,1.7602,0.0,4.4003,1778787565613509993
nyudepth,no_sharing,1.0588,40.9186,36.7634,34.1352,0.0031,2.2336,1.4551,0.0,4.1552,1778787565652923730
nyudepth,no_sharing,1.0705,77.9929,46.1231,45.1829,0.0027,0.4793,29.4356,0.0,31.8698,1778787565692648806
nyudepth,no_sharing,1.2788,34.2376,29.7666,28.7204,0.0033,0.4776,1.8613,0.0,4.4711,1778787565873310206
nyudepth,no_sharing,1.4803,34.2951,29.774,28.749,0.0031,0.4865,1.8604,0.0,4.5211,1778787566074863398
nyudepth,no_sharing,1.9262,34.9789,30.7343,29.7814,0.0036,0.4825,1.678,0.0,4.2446,1778787566520542597
nyudepth,no_sharing,1.937,55.6786,29.2729,28.3795,0.0026,0.4217,24.0562,0.0,26.4057,1778787566553715723
nyudepth,no_sharing,2.087,59.8764,55.3681,52.5531,0.0031,2.2418,2.008,0.0,4.5084,1778787566681683805
nyudepth,no_sharing,2.0966,100.0767,46.9281,45.9466,0.0028,0.4943,50.3669,0.0,53.1485,1778787566739636659
nyudepth,no_sharing,2.2539,35.3076,30.3762,29.3931,0.003,0.4741,2.4352,0.0,4.9315,1778787566849046518
nyudepth,no_sharing,2.5011,34.0519,29.5912,28.6611,0.003,0.4652,1.8904,0.0,4.4607,1778787567095712081
nyudepth,no_sharing,2.5553,32.918,29.2373,28.2821,0.0029,0.4666,1.3039,0.0,3.6806,1778787567149320750
nyudepth,no_sharing,2.7325,35.3448,30.4039,29.4088,0.0035,0.4691,1.6887,0.0,4.9409,1778787567326888290
nyudepth,no_sharing,2.7534,54.6274,38.5414,35.8197,0.0027,2.246,13.6447,0.0,16.086,1778787567359685466
