task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0001,87.6834,83.2561,81.7826,0.0025,0.8403,1.6339,0.0,4.4273,1778805941156018461
nyudepth,no_sharing_tpc,0.4016,41.2531,36.4728,35.3825,0.0023,0.5131,1.9848,0.0,4.7803,1778805941557884485
nyudepth,no_sharing_tpc,0.7912,75.4702,70.7496,68.0695,0.0027,2.1269,1.9538,0.0,4.7206,1778805941947510147
nyudepth,no_sharing_tpc,1.1878,41.5511,36.7278,35.7096,0.0023,0.5305,2.0084,0.0,4.8233,1778805942344118225
nyudepth,no_sharing_tpc,1.2345,52.0613,47.2894,44.5259,0.0019,2.1658,1.663,0.0,4.7719,1778805942390469927
nyudepth,no_sharing_tpc,1.2494,112.1035,72.0623,70.9879,0.0023,0.572,37.3583,0.0,40.0412,1778805942441083926
nyudepth,no_sharing_tpc,1.4918,41.229,36.5872,35.5049,0.0024,0.5134,1.9035,0.0,4.6418,1778805942647987210
nyudepth,no_sharing_tpc,1.7263,42.0284,37.3293,36.2163,0.0024,0.5297,1.8842,0.0,4.6992,1778805942882540425
nyudepth,no_sharing_tpc,2.2473,41.9374,37.2058,36.1133,0.0027,0.5297,1.8952,0.0,4.7315,1778805943403507648
nyudepth,no_sharing_tpc,2.2603,69.2816,37.9308,36.8132,0.0028,0.4916,28.6381,0.0,31.3508,1778805943443282135
nyudepth,no_sharing_tpc,2.4348,76.5717,71.8492,70.4816,0.0022,0.7834,1.8933,0.0,4.7225,1778805943590980506
nyudepth,no_sharing_tpc,2.4468,134.3405,67.3369,64.5178,0.0024,2.1537,64.291,0.0,67.0037,1778805943665391646
nyudepth,no_sharing_tpc,2.6278,51.8525,46.5461,45.4734,0.0022,0.5605,2.5375,0.0,5.3063,1778805943784609889
nyudepth,no_sharing_tpc,2.9169,41.5051,36.7933,35.7075,0.0024,0.5202,1.8938,0.0,4.7118,1778805944073101480
nyudepth,no_sharing_tpc,2.9806,41.2662,36.8131,35.7623,0.0023,0.4961,1.7319,0.0,4.4531,1778805944136610296
nyudepth,no_sharing_tpc,3.1861,41.9781,36.4939,35.3603,0.0025,0.537,1.8592,0.0,5.4842,1778805944342303425
nyudepth,no_sharing_tpc,3.2122,74.6818,56.9869,55.0625,0.0025,1.2976,14.9512,0.0,17.6948,1778805944381462355
nyudepth,no_sharing_tpc,3.2272,201.725,138.8351,92.9758,0.0025,22.6849,60.1072,0.0,62.8899,1778805944441658447
nyudepth,no_sharing_tpc,3.2795,151.5443,138.8351,92.9758,0.0025,22.6849,7.8654,0.0,12.7092,1778805944441658447
nyudepth,no_sharing_tpc,3.4301,61.393,57.2041,56.0725,0.0029,0.5273,1.6029,0.0,4.1889,1778805944586020565
nyudepth,no_sharing_tpc,3.4986,43.1697,38.8145,37.8731,0.0021,0.49,1.6069,0.0,4.3552,1778805944654559711
nyudepth,no_sharing_tpc,3.7069,88.0289,83.3233,82.0515,0.0026,0.6082,1.827,0.0,4.7056,1778805944863032097
nyudepth,no_sharing_tpc,3.7437,93.5717,39.7781,38.6794,0.002,0.5136,51.121,0.0,53.7936,1778805944949083153
nyudepth,no_sharing_tpc,4.0506,84.5804,79.8189,78.0442,0.002,0.9738,1.9276,0.0,4.7615,1778805945206808998
nyudepth,no_sharing_tpc,4.2547,47.9512,43.1396,42.0033,0.0019,0.5255,2.0459,0.0,4.8116,1778805945411037937
nyudepth,no_sharing_tpc,4.3638,41.7924,37.0791,35.8244,0.0024,0.6644,1.9288,0.0,4.7133,1778805945520056857
nyudepth,no_sharing_tpc,4.4338,48.1682,43.5437,40.7974,0.0025,2.1473,1.816,0.0,4.6245,1778805945589908080
nyudepth,no_sharing_tpc,4.5091,76.8676,72.3496,69.578,0.0029,2.1218,1.7917,0.0,4.518,1778805945665205680
nyudepth,no_sharing_tpc,4.5218,192.1744,124.778,123.57,0.0031,0.326,64.4641,0.0,67.3964,1778805945740567877
nyudepth,no_sharing_tpc,4.5515,164.8033,124.778,123.57,0.0031,0.326,34.8072,0.0,40.0252,1778805945740567877
nyudepth,no_sharing_tpc,4.6663,133.116,79.8985,78.7643,0.0023,0.6028,50.2057,0.0,53.2175,1778805945870808861
nyudepth,no_sharing_tpc,4.7304,155.1087,83.0923,81.8748,0.0026,0.6024,68.8944,0.0,72.0164,1778805945953628175
nyudepth,no_sharing_tpc,4.9417,41.7187,36.9093,35.7217,0.003,0.57,1.971,0.0,4.8094,1778805946098001150
nyudepth,no_sharing_tpc,5.0596,52.8624,48.2486,45.507,0.0026,2.1335,1.8878,0.0,4.6139,1778805946215843235
nyudepth,no_sharing_tpc,5.099,84.6589,68.6661,67.4274,0.003,0.6125,13.4113,0.0,15.9928,1778805946266722754
nyudepth,no_sharing_tpc,5.1758,50.9603,40.3979,39.3631,0.002,0.5026,7.8516,0.0,10.5624,1778805946337978103
nyudepth,no_sharing_tpc,5.283,45.5825,40.9955,38.2457,0.0021,2.1274,1.8663,0.0,4.587,1778805946439141131
nyudepth,no_sharing_tpc,5.3407,85.9935,81.61,78.9819,0.0024,2.0879,1.6475,0.0,4.3835,1778805946496649719
nyudepth,no_sharing_tpc,5.3949,114.8736,80.5751,77.9209,0.0028,2.1286,31.5962,0.0,34.2985,1778805946580805038
nyudepth,no_sharing_tpc,5.5404,83.8699,79.3224,76.5904,0.0025,2.0729,1.8415,0.0,4.5476,1778805946696585399
nyudepth,no_sharing_tpc,5.5903,119.2467,82.6896,79.9387,0.0027,2.1127,33.8337,0.0,36.5571,1778805946778402114
nyudepth,no_sharing_tpc,5.8123,43.0405,38.4389,37.351,0.0023,0.5601,1.8442,0.0,4.6016,1778805946968420955
nyudepth,no_sharing_tpc,6.0437,62.5787,57.9306,56.649,0.0026,0.6379,1.9109,0.0,4.6481,1778805947199960081
nyudepth,no_sharing_tpc,6.2256,41.6448,36.9363,35.8842,0.0025,0.5487,1.9443,0.0,4.7085,1778805947381820978
nyudepth,no_sharing_tpc,6.2366,72.0594,38.7588,37.6483,0.0029,0.5201,30.4465,0.0,33.3006,1778805947421323695
nyudepth,no_sharing_tpc,6.4259,86.3788,81.6661,78.8719,0.0029,2.1113,1.8995,0.0,4.7127,1778805947582062127
nyudepth,no_sharing_tpc,6.6515,42.0179,37.3018,36.1748,0.0024,0.5375,1.9262,0.0,4.7161,1778805947807713922
nyudepth,no_sharing_tpc,6.8385,41.754,37.1314,35.9994,0.0023,0.5482,1.9002,0.0,4.6226,1778805947994741106
nyudepth,no_sharing_tpc,6.8854,42.4628,37.9632,36.8858,0.0021,0.5039,1.6818,0.0,4.4996,1778805948041421898
nyudepth,no_sharing_tpc,6.939,62.2017,57.6878,54.9845,0.0024,2.0606,1.657,0.0,4.5139,1778805948095002938
nyudepth,no_sharing_tpc,6.9668,117.362,80.295,77.6372,0.0024,2.1299,34.1351,0.0,37.067,1778805948155272506
nyudepth,no_sharing_tpc,7.0254,236.9514,174.299,153.6005,0.0027,6.6665,59.7413,0.0,62.6523,1778805948239446059
nyudepth,no_sharing_tpc,7.0293,235.6513,174.299,153.6005,0.0027,6.6665,55.8712,0.0,61.3522,1778805948239446059
nyudepth,no_sharing_tpc,7.057,209.6868,174.299,153.6005,0.0027,6.6665,28.1308,0.0,35.3877,1778805948239446059
nyudepth,no_sharing_tpc,7.2768,42.6905,38.1621,37.0273,0.0162,0.5288,1.7207,0.0,4.5284,1778805948432870474
nyudepth,no_sharing_tpc,7.9417,42.0554,37.1203,35.9666,0.0026,0.5235,2.0778,0.0,4.9351,1778805949098101857
nyudepth,no_sharing_tpc,8.0359,59.9155,55.3675,54.1335,0.0023,0.5857,1.8682,0.0,4.548,1778805949192043334
nyudepth,no_sharing_tpc,8.0835,54.9972,40.1946,39.1408,0.003,0.497,12.1193,0.0,14.8026,1778805949249904707
nyudepth,no_sharing_tpc,8.1495,80.1129,75.7858,74.5876,0.0023,0.5711,1.6563,0.0,4.3272,1778805949305426773
nyudepth,no_sharing_tpc,8.2103,60.7278,38.8292,37.777,0.0021,0.5234,19.1207,0.0,21.8987,1778805949383753018
nyudepth,no_sharing_tpc,8.2317,80.3261,38.5895,37.5443,0.0023,0.5153,39.0704,0.0,41.7366,1778805949425103389
nyudepth,no_sharing_tpc,8.4121,42.8233,38.1597,37.078,0.002,0.5105,1.8275,0.0,4.6636,1778805949568209512
nyudepth,no_sharing_tpc,8.641,41.4526,36.7162,35.6831,0.0022,0.5347,1.9364,0.0,4.7365,1778805949797202251
nyudepth,no_sharing_tpc,8.8926,63.2811,58.5196,55.7612,0.0022,2.1384,1.9364,0.0,4.7615,1778805950048854103
