task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,37.5743,32.3645,30.9909,0.0028,0.586,2.1639,0.0,5.2098,1778809853520409549
nyudepth,sharing,0.3013,35.969,30.916,29.2711,0.0032,0.7863,2.0044,0.0,5.053,1778809853821417464
nyudepth,sharing,0.5928,38.2154,33.0116,31.2739,0.0027,0.8684,2.1613,0.0,5.2038,1778809854113146710
nyudepth,sharing,0.8917,36.1714,30.4712,29.1907,0.0033,0.5266,2.0287,0.0,5.7002,1778809854411902558
nyudepth,sharing,0.9267,36.7467,32.1189,30.5524,0.0029,0.8311,1.8189,0.0,4.6278,1778809854446745402
nyudepth,sharing,0.9381,75.9721,51.5034,46.9064,0.0017,3.5216,22.0408,0.0,24.4687,1778809854478247074
nyudepth,sharing,1.1193,35.4269,30.4679,29.1268,0.0027,0.5899,2.007,0.0,4.9589,1778809854639470144
nyudepth,sharing,1.295,35.4881,30.5921,29.2082,0.0031,0.5735,1.9944,0.0,4.896,1778809854815157146
nyudepth,sharing,1.6851,36.9968,32.1207,30.213,0.0024,1.0649,1.9643,0.0,4.8761,1778809855205186075
nyudepth,sharing,1.6961,57.8737,33.0279,31.7311,0.0024,0.5368,22.0132,0.0,24.8458,1778809855236289475
nyudepth,sharing,1.8259,70.7786,54.803,52.3222,0.0028,1.4181,11.183,0.0,15.9756,1778809855355280261
nyudepth,sharing,1.8352,94.4436,35.7313,34.3561,0.0024,0.5941,55.4905,0.0,58.7123,1778809855408808150
nyudepth,sharing,1.9706,47.6761,33.0036,31.6602,0.0028,0.5821,11.8105,0.0,14.6725,1778809855500575826
nyudepth,sharing,2.1885,35.3069,30.3572,28.9862,0.0025,0.5461,2.0986,0.0,4.9497,1778809855708760960
nyudepth,sharing,2.236,35.4974,30.5579,29.101,0.0026,0.5847,1.9598,0.0,4.9395,1778809855756096257
nyudepth,sharing,2.3907,36.8462,32.0045,30.2663,0.0032,0.9105,1.9934,0.0,4.8416,1778809855910878275
nyudepth,sharing,2.4087,123.1008,105.0348,43.0443,0.0024,30.3153,15.388,0.0,18.066,1778809855942249200
nyudepth,sharing,2.4207,113.189,105.0348,43.0443,0.0024,30.3153,3.4101,0.0,8.1542,1778809855942249200
nyudepth,sharing,2.4597,77.5185,65.6901,50.5884,0.0029,0.6828,9.0435,0.0,11.8283,1778809855986913376
nyudepth,sharing,2.5721,53.267,33.5144,32.1346,0.003,0.5958,16.0279,0.0,19.7526,1778809856106282882
nyudepth,sharing,2.6246,35.0819,30.4841,29.0985,0.0029,0.583,1.7006,0.0,4.5978,1778809856144464789
nyudepth,sharing,2.7799,57.3268,48.8579,44.1085,0.0021,1.2438,5.9068,0.0,8.4689,1778809856303930639
nyudepth,sharing,2.8086,60.8499,35.2557,33.9237,0.0028,0.58,22.6696,0.0,25.5942,1778809856349391344
nyudepth,sharing,3.0377,37.8084,32.7077,30.9714,0.003,0.8121,1.9987,0.0,5.1007,1778809856557879734
nyudepth,sharing,3.1913,34.8055,30.1302,28.7597,0.0032,0.5511,1.8015,0.0,4.6753,1778809856711254504
nyudepth,sharing,3.2733,34.9638,30.1652,28.7293,0.0029,0.5741,1.9286,0.0,4.7986,1778809856793371422
nyudepth,sharing,3.3254,36.756,31.89,30.225,0.0026,0.9329,1.9493,0.0,4.8661,1778809856845529476
nyudepth,sharing,3.3825,48.763,35.8126,34.3382,0.003,0.716,9.9769,0.0,12.9505,1778809856910612853
nyudepth,sharing,3.3917,122.9973,83.7791,80.936,0.0025,0.9115,36.2148,0.0,39.2182,1778809856946089569
nyudepth,sharing,3.4145,102.0124,83.7791,80.936,0.0025,0.9115,13.3803,0.0,18.2333,1778809856946089569
nyudepth,sharing,3.4998,72.7477,58.6039,56.8361,0.0022,0.7734,10.8087,0.0,14.1438,1778809857028757906
nyudepth,sharing,3.5483,98.3763,74.1741,71.8251,0.0032,1.5096,21.2808,0.0,24.2022,1778809857087715404
nyudepth,sharing,3.7064,36.165,30.5858,29.195,0.003,0.579,2.6016,0.0,5.5792,1778809857227164232
nyudepth,sharing,3.7958,36.7846,31.7009,30.1452,0.0027,0.7137,2.1658,0.0,5.0837,1778809857316080499
nyudepth,sharing,3.8259,57.122,48.835,46.6512,0.0036,1.1133,3.3016,0.0,8.287,1778809857347324053
nyudepth,sharing,3.882,35.0926,30.5391,29.1786,0.0027,0.5507,1.6792,0.0,4.5535,1778809857401811219
nyudepth,sharing,3.9622,36.2382,31.4349,29.8257,0.0027,0.8588,1.8857,0.0,4.8033,1778809857482290888
nyudepth,sharing,4.0056,75.2656,36.3642,34.7138,0.0027,0.933,36.0529,0.0,38.9015,1778809857559850919
nyudepth,sharing,4.0458,68.4276,34.103,32.3693,0.0029,0.9113,31.3795,0.0,34.3246,1778809857595349138
nyudepth,sharing,4.1565,36.8862,31.2717,29.4291,0.0029,0.9471,2.0144,0.0,5.6146,1778809857676716973
nyudepth,sharing,4.1923,83.1361,49.3921,47.4732,0.0015,0.9006,30.7903,0.0,33.7439,1778809857741247985
nyudepth,sharing,4.36,35.3081,30.5226,29.1318,0.0027,0.5674,1.9462,0.0,4.7855,1778809857880100012
nyudepth,sharing,4.5332,54.2431,33.1488,31.7412,0.0031,0.5976,18.2886,0.0,21.0943,1778809858069652665
nyudepth,sharing,4.6687,37.2119,32.3997,30.6168,0.0032,0.9378,1.9572,0.0,4.8122,1778809858188778784
nyudepth,sharing,4.6777,59.8781,32.5585,31.2149,0.003,0.5566,24.4977,0.0,27.3196,1778809858220314351
nyudepth,sharing,4.8207,71.4159,47.8016,45.4428,0.0024,1.2844,18.4896,0.0,23.6143,1778809858357378994
nyudepth,sharing,4.9886,36.0796,30.3581,29.0499,0.0027,0.5792,2.7876,0.0,5.7215,1778809858509577006
nyudepth,sharing,5.1287,36.4697,30.4836,29.0974,0.003,0.5536,1.9119,0.0,5.9861,1778809858648797987
nyudepth,sharing,5.1637,35.5611,30.4666,29.0704,0.0027,0.5762,2.2404,0.0,5.0945,1778809858684127605
nyudepth,sharing,5.2045,39.5911,32.3726,30.667,0.0028,0.8663,1.9217,0.0,7.2185,1778809858724523180
nyudepth,sharing,5.225,63.7093,47.4059,45.4512,0.0025,0.8331,13.1111,0.0,16.3034,1778809858756261884
nyudepth,sharing,5.2692,136.3487,115.4145,110.0799,0.0021,1.963,16.3658,0.0,20.9342,1778809858803730512
nyudepth,sharing,5.272,135.823,115.4145,110.0799,0.0021,1.963,13.5565,0.0,20.4085,1778809858803730512
nyudepth,sharing,5.293,147.3701,40.7642,39.3876,0.0032,0.5807,103.775,0.0,106.6059,1778809858914900674
nyudepth,sharing,5.4575,35.3391,30.5189,29.1303,0.0031,0.548,1.9422,0.0,4.8202,1778809858977617697
nyudepth,sharing,5.9564,35.6908,30.9043,29.474,0.0027,0.5591,1.9095,0.0,4.7865,1778809859476472523
nyudepth,sharing,6.0273,54.1084,34.257,32.5968,0.003,0.8353,16.9022,0.0,19.8513,1778809859562323509
nyudepth,sharing,6.0627,51.7569,33.9206,31.5292,0.0029,0.8814,14.9312,0.0,17.8363,1778809859595810416
nyudepth,sharing,6.1125,69.7858,35.5612,33.787,0.0025,1.036,31.3892,0.0,34.2246,1778809859662052454
nyudepth,sharing,6.158,73.0882,49.6087,47.8346,0.003,0.4727,20.5977,0.0,23.4795,1778809859696786396
nyudepth,sharing,6.1742,58.7757,49.6087,47.8346,0.003,0.4727,4.3864,0.0,9.167,1778809859696786396
nyudepth,sharing,6.309,35.0356,30.4017,29.047,0.003,0.5421,1.7583,0.0,4.6339,1778809859828952190
nyudepth,sharing,6.4819,35.5945,30.5301,29.1064,0.0028,0.5782,2.0928,0.0,5.0644,1778809860002106589
nyudepth,sharing,6.6694,38.0027,33.1642,30.6489,0.0062,1.6227,1.9243,0.0,4.8385,1778809860189525625
nyudepth,sharing,7.3329,35.8593,30.9376,29.5421,0.0027,0.5736,2.0342,0.0,4.9217,1778809860853076633
nyudepth,sharing,7.5969,35.7504,30.8947,29.4962,0.0025,0.5759,1.9608,0.0,4.8556,1778809861117056812
nyudepth,sharing,7.8027,36.4981,31.5376,29.8125,0.0031,0.954,2.0018,0.0,4.9604,1778809861322845262
nyudepth,sharing,7.9324,35.383,30.4186,28.9888,0.003,0.6076,2.0196,0.0,4.9644,1778809861452619399
nyudepth,sharing,8.007,36.4094,31.4489,29.6862,0.0031,0.975,1.9975,0.0,4.9605,1778809861527160651
nyudepth,sharing,8.012,63.2532,32.8208,31.4574,0.0026,0.5762,27.5609,0.0,30.4323,1778809861557714672
nyudepth,sharing,8.1314,34.9977,30.1697,28.7826,0.0033,0.5799,2.0251,0.0,4.828,1778809861651625641
nyudepth,sharing,8.2103,36.4645,31.6016,29.7461,0.0026,0.9531,1.9214,0.0,4.8628,1778809861730411806
nyudepth,sharing,8.3976,35.0866,30.2556,28.9344,0.0027,0.588,1.8954,0.0,4.831,1778809861917640868
nyudepth,sharing,8.6519,35.0645,30.0652,28.6761,0.0029,0.5626,2.0714,0.0,4.9993,1778809862172161969
nyudepth,sharing,8.6932,36.3007,31.4019,29.7524,0.0031,0.891,1.8702,0.0,4.8987,1778809862213191711
nyudepth,sharing,8.6991,62.1879,32.7812,31.42,0.0026,0.5775,26.5338,0.0,29.4067,1778809862243772832
nyudepth,sharing,8.8144,55.2504,32.7503,31.4074,0.0027,0.5802,19.5913,0.0,22.5001,1778809862352192466
nyudepth,sharing,9.1344,35.6417,30.6738,28.7646,0.0028,0.552,2.0638,0.0,4.9678,1778809862654661554
nyudepth,sharing,9.2363,35.1124,30.2175,28.7679,0.0036,0.596,1.9815,0.0,4.8949,1778809862756419672
nyudepth,sharing,9.5032,36.5326,31.546,29.67,0.0027,0.7239,2.0318,0.0,4.9866,1778809863023373876
nyudepth,sharing,9.5971,35.4447,30.454,29.015,0.003,0.5885,2.0924,0.0,4.9908,1778809863117354196
nyudepth,sharing,9.7615,35.1372,30.185,28.76,0.0028,0.5988,1.9882,0.0,4.9522,1778809863281624574
nyudepth,sharing,9.7978,37.051,31.8133,29.9923,0.0029,0.9745,1.8339,0.0,5.2376,1778809863317757115
nyudepth,sharing,9.8147,55.4035,36.4607,34.7849,0.0031,0.8511,15.8451,0.0,18.9427,1778809863348673601
nyudepth,sharing,9.8327,148.0758,111.2488,67.5335,0.003,14.2182,33.8557,0.0,36.827,1778809863384679145
nyudepth,sharing,9.847,135.5758,111.2488,67.5335,0.003,14.2182,19.5284,0.0,24.327,1778809863384679145
nyudepth,sharing,9.854,130.7254,111.2488,67.5335,0.003,14.2182,12.5732,0.0,19.4766,1778809863384679145
nyudepth,sharing,10.0679,37.2016,31.5497,30.2088,0.0032,0.5573,2.7113,0.0,5.6519,1778809863588752918
nyudepth,sharing,10.1242,65.3677,34.4175,32.5684,0.0032,0.9368,27.993,0.0,30.9502,1778809863670371773
nyudepth,sharing,10.1724,49.3283,33.0173,31.638,0.0028,0.5905,13.4492,0.0,16.311,1778809863703984965
nyudepth,sharing,10.2899,38.9154,34.104,32.4251,0.0029,0.8205,1.9226,0.0,4.8114,1778809863810021501
nyudepth,sharing,10.3126,48.2061,32.7426,31.443,0.0028,0.5543,12.5892,0.0,15.4635,1778809863843332243
nyudepth,sharing,10.5529,35.1164,30.2062,28.7703,0.0035,0.5614,1.9832,0.0,4.9102,1778809864073059589
nyudepth,sharing,10.7138,36.6912,31.7375,29.9774,0.0029,0.7465,2.0034,0.0,4.9536,1778809864233927324
nyudepth,sharing,10.7556,61.2378,33.7841,32.1718,0.0026,0.8471,24.5929,0.0,27.4537,1778809864298367038
nyudepth,sharing,10.7806,68.6498,33.069,31.776,0.0026,0.5741,32.7189,0.0,35.5808,1778809864331505429
nyudepth,sharing,10.847,35.9905,30.3886,29.1335,0.0028,0.5463,2.737,0.0,5.6019,1778809864367932054
nyudepth,sharing,10.8852,36.4702,31.8424,30.0373,0.003,0.9533,1.7099,0.0,4.6278,1778809864405057475
nyudepth,sharing,10.8941,61.1019,34.3958,32.7438,0.0031,0.8486,23.7753,0.0,26.7061,1778809864436022562
nyudepth,sharing,10.9574,81.064,47.8444,45.6852,0.0019,1.0965,28.3136,0.0,33.2196,1778809864503830222
