task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,33.319,29.3932,28.4472,0.002,0.4602,1.3459,0.0,3.9258,1778783010644573591
nyudepth,single_nyudepth,0.482,34.7307,30.0995,29.0565,0.0026,0.4753,1.9491,0.0,4.6311,1778783011127098866
nyudepth,single_nyudepth,0.9493,34.5068,29.9449,28.8992,0.0023,0.4674,1.8873,0.0,4.5619,1778783011594344204
nyudepth,single_nyudepth,1.4264,34.5843,29.8936,28.8687,0.0025,0.4775,1.9152,0.0,4.6907,1778783012071501315
nyudepth,single_nyudepth,1.4811,34.8229,30.5667,29.7137,0.002,0.4523,1.4424,0.0,4.2562,1778783012125751628
nyudepth,single_nyudepth,1.499,48.4436,29.2358,28.3487,0.0018,0.4128,16.8643,0.0,19.2077,1778783012159021045
nyudepth,single_nyudepth,1.7898,34.3711,29.935,28.9091,0.0022,0.4887,1.8034,0.0,4.4361,1778783012434792245
nyudepth,single_nyudepth,2.0716,34.4732,29.9242,28.9406,0.0026,0.5028,1.8291,0.0,4.5489,1778783012716584866
nyudepth,single_nyudepth,2.6968,35.6135,31.0769,30.0069,0.0031,0.5069,1.9155,0.0,4.5366,1778783013341894050
nyudepth,single_nyudepth,2.7118,53.0136,29.983,28.5455,0.0024,0.4586,20.509,0.0,23.0306,1778783013375464602
nyudepth,single_nyudepth,2.9211,35.7132,30.9497,29.8508,0.0029,0.5185,1.9374,0.0,4.7635,1778783013566206535
nyudepth,single_nyudepth,2.936,52.6681,29.4458,28.4941,0.0025,0.4616,20.7565,0.0,23.2223,1778783013599970075
nyudepth,single_nyudepth,3.153,34.7564,30.147,29.0976,0.0033,0.4772,1.9004,0.0,4.6094,1778783013798070859
nyudepth,single_nyudepth,3.5002,34.6422,30.097,29.1368,0.0021,0.4817,1.8582,0.0,4.5452,1778783014145239001
nyudepth,single_nyudepth,3.577,33.6618,29.6059,28.6217,0.0023,0.4709,1.4849,0.0,4.056,1778783014221658533
nyudepth,single_nyudepth,3.823,35.1896,30.7441,29.0133,0.0028,1.1661,1.8396,0.0,4.4455,1778783014468023408
nyudepth,single_nyudepth,3.8539,36.5815,29.7627,28.9197,0.0024,0.4509,4.4348,0.0,6.8188,1778783014501548737
nyudepth,single_nyudepth,3.8723,49.8362,29.3371,28.5237,0.0017,0.4279,18.1553,0.0,20.4991,1778783014533672011
nyudepth,single_nyudepth,3.9363,33.1395,29.3408,28.4715,0.0018,0.425,1.3506,0.0,3.7986,1778783014580848185
nyudepth,single_nyudepth,4.1157,34.6711,30.1335,29.053,0.0029,0.5283,1.7974,0.0,4.5376,1778783014760695472
nyudepth,single_nyudepth,4.1985,33.6347,29.4935,28.446,0.0028,0.5106,1.5399,0.0,4.1411,1778783014843257764
nyudepth,single_nyudepth,4.4475,34.3468,29.7887,28.7509,0.0027,0.4913,1.8444,0.0,4.5581,1778783015092536375
nyudepth,single_nyudepth,4.492,33.2894,29.3436,28.3837,0.0028,0.46,1.4834,0.0,3.9459,1778783015136662233
nyudepth,single_nyudepth,4.8608,34.4603,29.8676,28.9125,0.0025,0.5036,1.8773,0.0,4.5928,1778783015505841405
nyudepth,single_nyudepth,5.1056,34.3425,29.8561,28.8313,0.0025,0.4819,1.8418,0.0,4.4864,1778783015750610464
nyudepth,single_nyudepth,5.2372,34.1063,29.7734,28.7533,0.0024,0.5003,1.703,0.0,4.3328,1778783015882029870
nyudepth,single_nyudepth,5.3204,33.4547,29.4994,28.5396,0.0027,0.4746,1.4379,0.0,3.9553,1778783015965014287
nyudepth,single_nyudepth,5.411,34.4927,30.3232,29.3251,0.0022,0.4867,1.6091,0.0,4.1696,1778783016055803630
nyudepth,single_nyudepth,5.4259,52.1665,30.1382,29.1593,0.0024,0.5027,19.5222,0.0,22.0282,1778783016088563804
nyudepth,single_nyudepth,5.4617,48.7115,29.9357,28.9889,0.0022,0.457,16.2468,0.0,18.7758,1778783016121070191
nyudepth,single_nyudepth,5.5996,33.7694,29.4519,28.5299,0.0023,0.4866,1.6882,0.0,4.3175,1778783016244417328
nyudepth,single_nyudepth,5.6765,33.3493,29.3305,28.3953,0.0022,0.4516,1.4911,0.0,4.0187,1778783016321126947
nyudepth,single_nyudepth,5.9302,34.1015,29.7232,28.6943,0.0026,0.4979,1.7419,0.0,4.3783,1778783016575070526
nyudepth,single_nyudepth,6.0715,33.9894,29.7483,28.7259,0.0032,0.4853,1.6255,0.0,4.2412,1778783016716264111
nyudepth,single_nyudepth,6.1196,33.1647,29.2182,28.2817,0.0022,0.4608,1.4179,0.0,3.9466,1778783016764178678
nyudepth,single_nyudepth,6.2109,33.6509,29.5306,28.5538,0.002,0.4751,1.6246,0.0,4.1203,1778783016855709364
nyudepth,single_nyudepth,6.3398,33.6428,29.4747,28.4539,0.0022,0.5021,1.5326,0.0,4.168,1778783016984459157
nyudepth,single_nyudepth,6.4085,33.077,29.1832,28.2521,0.002,0.4573,1.3809,0.0,3.8938,1778783017053085088
nyudepth,single_nyudepth,6.4727,33.4587,29.4595,28.4604,0.0025,0.501,1.4484,0.0,3.9992,1778783017117363448
nyudepth,single_nyudepth,6.6495,34.0385,29.6684,28.7277,0.0027,0.5005,1.6603,0.0,4.3702,1778783017294290750
nyudepth,single_nyudepth,6.7076,33.4058,29.3849,28.407,0.0019,0.4775,1.5047,0.0,4.0208,1778783017352313976
nyudepth,single_nyudepth,6.9744,34.3242,29.855,28.7965,0.0027,0.4826,1.7734,0.0,4.4692,1778783017619372901
nyudepth,single_nyudepth,7.2531,34.354,29.8603,28.8777,0.0027,0.5026,1.8346,0.0,4.4936,1778783017898147135
nyudepth,single_nyudepth,7.4698,34.9431,30.4078,29.3558,0.0036,0.4892,1.8942,0.0,4.5353,1778783018114873701
nyudepth,single_nyudepth,7.4848,51.5292,29.3382,28.5107,0.0018,0.4311,19.7999,0.0,22.191,1778783018147768340
nyudepth,single_nyudepth,7.7116,34.2679,29.7068,28.7654,0.0024,0.483,1.8961,0.0,4.5611,1778783018356698709
nyudepth,single_nyudepth,7.9833,34.5194,29.9986,28.9386,0.0023,0.4818,1.8709,0.0,4.5209,1778783018628318025
nyudepth,single_nyudepth,8.2061,34.5275,30.0403,28.9981,0.0024,0.482,1.8797,0.0,4.4873,1778783018851173817
nyudepth,single_nyudepth,8.2618,33.7594,29.7768,28.3257,0.0021,0.4615,1.395,0.0,3.9825,1778783018906359612
nyudepth,single_nyudepth,8.3267,33.5994,29.2314,28.293,0.0023,0.472,1.4288,0.0,4.368,1778783018971290049
nyudepth,single_nyudepth,8.3595,33.0594,29.1881,28.2751,0.002,0.4473,1.3525,0.0,3.8713,1778783019003995694
nyudepth,single_nyudepth,8.4307,33.848,29.9,28.9801,0.0024,0.4496,1.4367,0.0,3.948,1778783019075270813
nyudepth,single_nyudepth,8.4345,61.909,29.5587,28.7499,0.0019,0.4298,29.9649,0.0,32.3503,1778783019107645883
nyudepth,single_nyudepth,8.4676,60.143,29.0876,28.2623,0.0018,0.4492,28.6505,0.0,31.0554,1778783019139458988
nyudepth,single_nyudepth,8.731,33.5104,29.3672,28.4305,0.0025,0.4419,1.5986,0.0,4.1432,1778783019375789123
nyudepth,single_nyudepth,9.5314,34.4074,29.9008,28.88,0.0022,0.4638,1.832,0.0,4.5065,1778783020176452255
nyudepth,single_nyudepth,9.643,32.9342,29.1584,28.2462,0.0016,0.4564,1.4026,0.0,3.7757,1778783020287600959
nyudepth,single_nyudepth,9.7001,32.5341,28.9591,28.1032,0.0016,0.4226,1.2233,0.0,3.575,1778783020344486484
nyudepth,single_nyudepth,9.7798,32.64,28.9747,28.11,0.0017,0.4229,1.2693,0.0,3.6653,1778783020424198000
nyudepth,single_nyudepth,9.8515,32.8512,29.3079,28.4588,0.0018,0.4189,1.1768,0.0,3.5433,1778783020495870979
nyudepth,single_nyudepth,9.8772,38.3503,28.9782,28.1467,0.0017,0.4038,7.1032,0.0,9.3721,1778783020527427748
nyudepth,single_nyudepth,10.0948,34.0612,29.742,28.774,0.0021,0.4561,1.7397,0.0,4.3192,1778783020739702797
nyudepth,single_nyudepth,10.3692,34.3685,29.9254,28.9085,0.0027,0.4662,1.7722,0.0,4.4431,1778783021014152933
nyudepth,single_nyudepth,10.672,33.8354,29.6074,28.7126,0.0021,0.4589,1.7052,0.0,4.228,1778783021316837635
nyudepth,single_nyudepth,11.734,34.7104,30.0653,29.0406,0.0024,0.4656,1.9736,0.0,4.6451,1778783022379123109
nyudepth,single_nyudepth,12.1542,34.5623,29.8975,28.9265,0.0026,0.471,1.9808,0.0,4.6648,1778783022799374014
nyudepth,single_nyudepth,12.4832,34.3416,29.8672,28.8284,0.0028,0.4803,1.8051,0.0,4.4744,1778783023128180702
nyudepth,single_nyudepth,12.6928,33.6599,29.5658,28.5847,0.0023,0.4539,1.5936,0.0,4.0941,1778783023337585012
nyudepth,single_nyudepth,12.8107,34.0664,30.3317,29.4416,0.002,0.4338,1.3003,0.0,3.7347,1778783023455127243
nyudepth,single_nyudepth,12.8194,56.7217,29.1079,28.2536,0.0018,0.4186,25.2974,0.0,27.6138,1778783023487834826
nyudepth,single_nyudepth,13.0113,33.0899,29.163,28.2715,0.0016,0.4287,1.4403,0.0,3.9268,1778783023655946756
nyudepth,single_nyudepth,13.1346,33.4601,29.4677,28.5047,0.0018,0.4668,1.5242,0.0,3.9924,1778783023779314797
nyudepth,single_nyudepth,13.4375,33.571,29.4643,28.5045,0.0021,0.4606,1.488,0.0,4.1067,1778783024082114263
nyudepth,single_nyudepth,13.8422,33.8881,29.6543,28.682,0.0022,0.474,1.6558,0.0,4.2338,1778783024487002003
nyudepth,single_nyudepth,13.9082,33.411,29.635,28.7516,0.0016,0.4354,1.3237,0.0,3.776,1778783024552692027
