task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0001,31.8289,28.3681,27.5341,0.0017,0.5078,1.0655,0.0,3.4608,1778783659569232037
vocseg,single_vocseg,0.034,34.694,30.9085,29.9452,0.0017,0.539,1.1606,0.0,3.7854,1778783659603281546
vocseg,single_vocseg,0.0506,101.0201,79.8151,56.0803,0.0018,11.6516,18.6875,0.0,21.205,1778783659637393666
vocseg,single_vocseg,0.0621,91.4369,79.8151,56.0803,0.0018,11.6516,7.1366,0.0,11.6218,1778783659637393666
vocseg,single_vocseg,0.2998,33.7379,29.7927,28.8033,0.0019,0.5189,1.559,0.0,3.9452,1778783659869500863
vocseg,single_vocseg,0.6109,33.1342,29.1062,28.0905,0.0019,0.5517,1.5357,0.0,4.028,1778783660180602129
vocseg,single_vocseg,0.6912,32.9025,29.2695,28.3093,0.002,0.5353,1.2505,0.0,3.633,1778783660260591698
vocseg,single_vocseg,0.9615,33.4761,29.572,28.539,0.0021,0.5676,1.4052,0.0,3.9042,1778783660530984821
vocseg,single_vocseg,0.9842,42.1984,28.7785,27.8562,0.002,0.5624,10.781,0.0,13.4199,1778783660563077998
vocseg,single_vocseg,1.1976,33.0095,28.941,27.906,0.0022,0.5567,1.5128,0.0,4.0685,1778783660767290023
vocseg,single_vocseg,1.3058,32.6016,28.7229,27.8109,0.0027,0.5281,1.4238,0.0,3.8787,1778783660875391488
vocseg,single_vocseg,1.5157,33.179,29.0725,28.1271,0.0026,0.5388,1.4777,0.0,4.1065,1778783661085329282
vocseg,single_vocseg,2.1987,34.2493,29.7315,28.6223,0.0025,0.5641,1.8449,0.0,4.5178,1778783661768677019
vocseg,single_vocseg,2.3432,33.1039,29.167,28.1197,0.0024,0.564,1.4653,0.0,3.9369,1778783661912757259
vocseg,single_vocseg,2.5936,33.632,29.4763,28.3792,0.0027,0.5751,1.5979,0.0,4.1557,1778783662163331612
vocseg,single_vocseg,2.8075,33.5135,29.4347,28.3674,0.0027,0.5813,1.4777,0.0,4.0788,1778783662377126497
vocseg,single_vocseg,2.8082,64.899,29.6969,28.6774,0.0026,0.575,32.799,0.0,35.202,1778783662409123662
vocseg,single_vocseg,2.8532,51.2185,28.9028,27.9373,0.002,0.5313,19.9211,0.0,22.3157,1778783662441220555
vocseg,single_vocseg,2.9295,32.0048,28.4832,27.5693,0.0018,0.5057,1.2131,0.0,3.5217,1778783662498866481
vocseg,single_vocseg,3.1158,33.927,29.5521,28.4445,0.0025,0.5768,1.7691,0.0,4.3749,1778783662685708109
vocseg,single_vocseg,3.2519,32.3703,28.6715,27.6612,0.0023,0.5529,1.2887,0.0,3.6988,1778783662821353845
vocseg,single_vocseg,3.903,33.746,29.4167,28.3516,0.0026,0.5528,1.7443,0.0,4.3293,1778783663472925063
vocseg,single_vocseg,4.086,32.8197,28.96,27.9483,0.0021,0.5587,1.4193,0.0,3.8597,1778783663655599439
vocseg,single_vocseg,4.4023,33.4814,29.368,28.2888,0.0024,0.5667,1.5662,0.0,4.1134,1778783663971964963
vocseg,single_vocseg,4.4439,32.4118,28.7786,27.7991,0.0019,0.5461,1.2093,0.0,3.6332,1778783664013221546
vocseg,single_vocseg,4.8638,35.1682,30.7256,29.6691,0.0026,0.5598,1.77,0.0,4.4425,1778783664433711931
vocseg,single_vocseg,4.8687,61.3773,28.7904,27.824,0.0018,0.5466,30.2224,0.0,32.5869,1778783664467046795
vocseg,single_vocseg,4.9812,32.2728,28.4696,27.5488,0.002,0.4992,1.2753,0.0,3.8033,1778783664550607555
vocseg,single_vocseg,5.0466,32.0933,28.5298,27.6143,0.0017,0.5124,1.1802,0.0,3.5635,1778783664615919464
vocseg,single_vocseg,5.3581,33.9611,29.6277,28.5655,0.0025,0.5535,1.7588,0.0,4.3333,1778783664927988588
vocseg,single_vocseg,5.4292,32.5558,28.7633,27.7875,0.0022,0.5416,1.272,0.0,3.7925,1778783664998601401
vocseg,single_vocseg,5.5439,33.2162,29.1934,28.1925,0.0026,0.5448,1.4632,0.0,4.0228,1778783665113530178
vocseg,single_vocseg,5.6473,32.4848,28.7519,27.8032,0.0022,0.518,1.2505,0.0,3.7329,1778783665216692277
vocseg,single_vocseg,5.6829,32.2309,28.6666,27.7769,0.0016,0.5469,1.1911,0.0,3.5643,1778783665252243546
vocseg,single_vocseg,6.1027,34.3916,29.808,28.7366,0.0025,0.584,1.8735,0.0,4.5836,1778783665672693346
vocseg,single_vocseg,6.3785,34.7869,30.3419,29.282,0.0028,0.5792,1.817,0.0,4.445,1778783665948438147
vocseg,single_vocseg,6.3864,58.2037,29.0581,28.1396,0.002,0.5397,26.7961,0.0,29.1456,1778783665981372014
vocseg,single_vocseg,6.5378,32.9163,28.884,27.8779,0.0022,0.5467,1.5752,0.0,4.0323,1778783666107547277
vocseg,single_vocseg,6.6519,32.8546,29.0051,27.9846,0.002,0.5459,1.2722,0.0,3.8495,1778783666221329462
vocseg,single_vocseg,6.7249,33.5777,29.2866,28.259,0.0027,0.5983,1.5688,0.0,4.291,1778783666294627276
vocseg,single_vocseg,6.8487,34.9007,30.3629,29.2212,0.0027,0.6117,1.7364,0.0,4.5378,1778783666418573767
vocseg,single_vocseg,6.8597,55.6605,29.2589,28.1708,0.0028,0.5982,23.8805,0.0,26.4016,1778783666451671589
vocseg,single_vocseg,7.0386,34.6911,30.3454,29.2245,0.0025,0.5942,1.8084,0.0,4.3457,1778783666608514410
vocseg,single_vocseg,7.0465,58.018,28.9508,27.9366,0.0023,0.5384,26.7143,0.0,29.0671,1778783666641342585
vocseg,single_vocseg,7.2277,33.7603,29.7462,28.1942,0.003,0.5638,1.4806,0.0,4.0141,1778783666797353777
vocseg,single_vocseg,7.6901,34.308,29.7906,28.7245,0.0025,0.5989,1.8847,0.0,4.5174,1778783667260097766
vocseg,single_vocseg,7.718,38.4216,29.7706,28.7881,0.0022,0.5601,6.2191,0.0,8.6511,1778783667292386984
vocseg,single_vocseg,7.7395,48.1625,28.8531,27.8817,0.0019,0.5345,16.9077,0.0,19.3094,1778783667324567879
vocseg,single_vocseg,7.8258,32.5122,28.7628,27.8263,0.0017,0.5072,1.3053,0.0,3.7494,1778783667395264378
vocseg,single_vocseg,8.0897,34.4262,29.8167,28.6459,0.0034,0.6157,1.8625,0.0,4.6095,1778783667659728663
vocseg,single_vocseg,8.3525,35.1205,29.7173,28.575,0.003,0.5856,1.8673,0.0,5.4032,1778783667922527246
vocseg,single_vocseg,8.3865,33.5052,29.5255,28.5289,0.0027,0.5808,1.442,0.0,3.9797,1778783667956097697
vocseg,single_vocseg,8.3876,64.1086,29.2359,28.2808,0.0022,0.5731,32.4323,0.0,34.8727,1778783667988123713
vocseg,single_vocseg,9.1565,34.3697,29.7546,28.6123,0.0025,0.5809,1.9472,0.0,4.6151,1778783668726617618
vocseg,single_vocseg,9.4343,34.7893,29.8679,28.6782,0.0028,0.5921,1.9648,0.0,4.9214,1778783669004416460
vocseg,single_vocseg,9.6173,34.5924,29.8907,28.6987,0.0029,0.5917,1.9021,0.0,4.7017,1778783669187402677
vocseg,single_vocseg,9.7722,34.1587,29.6385,28.5069,0.0029,0.5907,1.8399,0.0,4.5202,1778783669342181597
vocseg,single_vocseg,10.0297,34.1723,29.6913,28.5735,0.0028,0.574,1.7982,0.0,4.481,1778783669599670944
vocseg,single_vocseg,10.2172,34.4381,29.7127,28.538,0.0031,0.6136,1.8907,0.0,4.7254,1778783669787230109
vocseg,single_vocseg,10.5431,34.2903,29.643,28.5057,0.003,0.5897,1.8988,0.0,4.6473,1778783670113127807
vocseg,single_vocseg,10.6926,33.9406,29.9108,28.8143,0.0032,0.5776,1.4961,0.0,4.0297,1778783670262219985
vocseg,single_vocseg,10.7034,70.1845,44.5349,43.1924,0.0023,0.4371,23.247,0.0,25.6496,1778783670294778771
vocseg,single_vocseg,10.7213,54.3182,44.5349,43.1924,0.0023,0.4371,5.3701,0.0,9.7833,1778783670294778771
vocseg,single_vocseg,11.065,34.7421,29.9384,28.7281,0.0033,0.6312,1.956,0.0,4.8038,1778783670635126631
vocseg,single_vocseg,11.2551,34.2546,29.7357,28.6006,0.0031,0.5932,1.8818,0.0,4.5189,1778783670825096864
vocseg,single_vocseg,11.5548,34.5161,30.0958,28.482,0.0025,0.5773,1.7838,0.0,4.4203,1778783671124688053
vocseg,single_vocseg,11.6234,32.8639,28.9774,27.9442,0.0025,0.5738,1.3237,0.0,3.8865,1778783671192890852
vocseg,single_vocseg,11.9567,33.8647,29.5212,28.4238,0.003,0.5595,1.75,0.0,4.3435,1778783671526618031
vocseg,single_vocseg,11.9917,32.7306,28.9366,27.9507,0.002,0.5375,1.307,0.0,3.794,1778783671561173878
vocseg,single_vocseg,12.401,34.0867,29.6317,28.5156,0.0026,0.5936,1.7889,0.0,4.455,1778783671970896381
vocseg,single_vocseg,12.4952,32.5582,28.7949,27.7975,0.0024,0.5422,1.2896,0.0,3.7633,1778783672064637484
vocseg,single_vocseg,13.0635,34.2584,29.6699,28.5965,0.0028,0.581,1.8747,0.0,4.5885,1778783672633496697
vocseg,single_vocseg,13.1409,33.32,29.1783,28.1319,0.0025,0.5566,1.4861,0.0,4.1416,1778783672710523818
vocseg,single_vocseg,13.3265,33.1626,29.1669,28.134,0.0025,0.5436,1.4818,0.0,3.9957,1778783672896102787
vocseg,single_vocseg,14.0835,34.2574,29.6856,28.5533,0.0026,0.5672,1.904,0.0,4.5718,1778783673653571144
vocseg,single_vocseg,14.241,32.701,28.9292,27.9273,0.0024,0.5393,1.3382,0.0,3.7718,1778783673810504544
vocseg,single_vocseg,15.1087,34.1055,29.6643,28.5296,0.0028,0.5639,1.7989,0.0,4.4412,1778783674678662465
vocseg,single_vocseg,15.2481,33.787,29.4286,28.3036,0.0029,0.5785,1.6687,0.0,4.3584,1778783674817871233
vocseg,single_vocseg,15.4572,33.5257,29.274,28.2557,0.0025,0.571,1.6057,0.0,4.2517,1778783675026901017
vocseg,single_vocseg,15.7961,33.7574,29.4209,28.3441,0.0027,0.5571,1.7254,0.0,4.3365,1778783675365983028
vocseg,single_vocseg,16.1884,34.2197,29.6576,28.5647,0.0029,0.6002,1.8775,0.0,4.5621,1778783675758415461
vocseg,single_vocseg,16.4119,34.0362,29.544,28.4101,0.0026,0.5789,1.7903,0.0,4.4921,1778783675981875025
vocseg,single_vocseg,16.6403,34.1032,29.5197,28.4578,0.0032,0.5851,1.7869,0.0,4.5835,1778783676210235439
vocseg,single_vocseg,16.7216,33.6607,29.4276,28.3215,0.0027,0.5747,1.5912,0.0,4.233,1778783676291288731
vocseg,single_vocseg,17.0617,34.2784,29.7186,28.5601,0.0028,0.5849,1.8482,0.0,4.5598,1778783676631658550
vocseg,single_vocseg,17.1791,34.0557,29.9029,28.8195,0.0027,0.5799,1.5633,0.0,4.1528,1778783676748839948
vocseg,single_vocseg,17.5026,34.1697,29.5556,28.486,0.0029,0.5852,1.8361,0.0,4.614,1778783677072609536
vocseg,single_vocseg,17.545,32.8708,28.9987,27.9377,0.0026,0.5667,1.3485,0.0,3.8721,1778783677114431669
vocseg,single_vocseg,17.7601,33.952,29.5709,28.4539,0.0028,0.5929,1.7483,0.0,4.3811,1778783677330017851
vocseg,single_vocseg,17.9894,34.3888,29.7775,28.618,0.0029,0.5803,1.8518,0.0,4.6112,1778783677559437795
vocseg,single_vocseg,18.1391,33.4706,29.3052,28.2118,0.003,0.5687,1.5831,0.0,4.1655,1778783677708773138
vocseg,single_vocseg,18.2027,33.2012,29.1831,28.135,0.0025,0.5655,1.441,0.0,4.0182,1778783677772251408
vocseg,single_vocseg,18.293,33.1633,29.1075,28.0573,0.0024,0.5671,1.5635,0.0,4.0558,1778783677862726051
vocseg,single_vocseg,18.3653,32.5048,28.7847,27.8667,0.0024,0.5542,1.327,0.0,3.7201,1778783677934790648
vocseg,single_vocseg,18.432,32.4359,28.7921,27.8048,0.002,0.5388,1.1778,0.0,3.6438,1778783678001276982
vocseg,single_vocseg,18.8499,34.081,29.5592,28.5504,0.0029,0.5646,1.7998,0.0,4.5218,1778783678419851232
vocseg,single_vocseg,19.4027,34.1046,29.6136,28.5456,0.0033,0.5864,1.8232,0.0,4.491,1778783678972624191
vocseg,single_vocseg,19.6932,33.7727,29.3731,28.2984,0.0027,0.5542,1.7226,0.0,4.3996,1778783679263021736
vocseg,single_vocseg,19.8992,33.0138,29.1158,28.0695,0.0027,0.5772,1.4269,0.0,3.898,1778783679468784894
vocseg,single_vocseg,19.9464,32.6431,28.8,27.7949,0.0027,0.5548,1.3006,0.0,3.843,1778783679515828155
vocseg,single_vocseg,20.0752,33.2627,29.21,28.1692,0.0025,0.5444,1.5445,0.0,4.0527,1778783679644925961
vocseg,single_vocseg,21.0776,34.3134,29.6689,28.5509,0.0026,0.5666,1.9829,0.0,4.6445,1778783680647754845
vocseg,single_vocseg,21.3473,33.8113,29.5332,28.4133,0.0025,0.594,1.7104,0.0,4.2782,1778783680917150135
vocseg,single_vocseg,21.4543,33.1287,29.1911,28.1441,0.0028,0.5746,1.405,0.0,3.9376,1778783681023828413
vocseg,single_vocseg,21.7007,33.9773,29.7559,28.1637,0.0024,0.5646,1.5838,0.0,4.2214,1778783681270467316
vocseg,single_vocseg,21.91,33.478,29.3022,28.2976,0.0026,0.5826,1.5631,0.0,4.1758,1778783681479714181
vocseg,single_vocseg,22.2299,34.2383,29.6888,28.5579,0.0026,0.5889,1.8663,0.0,4.5495,1778783681799918795
vocseg,single_vocseg,22.6196,34.1117,29.7119,28.5957,0.0028,0.5658,1.7545,0.0,4.3998,1778783682189537799
vocseg,single_vocseg,23.0473,34.1713,29.5661,28.4944,0.0029,0.6052,1.8847,0.0,4.6052,1778783682617328983
vocseg,single_vocseg,23.8224,34.1744,29.6435,28.4898,0.0024,0.5956,1.8396,0.0,4.5309,1778783683392375390
vocseg,single_vocseg,23.8587,32.4411,28.7181,27.8113,0.0022,0.5514,1.2648,0.0,3.723,1778783683428109752
vocseg,single_vocseg,23.9663,33.2241,29.1331,28.1645,0.0025,0.5776,1.4448,0.0,4.091,1778783683535900162
vocseg,single_vocseg,24.0307,32.7923,28.913,27.9074,0.0024,0.5417,1.3926,0.0,3.8793,1778783683600211231
vocseg,single_vocseg,24.2408,32.8739,28.9352,27.8989,0.0024,0.5344,1.4372,0.0,3.9387,1778783683810336313
vocseg,single_vocseg,24.3338,32.3226,28.7005,27.712,0.0026,0.5536,1.2689,0.0,3.6222,1778783683903200697
vocseg,single_vocseg,24.4813,33.319,29.1847,28.1318,0.0022,0.5484,1.5538,0.0,4.1343,1778783684051051912
vocseg,single_vocseg,24.5949,32.8207,28.8992,27.8799,0.0022,0.5477,1.4212,0.0,3.9215,1778783684164418007
vocseg,single_vocseg,25.3756,34.3757,29.8126,28.6767,0.0027,0.5796,1.8749,0.0,4.5631,1778783684945603842
vocseg,single_vocseg,25.4801,32.8553,29.0582,28.0376,0.0027,0.5579,1.3108,0.0,3.797,1778783685049579662
vocseg,single_vocseg,25.5521,32.4745,28.7918,27.8365,0.002,0.5205,1.3185,0.0,3.6827,1778783685121578702
vocseg,single_vocseg,26.0362,33.8771,29.4303,28.3936,0.003,0.5874,1.8122,0.0,4.4468,1778783685606137941
vocseg,single_vocseg,26.1122,32.8186,28.9598,28.0287,0.0021,0.5446,1.3897,0.0,3.8588,1778783685681741059
