task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0002,449.9197
ecgclass,single_ecgclass,0.1219,344.5933
ecgclass,single_ecgclass,0.2382,249.3064
ecgclass,single_ecgclass,0.3586,128.9299
ecgclass,single_ecgclass,0.3709,116.6921
ecgclass,single_ecgclass,0.3751,112.5462
ecgclass,single_ecgclass,0.4493,54.1852
ecgclass,single_ecgclass,0.5188,23.5891
ecgclass,single_ecgclass,0.6747,35.0802
ecgclass,single_ecgclass,0.6787,46.9229
ecgclass,single_ecgclass,0.7309,21.5166
ecgclass,single_ecgclass,0.7349,33.1218
ecgclass,single_ecgclass,0.7893,27.7734
ecgclass,single_ecgclass,0.8753,28.0488
ecgclass,single_ecgclass,0.895,24.0016
ecgclass,single_ecgclass,0.9563,29.0225
ecgclass,single_ecgclass,0.9642,37.533
ecgclass,single_ecgclass,0.9681,49.1512
ecgclass,single_ecgclass,0.984,49.4268
ecgclass,single_ecgclass,1.0295,19.1338
ecgclass,single_ecgclass,1.0498,17.8142
ecgclass,single_ecgclass,1.1128,38.2779
ecgclass,single_ecgclass,1.1237,45.4707
ecgclass,single_ecgclass,1.2155,19.7375
ecgclass,single_ecgclass,1.2764,24.8609
ecgclass,single_ecgclass,1.3094,22.7582
ecgclass,single_ecgclass,1.3311,17.5121
ecgclass,single_ecgclass,1.3529,21.857
ecgclass,single_ecgclass,1.3568,33.51
ecgclass,single_ecgclass,1.3658,40.7946
ecgclass,single_ecgclass,1.4006,21.3499
ecgclass,single_ecgclass,1.4209,17.3221
ecgclass,single_ecgclass,1.4835,23.8397
ecgclass,single_ecgclass,1.5186,24.1859
ecgclass,single_ecgclass,1.5306,28.7681
ecgclass,single_ecgclass,1.5531,21.4291
ecgclass,single_ecgclass,1.5859,23.5426
ecgclass,single_ecgclass,1.6028,22.9535
ecgclass,single_ecgclass,1.6197,21.2829
ecgclass,single_ecgclass,1.6622,23.8845
ecgclass,single_ecgclass,1.6772,24.6592
ecgclass,single_ecgclass,1.7441,33.5877
ecgclass,single_ecgclass,1.815,33.3717
ecgclass,single_ecgclass,1.8676,29.9952
ecgclass,single_ecgclass,1.8716,41.8124
ecgclass,single_ecgclass,1.9287,24.1685
ecgclass,single_ecgclass,1.9961,24.1005
ecgclass,single_ecgclass,2.0525,25.0793
ecgclass,single_ecgclass,2.0675,27.8118
ecgclass,single_ecgclass,2.0819,29.2516
ecgclass,single_ecgclass,2.0909,37.324
ecgclass,single_ecgclass,2.1096,33.9596
ecgclass,single_ecgclass,2.1096,50.4198
ecgclass,single_ecgclass,2.1174,42.7384
ecgclass,single_ecgclass,2.1833,20.1328
ecgclass,single_ecgclass,2.3828,33.9735
ecgclass,single_ecgclass,2.4118,21.7094
ecgclass,single_ecgclass,2.4251,24.662
ecgclass,single_ecgclass,2.4458,19.3384
ecgclass,single_ecgclass,2.4641,18.2681
ecgclass,single_ecgclass,2.4704,27.0896
ecgclass,single_ecgclass,2.5248,24.627
ecgclass,single_ecgclass,2.5927,27.8664
ecgclass,single_ecgclass,2.6689,24.631
ecgclass,single_ecgclass,2.9341,34.6334
ecgclass,single_ecgclass,3.039,21.4331
ecgclass,single_ecgclass,3.1217,22.3675
ecgclass,single_ecgclass,3.1734,23.8907
ecgclass,single_ecgclass,3.2035,23.7482
ecgclass,single_ecgclass,3.2054,37.2441
ecgclass,single_ecgclass,3.2529,22.5918
ecgclass,single_ecgclass,3.2858,23.6769
ecgclass,single_ecgclass,3.3598,26.2012
ecgclass,single_ecgclass,3.4613,30.0686
ecgclass,single_ecgclass,3.4782,29.31
ecgclass,single_ecgclass,3.4801,42.4888
ecgclass,single_ecgclass,3.5269,19.3729
ecgclass,single_ecgclass,3.6545,28.9297
ecgclass,single_ecgclass,3.6946,23.7598
ecgclass,single_ecgclass,3.8017,32.5975
ecgclass,single_ecgclass,3.8394,19.8607
ecgclass,single_ecgclass,3.9055,41.6553
ecgclass,single_ecgclass,3.9201,53.8294
ecgclass,single_ecgclass,3.9261,66.5979
ecgclass,single_ecgclass,3.9331,59.6118
ecgclass,single_ecgclass,3.9391,53.6237
ecgclass,single_ecgclass,3.9422,50.549
ecgclass,single_ecgclass,4.0281,25.5449
ecgclass,single_ecgclass,4.0501,20.1247
ecgclass,single_ecgclass,4.0696,17.8108
ecgclass,single_ecgclass,4.1166,25.5241
ecgclass,single_ecgclass,4.1256,32.0992
ecgclass,single_ecgclass,4.222,34.1816
ecgclass,single_ecgclass,4.2865,29.7387
ecgclass,single_ecgclass,4.3025,30.0522
ecgclass,single_ecgclass,4.3134,35.1899
ecgclass,single_ecgclass,4.3388,27.5192
ecgclass,single_ecgclass,4.3549,26.6733
ecgclass,single_ecgclass,4.3578,40.1378
ecgclass,single_ecgclass,4.3837,29.5353
ecgclass,single_ecgclass,4.4956,23.8407
ecgclass,single_ecgclass,4.5467,28.1856
ecgclass,single_ecgclass,4.7003,26.3009
ecgclass,single_ecgclass,4.8029,26.6531
ecgclass,single_ecgclass,4.8588,26.7525
ecgclass,single_ecgclass,4.9518,20.1349
ecgclass,single_ecgclass,4.9872,24.4176
ecgclass,single_ecgclass,5.0409,32.1662
ecgclass,single_ecgclass,5.0609,28.4967
ecgclass,single_ecgclass,5.0719,32.589
ecgclass,single_ecgclass,5.1788,25.389
ecgclass,single_ecgclass,5.1848,51.4443
ecgclass,single_ecgclass,5.1958,58.7785
ecgclass,single_ecgclass,5.2104,60.8044
ecgclass,single_ecgclass,5.2587,29.0496
ecgclass,single_ecgclass,5.2795,23.4957
ecgclass,single_ecgclass,5.3132,20.3497
ecgclass,single_ecgclass,5.4219,28.501
ecgclass,single_ecgclass,5.4987,22.7389
ecgclass,single_ecgclass,5.5567,25.7466
ecgclass,single_ecgclass,5.5657,32.0673
ecgclass,single_ecgclass,5.6251,24.0166
ecgclass,single_ecgclass,5.6481,18.5726
ecgclass,single_ecgclass,5.6543,29.2442
ecgclass,single_ecgclass,5.6739,25.0323
ecgclass,single_ecgclass,5.6778,36.3643
ecgclass,single_ecgclass,5.7244,23.7405
ecgclass,single_ecgclass,5.7714,24.3061
ecgclass,single_ecgclass,5.7864,25.0461
ecgclass,single_ecgclass,5.7894,37.0772
ecgclass,single_ecgclass,5.9258,23.5562
ecgclass,single_ecgclass,5.9656,27.1828
ecgclass,single_ecgclass,6.0401,24.6279
ecgclass,single_ecgclass,6.0581,21.8105
ecgclass,single_ecgclass,6.1412,19.732
ecgclass,single_ecgclass,6.2242,27.945
ecgclass,single_ecgclass,6.2282,54.9722
ecgclass,single_ecgclass,6.5006,34.2984
ecgclass,single_ecgclass,6.5336,18.2707
ecgclass,single_ecgclass,6.6031,26.2866
ecgclass,single_ecgclass,6.616,28.5954
ecgclass,single_ecgclass,6.6648,20.5312
ecgclass,single_ecgclass,6.6798,20.684
ecgclass,single_ecgclass,6.7608,30.1979
ecgclass,single_ecgclass,6.7828,24.4391
ecgclass,single_ecgclass,6.8225,23.5548
ecgclass,single_ecgclass,6.8483,17.71
ecgclass,single_ecgclass,6.8863,20.2234
ecgclass,single_ecgclass,6.9098,17.5223
ecgclass,single_ecgclass,6.9416,24.8652
ecgclass,single_ecgclass,6.9417,40.4043
ecgclass,single_ecgclass,7.0213,22.6424
ecgclass,single_ecgclass,7.1463,24.5817
ecgclass,single_ecgclass,7.1762,19.6233
ecgclass,single_ecgclass,7.3462,35.2786
ecgclass,single_ecgclass,7.3542,56.9234
ecgclass,single_ecgclass,7.4933,30.287
ecgclass,single_ecgclass,7.5132,26.0081
ecgclass,single_ecgclass,7.5455,21.2431
ecgclass,single_ecgclass,7.667,34.0409
ecgclass,single_ecgclass,7.6728,44.5526
ecgclass,single_ecgclass,7.6837,48.8691
ecgclass,single_ecgclass,7.7499,23.5159
ecgclass,single_ecgclass,7.7987,28.4762
ecgclass,single_ecgclass,7.8137,30.031
ecgclass,single_ecgclass,7.8354,23.5877
ecgclass,single_ecgclass,7.8733,24.0266
ecgclass,single_ecgclass,7.9697,35.4233
ecgclass,single_ecgclass,7.9857,36.1562
ecgclass,single_ecgclass,8.0242,19.0623
ecgclass,single_ecgclass,8.0421,16.9282
ecgclass,single_ecgclass,8.0575,17.4897
ecgclass,single_ecgclass,8.1643,24.1897
ecgclass,single_ecgclass,8.1918,19.3417
ecgclass,single_ecgclass,8.2583,21.6298
ecgclass,single_ecgclass,8.2743,22.1891
ecgclass,single_ecgclass,8.2832,28.3911
ecgclass,single_ecgclass,8.3399,21.0841
ecgclass,single_ecgclass,8.4113,22.4645
ecgclass,single_ecgclass,8.459,29.206
ecgclass,single_ecgclass,8.5185,27.2534
ecgclass,single_ecgclass,8.5691,24.384
ecgclass,single_ecgclass,8.6237,23.9956
ecgclass,single_ecgclass,8.7361,28.6422
ecgclass,single_ecgclass,8.8781,24.6911
ecgclass,single_ecgclass,8.9111,21.5354
ecgclass,single_ecgclass,8.9151,32.8851
ecgclass,single_ecgclass,8.9852,22.2459
ecgclass,single_ecgclass,9.0277,23.9162
ecgclass,single_ecgclass,9.15,27.4646
ecgclass,single_ecgclass,9.2017,24.5938
ecgclass,single_ecgclass,9.2087,32.8519
ecgclass,single_ecgclass,9.2617,25.7125
ecgclass,single_ecgclass,9.2897,20.4031
ecgclass,single_ecgclass,9.2957,30.1878
ecgclass,single_ecgclass,9.3094,31.6498
ecgclass,single_ecgclass,9.4845,28.6343
ecgclass,single_ecgclass,9.5045,25.5048
