task,condition,elapsed_sec,latency_ms
gestureclass,single_gestureclass,0.0002,443.4428
gestureclass,single_gestureclass,0.0086,451.2577
gestureclass,single_gestureclass,0.0136,467.6039
gestureclass,single_gestureclass,0.0155,465.7114
gestureclass,single_gestureclass,0.0765,404.9289
gestureclass,single_gestureclass,0.1538,327.6656
gestureclass,single_gestureclass,0.1741,307.3578
gestureclass,single_gestureclass,0.2404,260.1173
gestureclass,single_gestureclass,0.2467,253.895
gestureclass,single_gestureclass,0.3009,199.867
gestureclass,single_gestureclass,0.3272,173.5301
gestureclass,single_gestureclass,0.3795,121.3169
gestureclass,single_gestureclass,0.5501,25.2953
gestureclass,single_gestureclass,0.5867,23.8686
gestureclass,single_gestureclass,0.6488,26.4497
gestureclass,single_gestureclass,0.7025,23.3924
gestureclass,single_gestureclass,0.7025,39.8114
gestureclass,single_gestureclass,0.7139,44.1415
gestureclass,single_gestureclass,0.7332,40.303
gestureclass,single_gestureclass,0.7798,20.2641
gestureclass,single_gestureclass,0.8143,22.3377
gestureclass,single_gestureclass,0.976,22.8035
gestureclass,single_gestureclass,1.0222,24.6098
gestureclass,single_gestureclass,1.1009,23.8607
gestureclass,single_gestureclass,1.1115,28.97
gestureclass,single_gestureclass,1.2167,26.921
gestureclass,single_gestureclass,1.2175,43.01
gestureclass,single_gestureclass,1.2459,30.7434
gestureclass,single_gestureclass,1.2617,30.0286
gestureclass,single_gestureclass,1.34,25.0566
gestureclass,single_gestureclass,1.358,22.8243
gestureclass,single_gestureclass,1.3861,19.7775
gestureclass,single_gestureclass,1.4122,21.1174
gestureclass,single_gestureclass,1.4212,27.287
gestureclass,single_gestureclass,1.5268,34.3618
gestureclass,single_gestureclass,1.5954,26.1879
gestureclass,single_gestureclass,1.5973,39.928
gestureclass,single_gestureclass,1.6359,17.0555
gestureclass,single_gestureclass,1.6632,24.9348
gestureclass,single_gestureclass,1.6832,20.5212
gestureclass,single_gestureclass,1.714,24.2486
gestureclass,single_gestureclass,1.7159,38.0185
gestureclass,single_gestureclass,1.7602,21.354
gestureclass,single_gestureclass,1.762,35.0769
gestureclass,single_gestureclass,1.8074,20.416
gestureclass,single_gestureclass,1.9232,38.8603
