task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0003,465.239
ecgclass,sharing,0.0405,466.1031
ecgclass,sharing,0.0799,426.9657
ecgclass,sharing,0.1207,386.348
ecgclass,sharing,0.1237,430.2998
ecgclass,sharing,0.1255,428.4685
ecgclass,sharing,0.1504,445.6897
ecgclass,sharing,0.1735,423.0518
ecgclass,sharing,0.225,371.7244
ecgclass,sharing,0.2262,391.9814
ecgclass,sharing,0.2438,374.7139
ecgclass,sharing,0.2449,394.1875
ecgclass,sharing,0.2634,375.8428
ecgclass,sharing,0.2927,346.6036
ecgclass,sharing,0.2988,374.1314
ecgclass,sharing,0.3192,353.9755
ecgclass,sharing,0.3224,385.4473
ecgclass,sharing,0.3233,385.0315
ecgclass,sharing,0.3281,380.2288
ecgclass,sharing,0.3432,384.5875
ecgclass,sharing,0.3501,378.02
ecgclass,sharing,0.3715,375.6399
ecgclass,sharing,0.3749,372.2928
ecgclass,sharing,0.4059,341.4447
ecgclass,sharing,0.4262,339.7124
ecgclass,sharing,0.4373,328.6605
ecgclass,sharing,0.4445,340.7395
ecgclass,sharing,0.4515,333.9128
ecgclass,sharing,0.4524,333.0879
ecgclass,sharing,0.4558,350.0264
ecgclass,sharing,0.4678,338.3713
ecgclass,sharing,0.4739,355.6745
ecgclass,sharing,0.4958,333.8754
ecgclass,sharing,0.5063,323.4489
ecgclass,sharing,0.5104,357.2888
ecgclass,sharing,0.5178,350.2803
ecgclass,sharing,0.5291,358.7317
ecgclass,sharing,0.5343,353.9333
ecgclass,sharing,0.5398,348.4702
ecgclass,sharing,0.554,355.4831
ecgclass,sharing,0.56,349.6578
ecgclass,sharing,0.5815,347.2822
ecgclass,sharing,0.605,324.0159
ecgclass,sharing,0.6226,306.4194
ecgclass,sharing,0.6245,324.0964
ecgclass,sharing,0.6436,305.2564
ecgclass,sharing,0.6655,302.4302
ecgclass,sharing,0.6849,283.2272
ecgclass,sharing,0.6896,278.6243
ecgclass,sharing,0.6943,293.8187
ecgclass,sharing,0.6969,291.436
ecgclass,sharing,0.7029,305.7418
ecgclass,sharing,0.7029,305.9354
ecgclass,sharing,0.7063,302.5832
ecgclass,sharing,0.728,300.4887
ecgclass,sharing,0.7946,234.0901
ecgclass,sharing,0.8045,244.8545
ecgclass,sharing,0.8086,241.2877
ecgclass,sharing,0.8154,234.58
ecgclass,sharing,0.8212,248.8701
ecgclass,sharing,0.8242,246.4802
ecgclass,sharing,0.8421,248.6656
ecgclass,sharing,0.8651,225.6885
ecgclass,sharing,0.8894,201.4132
ecgclass,sharing,0.9784,132.0913
ecgclass,sharing,1.0132,97.5983
ecgclass,sharing,1.0412,106.8695
ecgclass,sharing,1.0581,90.1594
ecgclass,sharing,1.0686,79.6638
ecgclass,sharing,1.0687,101.0144
ecgclass,sharing,1.085,84.81
ecgclass,sharing,1.0951,94.2454
ecgclass,sharing,1.1211,68.4576
ecgclass,sharing,1.1546,71.439
ecgclass,sharing,1.1593,66.7489
ecgclass,sharing,1.16,66.0791
ecgclass,sharing,1.1761,68.7568
ecgclass,sharing,1.2181,43.4079
ecgclass,sharing,1.2323,48.2492
ecgclass,sharing,1.2679,52.9716
ecgclass,sharing,1.2799,58.156
ecgclass,sharing,1.302,57.9665
ecgclass,sharing,1.307,53.0217
ecgclass,sharing,1.3089,51.4255
ecgclass,sharing,1.3118,48.7781
ecgclass,sharing,1.3136,67.8532
ecgclass,sharing,1.3142,67.2743
ecgclass,sharing,1.3433,58.4934
ecgclass,sharing,1.3501,51.7452
ecgclass,sharing,1.3569,44.909
ecgclass,sharing,1.3728,48.0857
ecgclass,sharing,1.3758,45.0897
ecgclass,sharing,1.4081,51.7259
ecgclass,sharing,1.429,50.2257
ecgclass,sharing,1.4349,44.3063
ecgclass,sharing,1.4379,41.3759
ecgclass,sharing,1.4467,50.3981
ecgclass,sharing,1.4517,45.5108
ecgclass,sharing,1.4535,43.7069
ecgclass,sharing,1.4612,59.7134
ecgclass,sharing,1.4995,79.4041
ecgclass,sharing,1.5159,63.194
ecgclass,sharing,1.567,64.1763
ecgclass,sharing,1.6015,46.6187
ecgclass,sharing,1.6197,47.3626
ecgclass,sharing,1.6513,52.9969
ecgclass,sharing,1.6632,41.3244
ecgclass,sharing,1.6813,61.0681
ecgclass,sharing,1.6871,74.6274
ecgclass,sharing,1.6909,70.8392
ecgclass,sharing,1.7268,69.695
ecgclass,sharing,1.7292,67.4026
ecgclass,sharing,1.7315,65.1603
ecgclass,sharing,1.7369,59.8044
ecgclass,sharing,1.7536,79.8409
ecgclass,sharing,1.7605,91.8453
ecgclass,sharing,1.7719,80.4317
ecgclass,sharing,1.8079,63.9567
ecgclass,sharing,1.8329,57.8675
ecgclass,sharing,1.8524,57.1396
ecgclass,sharing,1.8558,53.7281
ecgclass,sharing,1.8751,70.9679
ecgclass,sharing,1.8831,62.988
ecgclass,sharing,1.8851,61.0261
ecgclass,sharing,1.8919,71.2578
ecgclass,sharing,1.8926,70.5922
ecgclass,sharing,1.9083,73.9944
ecgclass,sharing,1.9248,57.7476
ecgclass,sharing,1.9297,52.8328
ecgclass,sharing,1.9298,52.7992
ecgclass,sharing,1.9755,25.3661
ecgclass,sharing,1.989,48.4099
ecgclass,sharing,2.0141,42.9099
ecgclass,sharing,2.0194,54.4343
ecgclass,sharing,2.0479,44.1856
ecgclass,sharing,2.0751,32.7177
ecgclass,sharing,2.0769,47.626
ecgclass,sharing,2.1676,23.8931
ecgclass,sharing,2.178,47.2267
ecgclass,sharing,2.2017,40.4842
ecgclass,sharing,2.2057,54.1985
ecgclass,sharing,2.2219,38.0938
ecgclass,sharing,2.2264,52.326
ecgclass,sharing,2.2535,41.784
ecgclass,sharing,2.2611,54.9572
ecgclass,sharing,2.2759,40.1931
ecgclass,sharing,2.283,48.835
ecgclass,sharing,2.2953,54.6412
ecgclass,sharing,2.3033,46.7482
ecgclass,sharing,2.3143,54.1732
ecgclass,sharing,2.3143,54.1453
ecgclass,sharing,2.3422,45.1965
ecgclass,sharing,2.3827,41.5437
ecgclass,sharing,2.3923,49.9587
ecgclass,sharing,2.4487,29.5451
ecgclass,sharing,2.4517,42.6366
ecgclass,sharing,2.4986,48.4421
ecgclass,sharing,2.5045,42.6621
ecgclass,sharing,2.5152,50.1053
ecgclass,sharing,2.5575,44.22
ecgclass,sharing,2.5582,43.7622
ecgclass,sharing,2.5614,40.5972
ecgclass,sharing,2.5833,75.274
ecgclass,sharing,2.6005,96.1058
ecgclass,sharing,2.6052,91.4834
ecgclass,sharing,2.6122,84.6512
ecgclass,sharing,2.6252,71.7733
ecgclass,sharing,2.657,76.941
ecgclass,sharing,2.6628,71.2774
ecgclass,sharing,2.6755,58.8267
ecgclass,sharing,2.6808,92.1543
ecgclass,sharing,2.6858,87.2908
ecgclass,sharing,2.7217,70.8787
ecgclass,sharing,2.7306,61.9814
ecgclass,sharing,2.7532,58.4548
ecgclass,sharing,2.7587,53.123
ecgclass,sharing,2.7612,50.6756
ecgclass,sharing,2.7801,50.2543
ecgclass,sharing,2.8039,42.9769
ecgclass,sharing,2.8201,45.1381
ecgclass,sharing,2.8405,41.1005
ecgclass,sharing,2.8571,44.0121
ecgclass,sharing,2.8755,42.3172
ecgclass,sharing,2.9131,38.8265
ecgclass,sharing,2.9599,44.3251
ecgclass,sharing,2.9702,52.6023
ecgclass,sharing,2.972,50.8056
ecgclass,sharing,2.9969,42.4728
ecgclass,sharing,3.0093,68.3579
ecgclass,sharing,3.0506,66.2036
ecgclass,sharing,3.0677,49.6049
ecgclass,sharing,3.0703,47.1947
ecgclass,sharing,3.0879,64.7762
ecgclass,sharing,3.0972,76.4132
ecgclass,sharing,3.0991,74.9004
ecgclass,sharing,3.1034,70.5373
ecgclass,sharing,3.1613,47.8582
ecgclass,sharing,3.1684,40.9486
ecgclass,sharing,3.1725,57.0178
ecgclass,sharing,3.1802,49.3412
ecgclass,sharing,3.2147,54.8527
ecgclass,sharing,3.2329,56.0169
ecgclass,sharing,3.2358,53.5185
ecgclass,sharing,3.2359,53.5424
