task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0001,278.2521
ecgclass,no_sharing,0.1205,189.0402
ecgclass,no_sharing,0.2376,105.7389
ecgclass,no_sharing,0.3575,28.7564
ecgclass,no_sharing,0.3722,47.9918
ecgclass,no_sharing,0.3749,78.9561
ecgclass,no_sharing,0.4477,36.4027
ecgclass,no_sharing,0.5183,20.0193
ecgclass,no_sharing,0.6749,21.4338
ecgclass,no_sharing,0.6786,37.5323
ecgclass,no_sharing,0.7313,33.6108
ecgclass,no_sharing,0.7345,57.0643
ecgclass,no_sharing,0.7885,24.0228
ecgclass,no_sharing,0.8757,20.3617
ecgclass,no_sharing,0.8954,19.4483
ecgclass,no_sharing,0.9561,21.4345
ecgclass,no_sharing,0.9637,33.2296
ecgclass,no_sharing,0.9683,45.9409
ecgclass,no_sharing,0.9847,48.7182
ecgclass,no_sharing,1.029,22.2566
ecgclass,no_sharing,1.05,19.3598
ecgclass,no_sharing,1.1124,23.6518
ecgclass,no_sharing,1.1232,31.276
ecgclass,no_sharing,1.2157,21.7156
ecgclass,no_sharing,1.277,26.3476
ecgclass,no_sharing,1.3096,19.1796
ecgclass,no_sharing,1.3309,26.2818
ecgclass,no_sharing,1.3541,23.0629
ecgclass,no_sharing,1.3568,46.4485
ecgclass,no_sharing,1.3658,59.3038
ecgclass,no_sharing,1.4001,48.7556
ecgclass,no_sharing,1.4201,47.9798
ecgclass,no_sharing,1.4833,20.7663
ecgclass,no_sharing,1.5183,27.4146
ecgclass,no_sharing,1.5307,37.3681
ecgclass,no_sharing,1.5529,33.4222
ecgclass,no_sharing,1.5852,24.6811
ecgclass,no_sharing,1.6024,33.077
ecgclass,no_sharing,1.6201,35.1632
ecgclass,no_sharing,1.6624,32.3088
ecgclass,no_sharing,1.6775,45.1446
ecgclass,no_sharing,1.7449,23.8426
ecgclass,no_sharing,1.8137,20.8607
ecgclass,no_sharing,1.8677,21.4102
ecgclass,no_sharing,1.8714,36.0591
ecgclass,no_sharing,1.9283,29.4125
ecgclass,no_sharing,1.9958,25.4974
ecgclass,no_sharing,2.0521,21.6348
ecgclass,no_sharing,2.0668,27.4587
ecgclass,no_sharing,2.082,35.6038
ecgclass,no_sharing,2.0902,49.5567
ecgclass,no_sharing,2.1086,52.3517
ecgclass,no_sharing,2.1086,52.326
ecgclass,no_sharing,2.1171,61.446
ecgclass,no_sharing,2.1837,19.3713
ecgclass,no_sharing,2.3831,19.8579
ecgclass,no_sharing,2.4116,29.0949
ecgclass,no_sharing,2.4264,36.0746
ecgclass,no_sharing,2.4458,37.1525
ecgclass,no_sharing,2.4636,37.9019
ecgclass,no_sharing,2.4696,51.4808
ecgclass,no_sharing,2.5242,20.7257
ecgclass,no_sharing,2.5937,21.2729
ecgclass,no_sharing,2.6697,23.3307
ecgclass,no_sharing,2.9336,20.1263
ecgclass,no_sharing,3.0388,20.4926
ecgclass,no_sharing,3.1211,31.4744
ecgclass,no_sharing,3.1738,19.6087
ecgclass,no_sharing,3.2036,20.9711
ecgclass,no_sharing,3.2053,36.6969
ecgclass,no_sharing,3.2532,20.3445
ecgclass,no_sharing,3.2847,20.4973
ecgclass,no_sharing,3.3597,20.1266
ecgclass,no_sharing,3.4611,21.3294
ecgclass,no_sharing,3.4777,22.1093
ecgclass,no_sharing,3.4804,37.4651
ecgclass,no_sharing,3.5266,28.1987
ecgclass,no_sharing,3.6545,20.555
ecgclass,no_sharing,3.6953,20.9169
ecgclass,no_sharing,3.8013,26.9568
