task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0001,257.1111
ecgclass,sharing,0.0612,253.9985
ecgclass,sharing,0.1196,195.8652
ecgclass,sharing,0.1789,136.6951
ecgclass,sharing,0.1856,167.4716
ecgclass,sharing,0.1882,164.8662
ecgclass,sharing,0.2244,166.7769
ecgclass,sharing,0.2594,132.2472
ecgclass,sharing,0.3373,92.3164
ecgclass,sharing,0.3397,89.9751
ecgclass,sharing,0.3657,102.3982
ecgclass,sharing,0.3673,101.0365
ecgclass,sharing,0.3948,110.8351
ecgclass,sharing,0.4379,98.0897
ecgclass,sharing,0.4485,87.7404
ecgclass,sharing,0.4785,82.9749
ecgclass,sharing,0.4823,79.4933
ecgclass,sharing,0.4849,76.9444
ecgclass,sharing,0.4929,68.9828
ecgclass,sharing,0.5147,67.7264
ecgclass,sharing,0.5253,57.2493
ecgclass,sharing,0.5564,45.9151
ecgclass,sharing,0.5618,59.7534
ecgclass,sharing,0.6085,32.9065
ecgclass,sharing,0.6388,45.2123
ecgclass,sharing,0.6556,47.4126
ecgclass,sharing,0.666,61.9731
ecgclass,sharing,0.6771,51.1756
ecgclass,sharing,0.6785,49.7527
ecgclass,sharing,0.6832,66.1077
ecgclass,sharing,0.7006,48.6851
ecgclass,sharing,0.7106,60.7555
ecgclass,sharing,0.7425,47.1411
ecgclass,sharing,0.7595,52.7179
ecgclass,sharing,0.7655,47.4329
ecgclass,sharing,0.7765,55.2728
ecgclass,sharing,0.7928,61.7793
ecgclass,sharing,0.802,52.7463
ecgclass,sharing,0.8095,45.2662
ecgclass,sharing,0.8313,64.3055
ecgclass,sharing,0.8394,56.3569
ecgclass,sharing,0.8729,63.9322
ecgclass,sharing,0.9075,48.671
ecgclass,sharing,0.9353,41.7075
ecgclass,sharing,0.936,58.9271
ecgclass,sharing,0.9641,52.7546
ecgclass,sharing,0.9981,63.6528
ecgclass,sharing,1.0271,53.9865
ecgclass,sharing,1.033,48.1596
ecgclass,sharing,1.0419,62.2993
ecgclass,sharing,1.0459,58.3241
ecgclass,sharing,1.054,70.745
ecgclass,sharing,1.0544,70.3773
ecgclass,sharing,1.0589,65.8557
ecgclass,sharing,1.0923,49.8979
ecgclass,sharing,1.1915,27.7674
ecgclass,sharing,1.2055,53.6337
ecgclass,sharing,1.2129,46.2565
ecgclass,sharing,1.2229,57.5731
ecgclass,sharing,1.2334,47.2016
ecgclass,sharing,1.2348,45.8007
ecgclass,sharing,1.2623,54.0159
ecgclass,sharing,1.2968,37.7421
ecgclass,sharing,1.3341,37.5881
ecgclass,sharing,1.467,35.9585
ecgclass,sharing,1.5201,36.1958
ecgclass,sharing,1.5605,33.834
ecgclass,sharing,1.5867,43.716
ecgclass,sharing,1.6015,49.01
ecgclass,sharing,1.6031,47.4236
ecgclass,sharing,1.6272,41.3551
ecgclass,sharing,1.6422,45.9669
ecgclass,sharing,1.6798,43.2634
ecgclass,sharing,1.7312,21.6508
ecgclass,sharing,1.7388,32.8493
ecgclass,sharing,1.7404,49.0069
ecgclass,sharing,1.7636,44.4183
ecgclass,sharing,1.8275,18.924
ecgclass,sharing,1.8476,18.2123
ecgclass,sharing,1.9016,26.1619
ecgclass,sharing,1.92,47.3571
ecgclass,sharing,1.9533,53.2556
ecgclass,sharing,1.96,46.5608
ecgclass,sharing,1.9636,42.928
ecgclass,sharing,1.967,62.0632
ecgclass,sharing,1.9696,59.4654
ecgclass,sharing,1.971,58.0502
ecgclass,sharing,2.0137,33.7403
ecgclass,sharing,2.0249,43.2091
ecgclass,sharing,2.0352,52.4642
ecgclass,sharing,2.0582,49.7656
ecgclass,sharing,2.0627,45.2797
ecgclass,sharing,2.1112,55.0673
ecgclass,sharing,2.1442,42.5057
ecgclass,sharing,2.1513,56.1049
ecgclass,sharing,2.1567,50.6902
ecgclass,sharing,2.1694,58.2561
ecgclass,sharing,2.1771,50.6053
ecgclass,sharing,2.1797,48.0895
ecgclass,sharing,2.1924,54.6937
ecgclass,sharing,2.2483,38.1322
ecgclass,sharing,2.274,51.5983
ecgclass,sharing,2.3503,21.343
ecgclass,sharing,2.4021,19.1138
ecgclass,sharing,2.43,32.6169
ecgclass,sharing,2.4769,23.0551
ecgclass,sharing,2.4942,42.5656
ecgclass,sharing,2.5206,53.6034
ecgclass,sharing,2.5312,43.0923
ecgclass,sharing,2.5357,38.5656
ecgclass,sharing,2.5895,21.9474
ecgclass,sharing,2.5931,35.6817
ecgclass,sharing,2.5977,52.0227
ecgclass,sharing,2.6052,44.5044
ecgclass,sharing,2.63,37.6008
ecgclass,sharing,2.64,47.1296
ecgclass,sharing,2.6569,47.919
ecgclass,sharing,2.711,33.4356
ecgclass,sharing,2.7496,48.5914
ecgclass,sharing,2.7784,37.1578
ecgclass,sharing,2.783,53.1919
ecgclass,sharing,2.8134,41.1072
ecgclass,sharing,2.8238,50.7798
ecgclass,sharing,2.8275,47.1749
ecgclass,sharing,2.8373,57.2166
ecgclass,sharing,2.8387,55.8045
ecgclass,sharing,2.8616,50.7548
ecgclass,sharing,2.8863,44.4167
ecgclass,sharing,2.8938,55.4504
ecgclass,sharing,2.8944,54.7888
ecgclass,sharing,2.9634,22.0277
ecgclass,sharing,2.983,41.2545
ecgclass,sharing,3.0208,41.7085
ecgclass,sharing,3.0295,52.7346
ecgclass,sharing,3.0709,49.4485
ecgclass,sharing,3.1117,25.5497
ecgclass,sharing,3.1143,40.3068
ecgclass,sharing,3.2498,23.5798
ecgclass,sharing,3.2671,43.3683
ecgclass,sharing,3.302,25.4357
ecgclass,sharing,3.3077,39.1519
ecgclass,sharing,3.3326,32.0144
ecgclass,sharing,3.3403,42.1619
ecgclass,sharing,3.3798,39.0518
ecgclass,sharing,3.3927,45.3837
ecgclass,sharing,3.4112,44.6739
ecgclass,sharing,3.424,51.0738
ecgclass,sharing,3.4432,48.8822
ecgclass,sharing,3.4547,56.6654
ecgclass,sharing,3.4704,41.1386
ecgclass,sharing,3.4708,40.745
ecgclass,sharing,3.5106,19.1414
ecgclass,sharing,3.5738,52.2108
ecgclass,sharing,3.588,55.5959
ecgclass,sharing,3.6734,20.1674
ecgclass,sharing,3.677,35.3906
ecgclass,sharing,3.7473,38.0986
ecgclass,sharing,3.7559,48.1131
ecgclass,sharing,3.7727,48.0204
ecgclass,sharing,3.835,24.0784
ecgclass,sharing,3.8369,42.1994
ecgclass,sharing,3.8422,56.9644
ecgclass,sharing,3.8751,43.8685
ecgclass,sharing,3.9003,55.5153
ecgclass,sharing,3.9067,49.051
ecgclass,sharing,3.9182,56.6349
ecgclass,sharing,3.9369,57.4143
ecgclass,sharing,3.9851,51.2736
ecgclass,sharing,3.9936,64.7039
ecgclass,sharing,4.0126,45.8193
ecgclass,sharing,4.021,55.3727
ecgclass,sharing,4.0294,46.9422
ecgclass,sharing,4.0825,30.1538
ecgclass,sharing,4.0957,34.5263
ecgclass,sharing,4.1294,56.9379
ecgclass,sharing,4.1374,48.9144
ecgclass,sharing,4.142,44.4527
ecgclass,sharing,4.1704,54.651
ecgclass,sharing,4.2063,39.1366
ecgclass,sharing,4.2293,52.2473
ecgclass,sharing,4.2597,40.561
ecgclass,sharing,4.2847,52.2017
ecgclass,sharing,4.3125,43.0286
ecgclass,sharing,4.3697,40.442
ecgclass,sharing,4.439,34.8234
ecgclass,sharing,4.4551,55.501
ecgclass,sharing,4.4579,52.794
ecgclass,sharing,4.4926,37.2698
ecgclass,sharing,4.5138,52.9876
ecgclass,sharing,4.575,53.164
ecgclass,sharing,4.6008,49.1774
