task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0001,249.8493
ecgclass,no_sharing,0.1207,140.1486
ecgclass,no_sharing,0.2379,41.364
ecgclass,no_sharing,0.3571,11.8091
ecgclass,no_sharing,0.371,10.8755
ecgclass,no_sharing,0.3763,24.8606
ecgclass,no_sharing,0.4482,11.2157
ecgclass,no_sharing,0.5196,11.229
ecgclass,no_sharing,0.6746,11.4048
ecgclass,no_sharing,0.6788,17.0038
ecgclass,no_sharing,0.7304,21.0989
ecgclass,no_sharing,0.7342,27.1935
ecgclass,no_sharing,0.7888,11.9214
ecgclass,no_sharing,0.8756,11.5035
ecgclass,no_sharing,0.8952,10.4835
ecgclass,no_sharing,0.9568,11.0564
ecgclass,no_sharing,0.9652,12.5985
ecgclass,no_sharing,0.9711,25.5976
ecgclass,no_sharing,0.9839,22.6059
ecgclass,no_sharing,1.0289,12.9859
ecgclass,no_sharing,1.0499,10.5591
ecgclass,no_sharing,1.1119,19.469
ecgclass,no_sharing,1.1231,18.1525
ecgclass,no_sharing,1.2154,20.3886
ecgclass,no_sharing,1.2765,10.9162
ecgclass,no_sharing,1.3095,10.5498
ecgclass,no_sharing,1.3301,10.3674
ecgclass,no_sharing,1.3535,17.3059
ecgclass,no_sharing,1.3568,25.6534
ecgclass,no_sharing,1.3671,29.5973
ecgclass,no_sharing,1.3997,10.7536
ecgclass,no_sharing,1.4198,21.5962
ecgclass,no_sharing,1.4828,11.4474
ecgclass,no_sharing,1.5184,10.8879
ecgclass,no_sharing,1.5303,17.6973
ecgclass,no_sharing,1.5531,10.2682
ecgclass,no_sharing,1.5855,10.4907
ecgclass,no_sharing,1.6023,23.035
ecgclass,no_sharing,1.6184,16.7997
ecgclass,no_sharing,1.6625,19.6917
ecgclass,no_sharing,1.678,23.3097
ecgclass,no_sharing,1.7445,10.8614
ecgclass,no_sharing,1.8135,14.231
ecgclass,no_sharing,1.8678,10.85
ecgclass,no_sharing,1.8712,17.159
ecgclass,no_sharing,1.9277,15.5241
ecgclass,no_sharing,1.9954,11.1361
ecgclass,no_sharing,2.0526,11.4815
ecgclass,no_sharing,2.0661,10.1388
ecgclass,no_sharing,2.0824,10.4828
ecgclass,no_sharing,2.0908,20.6025
ecgclass,no_sharing,2.1082,22.1565
ecgclass,no_sharing,2.1095,39.8533
ecgclass,no_sharing,2.1175,41.7349
ecgclass,no_sharing,2.1833,10.5536
ecgclass,no_sharing,2.3837,11.2216
ecgclass,no_sharing,2.4113,13.9167
ecgclass,no_sharing,2.425,10.1306
ecgclass,no_sharing,2.4455,17.7331
ecgclass,no_sharing,2.4631,10.1297
ecgclass,no_sharing,2.4693,14.1704
ecgclass,no_sharing,2.5236,10.9773
ecgclass,no_sharing,2.5925,11.3714
ecgclass,no_sharing,2.6682,15.7576
ecgclass,no_sharing,2.9336,11.2767
ecgclass,no_sharing,3.0389,11.3137
ecgclass,no_sharing,3.1217,18.0299
ecgclass,no_sharing,3.1732,10.8275
ecgclass,no_sharing,3.2031,10.5345
ecgclass,no_sharing,3.2054,17.8499
ecgclass,no_sharing,3.2533,10.5813
ecgclass,no_sharing,3.2842,19.8035
ecgclass,no_sharing,3.3592,11.1196
ecgclass,no_sharing,3.4615,11.7817
ecgclass,no_sharing,3.4774,10.144
ecgclass,no_sharing,3.4796,17.5571
ecgclass,no_sharing,3.5265,15.0771
ecgclass,no_sharing,3.6544,11.4467
ecgclass,no_sharing,3.695,10.5383
ecgclass,no_sharing,3.8012,11.2176
ecgclass,no_sharing,3.8388,10.5503
ecgclass,no_sharing,3.9053,11.0221
ecgclass,no_sharing,3.9193,10.0372
ecgclass,no_sharing,3.9266,12.6007
ecgclass,no_sharing,3.9335,15.543
ecgclass,no_sharing,3.9386,29.3417
ecgclass,no_sharing,3.9422,35.6662
ecgclass,no_sharing,4.028,11.1372
ecgclass,no_sharing,4.0505,17.2145
ecgclass,no_sharing,4.0698,10.1998
ecgclass,no_sharing,4.1159,10.6478
ecgclass,no_sharing,4.1261,10.2127
ecgclass,no_sharing,4.221,11.3192
ecgclass,no_sharing,4.2867,11.8642
ecgclass,no_sharing,4.3026,14.0579
ecgclass,no_sharing,4.3126,13.799
ecgclass,no_sharing,4.3405,10.3562
ecgclass,no_sharing,4.3539,10.1516
ecgclass,no_sharing,4.3582,15.564
