task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0001,240.8881
ecgclass,sharing,0.0404,243.5117
ecgclass,sharing,0.0792,205.0047
ecgclass,sharing,0.1206,163.6221
ecgclass,sharing,0.1238,194.8483
ecgclass,sharing,0.125,193.7282
ecgclass,sharing,0.1494,204.0017
ecgclass,sharing,0.1727,180.759
ecgclass,sharing,0.2247,128.9847
ecgclass,sharing,0.227,161.5167
ecgclass,sharing,0.244,144.4771
ecgclass,sharing,0.2453,178.1232
ecgclass,sharing,0.2633,160.2147
ecgclass,sharing,0.2923,131.4173
ecgclass,sharing,0.2985,160.4316
ecgclass,sharing,0.3187,140.3871
ecgclass,sharing,0.3219,171.9472
ecgclass,sharing,0.3232,170.7356
ecgclass,sharing,0.3286,165.3516
ecgclass,sharing,0.343,185.9736
ecgclass,sharing,0.3502,178.7512
ecgclass,sharing,0.3711,193.4748
ecgclass,sharing,0.3754,189.2328
ecgclass,sharing,0.4056,159.2014
ecgclass,sharing,0.4258,174.5489
ecgclass,sharing,0.437,163.327
ecgclass,sharing,0.4442,190.9299
ecgclass,sharing,0.4517,183.516
ecgclass,sharing,0.4529,182.5709
ecgclass,sharing,0.4562,214.4606
ecgclass,sharing,0.4674,203.269
ecgclass,sharing,0.4738,231.8492
ecgclass,sharing,0.495,210.6836
ecgclass,sharing,0.5062,199.9211
ecgclass,sharing,0.5106,230.9268
ecgclass,sharing,0.5178,223.737
ecgclass,sharing,0.5287,248.1825
ecgclass,sharing,0.5344,242.4655
ecgclass,sharing,0.5397,237.2351
ecgclass,sharing,0.5551,256.4764
ecgclass,sharing,0.5595,252.4064
ecgclass,sharing,0.5823,264.601
ecgclass,sharing,0.6046,242.3065
ecgclass,sharing,0.6238,223.2111
ecgclass,sharing,0.6239,258.8089
ecgclass,sharing,0.6428,239.9008
ecgclass,sharing,0.6666,251.0102
ecgclass,sharing,0.685,232.6384
ecgclass,sharing,0.6892,228.4
ecgclass,sharing,0.6944,258.0919
ecgclass,sharing,0.6967,255.8475
ecgclass,sharing,0.7035,284.0323
ecgclass,sharing,0.7035,284.0326
ecgclass,sharing,0.7057,281.8811
ecgclass,sharing,0.7282,295.3966
ecgclass,sharing,0.7943,229.3506
ecgclass,sharing,0.8037,255.4927
ecgclass,sharing,0.8089,250.308
ecgclass,sharing,0.815,244.2002
ecgclass,sharing,0.8213,273.0229
ecgclass,sharing,0.8235,270.8719
ecgclass,sharing,0.8419,287.94
ecgclass,sharing,0.8644,265.5334
ecgclass,sharing,0.8898,240.1559
ecgclass,sharing,0.9791,187.494
ecgclass,sharing,1.0141,152.5044
ecgclass,sharing,1.041,162.8783
ecgclass,sharing,1.0584,145.4384
ecgclass,sharing,1.0693,134.6185
ecgclass,sharing,1.0693,171.5934
ecgclass,sharing,1.0846,156.3144
ecgclass,sharing,1.0955,181.9088
ecgclass,sharing,1.121,156.4612
ecgclass,sharing,1.154,123.4775
ecgclass,sharing,1.1593,153.5478
ecgclass,sharing,1.1605,152.6997
ecgclass,sharing,1.1759,172.4885
ecgclass,sharing,1.218,130.4021
ecgclass,sharing,1.2323,116.2045
ecgclass,sharing,1.2673,116.8685
ecgclass,sharing,1.2806,103.6026
ecgclass,sharing,1.303,81.1422
ecgclass,sharing,1.3073,76.921
ecgclass,sharing,1.3095,109.9632
ecgclass,sharing,1.3117,107.8079
ecgclass,sharing,1.3129,106.6272
ecgclass,sharing,1.3143,105.1867
ecgclass,sharing,1.3437,110.8408
ecgclass,sharing,1.3508,103.7788
ecgclass,sharing,1.357,97.5878
ecgclass,sharing,1.3724,117.3146
ecgclass,sharing,1.3756,114.1317
ecgclass,sharing,1.4077,82.0708
ecgclass,sharing,1.4288,96.2365
ecgclass,sharing,1.4342,90.8782
ecgclass,sharing,1.4374,87.676
ecgclass,sharing,1.4476,112.9138
ecgclass,sharing,1.4519,108.9473
ecgclass,sharing,1.4531,142.8585
ecgclass,sharing,1.4619,134.0823
ecgclass,sharing,1.4999,96.0448
ecgclass,sharing,1.5155,115.8023
ecgclass,sharing,1.5669,81.2535
ecgclass,sharing,1.6011,69.5162
ecgclass,sharing,1.6199,50.7977
ecgclass,sharing,1.6512,58.2902
ecgclass,sharing,1.6627,46.8359
ecgclass,sharing,1.681,60.8439
ecgclass,sharing,1.6872,54.5878
ecgclass,sharing,1.6904,51.3778
ecgclass,sharing,1.7261,26.0079
ecgclass,sharing,1.7283,46.3505
ecgclass,sharing,1.7315,43.1931
ecgclass,sharing,1.7367,37.9975
ecgclass,sharing,1.7532,32.1894
ecgclass,sharing,1.7606,46.5322
ecgclass,sharing,1.7718,35.3932
ecgclass,sharing,1.807,36.552
ecgclass,sharing,1.8327,31.3761
ecgclass,sharing,1.8536,20.4296
ecgclass,sharing,1.856,33.8356
ecgclass,sharing,1.8751,24.7056
ecgclass,sharing,1.8834,38.111
ecgclass,sharing,1.8846,36.973
ecgclass,sharing,1.8919,45.7501
ecgclass,sharing,1.8931,44.5883
ecgclass,sharing,1.9079,39.7863
ecgclass,sharing,1.9246,51.0414
ecgclass,sharing,1.9288,46.916
ecgclass,sharing,1.93,45.7187
ecgclass,sharing,1.9754,10.8018
ecgclass,sharing,1.9884,28.0762
ecgclass,sharing,2.0135,29.0916
ecgclass,sharing,2.0196,44.7214
ecgclass,sharing,2.0477,42.6085
ecgclass,sharing,2.0744,26.0284
ecgclass,sharing,2.0767,33.7706
ecgclass,sharing,2.1666,10.7393
ecgclass,sharing,2.1784,28.3263
ecgclass,sharing,2.2012,15.2862
ecgclass,sharing,2.2054,20.7188
ecgclass,sharing,2.2215,14.4966
ecgclass,sharing,2.2272,18.5561
ecgclass,sharing,2.2538,11.5597
ecgclass,sharing,2.2616,13.6759
ecgclass,sharing,2.2751,20.1855
ecgclass,sharing,2.2834,21.8275
ecgclass,sharing,2.2952,19.7356
ecgclass,sharing,2.3035,21.4131
ecgclass,sharing,2.3135,26.6936
ecgclass,sharing,2.3147,35.7144
ecgclass,sharing,2.3402,20.1271
ecgclass,sharing,2.3827,23.1776
ecgclass,sharing,2.3924,41.178
ecgclass,sharing,2.4488,20.5665
ecgclass,sharing,2.4521,27.5431
ecgclass,sharing,2.498,21.4007
ecgclass,sharing,2.504,30.5736
ecgclass,sharing,2.5156,28.7342
ecgclass,sharing,2.5563,10.5565
ecgclass,sharing,2.5576,34.555
ecgclass,sharing,2.5618,30.4315
ecgclass,sharing,2.5839,39.5601
ecgclass,sharing,2.6003,33.3247
ecgclass,sharing,2.6052,44.1022
ecgclass,sharing,2.6124,36.8998
ecgclass,sharing,2.6245,40.5326
ecgclass,sharing,2.6564,53.1394
ecgclass,sharing,2.6626,46.9725
ecgclass,sharing,2.6754,56.8371
ecgclass,sharing,2.6806,74.1129
ecgclass,sharing,2.6859,68.861
ecgclass,sharing,2.7216,43.4511
ecgclass,sharing,2.7319,61.1987
ecgclass,sharing,2.7537,39.5501
ecgclass,sharing,2.7579,51.7998
ecgclass,sharing,2.7611,48.6071
ecgclass,sharing,2.7804,45.1093
ecgclass,sharing,2.8043,31.3337
ecgclass,sharing,2.82,31.3735
ecgclass,sharing,2.8397,21.8985
ecgclass,sharing,2.8565,25.2092
ecgclass,sharing,2.8748,17.0503
ecgclass,sharing,2.912,25.8939
ecgclass,sharing,2.9594,15.4526
ecgclass,sharing,2.9702,29.5668
ecgclass,sharing,2.9724,27.384
ecgclass,sharing,2.9956,14.0188
ecgclass,sharing,3.0095,19.7439
ecgclass,sharing,3.05,19.2389
