task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0,291.6329
ecgclass,sharing,0.0257,379.9434
ecgclass,sharing,0.0477,358.5482
ecgclass,sharing,0.0722,334.0681
ecgclass,sharing,0.0745,331.7618
ecgclass,sharing,0.0758,330.9131
ecgclass,sharing,0.0903,316.4387
ecgclass,sharing,0.1046,302.0999
ecgclass,sharing,0.1349,271.9676
ecgclass,sharing,0.1362,270.7796
ecgclass,sharing,0.1462,260.8678
ecgclass,sharing,0.1476,259.5141
ecgclass,sharing,0.1583,249.8944
ecgclass,sharing,0.1759,232.2946
ecgclass,sharing,0.1792,228.9851
ecgclass,sharing,0.1915,216.6629
ecgclass,sharing,0.1928,215.3618
ecgclass,sharing,0.1941,214.1199
ecgclass,sharing,0.1977,210.5412
ecgclass,sharing,0.2063,204.2441
ecgclass,sharing,0.2106,199.9655
ecgclass,sharing,0.2233,187.3157
ecgclass,sharing,0.2247,185.8985
ecgclass,sharing,0.244,166.6117
ecgclass,sharing,0.2563,154.2914
ecgclass,sharing,0.2627,147.8977
ecgclass,sharing,0.2671,143.5697
ecgclass,sharing,0.2708,139.8895
ecgclass,sharing,0.2721,138.531
ecgclass,sharing,0.2737,136.9379
ecgclass,sharing,0.2805,130.1856
ecgclass,sharing,0.2842,126.4718
ecgclass,sharing,0.2968,163.6043
ecgclass,sharing,0.3042,156.4224
ecgclass,sharing,0.3069,154.3028
ecgclass,sharing,0.3113,149.9698
ecgclass,sharing,0.3176,143.64
ecgclass,sharing,0.3213,140.0783
ecgclass,sharing,0.3246,137.3503
ecgclass,sharing,0.3332,128.7725
ecgclass,sharing,0.3358,126.2655
ecgclass,sharing,0.3498,112.257
ecgclass,sharing,0.363,99.1659
ecgclass,sharing,0.3743,88.6009
ecgclass,sharing,0.3743,88.5978
ecgclass,sharing,0.3861,76.8147
ecgclass,sharing,0.4001,62.7913
ecgclass,sharing,0.4107,76.1173
ecgclass,sharing,0.4134,73.6811
ecgclass,sharing,0.4167,70.6925
ecgclass,sharing,0.418,69.6046
ecgclass,sharing,0.4218,65.907
ecgclass,sharing,0.4218,66.0722
ecgclass,sharing,0.4242,63.7312
ecgclass,sharing,0.4385,49.4716
ecgclass,sharing,0.4773,25.3959
ecgclass,sharing,0.483,19.7928
ecgclass,sharing,0.4852,17.5424
ecgclass,sharing,0.4892,27.0221
ecgclass,sharing,0.4937,22.614
ecgclass,sharing,0.4939,22.4009
ecgclass,sharing,0.5049,25.218
ecgclass,sharing,0.5194,24.6651
ecgclass,sharing,0.5342,23.3316
ecgclass,sharing,0.5873,19.4893
ecgclass,sharing,0.6079,24.2038
ecgclass,sharing,0.6249,20.5731
ecgclass,sharing,0.6352,23.6633
ecgclass,sharing,0.6416,17.3838
ecgclass,sharing,0.6416,17.5941
ecgclass,sharing,0.6507,22.2349
ecgclass,sharing,0.6574,15.5034
ecgclass,sharing,0.6723,24.5502
ecgclass,sharing,0.6929,16.7015
ecgclass,sharing,0.6962,26.2835
ecgclass,sharing,0.6962,26.2792
ecgclass,sharing,0.7052,17.3171
ecgclass,sharing,0.7326,13.6995
ecgclass,sharing,0.7396,18.8432
ecgclass,sharing,0.7605,24.0073
ecgclass,sharing,0.7682,16.3174
ecgclass,sharing,0.7817,16.9446
ecgclass,sharing,0.784,28.8646
ecgclass,sharing,0.7857,27.2303
ecgclass,sharing,0.787,26.0191
ecgclass,sharing,0.7884,24.7407
ecgclass,sharing,0.7884,24.7333
ecgclass,sharing,0.8057,20.9236
ecgclass,sharing,0.8101,16.6345
ecgclass,sharing,0.8142,26.1838
ecgclass,sharing,0.8238,16.6533
ecgclass,sharing,0.8251,15.3973
ecgclass,sharing,0.8446,21.8987
ecgclass,sharing,0.8576,23.4733
ecgclass,sharing,0.8612,19.9487
ecgclass,sharing,0.8635,17.6792
ecgclass,sharing,0.8686,25.4951
ecgclass,sharing,0.8708,23.4253
ecgclass,sharing,0.8721,22.3367
ecgclass,sharing,0.8767,17.7531
ecgclass,sharing,0.8996,21.4512
ecgclass,sharing,0.9093,24.7266
ecgclass,sharing,0.9404,19.0256
ecgclass,sharing,0.9606,13.0935
ecgclass,sharing,0.9722,14.5993
ecgclass,sharing,0.9909,22.7995
ecgclass,sharing,0.9977,16.413
ecgclass,sharing,1.0083,18.3804
ecgclass,sharing,1.0126,14.4298
ecgclass,sharing,1.0141,24.8556
ecgclass,sharing,1.0371,14.3895
ecgclass,sharing,1.0371,14.4622
ecgclass,sharing,1.0389,25.332
ecgclass,sharing,1.0423,22.0277
ecgclass,sharing,1.0516,25.8734
ecgclass,sharing,1.0562,21.2896
ecgclass,sharing,1.0635,26.9282
ecgclass,sharing,1.0846,19.3965
ecgclass,sharing,1.0998,17.8709
ecgclass,sharing,1.1121,18.5368
ecgclass,sharing,1.1136,17.4286
ecgclass,sharing,1.1259,17.6435
ecgclass,sharing,1.1302,27.1089
ecgclass,sharing,1.1308,26.9279
ecgclass,sharing,1.1354,22.3053
ecgclass,sharing,1.1354,22.4004
ecgclass,sharing,1.1456,25.269
ecgclass,sharing,1.1551,15.8246
ecgclass,sharing,1.1573,25.8462
ecgclass,sharing,1.1578,25.3813
ecgclass,sharing,1.1853,13.7331
ecgclass,sharing,1.1931,20.3571
ecgclass,sharing,1.2085,18.2805
ecgclass,sharing,1.2119,15.3947
ecgclass,sharing,1.2284,25.1918
ecgclass,sharing,1.2454,20.8895
ecgclass,sharing,1.2456,20.6971
ecgclass,sharing,1.3008,13.6843
ecgclass,sharing,1.3067,21.1766
ecgclass,sharing,1.3216,19.5987
ecgclass,sharing,1.3239,17.2997
ecgclass,sharing,1.333,20.7548
ecgclass,sharing,1.3363,17.5257
ecgclass,sharing,1.3523,15.0695
ecgclass,sharing,1.3569,23.9825
