task,condition,elapsed_sec,latency_ms
gestureclass,single_gestureclass,0.0,284.687
gestureclass,single_gestureclass,0.0084,296.6146
gestureclass,single_gestureclass,0.0128,292.5844
gestureclass,single_gestureclass,0.0161,289.2747
gestureclass,single_gestureclass,0.0765,228.9171
gestureclass,single_gestureclass,0.1531,152.7951
gestureclass,single_gestureclass,0.1737,132.194
gestureclass,single_gestureclass,0.2402,65.7022
gestureclass,single_gestureclass,0.2468,59.1111
gestureclass,single_gestureclass,0.2999,17.8089
gestureclass,single_gestureclass,0.3278,12.9905
gestureclass,single_gestureclass,0.3799,13.5148
gestureclass,single_gestureclass,0.5507,12.377
gestureclass,single_gestureclass,0.5862,12.6033
gestureclass,single_gestureclass,0.6489,12.7261
gestureclass,single_gestureclass,0.7028,13.4075
gestureclass,single_gestureclass,0.7028,26.2618
gestureclass,single_gestureclass,0.7136,15.4784
gestureclass,single_gestureclass,0.7332,12.3692
gestureclass,single_gestureclass,0.7797,12.7983
gestureclass,single_gestureclass,0.8137,12.3267
gestureclass,single_gestureclass,0.9762,12.692
gestureclass,single_gestureclass,1.0221,12.836
gestureclass,single_gestureclass,1.101,12.5635
gestureclass,single_gestureclass,1.1113,14.1737
gestureclass,single_gestureclass,1.2167,12.5117
gestureclass,single_gestureclass,1.2171,24.0433
gestureclass,single_gestureclass,1.2452,12.1639
gestureclass,single_gestureclass,1.2625,12.3122
gestureclass,single_gestureclass,1.3399,12.9278
gestureclass,single_gestureclass,1.357,12.1911
gestureclass,single_gestureclass,1.3863,12.5768
gestureclass,single_gestureclass,1.413,13.2346
gestureclass,single_gestureclass,1.4216,17.8289
gestureclass,single_gestureclass,1.5276,12.9426
gestureclass,single_gestureclass,1.5947,12.8694
gestureclass,single_gestureclass,1.597,22.2857
gestureclass,single_gestureclass,1.6354,12.325
gestureclass,single_gestureclass,1.6638,16.6051
gestureclass,single_gestureclass,1.6815,12.3293
gestureclass,single_gestureclass,1.713,13.0105
gestureclass,single_gestureclass,1.7155,22.5635
gestureclass,single_gestureclass,1.7602,13.1245
gestureclass,single_gestureclass,1.7618,24.2987
gestureclass,single_gestureclass,1.8072,13.2024
gestureclass,single_gestureclass,1.9226,13.0205
gestureclass,single_gestureclass,1.9301,17.18
gestureclass,single_gestureclass,1.9354,24.2741
gestureclass,single_gestureclass,1.9574,13.9422
gestureclass,single_gestureclass,2.0225,12.9464
gestureclass,single_gestureclass,2.0886,13.2313
gestureclass,single_gestureclass,2.0971,16.88
gestureclass,single_gestureclass,2.0971,16.9103
gestureclass,single_gestureclass,2.2903,12.8899
gestureclass,single_gestureclass,2.3594,12.6927
gestureclass,single_gestureclass,2.4052,12.7087
gestureclass,single_gestureclass,2.4431,12.6882
gestureclass,single_gestureclass,2.5089,12.8143
gestureclass,single_gestureclass,2.5549,12.4176
gestureclass,single_gestureclass,2.6365,12.5721
gestureclass,single_gestureclass,2.6742,13.7906
gestureclass,single_gestureclass,2.6758,24.3242
gestureclass,single_gestureclass,2.6811,18.9693
gestureclass,single_gestureclass,2.7663,12.7652
gestureclass,single_gestureclass,2.8141,13.2952
gestureclass,single_gestureclass,2.8896,12.7723
gestureclass,single_gestureclass,2.9064,12.3858
gestureclass,single_gestureclass,2.991,13.4408
gestureclass,single_gestureclass,2.9986,17.5173
gestureclass,single_gestureclass,3.1003,12.7733
gestureclass,single_gestureclass,3.1242,12.8531
gestureclass,single_gestureclass,3.2663,13.0265
gestureclass,single_gestureclass,3.2854,12.2991
gestureclass,single_gestureclass,3.3319,12.3556
gestureclass,single_gestureclass,3.5215,12.7029
gestureclass,single_gestureclass,3.5613,12.6958
gestureclass,single_gestureclass,3.7773,12.9592
gestureclass,single_gestureclass,3.8124,12.4302
gestureclass,single_gestureclass,3.865,12.4521
gestureclass,single_gestureclass,3.9506,12.4891
gestureclass,single_gestureclass,4.0473,12.7227
gestureclass,single_gestureclass,4.1031,13.0751
gestureclass,single_gestureclass,4.1603,20.4957
gestureclass,single_gestureclass,4.1805,16.5532
gestureclass,single_gestureclass,4.2663,15.2521
gestureclass,single_gestureclass,4.2956,14.5864
gestureclass,single_gestureclass,4.3764,13.3638
gestureclass,single_gestureclass,4.387,16.5169
gestureclass,single_gestureclass,4.4406,14.2784
gestureclass,single_gestureclass,4.498,12.4786
gestureclass,single_gestureclass,4.5347,12.5859
gestureclass,single_gestureclass,4.5513,13.1664
gestureclass,single_gestureclass,4.5746,12.6925
gestureclass,single_gestureclass,4.5914,12.6145
gestureclass,single_gestureclass,4.6081,12.6486
gestureclass,single_gestureclass,4.713,13.1474
gestureclass,single_gestureclass,4.8514,12.7587
gestureclass,single_gestureclass,4.9243,12.6731
gestureclass,single_gestureclass,4.9751,13.3929
gestureclass,single_gestureclass,4.9867,13.9334
gestureclass,single_gestureclass,5.0198,12.8345
gestureclass,single_gestureclass,5.271,13.7424
gestureclass,single_gestureclass,5.3379,13.0925
gestureclass,single_gestureclass,5.3651,13.0138
gestureclass,single_gestureclass,5.4253,13.0234
gestureclass,single_gestureclass,5.4774,12.7673
gestureclass,single_gestureclass,5.5584,12.8703
gestureclass,single_gestureclass,5.6555,12.8369
gestureclass,single_gestureclass,5.7625,12.8911
gestureclass,single_gestureclass,5.9557,13.1915
gestureclass,single_gestureclass,5.9662,14.411
gestureclass,single_gestureclass,5.9918,13.1564
gestureclass,single_gestureclass,6.008,13.2856
gestureclass,single_gestureclass,6.0605,12.8539
gestureclass,single_gestureclass,6.0835,12.7876
gestureclass,single_gestureclass,6.1204,12.8541
gestureclass,single_gestureclass,6.1495,12.9468
gestureclass,single_gestureclass,6.3447,12.5899
gestureclass,single_gestureclass,6.3715,12.548
gestureclass,single_gestureclass,6.3881,12.1331
gestureclass,single_gestureclass,6.5095,12.5408
gestureclass,single_gestureclass,6.5281,12.7139
gestureclass,single_gestureclass,6.7031,12.9385
gestureclass,single_gestureclass,6.7942,13.1021
gestureclass,single_gestureclass,6.9226,12.5444
gestureclass,single_gestureclass,7.0233,12.6374
gestureclass,single_gestureclass,7.0731,13.2692
gestureclass,single_gestureclass,7.0816,16.4506
gestureclass,single_gestureclass,7.0992,12.4481
gestureclass,single_gestureclass,7.1538,13.1171
