task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0001,425.3602
ecgclass,single_ecgclass,0.0406,400.0371
ecgclass,single_ecgclass,0.0801,379.7483
ecgclass,single_ecgclass,0.1195,340.4875
ecgclass,single_ecgclass,0.124,336.0653
ecgclass,single_ecgclass,0.1253,334.7416
ecgclass,single_ecgclass,0.1497,310.4262
ecgclass,single_ecgclass,0.173,304.3721
ecgclass,single_ecgclass,0.2264,251.0347
ecgclass,single_ecgclass,0.2264,251.2555
ecgclass,single_ecgclass,0.244,233.6848
ecgclass,single_ecgclass,0.2455,232.3089
ecgclass,single_ecgclass,0.2648,229.1758
ecgclass,single_ecgclass,0.2922,201.8783
ecgclass,single_ecgclass,0.2987,195.4834
ecgclass,single_ecgclass,0.319,175.6756
ecgclass,single_ecgclass,0.3213,173.4211
ecgclass,single_ecgclass,0.3236,192.5056
ecgclass,single_ecgclass,0.3289,187.362
ecgclass,single_ecgclass,0.3432,173.0683
ecgclass,single_ecgclass,0.3505,165.8051
ecgclass,single_ecgclass,0.3708,145.5224
ecgclass,single_ecgclass,0.3751,158.4392
ecgclass,single_ecgclass,0.4054,128.2878
ecgclass,single_ecgclass,0.4254,108.2268
ecgclass,single_ecgclass,0.4368,96.9439
ecgclass,single_ecgclass,0.4438,89.9572
ecgclass,single_ecgclass,0.4511,99.4308
ecgclass,single_ecgclass,0.4524,98.0992
ecgclass,single_ecgclass,0.4557,95.1247
ecgclass,single_ecgclass,0.4672,83.7381
ecgclass,single_ecgclass,0.4735,77.4846
ecgclass,single_ecgclass,0.4941,73.7226
ecgclass,single_ecgclass,0.5068,61.1656
ecgclass,single_ecgclass,0.5101,57.8809
ecgclass,single_ecgclass,0.5184,49.6733
ecgclass,single_ecgclass,0.5287,39.36
ecgclass,single_ecgclass,0.5348,49.3898
ecgclass,single_ecgclass,0.5401,44.1236
ecgclass,single_ecgclass,0.5551,48.6457
ecgclass,single_ecgclass,0.5594,44.3895
ecgclass,single_ecgclass,0.5822,36.0527
ecgclass,single_ecgclass,0.6049,28.6772
ecgclass,single_ecgclass,0.6233,24.6234
ecgclass,single_ecgclass,0.6246,37.4689
ecgclass,single_ecgclass,0.6436,32.7907
ecgclass,single_ecgclass,0.6661,24.9677
ecgclass,single_ecgclass,0.6845,21.5931
ecgclass,single_ecgclass,0.6888,31.4581
ecgclass,single_ecgclass,0.6942,43.2057
ecgclass,single_ecgclass,0.6975,39.9482
ecgclass,single_ecgclass,0.7028,34.8525
ecgclass,single_ecgclass,0.703,34.6956
ecgclass,single_ecgclass,0.7059,46.1152
ecgclass,single_ecgclass,0.7283,37.6694
ecgclass,single_ecgclass,0.7951,15.3835
ecgclass,single_ecgclass,0.8037,21.699
ecgclass,single_ecgclass,0.809,30.5986
