task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0001,424.8152
ecgclass,sharing,0.0611,401.8745
ecgclass,sharing,0.1192,344.0015
ecgclass,sharing,0.1789,284.426
ecgclass,sharing,0.1862,294.137
ecgclass,sharing,0.1874,292.8743
ecgclass,sharing,0.224,278.574
ecgclass,sharing,0.2594,243.5548
ecgclass,sharing,0.3387,164.3298
ecgclass,sharing,0.3391,181.1612
ecgclass,sharing,0.3671,153.1785
ecgclass,sharing,0.3671,174.3894
ecgclass,sharing,0.3949,146.6603
ecgclass,sharing,0.439,102.6022
ecgclass,sharing,0.4472,116.5028
ecgclass,sharing,0.4784,85.3374
ecgclass,sharing,0.4826,102.0594
ecgclass,sharing,0.4849,100.1253
ecgclass,sharing,0.4925,92.6249
ecgclass,sharing,0.5145,87.3034
ecgclass,sharing,0.5253,76.4699
ecgclass,sharing,0.5561,67.8165
ecgclass,sharing,0.5624,61.5606
ecgclass,sharing,0.6083,51.6446
ecgclass,sharing,0.6385,60.5597
ecgclass,sharing,0.6549,44.1909
ecgclass,sharing,0.6651,55.0294
ecgclass,sharing,0.6767,43.4918
ecgclass,sharing,0.6788,57.9751
ecgclass,sharing,0.6833,53.5004
ecgclass,sharing,0.7002,53.2346
ecgclass,sharing,0.7097,43.695
ecgclass,sharing,0.7419,26.5572
ecgclass,sharing,0.7595,23.4635
ecgclass,sharing,0.7651,33.8421
ecgclass,sharing,0.7765,36.9048
ecgclass,sharing,0.7931,40.1316
ecgclass,sharing,0.802,51.6267
ecgclass,sharing,0.8093,44.4064
ecgclass,sharing,0.8319,38.0521
ecgclass,sharing,0.8394,46.3271
ecgclass,sharing,0.8721,53.0694
ecgclass,sharing,0.9073,54.584
ecgclass,sharing,0.9353,46.6194
ecgclass,sharing,0.9355,46.4485
ecgclass,sharing,0.9641,56.3974
ecgclass,sharing,0.9981,37.5993
ecgclass,sharing,1.0259,44.2038
ecgclass,sharing,1.0332,36.9701
ecgclass,sharing,1.0418,49.5162
ecgclass,sharing,1.0453,46.4435
ecgclass,sharing,1.0539,57.461
ecgclass,sharing,1.0547,56.8063
ecgclass,sharing,1.059,52.434
ecgclass,sharing,1.0915,37.8804
ecgclass,sharing,1.192,17.5223
ecgclass,sharing,1.206,32.9971
ecgclass,sharing,1.2126,42.5
ecgclass,sharing,1.2229,32.4354
ecgclass,sharing,1.2325,38.3427
ecgclass,sharing,1.2347,36.1149
ecgclass,sharing,1.2625,37.616
ecgclass,sharing,1.2965,32.3989
ecgclass,sharing,1.3339,24.3602
ecgclass,sharing,1.4674,21.5261
ecgclass,sharing,1.5201,18.7159
ecgclass,sharing,1.5613,19.7089
ecgclass,sharing,1.5871,23.3452
ecgclass,sharing,1.6016,23.016
ecgclass,sharing,1.6029,36.4313
ecgclass,sharing,1.6267,27.4603
ecgclass,sharing,1.6425,41.5583
ecgclass,sharing,1.6798,33.129
ecgclass,sharing,1.732,15.2202
ecgclass,sharing,1.7393,22.2561
ecgclass,sharing,1.7405,35.3906
ecgclass,sharing,1.7637,40.8165
ecgclass,sharing,1.8288,14.6487
ecgclass,sharing,1.8476,14.8571
ecgclass,sharing,1.9011,18.0016
ecgclass,sharing,1.9202,28.1143
ecgclass,sharing,1.9524,25.7244
ecgclass,sharing,1.9597,32.6319
ecgclass,sharing,1.9629,45.8539
ecgclass,sharing,1.9672,41.5256
ecgclass,sharing,1.9695,39.3074
ecgclass,sharing,1.9707,38.0683
ecgclass,sharing,2.0139,15.4028
ecgclass,sharing,2.0254,33.1051
ecgclass,sharing,2.0353,37.7183
ecgclass,sharing,2.0581,48.4326
ecgclass,sharing,2.0626,43.8654
ecgclass,sharing,2.1106,33.9653
ecgclass,sharing,2.1434,38.2471
ecgclass,sharing,2.1519,46.1473
ecgclass,sharing,2.1561,41.9686
ecgclass,sharing,2.1701,43.5519
ecgclass,sharing,2.1773,36.3355
