task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,274.7769,264.1811,207.4924,0.0034,56.3792,4.5671,10.5959,1775428314541011960
nyudepth,sharing,0.2412,240.283,194.5499,21.0419,0.0037,0.8358,34.5964,45.7332,1775428314812124397
nyudepth,sharing,0.4759,187.5648,85.1518,4.597,0.0017,69.5569,98.4406,102.4131,1775428315110653835
nyudepth,sharing,0.7126,48.1899,29.1231,4.7236,0.0018,24.2033,15.0263,19.0667,1775428315264024061
nyudepth,sharing,0.7411,77.4004,55.731,4.1895,0.002,25.585,17.4253,21.6694,1775428315294888342
nyudepth,sharing,0.7497,71.0819,55.731,4.1895,0.002,25.585,8.8296,15.3509,1775428315294888342
nyudepth,sharing,0.8948,33.0951,27.7277,4.5918,0.0016,22.9463,1.3506,5.3674,1775428315432470379
nyudepth,sharing,1.0361,33.4563,27.5372,4.1095,0.0014,23.1973,1.9064,5.9191,1775428315574321961
nyudepth,sharing,1.3495,32.2716,27.3285,3.708,0.0013,23.4639,0.9909,4.9431,1775428315886866333
nyudepth,sharing,1.3561,56.2274,28.4959,3.5939,0.0013,24.7593,23.7699,27.7316,1775428315916202249
nyudepth,sharing,1.461,117.7225,76.125,5.0154,0.0013,35.0503,37.5268,41.5975,1775428316034844022
nyudepth,sharing,1.4693,114.7585,76.125,5.0154,0.0013,35.0503,29.1774,38.6335,1775428316034844022
nyudepth,sharing,1.5787,67.8549,29.3268,3.5529,0.0015,25.6099,33.7877,38.5281,1775428316148801151
nyudepth,sharing,1.7505,33.1891,27.7347,4.0886,0.0025,23.4278,1.4317,5.4544,1775428316288281121
nyudepth,sharing,1.7888,33.1533,27.8162,3.7804,0.0016,23.5799,1.0362,5.3371,1775428316326177362
nyudepth,sharing,1.9121,33.0029,27.6224,4.0899,0.0021,23.3325,1.3835,5.3805,1775428316449862262
nyudepth,sharing,1.9269,70.5605,50.3869,3.6127,0.0013,23.3056,16.083,20.1736,1775428316479295596
nyudepth,sharing,1.9368,62.8686,50.3869,3.6127,0.0013,23.3056,6.0971,12.4817,1775428316479295596
nyudepth,sharing,1.9677,89.0622,53.4354,3.8409,0.004,0.6043,28.8672,35.6269,1775428316532910522
nyudepth,sharing,2.0578,64.6648,29.1197,3.5511,0.0013,25.4115,26.4449,35.5451,1775428316620628012
nyudepth,sharing,2.1006,52.021,29.2702,3.5926,0.0012,25.5184,17.669,22.7508,1775428316654608042
nyudepth,sharing,2.2243,68.1844,51.5611,3.7708,0.0029,0.5615,9.7346,16.6233,1775428316770405167
nyudepth,sharing,2.2464,76.4139,28.8966,3.6347,0.0013,25.1188,42.5503,47.5173,1775428316825282384
nyudepth,sharing,2.43,33.5114,27.6486,4.7088,0.0018,22.7298,1.8399,5.8628,1775428316968189124
nyudepth,sharing,2.5531,59.4606,29.4395,3.5542,0.0011,25.7267,25.5182,30.0211,1775428317114961057
nyudepth,sharing,2.6186,34.5936,28.2804,3.6413,0.0014,24.4831,2.3115,6.3132,1775428317157300928
