task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,no_sharing,0.0,280.4039,271.9989,196.8485,0.0025,74.8366,2.0843,8.405
nyudepth,no_sharing,0.1607,152.7567,31.4958,7.7708,0.0015,23.5532,116.6763,121.2609
nyudepth,no_sharing,0.3166,40.5903,35.1005,3.8832,0.0018,31.0401,1.0343,5.4897
nyudepth,no_sharing,0.4758,42.0687,35.2859,4.0789,0.0018,30.9823,2.7204,6.7828
nyudepth,no_sharing,0.4947,232.9519,200.9312,15.4248,0.0019,92.669,20.9501,32.0206
nyudepth,no_sharing,0.5005,227.1593,200.9312,15.4248,0.0019,92.669,15.1539,26.228
nyudepth,no_sharing,0.5966,233.6211,104.5492,4.4614,0.0018,49.955,124.6943,129.0719
nyudepth,no_sharing,0.6913,141.1793,104.5492,4.4614,0.0018,49.955,29.9466,36.6301
nyudepth,no_sharing,0.8994,36.7785,29.3033,5.0685,0.0024,24.0087,3.4919,7.4752
nyudepth,no_sharing,0.9042,88.7876,55.0555,3.5601,0.0014,51.3349,29.7251,33.7321
nyudepth,no_sharing,0.9743,89.5858,69.129,3.8922,0.0013,32.514,16.463,20.4568
nyudepth,no_sharing,0.9787,87.4758,69.129,3.8922,0.0013,32.514,11.9891,18.3468
nyudepth,no_sharing,1.052,77.934,62.6385,3.9274,0.0012,58.5283,11.2829,15.2955
nyudepth,no_sharing,1.167,44.4028,39.2159,4.1085,0.0019,34.9214,1.1892,5.187
nyudepth,no_sharing,1.1922,77.6269,56.6533,3.587,0.001,52.899,16.87,20.9736
nyudepth,no_sharing,1.275,60.0977,55.1143,3.9087,0.0018,51.0105,0.9942,4.9834
nyudepth,no_sharing,1.2855,243.8447,190.1326,48.9987,0.0022,46.9763,49.7773,53.7121
nyudepth,no_sharing,1.291,240.6585,190.1326,48.9987,0.0022,46.9763,44.287,50.5259
nyudepth,no_sharing,1.3134,220.612,190.1326,48.9987,0.0022,46.9763,21.934,30.4795
nyudepth,no_sharing,1.3726,382.7672,220.3473,39.5092,0.0018,45.1592,158.514,162.4199
nyudepth,no_sharing,1.4001,357.605,220.3473,39.5092,0.0018,45.1592,131.0418,137.2577
nyudepth,no_sharing,1.4826,279.6309,220.3473,39.5092,0.0018,45.1592,48.4951,59.2836
nyudepth,no_sharing,1.4985,263.8092,220.3473,39.5092,0.0018,45.1592,32.6686,43.4619
nyudepth,no_sharing,1.6206,293.936,152.6566,4.762,0.0018,49.2416,136.9712,141.2794
nyudepth,no_sharing,1.7018,215.0512,152.6566,4.762,0.0018,49.2416,55.7625,62.3946
nyudepth,no_sharing,1.7463,172.8625,152.6566,4.762,0.0018,49.2416,11.2572,20.206
nyudepth,no_sharing,1.7734,472.8932,325.283,52.4313,0.0023,54.5281,143.0361,147.6103
nyudepth,no_sharing,1.805,444.0701,325.283,52.4313,0.0023,54.5281,111.4299,118.7871
nyudepth,no_sharing,1.8125,441.0911,325.283,52.4313,0.0023,54.5281,103.8733,115.8081
nyudepth,no_sharing,1.8213,432.2767,325.283,52.4313,0.0023,54.5281,95.0539,106.9938
nyudepth,no_sharing,1.8666,389.2765,325.283,52.4313,0.0023,54.5281,49.7661,63.9935
nyudepth,no_sharing,1.8929,610.647,248.7105,5.1183,0.0021,48.6816,357.954,361.9365
nyudepth,no_sharing,1.9768,529.052,248.7105,5.1183,0.0021,48.6816,274.0648,280.3416
nyudepth,no_sharing,2.0244,486.0055,248.7105,5.1183,0.0021,48.6816,226.4605,237.2951
nyudepth,no_sharing,2.0405,469.9092,248.7105,5.1183,0.0021,48.6816,210.3593,221.1987
nyudepth,no_sharing,2.071,446.3091,248.7105,5.1183,0.0021,48.6816,179.8804,197.5986
nyudepth,no_sharing,2.1136,621.526,221.768,5.0767,0.0036,43.2824,395.5238,399.758
