task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
nyudepth,sharing,0.0,253.0794,244.4926,187.7695,0.0026,56.425,2.6152,8.5868
nyudepth,sharing,0.1613,301.2133,194.9971,20.98,0.0026,0.7796,90.2016,106.2162
nyudepth,sharing,0.3163,263.5486,119.0478,5.2819,0.0009,111.5134,140.0242,144.5008
nyudepth,sharing,0.4759,247.1271,135.5552,4.3868,0.0009,40.1646,107.4488,111.5719
nyudepth,sharing,0.4955,234.8301,135.5552,4.3868,0.0009,40.1646,87.8448,99.275
nyudepth,sharing,0.5,232.625,135.5552,4.3868,0.0009,40.1646,83.3352,97.0698
nyudepth,sharing,0.5972,250.8028,113.273,17.4411,0.0038,3.1478,129.5419,137.5297
nyudepth,sharing,0.6909,162.0595,113.273,17.4411,0.0038,3.1478,35.8231,48.7865
nyudepth,sharing,0.899,105.6845,90.3845,16.1172,0.0015,34.4274,11.3416,15.3
nyudepth,sharing,0.9043,105.8102,90.3845,16.1172,0.0015,34.4274,6.0201,15.4257
nyudepth,sharing,0.9738,165.8103,126.4176,5.9978,0.0097,0.2506,32.7477,39.3928
nyudepth,sharing,0.9793,166.6298,126.4176,5.9978,0.0097,0.2506,27.2481,40.2122
nyudepth,sharing,1.0515,190.4266,96.9402,5.0791,0.0009,89.4737,89.4036,93.4864
nyudepth,sharing,1.1673,133.8601,53.0897,3.7744,0.001,24.5843,76.7407,80.7704
nyudepth,sharing,1.1926,111.0556,53.0897,3.7744,0.001,24.5843,51.4123,57.9659
nyudepth,sharing,1.275,105.3443,76.1449,4.446,0.0015,23.8335,25.2547,29.1994
nyudepth,sharing,1.286,96.7941,76.1449,4.446,0.0015,23.8335,14.2176,20.6493
nyudepth,sharing,1.2915,93.6158,76.1449,4.446,0.0015,23.8335,8.7225,17.4709
nyudepth,sharing,1.3125,178.2594,100.0865,4.9729,0.0035,0.3517,68.4302,78.1729
nyudepth,sharing,1.3727,120.3241,100.0865,4.9729,0.0035,0.3517,8.1964,20.2377
nyudepth,sharing,1.4002,148.3572,53.5039,3.8208,0.0029,0.5602,88.4349,94.8532
nyudepth,sharing,1.4828,144.9556,75.6938,3.9583,0.0038,0.3352,62.5892,69.2618
nyudepth,sharing,1.4981,131.9172,75.6938,3.9583,0.0038,0.3352,47.2519,56.2234
nyudepth,sharing,1.6217,41.7001,31.7599,9.8433,0.0012,21.6879,4.9205,9.9402
nyudepth,sharing,1.7027,97.1277,76.442,4.2208,0.0012,70.8499,16.6104,20.6856
nyudepth,sharing,1.7459,136.0018,76.5504,4.075,0.0009,35.7628,55.3339,59.4514
nyudepth,sharing,1.7736,113.6541,76.5504,4.075,0.0009,35.7628,27.6344,37.1037
nyudepth,sharing,1.8047,209.4531,122.9144,5.5134,0.0034,0.2638,79.4208,86.5387
nyudepth,sharing,1.8092,210.2306,122.9144,5.5134,0.0034,0.2638,74.9559,87.3162
