task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
vocseg,single_vocseg,0.0001,278.2357,269.3287,184.9446,0.0023,84.0981,2.67,8.907
vocseg,single_vocseg,0.0335,334.6744,88.0423,16.6522,0.001,23.7406,242.2266,246.6321
vocseg,single_vocseg,0.0505,319.973,88.0423,16.6522,0.001,23.7406,225.2402,231.9307
vocseg,single_vocseg,0.0624,311.0099,88.0423,16.6522,0.001,23.7406,213.3384,222.9676
vocseg,single_vocseg,0.2994,104.9731,30.3501,4.4596,0.001,25.7397,70.6916,74.623
vocseg,single_vocseg,0.6117,33.2654,27.8601,3.9847,0.0011,23.6717,1.4553,5.4052
vocseg,single_vocseg,0.6911,33.3478,28.0322,3.8641,0.001,23.9789,1.2381,5.3156
vocseg,single_vocseg,0.9598,32.9654,27.8471,3.9583,0.0011,23.6879,1.2908,5.1183
vocseg,single_vocseg,0.9845,37.8621,27.9127,3.4596,0.001,24.288,6.037,9.9494
vocseg,single_vocseg,1.1986,33.2658,27.8862,3.9778,0.0009,23.6915,1.3301,5.3796
vocseg,single_vocseg,1.3061,33.1721,27.8721,3.9674,0.001,23.6973,1.3227,5.3
vocseg,single_vocseg,1.5155,33.1872,27.9261,4.0058,0.0013,23.6994,1.3068,5.2611
vocseg,single_vocseg,2.1985,33.2625,27.8806,3.9475,0.0009,23.727,1.3285,5.3819
vocseg,single_vocseg,2.3439,33.6637,27.8305,3.968,0.001,23.6662,1.3611,5.8332
vocseg,single_vocseg,2.5929,33.1643,27.8495,3.9717,0.0008,23.6886,1.3323,5.3148
vocseg,single_vocseg,2.8083,33.6089,27.8138,4.179,0.0012,23.4496,1.8296,5.7952
vocseg,single_vocseg,2.8084,64.0736,28.7955,3.4694,0.0011,25.1852,31.3683,35.2781
vocseg,single_vocseg,2.8531,50.1676,29.0533,3.4591,0.0007,25.4451,17.1824,21.1142
vocseg,single_vocseg,2.9303,33.56,28.5284,3.7421,0.0013,24.6052,1.034,5.0317
vocseg,single_vocseg,3.1161,33.231,27.8708,4.0074,0.0013,23.6584,1.3061,5.3603
