task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,327.9781,310.3446,213.0492,0.0026,96.9604,10.6015,17.6336,1775433400583456588
nyudepth,single_nyudepth,0.241,106.5624,9.1466,7.5157,0.0015,1.3982,92.4253,97.4158,1775433400906227653
nyudepth,single_nyudepth,0.4748,24.5218,9.0724,7.037,0.0013,1.8571,10.776,15.4494,1775433401058389761
nyudepth,single_nyudepth,0.7137,21.1375,8.7743,6.5318,0.0009,2.0574,7.6563,12.3632,1775433401294110563
nyudepth,single_nyudepth,0.7409,21.101,8.9372,7.0968,0.0009,1.6701,7.3695,12.1638,1775433401321094478
nyudepth,single_nyudepth,0.7493,32.2993,9.124,6.9206,0.0009,1.8863,18.3923,23.1753,1775433401340453679
nyudepth,single_nyudepth,0.8948,24.3983,8.589,6.3726,0.0011,2.0625,11.1117,15.8093,1775433401478690739
nyudepth,single_nyudepth,1.0364,24.2369,9.1412,6.7434,0.0014,2.216,10.4783,15.0957,1775433401619674482
nyudepth,single_nyudepth,1.35,23.602,8.8616,6.8216,0.001,1.8421,10.0684,14.7404,1775433401932894799
nyudepth,single_nyudepth,1.3562,36.113,8.7612,6.5904,0.001,2.0157,22.8846,27.3518,1775433401951869482
nyudepth,single_nyudepth,1.4615,55.6211,38.4525,19.8866,0.0015,9.1787,12.069,17.1687,1775433402046334454
nyudepth,single_nyudepth,1.4677,52.4011,38.4525,19.8866,0.0015,9.1787,5.842,13.9486,1775433402046334454
nyudepth,single_nyudepth,1.5773,25.3863,9.1752,7.3503,0.001,1.6447,11.5178,16.2111,1775433402161599411
nyudepth,single_nyudepth,1.7499,25.0649,9.0333,7.0525,0.0012,1.8112,11.2686,16.0316,1775433402333983269
nyudepth,single_nyudepth,1.7891,24.8406,8.8984,6.4653,0.0009,2.2673,11.1592,15.9422,1775433402373098141
nyudepth,single_nyudepth,1.9122,23.4833,9.1859,7.4774,0.001,1.5331,9.5291,14.2974,1775433402494513318
nyudepth,single_nyudepth,1.9273,33.4339,13.4074,7.1658,0.0011,3.0042,14.4298,20.0265,1775433402514493133
nyudepth,single_nyudepth,1.9368,26.7644,13.4074,7.1658,0.0011,3.0042,4.9276,13.357,1775433402514493133
nyudepth,single_nyudepth,1.9677,24.1191,8.8976,6.7536,0.001,1.9558,10.5073,15.2215,1775433402550957435
nyudepth,single_nyudepth,2.0579,20.946,8.9414,6.7862,0.0009,1.9904,7.3833,12.0047,1775433402638114660
nyudepth,single_nyudepth,2.0991,23.0684,8.9769,6.6526,0.001,2.1391,9.4097,14.0916,1775433402681298004
nyudepth,single_nyudepth,2.2244,21.2145,8.9952,6.4728,0.0014,2.3533,7.283,12.2193,1775433402804438881
nyudepth,single_nyudepth,2.2468,24.8833,9.0621,6.5674,0.001,2.3298,11.0664,15.8212,1775433402830614578
nyudepth,single_nyudepth,2.4309,26.5014,8.7843,6.4085,0.0011,2.1875,12.7361,17.7172,1775433403016434122
nyudepth,single_nyudepth,2.5536,25.1143,8.9944,6.9466,0.001,1.8795,11.4927,16.1199,1775433403137886840
nyudepth,single_nyudepth,2.6189,21.044,8.9539,6.81,0.001,1.9805,7.405,12.0901,1775433403199067834
nyudepth,single_nyudepth,2.6601,23.9351,8.4622,5.9962,0.0011,2.3214,10.9921,15.4728,1775433403243875575
nyudepth,single_nyudepth,2.7062,22.4383,8.4688,6.0112,0.0012,2.3115,9.3281,13.9695,1775433403288293697
nyudepth,single_nyudepth,2.7133,35.089,8.7279,6.6327,0.001,1.9414,21.8062,26.3612,1775433403307908394
nyudepth,single_nyudepth,2.7318,32.9919,8.708,6.5047,0.0013,2.0545,19.5045,24.2838,1775433403324080583
nyudepth,single_nyudepth,2.7999,20.0834,8.5107,6.3923,0.001,1.9689,7.0441,11.5728,1775433403379758812
nyudepth,single_nyudepth,2.8391,23.5953,9.1047,6.7938,0.001,2.1402,9.7563,14.4906,1775433403421691937
nyudepth,single_nyudepth,2.9649,24.895,9.0381,6.8778,0.0009,1.9723,11.1663,15.8569,1775433403548896516
nyudepth,single_nyudepth,3.036,23.6757,9.0078,6.3737,0.0013,2.4689,10.1573,14.6679,1775433403618918422
nyudepth,single_nyudepth,3.0596,23.1209,9.1545,7.1022,0.0014,1.5794,9.109,13.9664,1775433403641553187
nyudepth,single_nyudepth,3.1059,21.1356,9.2764,7.334,0.0011,1.689,7.0779,11.8592,1775433403685773665
nyudepth,single_nyudepth,3.1702,23.3612,9.0776,6.8482,0.0012,2.0574,9.5773,14.2836,1775433403752579197
nyudepth,single_nyudepth,3.2047,20.7212,8.467,5.8141,0.0011,2.5107,7.2315,12.2542,1775433403784738530
nyudepth,single_nyudepth,3.2366,24.8725,9.1486,7.1233,0.0011,1.8505,11.0843,15.724,1775433403820455404
nyudepth,single_nyudepth,3.3246,21.2505,9.0481,6.9448,0.0013,1.9299,7.5142,12.2023,1775433403904927760
nyudepth,single_nyudepth,3.354,24.3375,9.1293,7.1342,0.0009,1.8289,10.6773,15.2083,1775433403937475341
nyudepth,single_nyudepth,3.4876,21.0607,8.7521,6.7077,0.0011,1.8903,7.3879,12.3086,1775433404067739620
nyudepth,single_nyudepth,3.6278,21.6088,8.8677,6.2918,0.0013,2.3581,7.7724,12.7412,1775433404208413165
nyudepth,single_nyudepth,3.7356,25.3375,8.7058,6.6624,0.001,1.8672,11.9822,16.6316,1775433404320416508
nyudepth,single_nyudepth,3.7428,39.1316,8.9283,6.4565,0.0009,2.3076,25.4507,30.2034,1775433404341054548
nyudepth,single_nyudepth,3.8561,20.7355,8.6653,6.2021,0.0011,2.3084,7.2293,12.0702,1775433404436145925
nyudepth,single_nyudepth,3.9911,23.6824,8.6686,6.3704,0.0011,2.1152,10.4246,15.0138,1775433404574324354
nyudepth,single_nyudepth,4.104,23.011,8.6231,6.8252,0.0009,1.6264,9.6836,14.3879,1775433404686455510
nyudepth,single_nyudepth,4.1311,24.5166,9.0468,6.7268,0.001,2.1455,10.9878,15.4698,1775433404714912471
nyudepth,single_nyudepth,4.1638,25.0459,9.0881,8.3211,0.0013,0.577,10.9773,15.9577,1775433404747556417
nyudepth,single_nyudepth,4.1801,27.4599,8.6092,5.9137,0.0009,2.5399,13.8679,18.8507,1775433404766751136
nyudepth,single_nyudepth,4.2157,29.2468,13.0629,6.5077,0.001,3.1791,10.5362,16.1839,1775433404799020533
nyudepth,single_nyudepth,4.218,29.8123,13.0629,6.5077,0.001,3.1791,8.2433,16.7494,1775433404799020533
nyudepth,single_nyudepth,4.2347,31.1284,8.5521,5.9765,0.0011,2.4161,17.4565,22.5763,1775433404824937696
nyudepth,single_nyudepth,4.366,23.7586,9.0147,6.5921,0.0009,2.2426,10.0915,14.7439,1775433404948890619
nyudepth,single_nyudepth,4.7662,23.633,9.1849,6.9381,0.001,2.039,9.6998,14.4481,1775433405348739879
nyudepth,single_nyudepth,4.822,23.7083,9.132,6.6116,0.0009,2.3602,9.9413,14.5763,1775433405404761500
nyudepth,single_nyudepth,4.8499,25.0027,9.039,6.4558,0.0009,2.4195,11.2181,15.9637,1775433405433891326
nyudepth,single_nyudepth,4.89,23.808,9.0598,6.5416,0.001,2.3491,10.0672,14.7482,1775433405472883398
nyudepth,single_nyudepth,4.926,23.7749,9.1333,7.6442,0.0011,1.315,9.9919,14.6415,1775433405508771988
nyudepth,single_nyudepth,4.9392,30.2358,9.1296,6.8321,0.0009,2.1053,16.4924,21.1062,1775433405528539710
nyudepth,single_nyudepth,5.0477,22.269,9.0289,6.8949,0.0012,1.9679,8.5144,13.2401,1775433405628976336
nyudepth,single_nyudepth,5.1852,21.7438,8.7671,6.6399,0.0011,1.9418,8.1775,12.9767,1775433405766128291
nyudepth,single_nyudepth,5.3361,20.8704,8.9327,6.7383,0.001,2.0305,7.2312,11.9377,1775433405916155710
nyudepth,single_nyudepth,5.8672,23.8066,8.985,6.5976,0.001,2.1657,10.1438,14.8215,1775433406450131246
nyudepth,single_nyudepth,6.0773,23.7279,9.0493,6.4608,0.001,2.4125,9.9699,14.6786,1775433406660034524
nyudepth,single_nyudepth,6.2422,23.6611,9.1872,6.662,0.0013,2.2893,9.7809,14.474,1775433406824821191
nyudepth,single_nyudepth,6.3461,24.5917,9.2398,7.2118,0.0013,1.8531,10.8528,15.3519,1775433406929767250
nyudepth,single_nyudepth,6.4059,28.3391,12.7583,6.7095,0.0012,2.9346,10.0758,15.5808,1775433406988751038
nyudepth,single_nyudepth,6.4097,27.2572,12.7583,6.7095,0.0012,2.9346,6.2084,14.4989,1775433406988751038
nyudepth,single_nyudepth,6.5062,20.9348,9.0716,6.9556,0.0012,1.9334,7.3204,11.8632,1775433407086294069
nyudepth,single_nyudepth,6.5683,25.3994,8.8974,6.3618,0.0013,2.3596,11.168,16.5021,1775433407152222716
nyudepth,single_nyudepth,6.7189,24.2522,9.1678,7.007,0.0012,1.9401,10.3545,15.0844,1775433407302037100
nyudepth,single_nyudepth,6.9214,20.4992,8.6083,6.2881,0.0011,2.1317,7.2174,11.8909,1775433407501432679
