task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,404.4442,381.4582,270.2598,0.0025,110.8973,14.7603,22.986,1775433639461002999
nyudepth,no_sharing,0.1212,394.3548,102.6377,26.7421,0.0022,15.1285,283.3776,291.7171,1775433639850716049
nyudepth,no_sharing,0.2374,285.8052,102.6377,26.7421,0.0022,15.1285,167.1906,183.1676,1775433639850716049
nyudepth,no_sharing,0.3571,166.1437,102.6377,26.7421,0.0022,15.1285,47.5204,63.506,1775433639850716049
nyudepth,no_sharing,0.3724,161.0935,102.6377,26.7421,0.0022,15.1285,32.2139,58.4558,1775433639850716049
nyudepth,no_sharing,0.3753,158.2129,102.6377,26.7421,0.0022,15.1285,29.3255,55.5752,1775433639850716049
nyudepth,no_sharing,0.4481,95.0558,9.8832,8.0299,0.0012,1.6314,79.3145,85.1726,1775433639973583774
nyudepth,no_sharing,0.5234,40.0372,9.4935,7.7776,0.001,1.5431,24.9321,30.5437,1775433639994450482
nyudepth,no_sharing,0.6742,50.0252,33.5819,19.3883,0.0017,6.9912,10.4282,16.4433,1775433640130789106
nyudepth,no_sharing,0.6787,48.3084,33.5819,19.3883,0.0017,6.9912,5.9135,14.7265,1775433640130789106
nyudepth,no_sharing,0.7312,29.8584,14.1148,9.2226,0.0016,2.3073,9.613,15.7435,1775433640186900192
nyudepth,no_sharing,0.7346,32.0647,14.1148,9.2226,0.0016,2.3073,6.1455,17.9499,1775433640186900192
nyudepth,no_sharing,0.7902,32.9688,16.7362,7.4298,0.0013,9.1005,9.7141,16.2326,1775433640246062457
nyudepth,no_sharing,0.8758,22.5363,8.9276,6.7651,0.001,1.9465,8.3482,13.6086,1775433640330277237
nyudepth,no_sharing,0.8953,27.5238,9.053,6.6798,0.001,2.163,13.6535,18.4707,1775433640355057455
nyudepth,no_sharing,0.9559,21.5631,9.3913,8.7916,0.0015,0.4212,7.4923,12.1717,1775433640409566814
nyudepth,no_sharing,0.9641,50.8327,22.7157,10.8645,0.0014,5.775,18.7752,28.117,1775433640429036150
nyudepth,no_sharing,0.9688,46.2224,22.7157,10.8645,0.0014,5.775,14.1563,23.5067,1775433640429036150
nyudepth,no_sharing,0.9843,46.6189,8.6097,6.5871,0.0013,1.8684,32.7125,38.0093,1775433640463098650
nyudepth,no_sharing,1.0309,24.8709,8.7162,6.459,0.0012,2.092,11.3862,16.1547,1775433640488398950
nyudepth,no_sharing,1.0502,25.7149,8.8038,6.2376,0.001,2.4019,12.2607,16.9111,1775433640508598533
nyudepth,no_sharing,1.1127,25.5933,8.8043,7.6031,0.0014,0.9963,8.9018,16.789,1775433640567686037
nyudepth,no_sharing,1.1265,26.336,9.144,6.6463,0.0009,2.3399,12.3453,17.192,1775433640584940412
nyudepth,no_sharing,1.216,33.1321,17.035,6.9277,0.0015,9.8773,10.4647,16.0971,1775433640672593180
nyudepth,no_sharing,1.2769,24.173,8.9556,7.302,0.0013,1.4461,10.0741,15.2174,1775433640733149648
nyudepth,no_sharing,1.3093,22.8617,9.0398,6.7705,0.0014,2.0764,8.8706,13.8219,1775433640764259171
nyudepth,no_sharing,1.3321,24.8079,8.6695,6.3036,0.0009,2.1946,9.7539,16.1385,1775433640788010955
nyudepth,no_sharing,1.353,34.2138,17.8128,8.0181,0.0011,4.8037,10.2422,16.401,1775433640809350644
nyudepth,no_sharing,1.3572,33.3679,17.8128,8.0181,0.0011,4.8037,5.9955,15.5551,1775433640809350644
nyudepth,no_sharing,1.367,46.6366,13.824,7.4487,0.0012,6.2064,27.9987,32.8126,1775433640841145793
nyudepth,no_sharing,1.4001,49.1872,20.2184,7.2916,0.0012,12.7435,21.9996,28.9688,1775433640868204483
nyudepth,no_sharing,1.4197,51.4221,16.3037,8.6248,0.001,7.5036,30.1878,35.1184,1775433640895976819
nyudepth,no_sharing,1.4844,24.8027,9.2324,6.4628,0.001,2.5816,10.8507,15.5703,1775433640941371239
nyudepth,no_sharing,1.5193,22.9173,9.1666,8.2784,0.0014,0.6408,7.565,13.7507,1775433640973042475
nyudepth,no_sharing,1.5301,30.5207,8.7323,7.278,0.0014,1.2494,16.8762,21.7883,1775433640993093894
nyudepth,no_sharing,1.5536,24.0452,9.595,6.6568,0.0009,2.765,9.5735,14.4502,1775433641009345857
nyudepth,no_sharing,1.5858,23.9887,9.2232,7.9941,0.0012,1.0192,7.1449,14.7656,1775433641039092398
nyudepth,no_sharing,1.6028,29.0811,12.2021,6.9372,0.0016,5.08,10.7415,16.879,1775433641059703971
nyudepth,no_sharing,1.6199,36.2678,11.5174,6.616,0.001,4.7433,17.5726,24.7504,1775433641083617788
nyudepth,no_sharing,1.6624,32.5556,15.9481,9.6539,0.0013,6.0664,11.0784,16.6075,1775433641119625313
nyudepth,no_sharing,1.6787,39.448,16.1787,6.6178,0.001,9.4108,18.1878,23.2693,1775433641143017420
nyudepth,no_sharing,1.7442,22.8436,9.8239,7.0317,0.0015,2.5662,7.6826,13.0197,1775433641198003389
nyudepth,no_sharing,1.8134,25.5749,10.1081,6.9998,0.0013,2.9015,10.5925,15.4668,1775433641270170123
nyudepth,no_sharing,1.8682,29.5129,13.1119,6.4774,0.0014,3.2192,10.6153,16.4009,1775433641324930108
nyudepth,no_sharing,1.8715,29.047,13.1119,6.4774,0.0014,3.2192,7.3352,15.9351,1775433641324930108
nyudepth,no_sharing,1.9278,27.3244,15.2912,8.4405,0.0013,6.6521,7.1278,12.0332,1775433641381033923
nyudepth,no_sharing,1.9968,23.7167,9.565,7.4355,0.0017,1.9166,9.4934,14.1517,1775433641452381138
nyudepth,no_sharing,2.0524,23.7334,9.2198,8.2218,0.001,0.733,9.8822,14.5136,1775433641508430072
nyudepth,no_sharing,2.0657,31.6095,8.9354,6.8439,0.0016,1.8484,17.7572,22.6741,1775433641529563566
nyudepth,no_sharing,2.0823,45.1653,21.7275,7.3381,0.0017,7.1032,17.503,23.4378,1775433641545929261
nyudepth,no_sharing,2.0907,39.6035,21.7275,7.3381,0.0017,7.1032,9.1233,17.876,1775433641545929261
nyudepth,no_sharing,2.108,70.5607,37.7552,23.2522,0.0022,4.7575,27.6814,32.8055,1775433641581826734
nyudepth,no_sharing,2.1102,71.2271,37.7552,23.2522,0.0022,4.7575,25.4653,33.4719,1775433641581826734
nyudepth,no_sharing,2.1174,67.9107,37.7552,23.2522,0.0022,4.7575,18.2862,30.1555,1775433641581826734
nyudepth,no_sharing,2.1853,25.8925,10.1788,7.5853,0.0011,2.3936,10.7937,15.7137,1775433641642252779
nyudepth,no_sharing,2.3825,22.9957,9.0616,6.6859,0.0014,2.1459,9.2642,13.9341,1775433641837893121
nyudepth,no_sharing,2.4112,24.6775,8.7192,7.0334,0.0011,1.4917,11.1222,15.9583,1775433641868424561
nyudepth,no_sharing,2.4274,35.1562,9.1001,6.9625,0.0012,1.8811,17.0596,26.0561,1775433641890550018
nyudepth,no_sharing,2.4452,32.9621,8.8347,6.7934,0.0015,1.8312,19.51,24.1274,1775433641910882954
nyudepth,no_sharing,2.4636,39.1495,14.0647,6.7288,0.001,3.5781,20.2134,25.0849,1775433641929956971
nyudepth,no_sharing,2.4702,35.6133,14.0647,6.7288,0.001,3.5781,13.6051,21.5486,1775433641929956971
nyudepth,no_sharing,2.5237,25.0769,9.3853,7.1932,0.0019,1.9748,10.8895,15.6916,1775433641980674503
nyudepth,no_sharing,2.5924,23.8376,9.1696,6.824,0.0011,2.1454,10.0403,14.668,1775433642048589969
nyudepth,no_sharing,2.6683,31.4448,15.9781,7.1155,0.0014,8.6397,10.7782,15.4667,1775433642125190304
nyudepth,no_sharing,2.9341,24.2927,9.2395,6.817,0.0014,1.7986,10.4659,15.0532,1775433642390648857
nyudepth,no_sharing,3.0401,23.7479,9.0475,6.6606,0.0016,2.1638,9.6879,14.7005,1775433642495955700
nyudepth,no_sharing,3.1213,30.8032,16.187,10.3604,0.0016,5.5487,9.5685,14.6162,1775433642577010317
nyudepth,no_sharing,3.174,21.6098,9.0182,6.7002,0.0011,2.0977,7.8325,12.5916,1775433642627993285
