task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0,329.0987,310.3872,216.8736,0.0032,93.2398,11.27,18.7116,1775433595754351505
vocseg,single_vocseg,0.0085,376.9512,50.3541,23.7479,0.0023,5.278,320.0994,326.5971,1775433596071634534
vocseg,single_vocseg,0.0128,376.7939,50.3541,23.7479,0.0023,5.278,315.8138,326.4398,1775433596071634534
vocseg,single_vocseg,0.0157,378.5777,50.3541,23.7479,0.0023,5.278,312.9325,328.2236,1775433596071634534
vocseg,single_vocseg,0.0757,326.0565,50.3541,23.7479,0.0023,5.278,252.8555,275.7024,1775433596071634534
vocseg,single_vocseg,0.1529,248.8937,50.3541,23.7479,0.0023,5.278,175.6597,198.5397,1775433596071634534
vocseg,single_vocseg,0.1741,254.7576,29.0966,10.6614,0.0015,3.6333,220.6349,225.661,1775433596137815798
vocseg,single_vocseg,0.2401,191.6399,29.0966,10.6614,0.0015,3.6333,154.6285,162.5433,1775433596137815798
vocseg,single_vocseg,0.2463,191.1325,29.0966,10.6614,0.0015,3.6333,148.4909,162.0359,1775433596137815798
vocseg,single_vocseg,0.3013,136.1098,29.0966,10.6614,0.0015,3.6333,93.4608,107.0132,1775433596137815798
vocseg,single_vocseg,0.3291,111.0675,29.0966,10.6614,0.0015,3.6333,65.6223,81.9709,1775433596137815798
vocseg,single_vocseg,0.379,79.3762,10.4222,6.6475,0.011,3.6099,62.4285,68.9541,1775433596184469035
vocseg,single_vocseg,0.5506,24.3821,8.6898,6.207,0.0012,2.2931,10.8757,15.6923,1775433596304511422
vocseg,single_vocseg,0.5861,26.3627,9.5467,7.0528,0.0014,2.2842,11.5931,16.816,1775433596340787991
vocseg,single_vocseg,0.6497,24.1773,9.2469,6.8222,0.001,2.2264,10.186,14.9305,1775433596402899042
vocseg,single_vocseg,0.702,51.5077,33.9774,20.8401,0.0022,6.4598,11.2822,17.5303,1775433596456321635
vocseg,single_vocseg,0.702,54.2653,33.9774,20.8401,0.0022,6.4598,11.2581,20.2878,1775433596456321635
vocseg,single_vocseg,0.7151,61.8243,13.1384,6.9722,0.0012,2.9972,42.9449,48.6859,1775433596501045138
vocseg,single_vocseg,0.7331,47.1468,13.1384,6.9722,0.0012,2.9972,24.9312,34.0084,1775433596501045138
vocseg,single_vocseg,0.7802,24.518,9.5189,6.8971,0.0012,2.4315,10.3304,14.9992,1775433596533605373
vocseg,single_vocseg,0.8149,23.4635,8.9784,6.2397,0.0011,2.5595,9.7585,14.4851,1775433596567692093
vocseg,single_vocseg,0.9766,25.4822,9.0161,6.3798,0.0011,2.4371,11.7574,16.4661,1775433596731390418
