task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0,557.6832,544.0511,284.2558,0.0029,259.3719,5.0457,13.6321,1775444364528993225
nyudepth,no_sharing,0.1612,1442.621,1040.316,78.6412,0.0029,192.2855,395.2909,402.305,1775444365080426582
nyudepth,no_sharing,0.3166,1291.8026,1040.316,78.6412,0.0029,192.2855,239.8789,251.4867,1775444365080426582
nyudepth,no_sharing,0.4753,1141.3183,1040.316,78.6412,0.0029,192.2855,81.2044,101.0023,1775444365080426582
nyudepth,no_sharing,0.494,1122.6239,1040.316,78.6412,0.0029,192.2855,62.4981,82.3079,1775444365080426582
nyudepth,no_sharing,0.5002,1121.1081,1040.316,78.6412,0.0029,192.2855,56.3624,80.7921,1775444365080426582
nyudepth,no_sharing,0.5969,4104.13,3078.4959,164.7173,0.0024,171.3812,1019.3222,1025.6342,1775444366140102578
nyudepth,no_sharing,0.691,4013.1598,3078.4959,164.7173,0.0024,171.3812,925.1606,934.6639,1775444366140102578
nyudepth,no_sharing,0.8995,3808.085,3078.4959,164.7173,0.0024,171.3812,716.6927,729.5891,1775444366140102578
nyudepth,no_sharing,0.9049,3805.5713,3078.4959,164.7173,0.0024,171.3812,711.2658,727.0754,1775444366140102578
nyudepth,no_sharing,0.9746,3738.8291,3078.4959,164.7173,0.0024,171.3812,641.6121,660.3333,1775444366140102578
nyudepth,no_sharing,0.9789,3737.3741,3078.4959,164.7173,0.0024,171.3812,637.3036,658.8782,1775444366140102578
nyudepth,no_sharing,1.0517,3667.3765,3078.4959,164.7173,0.0024,171.3812,564.4953,588.8806,1775444366140102578
nyudepth,no_sharing,1.1671,3554.8537,3078.4959,164.7173,0.0024,171.3812,449.0588,476.3578,1775444366140102578
nyudepth,no_sharing,1.1924,3535.2447,3078.4959,164.7173,0.0024,171.3812,423.7905,456.7488,1775444366140102578
nyudepth,no_sharing,1.2746,3453.0144,3078.4959,164.7173,0.0024,171.3812,341.552,374.5185,1775444366140102578
nyudepth,no_sharing,1.2849,3448.5707,3078.4959,164.7173,0.0024,171.3812,331.2857,370.0749,1775444366140102578
