task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0,352.1597,339.101,227.2285,0.0024,111.5883,5.5871,13.0588,1775440389214765508
nyudepth,sharing,0.4815,68.8696,23.9521,11.4233,0.0017,12.3423,40.0724,44.9175,1775440389730667742
nyudepth,sharing,0.9486,32.2783,23.0912,11.3054,0.0011,11.6167,4.1528,9.1871,1775440390161912048
nyudepth,sharing,1.426,29.7825,23.1781,11.0753,0.001,11.9388,1.7188,6.6045,1775440390636892614
nyudepth,sharing,1.483,33.6127,23.4068,10.6145,0.001,12.6217,5.4102,10.2059,1775440390697521258
nyudepth,sharing,1.4991,48.0537,24.151,10.7833,0.0011,13.2059,19.0523,23.9028,1775440390727304650
nyudepth,sharing,1.7906,33.1607,23.2752,11.5316,0.001,11.5863,5.3377,9.8855,1775440391005060696
nyudepth,sharing,2.0721,32.2652,23.2921,11.0239,0.0009,12.1102,4.2017,8.9731,1775440391285397828
nyudepth,sharing,2.6963,29.649,23.1656,10.6762,0.001,12.3402,1.5709,6.4834,1775440391907040365
nyudepth,sharing,2.7124,45.1951,26.4536,10.8715,0.001,15.4284,13.9325,18.7415,1775440391935502198
nyudepth,sharing,2.9213,31.5888,25.0686,11.7414,0.001,13.1671,1.6153,6.5202,1775440392132061928
nyudepth,sharing,2.9353,77.4736,54.2328,25.767,0.0014,27.8198,18.2719,23.2408,1775440392162654013
nyudepth,sharing,3.1534,35.4271,25.3843,10.9195,0.001,14.3261,5.2204,10.0428,1775440392367795845
nyudepth,sharing,3.4998,33.0946,23.2204,11.3892,0.001,11.666,5.3205,9.8743,1775440392714222560
nyudepth,sharing,3.577,29.3643,23.2154,10.6781,0.0011,12.3866,1.2469,6.149,1775440392787388831
nyudepth,sharing,3.8237,32.4383,23.2613,10.8551,0.0012,12.24,4.3213,9.177,1775440393037152418
nyudepth,sharing,3.8561,31.554,23.6274,11.0137,0.001,12.4676,3.289,7.9266,1775440393068565437
nyudepth,sharing,3.8727,48.6596,28.2807,10.9822,0.0009,17.1456,15.7297,20.3789,1775440393097561935
nyudepth,sharing,3.9355,50.5562,27.8584,10.356,0.0009,17.3515,18.2455,22.6978,1775440393162838925
nyudepth,sharing,4.1152,33.653,23.8194,11.4086,0.0009,12.2656,4.9582,9.8336,1775440393329273024
nyudepth,sharing,4.198,29.4054,23.3711,10.4605,0.0009,12.7476,1.3108,6.0343,1775440393408438221
nyudepth,sharing,4.4474,59.2692,24.6483,10.3209,0.0009,14.1717,29.8502,34.6209,1775440393686374962
nyudepth,sharing,4.4929,49.3927,29.6119,10.5509,0.0009,18.8352,14.9403,19.7808,1775440393716991938
nyudepth,sharing,4.8605,32.2735,23.1892,12.1389,0.0011,10.868,4.2672,9.0843,1775440394073942622
nyudepth,sharing,5.1054,32.402,23.5341,11.0028,0.0011,11.9652,4.0751,8.8679,1775440394318622249
nyudepth,sharing,5.237,29.4473,23.0881,11.1459,0.0009,11.7943,1.4942,6.3592,1775440394447648584
nyudepth,sharing,5.3196,31.9502,23.4347,11.4863,0.001,11.8046,3.8414,8.5155,1775440394532597940
nyudepth,sharing,5.4105,34.4551,24.2548,10.9713,0.0008,13.1049,5.1346,10.2003,1775440394624813148
nyudepth,sharing,5.4265,69.2186,41.9687,12.3112,0.0013,0.422,18.5585,27.2499,1775440394654231488
nyudepth,sharing,5.4621,66.3774,30.1747,11.397,0.0009,18.6278,31.4908,36.2027,1775440394702743358
nyudepth,sharing,5.5994,32.3632,23.8864,10.9761,0.0009,12.7576,4.0081,8.4767,1775440394812562371
nyudepth,sharing,5.6763,35.7749,24.5155,11.3685,0.0008,12.9923,6.5963,11.2594,1775440394892065697
nyudepth,sharing,5.9302,32.4697,23.1988,11.0089,0.0009,12.03,4.4711,9.271,1775440395143836013
nyudepth,sharing,6.072,29.2995,23.0995,11.0795,0.0009,11.8654,1.3344,6.2,1775440395282423627
nyudepth,sharing,6.1185,47.3831,25.6543,11.4573,0.0009,14.0408,17.2067,21.7288,1775440395344825363
nyudepth,sharing,6.211,29.8264,23.5782,11.3546,0.0008,12.0671,1.3287,6.2482,1775440395421471925
nyudepth,sharing,6.34,29.5191,23.0829,11.2594,0.001,11.6722,1.7204,6.4361,1775440395550887732
nyudepth,sharing,6.4082,72.7334,28.7795,10.7565,0.0009,17.5204,39.0325,43.954,1775440395656398289
nyudepth,sharing,6.4737,40.6814,27.3306,11.0834,0.001,16.0852,8.7543,13.3508,1775440395691552717
nyudepth,sharing,6.6484,32.207,23.32,11.6239,0.001,11.5282,4.2369,8.887,1775440395861792758
nyudepth,sharing,6.7077,37.6799,26.38,12.0877,0.001,14.1285,6.454,11.2999,1775440395923327128
nyudepth,sharing,6.9742,32.9089,23.3975,11.4396,0.0009,11.766,4.7188,9.5115,1775440396188073394
nyudepth,sharing,7.2527,42.5828,25.1827,10.8444,0.0011,14.1623,12.598,17.4,1775440396474399080
nyudepth,sharing,7.4705,33.3166,23.3401,11.7462,0.001,11.4106,5.2538,9.9765,1775440396684870228
nyudepth,sharing,7.4852,52.381,26.2021,11.4822,0.001,14.5528,21.7087,26.1789,1775440396716062061
nyudepth,sharing,7.7108,42.8913,25.0935,11.2718,0.001,13.6374,13.0632,17.7977,1775440396932995097
nyudepth,sharing,7.9818,28.976,23.0016,10.8883,0.0011,11.9512,1.442,5.9743,1775440397192338895
nyudepth,sharing,8.2075,32.393,23.141,10.6115,0.0009,12.3677,4.4706,9.252,1775440397421124149
nyudepth,sharing,8.2621,32.4693,23.7153,11.2246,0.0009,12.3375,4.1227,8.7539,1775440397475314324
nyudepth,sharing,8.3267,29.9661,23.4604,10.5924,0.001,12.6961,1.5438,6.5057,1775440397537363079
nyudepth,sharing,8.3598,63.6761,28.1375,10.8755,0.0008,17.1009,30.616,35.5386,1775440397599514858
nyudepth,sharing,8.4306,109.0958,58.3461,11.495,0.001,23.3434,45.5108,50.7497,1775440397685201944
nyudepth,sharing,8.4343,108.0742,58.3461,11.495,0.001,23.3434,41.7223,49.728,1775440397685201944
nyudepth,sharing,8.4681,106.2076,26.8891,11.65,0.001,15.0764,74.0113,79.3185,1775440397751196235
nyudepth,sharing,8.7315,34.4579,23.5543,11.4176,0.001,11.5103,6.0427,10.9036,1775440397946696275
nyudepth,sharing,9.5302,33.747,23.4857,11.0954,0.0013,12.2246,5.3573,10.2612,1775440398744645191
nyudepth,sharing,9.6428,39.0933,25.6152,10.7957,0.0009,14.6552,8.673,13.4781,1775440398860648015
nyudepth,sharing,9.7011,30.7758,24.6541,11.1486,0.001,13.3474,1.3661,6.1217,1775440398911591475
nyudepth,sharing,9.7798,56.4637,26.679,10.8395,0.001,15.6633,25.0993,29.7847,1775440399014045962
nyudepth,sharing,9.8514,33.6378,24.527,10.7274,0.0009,13.6293,4.353,9.1108,1775440399064901290
nyudepth,sharing,9.8776,43.2656,28.029,10.7291,0.0009,17.0806,10.4358,15.2366,1775440399097162494
nyudepth,sharing,10.0943,33.5286,23.8687,11.4701,0.0009,12.2318,5.0039,9.6598,1775440399308480971
nyudepth,sharing,10.3693,31.8384,23.0843,10.3801,0.0011,12.5524,4.2391,8.7541,1775440399582667535
nyudepth,sharing,10.6708,32.671,23.0743,10.5585,0.001,12.3531,4.4012,9.5966,1775440399884316290
nyudepth,sharing,11.7329,29.5773,23.1199,10.9894,0.0012,11.9787,1.4706,6.4574,1775440400943537678
nyudepth,sharing,12.1541,29.4044,23.0687,10.5606,0.0011,12.3508,1.4026,6.3357,1775440401364587595
nyudepth,sharing,12.4835,33.534,23.2841,11.8148,0.0017,11.2761,5.517,10.25,1775440401698120919
nyudepth,sharing,12.6934,32.2239,23.315,11.6603,0.0009,11.4877,4.3964,8.9089,1775440401906919623
nyudepth,sharing,12.8108,29.8281,23.1611,11.7798,0.001,10.8444,1.5934,6.667,1775440402021523355
nyudepth,sharing,12.8198,54.9467,25.3053,11.0128,0.001,14.1302,25.0375,29.6414,1775440402054007063
nyudepth,sharing,13.011,32.1572,23.285,11.015,0.0009,12.0908,4.0829,8.8722,1775440402224235829
