task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,358.3069,347.634,245.1775,0.0031,101.0297,2.9533,10.6729,1775447832977619304
nyudepth,no_sharing,0.1214,308.5849,66.0057,26.5204,0.0029,19.5892,235.3191,242.5792,1775447833331317702
nyudepth,no_sharing,0.2379,195.729,66.0057,26.5204,0.0029,19.5892,118.7594,129.7233,1775447833331317702
nyudepth,no_sharing,0.3584,127.8338,51.484,23.6009,0.0024,9.2027,71.5334,76.3498,1775447833404518434
nyudepth,no_sharing,0.3705,119.6778,51.484,23.6009,0.0024,9.2027,59.4428,68.1938,1775447833404518434
nyudepth,no_sharing,0.3758,117.1985,51.484,23.6009,0.0024,9.2027,54.1408,65.7144,1775447833404518434
nyudepth,no_sharing,0.45,54.0147,7.9005,7.3567,0.0013,0.3761,40.3345,46.1142,1775447833464972739
nyudepth,no_sharing,0.5181,15.5923,6.682,6.1317,0.001,0.365,4.0808,8.9103,1775447833496838220
nyudepth,no_sharing,0.6754,41.3773,16.7726,15.9315,0.0015,0.5689,6.3937,24.6047,1775447833656452016
nyudepth,no_sharing,0.6782,52.726,12.2194,11.3859,0.0019,0.5729,33.036,40.5066,1775447833685815295
nyudepth,no_sharing,0.7309,49.3236,26.0174,20.451,0.0035,0.6592,5.4309,23.3061,1775447833710947846
nyudepth,no_sharing,0.734,74.8603,22.2215,21.3174,0.0028,0.6167,40.4646,52.6388,1775447833749124304
nyudepth,no_sharing,0.7935,49.6023,21.4049,20.5813,0.002,0.5485,16.4874,28.1973,1775447833784578982
nyudepth,no_sharing,0.8771,20.3981,7.8573,7.1911,0.0014,0.4212,7.3004,12.5409,1775447833858979593
nyudepth,no_sharing,0.8945,17.158,6.4404,5.9463,0.001,0.3451,6.1514,10.7176,1775447833875286646
nyudepth,no_sharing,0.9558,13.525,7.4923,6.4489,0.0009,0.3922,1.2329,6.0327,1775447833931635638
nyudepth,no_sharing,0.9644,19.6929,8.1748,7.4562,0.0017,0.5068,6.6612,11.5181,1775447833945722278
nyudepth,no_sharing,0.9693,29.8965,10.0756,9.0225,0.0012,0.8146,14.9968,19.8209,1775447833958931560
nyudepth,no_sharing,0.9841,25.4204,7.0215,6.5118,0.001,0.3621,13.1779,18.3989,1775447833971940085
nyudepth,no_sharing,1.0295,16.191,7.5137,6.8854,0.0015,0.4012,3.896,8.6773,1775447834007968012
nyudepth,no_sharing,1.0497,14.8239,6.7206,6.1507,0.0012,0.3723,3.473,8.1033,1775447834027830731
nyudepth,no_sharing,1.1123,19.254,8.0823,7.3802,0.0018,0.4707,4.4291,11.1716,1775447834091377168
nyudepth,no_sharing,1.1239,17.9892,7.5824,7.0087,0.001,0.3719,5.456,10.4068,1775447834103961859
nyudepth,no_sharing,1.215,15.9216,8.2303,7.4163,0.0013,0.6333,1.2605,7.6913,1775447834190885060
nyudepth,no_sharing,1.2767,15.5444,7.2129,6.2989,0.0015,0.723,3.762,8.3315,1775447834255066867
nyudepth,no_sharing,1.3093,16.943,7.0379,6.4897,0.001,0.3839,5.0991,9.9051,1775447834289053157
nyudepth,no_sharing,1.3304,15.8389,6.5685,6.0286,0.0009,0.4006,3.5892,9.2703,1775447834308590606
nyudepth,no_sharing,1.3543,18.4028,8.1654,7.371,0.0016,0.5303,4.0963,10.2374,1775447834332976433
nyudepth,no_sharing,1.3569,26.4535,7.0288,6.454,0.001,0.4085,14.8234,19.4247,1775447834346322879
nyudepth,no_sharing,1.366,32.5377,7.675,6.5519,0.0011,0.9709,19.0794,24.8627,1775447834359687285
nyudepth,no_sharing,1.4013,16.8288,7.0237,6.2293,0.002,0.5167,4.7641,9.8051,1775447834380644860
nyudepth,no_sharing,1.4192,16.4204,8.3863,7.6387,0.0014,0.5133,1.142,8.0341,1775447834394950668
nyudepth,no_sharing,1.4832,15.5344,7.2179,6.6744,0.001,0.3756,3.69,8.3165,1775447834461484822
nyudepth,no_sharing,1.5178,18.0354,7.5536,7.0267,0.0011,0.3696,4.7319,10.4818,1775447834497177258
nyudepth,no_sharing,1.5302,18.3651,10.0314,8.9199,0.0012,0.9147,3.5498,8.3338,1775447834508353143
nyudepth,no_sharing,1.5537,14.7033,6.4612,5.9786,0.0011,0.3467,3.7858,8.2421,1775447834532057718
nyudepth,no_sharing,1.5855,15.183,6.334,5.8275,0.0009,0.3682,3.7384,8.849,1775447834563815926
nyudepth,no_sharing,1.6027,23.4101,8.9258,8.1606,0.0017,0.5018,7.7176,14.4843,1775447834585073210
nyudepth,no_sharing,1.6182,20.6287,6.5641,6.0036,0.0014,0.3839,9.0733,14.0646,1775447834601866419
nyudepth,no_sharing,1.6625,17.8833,7.9105,7.1465,0.0018,0.4829,3.6633,9.9728,1775447834640733909
nyudepth,no_sharing,1.6774,21.3916,7.4764,6.7563,0.0012,0.496,6.8698,13.9153,1775447834658854221
nyudepth,no_sharing,1.7441,16.0944,7.1759,6.5606,0.0013,0.4161,4.0605,8.9186,1775447834722785900
nyudepth,no_sharing,1.8138,17.2584,7.5293,6.8034,0.0015,0.522,5.1141,9.7291,1775447834793542642
nyudepth,no_sharing,1.8682,16.0098,7.1924,6.6348,0.0012,0.391,4.0066,8.8174,1775447834846798662
nyudepth,no_sharing,1.8719,25.0661,6.3125,5.8331,0.001,0.3323,14.2016,18.7537,1775447834860698516
nyudepth,no_sharing,1.9277,17.7307,10.5558,9.9508,0.0014,0.4286,1.2791,7.1749,1775447834903632709
nyudepth,no_sharing,1.9961,16.6399,7.6416,7.0073,0.0013,0.4068,4.1749,8.9983,1775447834974886237
nyudepth,no_sharing,2.0516,15.7499,7.4517,6.8605,0.0013,0.4181,3.7324,8.2983,1775447835029978338
nyudepth,no_sharing,2.0674,15.7177,6.5814,6.0417,0.0011,0.3887,4.6163,9.1363,1775447835046619841
nyudepth,no_sharing,2.0831,22.0003,10.9512,10.0387,0.0023,0.6377,5.5118,11.0491,1775447835063240294
nyudepth,no_sharing,2.0909,31.2309,11.1007,8.1241,0.0021,2.7081,14.0471,20.1303,1775447835079572058
nyudepth,no_sharing,2.1082,31.1449,12.3496,11.7717,0.0012,0.2004,13.2229,18.7953,1775447835096057877
nyudepth,no_sharing,2.1088,33.4284,12.3496,11.7717,0.0012,0.2004,12.6467,21.0788,1775447835096057877
nyudepth,no_sharing,2.1171,37.9426,6.4128,5.9087,0.0011,0.3579,26.3665,31.5298,1775447835118122688
nyudepth,no_sharing,2.1832,15.1863,6.551,6.0123,0.001,0.3793,4.0312,8.6353,1775447835161836726
nyudepth,no_sharing,2.3833,15.3458,6.9643,6.3555,0.0015,0.404,3.83,8.3815,1775447835361709698
nyudepth,no_sharing,2.4114,17.5581,7.8129,6.8505,0.0014,0.3837,4.9467,9.7452,1775447835390921592
nyudepth,no_sharing,2.4252,15.5506,6.8125,6.3114,0.0013,0.3569,3.9611,8.7381,1775447835403799123
nyudepth,no_sharing,2.4456,13.6249,7.335,6.7631,0.0012,0.4076,1.1749,6.2899,1775447835421362737
nyudepth,no_sharing,2.463,17.2114,7.7471,7.0586,0.0015,0.4754,4.7655,9.4644,1775447835442398895
nyudepth,no_sharing,2.4696,26.7444,6.378,5.8815,0.001,0.3457,15.9132,20.3663,1775447835460166115
nyudepth,no_sharing,2.524,15.3015,7.0339,6.4403,0.0011,0.4195,3.6318,8.2675,1775447835502247510
nyudepth,no_sharing,2.5932,16.2272,6.7636,6.1655,0.0016,0.3894,4.9064,9.4636,1775447835572751364
nyudepth,no_sharing,2.6677,20.823,10.1133,9.2582,0.0023,0.5862,3.8023,10.7097,1775447835646107461
nyudepth,no_sharing,2.9348,16.6852,7.7272,7.065,0.0016,0.4477,3.9811,8.9581,1775447835913379414
nyudepth,no_sharing,3.0386,15.7735,7.0464,6.3902,0.0011,0.4456,4.1392,8.7271,1775447836017359791
