task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,269.8152,261.5997,205.1213,0.0023,56.1833,2.0194,8.2155,1775428192646007030
nyudepth,single_nyudepth,0.2409,58.135,27.8523,4.629,0.0012,23.0679,25.7676,30.2828,1775428192910624896
nyudepth,single_nyudepth,0.4754,33.1991,27.5932,4.0431,0.0015,23.3507,1.4966,5.6059,1775428193120770815
nyudepth,single_nyudepth,0.7128,33.5648,27.5511,4.0069,0.0014,23.3334,1.6186,6.0137,1775428193358384314
nyudepth,single_nyudepth,0.7415,33.8557,27.3367,3.5369,0.0009,23.6493,2.5325,6.519,1775428193387997582
nyudepth,single_nyudepth,0.7495,56.3755,28.8162,3.561,0.0009,24.9404,23.6323,27.5593,1775428193417050773
nyudepth,single_nyudepth,0.8951,32.9852,27.603,4.0372,0.0011,23.3652,1.3287,5.3822,1775428193540301241
nyudepth,single_nyudepth,1.0362,33.2637,27.5815,4.0048,0.0011,23.37,1.533,5.6822,1775428193681695979
nyudepth,single_nyudepth,1.3489,33.0639,27.5794,4.0149,0.0014,23.3622,1.472,5.4844,1775428193994277595
nyudepth,single_nyudepth,1.3566,54.3771,27.3772,3.5141,0.0008,23.7087,23.0303,26.9999,1775428194023565100
nyudepth,single_nyudepth,1.4611,33.0629,27.8005,3.9974,0.0013,23.6178,1.2376,5.2624,1775428194106272478
nyudepth,single_nyudepth,1.4678,56.2415,28.2788,3.4883,0.001,24.6531,24.0638,27.9627,1775428194135751363
nyudepth,single_nyudepth,1.5771,32.9068,27.586,3.9695,0.0012,23.4367,1.2286,5.3208,1775428194222279707
nyudepth,single_nyudepth,1.7503,32.9545,27.5568,3.959,0.0013,23.3698,1.3337,5.3977,1775428194395518953
nyudepth,single_nyudepth,1.7883,32.3472,27.4516,3.599,0.001,23.703,0.8128,4.8956,1775428194433040197
nyudepth,single_nyudepth,1.9118,32.9812,27.5269,3.9958,0.0013,23.3229,1.3807,5.4543,1775428194557143388
nyudepth,single_nyudepth,1.9275,129.94,110.0809,13.8674,0.001,48.0264,15.5578,19.8592,1775428194587022679
nyudepth,single_nyudepth,1.9361,124.2266,110.0809,13.8674,0.001,48.0264,6.9966,14.1457,1775428194587022679
nyudepth,single_nyudepth,1.9679,120.7416,27.8456,4.5743,0.0013,23.1023,88.8946,92.896,1775428194700740241
nyudepth,single_nyudepth,2.0603,58.1241,28.144,3.4506,0.0009,24.5371,26.0818,29.9801,1775428194730301530
nyudepth,single_nyudepth,2.0998,49.4339,28.9829,3.5278,0.001,25.3114,16.3779,20.4511,1775428194760058497
nyudepth,single_nyudepth,2.2243,33.0102,27.6609,4.0074,0.0015,23.4669,1.3351,5.3494,1775428194869605001
nyudepth,single_nyudepth,2.2461,40.9157,27.8752,3.4252,0.0009,24.3009,9.0606,13.0405,1775428194899041972
nyudepth,single_nyudepth,2.4312,34.091,27.5659,4.0015,0.0011,23.344,1.3728,6.5251,1775428195076510153
nyudepth,single_nyudepth,2.5535,33.3576,27.555,4.0111,0.0012,23.3519,1.5717,5.8026,1775428195198978196
nyudepth,single_nyudepth,2.619,32.9113,27.4527,3.7963,0.0011,23.4744,1.3175,5.4586,1775428195264197289
nyudepth,single_nyudepth,2.66,33.2685,28.0373,3.9094,0.0012,23.9654,1.0157,5.2312,1775428195304903467
nyudepth,single_nyudepth,2.7053,34.6303,28.1558,3.6207,0.001,24.3646,1.4169,6.4745,1775428195350670219
nyudepth,single_nyudepth,2.7129,79.2501,50.806,4.5293,0.0017,23.024,24.1079,28.4441,1775428195380973893
nyudepth,single_nyudepth,2.7324,62.7675,50.806,4.5293,0.0017,23.024,4.6301,11.9615,1775428195380973893
nyudepth,single_nyudepth,2.8003,36.4258,28.9414,3.8267,0.0011,24.9299,2.5401,7.4845,1775428195446740645
nyudepth,single_nyudepth,2.8388,33.5522,28.3091,3.5548,0.001,24.5768,1.1923,5.2431,1775428195483910097
nyudepth,single_nyudepth,2.9655,33.7555,27.6083,4.0153,0.0015,23.3903,1.6379,6.1473,1775428195611094183
nyudepth,single_nyudepth,3.0364,32.8827,27.4959,3.9251,0.0015,23.3853,1.3635,5.3868,1775428195681694906
nyudepth,single_nyudepth,3.0603,39.3126,28.5451,3.6479,0.0014,24.7323,6.7606,10.7675,1775428195710938244
nyudepth,single_nyudepth,3.1057,33.257,28.3191,3.7282,0.0011,24.4293,0.8998,4.9379,1775428195750477155
nyudepth,single_nyudepth,3.17,32.8805,27.6682,3.8,0.0013,23.68,1.1523,5.2124,1775428195815105081
nyudepth,single_nyudepth,3.204,32.1712,27.4063,3.5063,0.0011,23.7428,0.8137,4.7649,1775428195848731788
nyudepth,single_nyudepth,3.2362,33.308,28.4501,3.443,0.0011,24.8528,0.8249,4.8579,1775428195880921618
nyudepth,single_nyudepth,3.3246,33.145,27.8101,4.0021,0.0016,23.6062,1.2586,5.3349,1775428195969797178
nyudepth,single_nyudepth,3.3543,33.1042,27.7335,3.4479,0.0009,24.1402,1.3788,5.3707,1775428195999601505
nyudepth,single_nyudepth,3.4876,33.1578,27.6326,4.02,0.0013,23.415,1.3647,5.5252,1775428196132878018
nyudepth,single_nyudepth,3.627,33.2196,27.5678,4.0335,0.0011,23.3294,1.3642,5.6517,1775428196272243222
nyudepth,single_nyudepth,3.7353,33.586,27.6016,4.0438,0.0012,23.356,1.7331,5.9845,1775428196380994132
nyudepth,single_nyudepth,3.7447,54.4765,28.6832,4.0365,0.0014,24.0782,21.8081,25.7933,1775428196410397413
nyudepth,single_nyudepth,3.8563,33.2944,27.6894,3.9941,0.0011,23.5143,1.4229,5.605,1775428196501620317
nyudepth,single_nyudepth,3.9918,33.2229,27.5401,3.981,0.0014,23.3663,1.4925,5.6828,1775428196637178145
nyudepth,single_nyudepth,4.1032,33.2236,27.5437,3.9671,0.0013,23.372,1.5836,5.6799,1775428196748661002
nyudepth,single_nyudepth,4.1319,34.5824,27.9102,3.4655,0.001,24.3028,2.3315,6.6722,1775428196778184715
