task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0,284.6496,276.4987,195.6617,0.0018,80.5309,2.0614,8.1509,1775428618477472085
nyudepth,no_sharing,0.1213,299.7022,133.6167,13.9124,0.0011,59.7681,160.5067,166.0855,1775428618757151561
nyudepth,no_sharing,0.238,185.7791,133.6167,13.9124,0.0011,59.7681,43.7765,52.1624,1775428618757151561
nyudepth,no_sharing,0.3582,238.5826,168.4991,60.3658,0.0017,35.9809,62.0606,70.0835,1775428618895615951
nyudepth,no_sharing,0.3709,237.3328,168.4991,60.3658,0.0017,35.9809,49.3157,68.8337,1775428618895615951
nyudepth,no_sharing,0.3748,233.4306,168.4991,60.3658,0.0017,35.9809,45.4063,64.9315,1775428618895615951
nyudepth,no_sharing,0.4479,260.8724,106.2897,4.8107,0.0011,50.6297,146.5909,154.5827,1775428619069851019
nyudepth,no_sharing,0.5188,189.9846,106.2897,4.8107,0.0011,50.6297,75.6953,83.6949,1775428619069851019
nyudepth,no_sharing,0.6741,148.2239,114.3692,4.1491,0.0011,55.0089,29.8734,33.8546,1775428619179375384
nyudepth,no_sharing,0.6787,146.0185,114.3692,4.1491,0.0011,55.0089,25.3406,31.6493,1775428619179375384
nyudepth,no_sharing,0.7304,235.0981,139.713,4.8295,0.0009,44.8926,91.4121,95.3851,1775428619297145296
nyudepth,no_sharing,0.7343,233.6667,139.713,4.8295,0.0009,44.8926,87.4429,93.9537,1775428619297145296
nyudepth,no_sharing,0.7886,182.0374,139.713,4.8295,0.0009,44.8926,33.2305,42.3244,1775428619297145296
nyudepth,no_sharing,0.8758,254.2315,154.1494,4.9506,0.0014,49.6618,90.997,100.0821,1775428619442177172
nyudepth,no_sharing,0.8954,236.8982,154.1494,4.9506,0.0014,49.6618,71.3737,82.7488,1775428619442177172
nyudepth,no_sharing,0.956,178.9951,154.1494,4.9506,0.0014,49.6618,10.8047,24.8458,1775428619442177172
nyudepth,no_sharing,0.9655,539.8622,368.7929,71.4632,0.0022,59.4186,167.1057,171.0692,1775428619607997808
nyudepth,no_sharing,0.9706,537.1587,368.7929,71.4632,0.0022,59.4186,162.0831,168.3658,1775428619607997808
nyudepth,no_sharing,0.9844,525.5895,368.7929,71.4632,0.0022,59.4186,148.2065,156.7965,1775428619607997808
nyudepth,no_sharing,1.0295,482.8222,368.7929,71.4632,0.0022,59.4186,103.1365,114.0292,1775428619607997808
nyudepth,no_sharing,1.05,464.6316,368.7929,71.4632,0.0022,59.4186,82.6659,95.8386,1775428619607997808
nyudepth,no_sharing,1.1127,652.3294,249.5441,5.3182,0.0011,48.8086,398.2713,402.7854,1775428619986361754
nyudepth,no_sharing,1.1267,643.76,249.5441,5.3182,0.0011,48.8086,384.2897,394.2159,1775428619986361754
nyudepth,no_sharing,1.2152,555.3086,249.5441,5.3182,0.0011,48.8086,295.8322,305.7645,1775428619986361754
nyudepth,no_sharing,1.2765,498.7056,249.5441,5.3182,0.0011,48.8086,234.5347,249.1616,1775428619986361754
nyudepth,no_sharing,1.31,465.2045,249.5441,5.3182,0.0011,48.8086,201.0279,215.6604,1775428619986361754
nyudepth,no_sharing,1.3309,686.1243,243.1578,4.6616,0.001,47.6555,438.8511,442.9665,1775428620245075740
nyudepth,no_sharing,1.3567,662.6465,243.1578,4.6616,0.001,47.6555,413.0161,419.4887,1775428620245075740
nyudepth,no_sharing,1.3567,667.3753,243.1578,4.6616,0.001,47.6555,413.0051,424.2175,1775428620245075740
nyudepth,no_sharing,1.3661,658.0255,243.1578,4.6616,0.001,47.6555,403.6498,414.8677,1775428620245075740
nyudepth,no_sharing,1.4011,625.9449,243.1578,4.6616,0.001,47.6555,368.6326,382.7871,1775428620245075740
nyudepth,no_sharing,1.4197,856.9558,251.721,4.6484,0.0013,49.3721,600.9479,605.2347,1775428620496037538
nyudepth,no_sharing,1.483,795.9819,251.721,4.6484,0.0013,49.3721,537.6756,544.2608,1775428620496037538
nyudepth,no_sharing,1.5187,764.8511,251.721,4.6484,0.0013,49.3721,501.9891,513.13,1775428620496037538
nyudepth,no_sharing,1.5297,753.8714,251.721,4.6484,0.0013,49.3721,491.0042,502.1504,1775428620496037538
nyudepth,no_sharing,1.5531,732.6624,251.721,4.6484,0.0013,49.3721,467.5333,480.9414,1775428620496037538
nyudepth,no_sharing,1.5868,947.9969,247.8428,5.0105,0.0011,48.5133,696.1002,700.1541,1775428620758218255
nyudepth,no_sharing,1.6028,934.3667,247.8428,5.0105,0.0011,48.5133,680.0725,686.5239,1775428620758218255
nyudepth,no_sharing,1.619,922.7135,247.8428,5.0105,0.0011,48.5133,663.8281,674.8707,1775428620758218255
nyudepth,no_sharing,1.6636,878.1018,247.8428,5.0105,0.0011,48.5133,619.2107,630.259,1775428620758218255
nyudepth,no_sharing,1.677,867.0709,247.8428,5.0105,0.0011,48.5133,605.8881,619.2281,1775428620758218255
nyudepth,no_sharing,1.7439,1047.4544,246.2691,4.666,0.001,48.276,796.9575,801.1853,1775428621016207544
nyudepth,no_sharing,1.8138,980.1414,246.2691,4.666,0.001,48.276,727.0734,733.8723,1775428621016207544
nyudepth,no_sharing,1.8678,930.8798,246.2691,4.666,0.001,48.276,673.0671,684.6108,1775428621016207544
nyudepth,no_sharing,1.8711,927.6042,246.2691,4.666,0.001,48.276,669.7857,681.3351,1775428621016207544
nyudepth,no_sharing,1.9285,872.4949,246.2691,4.666,0.001,48.276,612.3416,626.2259,1775428621016207544
nyudepth,no_sharing,1.9964,1051.9168,248.1675,4.6643,0.0012,48.6545,799.5849,803.7493,1775428621271299526
nyudepth,no_sharing,2.0518,998.9595,248.1675,4.6643,0.0012,48.6545,744.0929,750.792,1775428621271299526
nyudepth,no_sharing,2.0671,988.457,248.1675,4.6643,0.0012,48.6545,728.8799,740.2895,1775428621271299526
nyudepth,no_sharing,2.0827,972.8115,248.1675,4.6643,0.0012,48.6545,713.228,724.644,1775428621271299526
nyudepth,no_sharing,2.0907,967.2241,248.1675,4.6643,0.0012,48.6545,705.2822,719.0566,1775428621271299526
nyudepth,no_sharing,2.1088,1206.2039,250.4486,4.6082,0.0011,49.123,943.5918,955.7553,1775428621527738698
nyudepth,no_sharing,2.1088,1206.2027,250.4486,4.6082,0.0011,49.123,943.5804,955.7541,1775428621527738698
nyudepth,no_sharing,2.1177,1211.344,250.4486,4.6082,0.0011,49.123,934.6941,960.8954,1775428621527738698
nyudepth,no_sharing,2.1835,1145.5755,250.4486,4.6082,0.0011,49.123,868.9189,895.1269,1775428621527738698
nyudepth,no_sharing,2.3833,945.7297,250.4486,4.6082,0.0011,49.123,669.0686,695.2811,1775428621527738698
nyudepth,no_sharing,2.4108,1153.7809,248.3552,4.6612,0.0014,48.6961,900.2657,905.4258,1775428621786477502
