task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0,333.7283,319.2635,219.4517,0.0028,99.5135,5.4889,14.4648,1775432816377171084
nyudepth,sharing,0.121,318.428,89.3217,24.3325,0.004,6.8509,214.2122,229.1063,1775432816706889950
nyudepth,sharing,0.2376,211.1874,89.3217,24.3325,0.004,6.8509,97.6315,121.8656,1775432816706889950
nyudepth,sharing,0.3569,138.0117,52.4171,9.9012,0.0014,10.3311,80.595,85.5946,1775432816809138634
nyudepth,sharing,0.3718,131.7747,52.4171,9.9012,0.0014,10.3311,65.7089,79.3576,1775432816809138634
nyudepth,sharing,0.3748,131.6166,52.4171,9.9012,0.0014,10.3311,62.6941,79.1995,1775432816809138634
nyudepth,sharing,0.4488,98.0747,33.5085,8.8868,0.0024,0.6429,53.4773,64.5662,1775432816873941713
nyudepth,sharing,0.5185,72.4416,38.6242,22.7784,0.0014,15.0731,28.4607,33.8174,1775432816918639983
nyudepth,sharing,0.6748,17.7834,8.9358,7.0965,0.0013,1.6627,4.015,8.8476,1775432817050462522
nyudepth,sharing,0.6787,29.2294,8.5826,6.2975,0.0011,2.114,14.092,20.6468,1775432817064414640
nyudepth,sharing,0.7309,57.3099,31.1933,20.3853,0.0016,4.9555,21.3144,26.1165,1775432817123890938
nyudepth,sharing,0.7345,61.3484,31.1933,20.3853,0.0016,4.9555,17.7279,30.1551,1775432817123890938
nyudepth,sharing,0.7883,36.4168,9.1868,6.8831,0.001,2.1431,21.7416,27.23,1775432817181708118
nyudepth,sharing,0.8759,17.2007,8.7419,6.3521,0.001,2.2233,3.643,8.4588,1775432817251142093
nyudepth,sharing,0.8952,17.2892,8.6022,6.0144,0.0009,2.4362,4.0359,8.687,1775432817270868343
nyudepth,sharing,0.9566,15.2817,8.564,6.6158,0.0012,1.7657,1.8075,6.7176,1775432817330073315
nyudepth,sharing,0.9639,21.9703,8.7281,6.9731,0.0011,1.6064,8.4536,13.2422,1775432817344008913
nyudepth,sharing,0.969,38.9867,13.7352,6.3755,0.0012,0.6926,17.1409,25.2515,1775432817357737156
nyudepth,sharing,0.9859,35.4619,9.4945,5.9286,0.0009,3.4266,21.0128,25.9674,1775432817378546231
nyudepth,sharing,1.0296,25.8639,9.171,6.9474,0.0009,2.0675,11.8077,16.6929,1775432817413047849
nyudepth,sharing,1.05,20.5183,8.8943,6.38,0.0009,2.3672,6.9416,11.624,1775432817428543202
nyudepth,sharing,1.1119,39.9945,12.6582,5.8364,0.001,3.3347,21.4393,27.3362,1775432817505012038
nyudepth,sharing,1.124,30.6737,12.6582,5.8364,0.001,3.3347,9.3677,18.0155,1775432817505012038
nyudepth,sharing,1.2159,19.6762,8.6559,6.1602,0.0012,2.3147,6.2213,11.0204,1775432817593713233
nyudepth,sharing,1.2781,20.6959,8.7505,6.0686,0.0011,2.5291,6.6514,11.9455,1775432817656417854
nyudepth,sharing,1.31,18.079,8.7671,6.4396,0.001,2.129,4.5087,9.3119,1775432817686112402
nyudepth,sharing,1.3301,15.3425,8.5861,5.9296,0.0009,2.4992,1.5321,6.7564,1775432817703305484
nyudepth,sharing,1.3536,22.8398,8.8035,6.8537,0.0013,1.783,9.3374,14.0363,1775432817734575468
nyudepth,sharing,1.3573,54.2095,17.5125,6.9074,0.0012,0.2027,25.5611,36.697,1775432817754494002
nyudepth,sharing,1.3656,45.8994,17.5125,6.9074,0.0012,0.2027,17.2431,28.3869,1775432817754494002
nyudepth,sharing,1.4013,47.3998,15.0856,6.5625,0.0013,0.7666,22.2909,32.3141,1775432817795219162
nyudepth,sharing,1.4193,49.4275,14.8664,7.1865,0.0013,0.379,26.4597,34.5611,1775432817817387268
nyudepth,sharing,1.4829,15.6667,9.1427,6.502,0.0009,2.4841,1.8785,6.524,1775432817856399498
nyudepth,sharing,1.5187,15.4974,8.6108,5.9453,0.001,2.4874,1.4679,6.8867,1775432817891782306
nyudepth,sharing,1.5298,32.5441,8.6429,6.7742,0.0009,1.7161,19.1286,23.9013,1775432817920530282
nyudepth,sharing,1.5537,24.9906,9.3971,6.23,0.0011,2.9559,10.4482,15.5934,1775432817935798841
