task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0,333.3001,315.6295,217.6479,0.002,97.651,10.4721,17.6706,1775433875502691082
nyudepth,single_nyudepth,0.0608,343.3583,64.8247,24.2621,0.0016,8.0679,273.3483,278.5336,1775433875826286443
nyudepth,single_nyudepth,0.1193,287.8518,64.8247,24.2621,0.0016,8.0679,214.8325,223.0271,1775433875826286443
nyudepth,single_nyudepth,0.1784,234.797,64.8247,24.2621,0.0016,8.0679,155.7,169.9723,1775433875826286443
nyudepth,single_nyudepth,0.1855,227.7193,64.8247,24.2621,0.0016,8.0679,148.6113,162.8946,1775433875826286443
nyudepth,single_nyudepth,0.1884,229.497,64.8247,24.2621,0.0016,8.0679,145.7129,164.6722,1775433875826286443
nyudepth,single_nyudepth,0.2245,222.6391,28.3669,8.4816,0.001,3.9389,187.9139,194.2722,1775433875904563969
nyudepth,single_nyudepth,0.2596,192.3778,28.3669,8.4816,0.001,3.9389,152.8111,164.0109,1775433875904563969
nyudepth,single_nyudepth,0.3375,120.554,28.3669,8.4816,0.001,3.9389,74.9302,92.1871,1775433875904563969
nyudepth,single_nyudepth,0.3392,118.7975,28.3669,8.4816,0.001,3.9389,73.1649,90.4307,1775433875904563969
nyudepth,single_nyudepth,0.3662,94.6333,28.3669,8.4816,0.001,3.9389,46.1864,66.2665,1775433875904563969
nyudepth,single_nyudepth,0.3681,141.4533,44.4925,26.2994,0.0022,4.4849,91.9352,96.9608,1775433875952227652
nyudepth,single_nyudepth,0.3943,118.5553,44.4925,26.2994,0.0022,4.4849,65.7303,74.0628,1775433875952227652
nyudepth,single_nyudepth,0.438,80.4684,44.4925,26.2994,0.0022,4.4849,22.0394,35.9759,1775433875952227652
nyudepth,single_nyudepth,0.4472,71.3024,44.4925,26.2994,0.0022,4.4849,12.8655,26.8099,1775433875952227652
nyudepth,single_nyudepth,0.48,70.4601,23.2373,7.8204,0.0012,3.7991,40.8242,47.2228,1775433876012962295
nyudepth,single_nyudepth,0.4818,73.3907,23.2373,7.8204,0.0012,3.7991,38.9655,50.1535,1775433876012962295
nyudepth,single_nyudepth,0.4846,77.0314,23.2373,7.8204,0.0012,3.7991,36.2182,53.7941,1775433876012962295
nyudepth,single_nyudepth,0.4924,69.2542,23.2373,7.8204,0.0012,3.7991,28.4324,46.0169,1775433876012962295
nyudepth,single_nyudepth,0.5185,80.2817,32.9178,20.6565,0.0015,6.0289,42.2964,47.3639,1775433876052964973
nyudepth,single_nyudepth,0.5252,76.3924,32.9178,20.6565,0.0015,6.0289,35.5704,43.4746,1775433876052964973
nyudepth,single_nyudepth,0.5616,64.4929,14.1358,8.0154,0.0009,2.9574,44.6727,50.3571,1775433876098462456
nyudepth,single_nyudepth,0.5616,67.6675,14.1358,8.0154,0.0009,2.9574,44.6606,53.5317,1775433876098462456
nyudepth,single_nyudepth,0.6077,39.5629,9.2069,7.3514,0.0011,1.6747,25.7022,30.3561,1775433876125600118
nyudepth,single_nyudepth,0.6394,25.4655,9.1545,7.2172,0.0009,1.7697,11.519,16.311,1775433876143093980
nyudepth,single_nyudepth,0.6554,33.7505,12.8811,6.6847,0.001,3.0237,15.4414,20.8694,1775433876163008006
nyudepth,single_nyudepth,0.666,26.0215,12.8811,6.6847,0.001,3.0237,4.8726,13.1404,1775433876163008006
nyudepth,single_nyudepth,0.6765,61.9206,35.7168,22.7117,0.0023,4.2586,19.3939,26.2039,1775433876188106092
nyudepth,single_nyudepth,0.6783,63.3109,35.7168,22.7117,0.0023,4.2586,17.6206,27.5941,1775433876188106092
nyudepth,single_nyudepth,0.6832,62.1264,35.7168,22.7117,0.0023,4.2586,12.6843,26.4096,1775433876188106092
