task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,20,1,0.0,0.3235,323.4994,323.4994,318.7505,308.7158,0.0026,3.9983,4.7489,1775519142487097911,0
ecgclass,20,1,0.3236,0.3545,30.9589,30.9589,24.355,23.5662,0.0014,6.1104,6.6039,1775519142812718724,0
ecgclass,20,1,0.3545,0.3874,32.8696,32.8696,23.8736,23.1772,0.0011,8.4794,8.9959,1775519142846053639,0
ecgclass,20,1,0.3874,0.4168,29.3856,29.3856,23.7879,23.1075,0.0012,5.1184,5.5976,1775519142875568561,0
ecgclass,20,1,0.4168,0.4436,26.7646,26.7646,23.5584,22.866,0.001,2.7299,3.2063,1775519142902573493,0
ecgclass,20,1,0.4436,0.4724,28.8684,28.8684,23.6423,22.7584,0.0011,4.7185,5.2262,1775519142931333980,0
ecgclass,20,1,0.4724,0.5025,30.0827,30.0827,23.5037,22.8453,0.0013,6.1281,6.579,1775519142961618806,0
ecgclass,20,1,0.5025,0.5312,28.6937,28.6937,23.5688,22.8904,0.0011,4.6759,5.1249,1775519142990255281,0
ecgclass,20,1,0.5312,0.561,29.7575,29.7575,23.5277,22.8057,0.001,5.7356,6.2298,1775519143020015577,0
ecgclass,20,1,0.561,0.5905,29.5537,29.5537,23.9258,23.1913,0.0012,5.0356,5.6278,1775519143049079629,0
ecgclass,20,1,0.5905,0.6179,27.3578,27.3578,23.5182,22.8043,0.0014,3.3488,3.8397,1775519143076953289,0
ecgclass,20,1,0.6179,0.6484,30.4978,30.4978,23.7604,23.0236,0.0011,6.2146,6.7374,1775519143107183194,0
ecgclass,20,1,0.6484,0.6777,29.315,29.315,23.7379,22.8372,0.0013,5.0941,5.5771,1775519143136566983,0
ecgclass,20,1,0.6777,0.7067,28.9152,28.9152,23.3284,22.6919,0.0014,5.0907,5.5867,1775519143165884990,0
ecgclass,20,1,0.7067,0.7378,31.1732,31.1732,23.2883,22.6282,0.0011,7.441,7.885,1775519143197156685,0
ecgclass,20,1,0.7378,0.7683,30.4341,30.4341,23.4305,22.7608,0.001,6.5446,7.0037,1775519143227439610,0
ecgclass,20,1,0.7683,0.7969,28.6646,28.6646,23.3089,22.6355,0.0011,4.9059,5.3557,1775519143256241437,0
ecgclass,20,1,0.7969,0.8271,30.1268,30.1268,23.4023,22.7123,0.0011,6.2375,6.7245,1775519143286243638,0
ecgclass,20,1,0.8271,0.8539,26.813,26.813,23.5025,22.8205,0.0012,2.8682,3.3105,1775519143313007335,0
ecgclass,20,1,0.8539,0.8846,30.6799,30.6799,23.706,22.9992,0.0014,6.2869,6.9739,1775519143343245640,0
