task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,0.0001,0.4852,485.1277,485.1277,478.8724,447.3276,0.0054,4.2698,6.2552,1775531101568470240,0
ecgclass,2,1,0.4853,0.5357,50.405,50.405,46.9986,44.7951,0.0044,2.156,3.4064,1775531102051507802,0
ecgclass,2,1,0.5357,0.5676,31.9059,31.9059,28.9439,27.7355,0.0025,1.8561,2.962,1775531102101628863,0
ecgclass,2,1,0.5676,0.5978,30.175,30.175,27.2264,25.97,0.0022,1.8666,2.9486,1775531102133561015,0
ecgclass,2,1,0.5978,0.6262,28.3971,28.3971,25.6853,24.5465,0.0021,1.72,2.7117,1775531102163605755,0
ecgclass,2,1,0.6262,0.6545,28.3282,28.3282,25.3055,23.2796,0.0021,2.0173,3.0226,1775531102192315713,0
ecgclass,2,1,0.6545,0.6805,25.9986,25.9986,23.4085,22.397,0.002,1.5771,2.5901,1775531102220219394,0
ecgclass,2,1,0.6806,0.7061,25.5167,25.5167,22.9209,21.9001,0.002,1.6634,2.5959,1775531102246319310,0
ecgclass,2,1,0.7061,0.7313,25.223,25.223,22.7033,21.7033,0.002,1.538,2.5197,1775531102271726047,0
ecgclass,2,1,0.7313,0.7565,25.1374,25.1374,22.6087,21.616,0.002,1.5306,2.5288,1775531102296957283,0
ecgclass,2,1,0.7565,0.7817,25.2478,25.2478,22.6979,21.652,0.0019,1.5273,2.5499,1775531102322106317,0
ecgclass,2,1,0.7817,0.807,25.2345,25.2345,22.6895,21.6455,0.002,1.5547,2.5449,1775531102347396550,0
ecgclass,2,1,0.807,0.8325,25.5132,25.5132,22.9653,21.6699,0.002,1.5571,2.5479,1775531102372648222,0
ecgclass,2,1,0.8325,0.8578,25.2833,25.2833,22.6592,21.6545,0.0019,1.5721,2.6241,1775531102398192146,0
ecgclass,2,1,0.8578,0.8831,25.2376,25.2376,22.6627,21.6703,0.002,1.6031,2.5749,1775531102423521858,0
ecgclass,2,1,0.8831,0.9082,25.162,25.162,22.5871,21.5863,0.002,1.5426,2.5749,1775531102448714383,0
ecgclass,2,1,0.9083,0.9335,25.2657,25.2657,22.7045,21.6958,0.0019,1.5242,2.5612,1775531102473873584,0
ecgclass,2,1,0.9335,0.9588,25.2318,25.2318,22.6945,21.6958,0.002,1.5059,2.5373,1775531102499137121,0
ecgclass,2,1,0.9588,0.9839,25.1575,25.1575,22.6481,21.6569,0.002,1.4958,2.5093,1775531102524374464,0
ecgclass,2,1,0.984,1.0092,25.2035,25.2035,22.599,21.5705,0.0018,1.5645,2.6045,1775531102549616620,0
ecgclass,2,1,1.0092,1.0344,25.176,25.176,22.6384,21.5971,0.002,1.5347,2.5376,1775531102574805652,0
