task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,0.0001,0.3338,333.6723,333.6723,308.5164,223.69,0.002,84.3731,6.4795,25.1559,1775533261959643040,0
nyudepth,2,1,0.3338,0.3666,32.7592,32.7592,12.7198,11.7542,0.0023,0.6526,4.3306,20.0393,1775533262291189253,0
nyudepth,2,1,0.3666,0.4248,58.203,58.203,40.6872,39.8443,0.0015,0.5708,3.5145,17.5158,1775533262323152479,0
nyudepth,2,1,0.4248,0.4816,56.7567,56.7567,43.7117,42.8928,0.0017,0.5681,3.413,13.045,1775533262381272210,0
nyudepth,2,1,0.4816,0.5419,60.3693,60.3693,48.2728,47.2681,0.0017,0.564,3.417,12.0964,1775533262438042280,0
nyudepth,2,1,0.5419,0.6029,60.9701,60.9701,49.1201,48.3159,0.0017,0.5577,3.0429,11.85,1775533262498047760,0
nyudepth,2,1,0.6029,0.6643,61.3301,61.3301,49.7354,48.9142,0.0017,0.5653,2.6205,11.5946,1775533262558603715,0
nyudepth,2,1,0.6643,0.7252,60.9128,60.9128,49.3966,48.5773,0.0017,0.5694,2.7423,11.5162,1775533262620064400,0
nyudepth,2,1,0.7252,0.7876,62.4533,62.4533,49.4333,48.6245,0.0019,0.5566,2.9247,13.02,1775533262681168714,0
nyudepth,2,1,0.7876,0.8491,61.43,61.43,49.8101,48.8701,0.002,0.6532,2.7213,11.6199,1775533262743428629,0
nyudepth,2,1,0.8491,0.9085,59.4192,59.4192,47.9886,46.9402,0.0017,0.5671,2.9404,11.4305,1775533262805085667,0
nyudepth,2,1,0.9085,0.9695,61.0049,61.0049,49.3629,48.5585,0.0019,0.5581,3.0172,11.642,1775533262864590684,0
nyudepth,2,1,0.9695,1.0307,61.1687,61.1687,49.6407,48.8288,0.0016,0.5623,2.9082,11.5279,1775533262925495486,0
nyudepth,2,1,1.0307,1.0917,60.9484,60.9484,49.489,48.6716,0.0018,0.5627,3.0079,11.4594,1775533262986772204,0
nyudepth,2,1,1.0917,1.153,61.3623,61.3623,49.971,49.1476,0.0019,0.5671,2.7716,11.3913,1775533263047493611,0
nyudepth,2,1,1.153,1.2145,61.4896,61.4896,50.2868,49.4762,0.0018,0.5593,2.3229,11.2028,1775533263108416863,0
nyudepth,2,1,1.2145,1.277,62.5179,62.5179,50.1297,49.0844,0.0058,0.758,2.7754,12.3882,1775533263170367877,0
nyudepth,2,1,1.2771,1.3373,60.2384,60.2384,46.9232,46.084,0.0018,0.5694,4.0169,13.3151,1775533263234137659,0
nyudepth,2,1,1.3373,1.3982,60.9236,60.9236,49.1898,48.069,0.0018,0.5586,2.8973,11.7338,1775533263293265103,0
