task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,14,1,0.0,0.344,343.9658,343.9658,331.3691,225.0271,0.002,105.9586,5.3239,12.5967,1775522153369913165,0
nyudepth,14,1,0.344,0.3663,22.2631,22.2631,12.8321,12.1395,0.0015,0.4514,4.6549,9.431,1775522153713220762,0
nyudepth,14,1,0.3663,0.3972,30.9348,30.9348,20.8196,20.1584,0.0008,0.457,5.302,10.1152,1775522153736139652,0
nyudepth,14,1,0.3972,0.4318,34.5306,34.5306,24.7021,24.1153,0.001,0.3824,4.9095,9.8286,1775522153766688996,0
nyudepth,14,1,0.4318,0.4693,37.5113,37.5113,29.409,28.8343,0.0011,0.3924,3.3867,8.1023,1775522153799702279,0
nyudepth,14,1,0.4693,0.5077,38.3744,38.3744,28.5456,27.7932,0.0009,0.3917,4.9946,9.8288,1775522153838827179,0
nyudepth,14,1,0.5077,0.5465,38.7943,38.7943,32.9949,32.4204,0.001,0.3693,1.0502,5.7994,1775522153873263096,0
nyudepth,14,1,0.5465,0.5851,38.6183,38.6183,29.2116,28.6321,0.0008,0.3981,4.7972,9.4067,1775522153915809658,0
nyudepth,14,1,0.5851,0.6237,38.5809,38.5809,29.4191,28.7456,0.0008,0.4821,4.4825,9.1618,1775522153954118938,0
nyudepth,14,1,0.6237,0.6639,40.2536,40.2536,28.6697,27.958,0.0013,0.4682,6.0658,11.5839,1775522153994288973,0
nyudepth,14,1,0.6639,0.7012,37.2972,37.2972,27.5787,26.9082,0.0013,0.395,5.1534,9.7185,1775522154033638629,0
nyudepth,14,1,0.7013,0.7393,38.084,38.084,29.4982,28.9026,0.0009,0.3972,3.7796,8.5858,1775522154069583312,0
nyudepth,14,1,0.7393,0.7771,37.7698,37.7698,29.1447,28.2258,0.0011,0.6083,3.7997,8.6251,1775522154107693367,0
nyudepth,14,1,0.7771,0.8146,37.4708,37.4708,28.9856,28.4228,0.001,0.3825,3.8686,8.4852,1775522154145537227,0
nyudepth,14,1,0.8146,0.8526,37.9989,37.9989,28.3524,27.7812,0.001,0.377,4.9067,9.6465,1775522154184051822,0
nyudepth,14,1,0.8526,0.8901,37.493,37.493,28.8019,28.1404,0.001,0.3927,4.0348,8.6911,1775522154221184194,0
nyudepth,14,1,0.8901,0.9281,37.9982,37.9982,29.7703,29.1824,0.001,0.3908,3.6957,8.2279,1775522154258343566,0
nyudepth,14,1,0.9281,0.9668,38.713,38.713,30.6343,30.052,0.0008,0.3729,3.5532,8.0787,1775522154296204936,0
nyudepth,14,1,0.9668,1.0058,38.9862,38.9862,29.4437,28.8521,0.001,0.3747,4.9338,9.5425,1775522154336304789,0
nyudepth,14,1,1.0058,1.0442,38.3852,38.3852,29.8506,29.2191,0.001,0.3898,3.7148,8.5346,1775522154374078537,0
nyudepth,14,1,1.0442,1.0825,38.3077,38.3077,28.4191,27.8578,0.001,0.3723,5.337,9.8885,1775522154414091888,0
nyudepth,14,1,1.0825,1.1218,39.2518,39.2518,30.0505,29.1892,0.0013,0.5938,4.3628,9.2013,1775522154451430784,0
nyudepth,14,1,1.1218,1.1603,38.5244,38.5244,29.0924,28.5398,0.0009,0.383,4.7479,9.432,1775522154491073797,0
nyudepth,14,1,1.1603,1.1988,38.4748,38.4748,28.9069,28.3339,0.001,0.3795,4.9179,9.5679,1775522154529774297,0
nyudepth,14,1,1.1988,1.2378,38.9731,38.9731,30.5026,29.9147,0.0009,0.3698,3.8893,8.4705,1775522154567227246,0
nyudepth,14,1,1.2378,1.2767,38.9323,38.9323,29.5554,29.0169,0.001,0.3648,4.6525,9.3769,1775522154606969391,0
nyudepth,14,1,1.2767,1.3159,39.1495,39.1495,30.8976,30.3478,0.0007,0.3721,3.5651,8.252,1775522154644820390,0
nyudepth,14,1,1.3159,1.3557,39.8197,39.8197,30.0425,29.3816,0.0014,0.4006,4.9057,9.7772,1775522154685315783,0
nyudepth,14,1,1.3557,1.3948,39.0837,39.0837,33.0563,32.446,0.001,0.4147,1.3161,6.0274,1775522154721552373,0
nyudepth,14,1,1.3948,1.4337,38.9054,38.9054,30.2694,29.7061,0.001,0.3737,3.9124,8.6359,1775522154763239535,0
nyudepth,14,1,1.4337,1.4729,39.1605,39.1605,30.7324,30.1872,0.0009,0.3706,3.6697,8.4281,1775522154801908454,0
nyudepth,14,1,1.4729,1.5116,38.7778,38.7778,29.5387,28.961,0.0011,0.3748,4.5767,9.2391,1775522154841981856,0
nyudepth,14,1,1.5116,1.551,39.3643,39.3643,31.1736,30.4625,0.001,0.4145,3.5582,8.1907,1775522154879746723,0
nyudepth,14,1,1.551,1.59,39.0298,39.0298,29.7642,29.1681,0.0009,0.3901,4.6308,9.2656,1775522154920189465,0
nyudepth,14,1,1.59,1.6286,38.518,38.518,27.3251,26.7591,0.0009,0.3656,6.3992,11.1928,1775522154960994165,0
nyudepth,14,1,1.6286,1.6687,40.0779,40.0779,30.3918,29.696,0.001,0.4008,3.5799,9.6861,1775522154996700223,0
nyudepth,14,1,1.6687,1.7071,38.393,38.393,29.5409,28.8969,0.0013,0.4255,3.8984,8.8521,1775522155037102853,0
nyudepth,14,1,1.7071,1.7453,38.2669,38.2669,27.9167,27.2193,0.0012,0.4062,5.5838,10.3502,1775522155077188516,0
nyudepth,14,1,1.7453,1.7843,39.0048,39.0048,30.9364,30.317,0.0011,0.3886,3.4878,8.0684,1775522155113366225,0
nyudepth,14,1,1.7843,1.8228,38.4753,38.4753,29.11,28.5046,0.0009,0.3967,4.8099,9.3652,1775522155153700194,0
nyudepth,14,1,1.8228,1.862,39.1638,39.1638,27.5802,26.9848,0.0016,0.3951,7.041,11.5836,1775522155194413952,0
nyudepth,14,1,1.862,1.9005,38.5015,38.5015,30.0442,29.4515,0.001,0.3678,3.7136,8.4573,1775522155230256983,0
nyudepth,14,1,1.9005,1.9393,38.7919,38.7919,30.2755,29.3869,0.0014,0.3845,3.8481,8.5164,1775522155268899771,0
nyudepth,14,1,1.9393,1.9771,37.7982,37.7982,29.1234,28.59,0.0011,0.3646,3.6957,8.6748,1775522155307545470,0
nyudepth,14,1,1.9771,2.0141,37.01,37.01,28.3621,27.7899,0.0011,0.3827,3.8669,8.6479,1775522155345520932,0
nyudepth,14,1,2.0141,2.0516,37.5233,37.5233,29.5308,28.9771,0.001,0.3642,3.386,7.9925,1775522155382055110,0
nyudepth,14,1,2.0517,2.0904,38.7032,38.7032,30.5523,29.988,0.001,0.3902,3.3548,8.1509,1775522155419553590,0
nyudepth,14,1,2.0904,2.1292,38.8432,38.8432,30.1389,29.5515,0.0009,0.4109,3.9089,8.7043,1775522155458817183,0
nyudepth,14,1,2.1292,2.1678,38.6012,38.6012,30.6018,30.045,0.0009,0.3765,3.3135,7.9994,1775522155497070832,0
nyudepth,14,1,2.1678,2.2067,38.9018,38.9018,30.7884,30.156,0.0009,0.3966,3.4041,8.1134,1775522155535768942,0
nyudepth,14,1,2.2067,2.2465,39.8035,39.8035,31.6427,31.0744,0.0009,0.3706,3.3724,8.1608,1775522155574644626,0
nyudepth,14,1,2.2465,2.2868,40.2837,40.2837,32.1939,31.6055,0.0009,0.3841,3.2761,8.0898,1775522155614357150,0
nyudepth,14,1,2.2868,2.3268,40.0209,40.0209,31.9791,31.1004,0.0011,0.6931,3.2799,8.0419,1775522155654650538,0
nyudepth,14,1,2.3269,2.3662,39.3639,39.3639,30.8093,30.1462,0.0008,0.3904,3.8176,8.5546,1775522155695215622,0
nyudepth,14,1,2.3662,2.4054,39.1881,39.1881,28.5322,27.887,0.0009,0.3859,5.8708,10.6559,1775522155736638057,0
nyudepth,14,1,2.4054,2.4458,40.3514,40.3514,30.0373,29.4312,0.001,0.3682,5.4917,10.3141,1775522155775452460,0
nyudepth,14,1,2.4458,2.4855,39.7439,39.7439,31.7681,31.2177,0.001,0.3729,3.4008,7.9758,1775522155813719648,0
nyudepth,14,1,2.4855,2.5249,39.3336,39.3336,31.4282,30.8564,0.0009,0.3936,3.3984,7.9054,1775522155853467053,0
nyudepth,14,1,2.5249,2.564,39.1762,39.1762,29.8352,29.2494,0.0009,0.3717,4.564,9.3411,1775522155893972616,0
nyudepth,14,1,2.564,2.6031,39.0773,39.0773,30.6708,30.0888,0.001,0.3865,3.6879,8.4065,1775522155932278756,0
nyudepth,14,1,2.6031,2.6425,39.3271,39.3271,29.8313,29.2013,0.0011,0.3791,4.7214,9.4959,1775522155972395200,0
nyudepth,14,1,2.6425,2.6819,39.4347,39.4347,29.1549,28.5057,0.0011,0.3991,5.6784,10.2798,1775522156012685418,0
nyudepth,14,1,2.6819,2.7215,39.5608,39.5608,30.242,29.2976,0.001,0.7437,4.5264,9.3188,1775522156050973078,0
nyudepth,14,1,2.7215,2.7602,38.7406,38.7406,29.3737,28.7928,0.001,0.3896,4.5497,9.367,1775522156090563279,0
nyudepth,14,1,2.7602,2.7987,38.4512,38.4512,26.4627,25.8166,0.001,0.3805,7.4022,11.9885,1775522156132162078,0
nyudepth,14,1,2.7987,2.8365,37.8108,37.8108,28.1226,27.5429,0.001,0.366,5.0027,9.6882,1775522156168219514,0
nyudepth,14,1,2.8365,2.8748,38.3115,38.3115,29.1276,28.5677,0.001,0.3746,4.5981,9.1839,1775522156205630433,0
nyudepth,14,1,2.8748,2.9126,37.8101,37.8101,28.5397,27.9541,0.001,0.3759,4.7269,9.2704,1775522156244076797,0
nyudepth,14,1,2.9126,2.9507,38.0306,38.0306,28.6722,28.0911,0.0012,0.3816,4.7829,9.3584,1775522156281948896,0
nyudepth,14,1,2.9507,2.989,38.3461,38.3461,30.1529,29.5559,0.001,0.3964,3.6128,8.1931,1775522156318816232,0
nyudepth,14,1,2.989,3.0277,38.6641,38.6641,28.978,28.4018,0.0009,0.3916,5.0552,9.6861,1775522156358610197,0
nyudepth,14,1,3.0277,3.0663,38.6631,38.6631,27.3623,26.7032,0.0009,0.3784,6.7666,11.3008,1775522156398991318,0
nyudepth,14,1,3.0663,3.1056,39.2873,39.2873,30.7155,29.8359,0.0012,0.689,3.8552,8.5718,1775522156434749106,0
nyudepth,14,1,3.1056,3.1444,38.7895,38.7895,33.0764,32.5076,0.0014,0.3684,0.9637,5.7131,1775522156471150681,0
nyudepth,14,1,3.1444,3.1838,39.3214,39.3214,28.5784,27.9947,0.0011,0.3749,5.9347,10.743,1775522156514916852,0
nyudepth,14,1,3.1838,3.223,39.2435,39.2435,29.1058,28.4008,0.001,0.3885,5.4553,10.1377,1775522156553764925,0
nyudepth,14,1,3.223,3.2624,39.3794,39.3794,29.621,29.0099,0.0009,0.3847,4.9303,9.7583,1775522156592489336,0
nyudepth,14,1,3.2624,3.3029,40.4983,40.4983,31.3318,30.7667,0.001,0.3729,4.4987,9.1665,1775522156631444351,0
nyudepth,14,1,3.3029,3.3427,39.7949,39.7949,30.2455,29.6136,0.001,0.3835,4.945,9.5494,1775522156672393935,0
nyudepth,14,1,3.3427,3.3827,40.0414,40.0414,30.6834,30.1197,0.0009,0.3849,4.7731,9.358,1775522156712023057,0
nyudepth,14,1,3.3828,3.4227,39.9084,39.9084,30.8627,30.2752,0.001,0.3845,4.4873,9.0457,1775522156751783972,0
nyudepth,14,1,3.4227,3.4625,39.8326,39.8326,34.0172,33.4062,0.0009,0.4027,1.0378,5.8154,1775522156788248418,0
nyudepth,14,1,3.4625,3.5023,39.7837,39.7837,30.5378,29.9494,0.0009,0.3912,4.509,9.2459,1775522156831557328,0
