task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,0.0001,0.4349,434.7897,434.7897,418.9018,292.2675,0.0038,126.1455,6.8078,15.8879,1775531989926815828,0
nyudepth,2,1,0.4349,0.457,22.1539,22.1539,9.8008,8.739,0.0033,0.7002,5.9073,12.3531,1775531990360717019,0
nyudepth,2,1,0.457,0.5512,94.1935,94.1935,81.6206,80.5073,0.0042,0.7334,5.9195,12.5728,1775531990382894855,0
nyudepth,2,1,0.5512,0.6456,94.4095,94.4095,83.3302,82.237,0.0044,0.7054,4.6179,11.0793,1775531990475801907,0
nyudepth,2,1,0.6457,0.7403,94.6112,94.6112,83.2518,82.1657,0.004,0.7257,4.8454,11.3594,1775531990570451821,0
nyudepth,2,1,0.7403,0.8354,95.1231,95.1231,83.8788,82.4666,0.0042,0.7776,4.7371,11.2443,1775531990664967195,0
nyudepth,2,1,0.8354,0.9294,94.0132,94.0132,82.5036,81.4215,0.0049,0.7018,5.0645,11.5097,1775531990760429213,0
nyudepth,2,1,0.9294,1.0244,94.9233,94.9233,82.5786,81.4634,0.0037,0.7535,5.8739,12.3447,1775531990855264215,0
nyudepth,2,1,1.0244,1.1187,94.2869,94.2869,83.2451,82.156,0.0036,0.7207,4.6535,11.0418,1775531990948979663,0
nyudepth,2,1,1.1187,1.2135,94.846,94.846,83.4007,82.3157,0.0038,0.7245,4.7119,11.4454,1775531991043338097,0
nyudepth,2,1,1.2135,1.3078,94.2364,94.2364,81.9825,80.9098,0.0042,0.7123,5.8217,12.2538,1775531991139306501,0
nyudepth,2,1,1.3078,1.4025,94.7163,94.7163,82.4481,81.3714,0.0209,0.7122,5.7552,12.2682,1775531991233487899,0
nyudepth,2,1,1.4025,1.498,95.4983,95.4983,84.2027,82.3384,0.0037,1.5205,4.7882,11.2956,1775531991327252319,0
nyudepth,2,1,1.498,1.5919,93.8716,93.8716,82.5102,81.4281,0.0037,0.7182,4.7743,11.3613,1775531991422748839,0
nyudepth,2,1,1.5919,1.6863,94.3916,94.3916,82.2175,81.1244,0.0038,0.7159,5.6815,12.1741,1775531991517541701,0
nyudepth,2,1,1.6863,1.7809,94.6162,94.6162,83.2607,82.1717,0.0036,0.7174,4.8892,11.3555,1775531991611152915,0
nyudepth,2,1,1.7809,1.8755,94.5754,94.5754,83.4211,82.3523,0.0037,0.6853,4.6196,11.1543,1775531991705512431,0
nyudepth,2,1,1.8755,1.9702,94.66,94.66,82.3956,81.3239,0.0042,0.7221,5.775,12.2644,1775531991801254935,0
nyudepth,2,1,1.9702,2.0647,94.5096,94.5096,83.1211,82.0594,0.0051,0.6901,4.8919,11.3885,1775531991895044153,0
nyudepth,2,1,2.0647,2.1592,94.521,94.521,82.3152,81.2467,0.004,0.7093,5.7852,12.2059,1775531991990458861,0
nyudepth,2,1,2.1593,2.2545,95.2334,95.2334,83.8172,82.7472,0.0036,0.7183,4.3678,11.4162,1775531992083588815,0
nyudepth,2,1,2.2545,2.3485,93.9744,93.9744,82.745,81.6816,0.0045,0.7013,4.6754,11.2294,1775531992179143016,0
nyudepth,2,1,2.3485,2.4436,95.1278,95.1278,83.7645,82.2994,0.0038,0.7207,4.7665,11.3633,1775531992273220419,0
nyudepth,2,1,2.4436,2.5375,93.8928,93.8928,82.9112,81.8243,0.0042,0.679,4.5264,10.9816,1775531992368120902,0
nyudepth,2,1,2.5376,2.6322,94.6696,94.6696,82.3268,81.2594,0.0044,0.7131,5.9283,12.3428,1775531992463426746,0
nyudepth,2,1,2.6322,2.7269,94.6896,94.6896,81.6849,80.5619,0.0042,0.7493,6.5563,13.0047,1775531992558738749,0
nyudepth,2,1,2.7269,2.8231,96.2071,96.2071,83.6893,82.5243,0.005,0.7594,4.5905,12.5179,1775531992651474112,0
nyudepth,2,1,2.8232,2.9176,94.4262,94.4262,82.5595,81.3551,0.0039,0.7935,4.9076,11.8666,1775531992748011370,0
nyudepth,2,1,2.9176,3.0119,94.3058,94.3058,82.4658,81.3542,0.0045,0.7427,4.8916,11.84,1775531992842434425,0
nyudepth,2,1,3.0119,3.1061,94.1691,94.1691,81.796,80.6803,0.004,0.7371,5.7528,12.3731,1775531992937614197,0
nyudepth,2,1,3.1061,3.2013,95.1874,95.1874,83.4888,82.3618,0.0039,0.7396,4.5764,11.6986,1775531993030618655,0
nyudepth,2,1,3.2013,3.2946,93.3065,93.3065,82.0566,80.9789,0.0037,0.698,4.7252,11.2499,1775531993125967300,0
nyudepth,2,1,3.2946,3.3899,95.288,95.288,84.0979,82.5402,0.0044,1.1846,4.5924,11.1902,1775531993219153385,0
nyudepth,2,1,3.3899,3.4838,93.9229,93.9229,82.6305,81.5778,0.0039,0.6938,4.7655,11.2924,1775531993314627268,0
nyudepth,2,1,3.4839,3.5786,94.7866,94.7866,82.374,81.1785,0.0041,0.7938,5.9383,12.4126,1775531993409735631,0
nyudepth,2,1,3.5787,3.6802,101.5556,101.5556,86.5993,85.201,0.0058,0.9272,4.3867,14.9563,1775531993502983717,0
nyudepth,2,1,3.6802,3.7837,103.4601,103.4601,84.5257,82.8734,0.0047,1.0761,7.9443,18.9344,1775531993608113242,0
nyudepth,2,1,3.7837,3.8645,80.7633,80.7633,66.3966,65.2289,0.0044,0.7395,7.5212,14.3667,1775531993711166722,0
nyudepth,2,1,3.8645,3.9586,94.1267,94.1267,82.9646,81.862,0.0046,0.7123,4.6172,11.1621,1775531993789038703,0
nyudepth,2,1,3.9586,4.0532,94.5714,94.5714,82.4716,81.3776,0.0036,0.7309,5.5528,12.0998,1775531993884113860,0
nyudepth,2,1,4.0532,4.1477,94.5024,94.5024,82.2515,81.1671,0.0038,0.6976,5.7409,12.2509,1775531993978885531,0
nyudepth,2,1,4.1477,4.2425,94.7881,94.7881,82.495,81.3416,0.0043,0.771,5.77,12.2931,1775531994073431250,0
nyudepth,2,1,4.2425,4.3376,95.124,95.124,82.5139,80.9855,0.0036,1.1671,6.0322,12.6101,1775531994168494345,0
nyudepth,2,1,4.3377,4.4318,94.1551,94.1551,82.6154,81.506,0.004,0.7163,4.8859,11.5397,1775531994262484541,0
