task,device,t_center,count,throughput_rps,p50_ms,p99_ms
nyudepth,192.168.245.191:8010,0.5,9,9.0,43.34163665771485,79.68596458435059
nyudepth,192.168.245.191:8010,1.5,8,8.0,46.77307605743408,76.54169797897337
nyudepth,192.168.245.191:8010,2.5,3,3.0,46.7076301574707,54.53561305999756
nyudepth,192.168.245.191:8010,3.5,7,7.0,49.89743232727051,71.85214042663573
nyudepth,192.168.245.191:8010,4.5,6,6.0,72.3649263381958,102.43338346481323
nyudepth,192.168.245.191:8010,5.5,7,7.0,61.77568435668945,92.4154186248779
nyudepth,192.168.245.191:8010,6.5,8,8.0,70.89006900787354,90.10054111480714
nyudepth,192.168.245.191:8010,7.5,4,4.0,104.97701168060303,147.031991481781
nyudepth,192.168.245.191:8010,8.5,9,9.0,50.90689659118652,164.26603317260742
nyudepth,192.168.245.191:8010,9.5,6,6.0,58.43186378479004,66.09859466552734
nyudepth,192.168.245.191:8010,10.5,10,10.0,52.133917808532715,61.887414455413825
nyudepth,192.168.245.191:8010,11.5,13,13.0,56.07104301452637,103.68167877197267
nyudepth,192.168.245.191:8010,12.5,2,2.0,47.811031341552734,53.080077171325684
nyudepth,192.168.245.191:8010,13.5,8,8.0,61.71739101409912,89.42773818969727
nyudepth,192.168.245.191:8010,14.5,3,3.0,44.90256309509277,48.749146461486816
nyudepth,192.168.245.191:8010,15.5,6,6.0,62.13510036468506,99.0272641181946
nyudepth,192.168.245.191:8010,16.5,4,4.0,46.33045196533203,64.13393259048462
nyudepth,192.168.245.191:8010,17.5,3,3.0,55.9072494506836,58.68978977203369
nyudepth,192.168.245.191:8010,18.5,5,5.0,61.02705001831055,62.08380699157715
nyudepth,192.168.245.191:8010,19.5,4,4.0,49.738407135009766,77.05734729766846
nyudepth,192.168.245.191:8010,20.5,3,3.0,50.977468490600586,52.58474826812745
nyudepth,192.168.245.191:8010,21.5,5,5.0,46.58675193786621,56.9902515411377
nyudepth,192.168.245.191:8010,22.5,5,5.0,52.28328704833984,69.26980018615723
nyudepth,192.168.245.191:8010,23.5,5,5.0,45.87531089782715,65.76788902282715
nyudepth,192.168.245.191:8010,24.5,5,5.0,46.39840126037598,50.85587501525879
nyudepth,192.168.245.191:8010,25.5,8,8.0,48.23887348175049,71.9655704498291
nyudepth,192.168.245.191:8010,26.5,5,5.0,47.23882675170898,59.16362762451172
nyudepth,192.168.245.191:8010,27.5,2,2.0,53.31826210021973,60.39692878723144
nyudepth,192.168.245.191:8010,28.5,2,2.0,53.62880229949951,56.508424282073975
nyudepth,192.168.245.191:8010,29.5,10,10.0,62.19685077667236,92.19641685485841
nyudepth,192.168.245.191:8010,30.5,3,3.0,66.57886505126953,86.07884407043457
