task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
heartrate,0.5,8,8.0,48.113465309143066,83.23647022247313,52.56339907646179
heartrate,1.5,3,3.0,47.78885841369629,57.60707378387451,50.95338821411133
heartrate,2.5,5,5.0,49.37958717346192,68.3537483215332,53.08685302734375
heartrate,3.5,4,4.0,49.88372325897217,51.84840679168701,50.19676685333252
heartrate,4.5,3,3.0,49.93462562561035,76.3768196105957,56.26829465230306
heartrate,5.5,7,7.0,65.04511833190918,121.34147644042967,68.63658768790108
heartrate,6.5,9,9.0,52.24752426147461,94.06276702880858,60.687806871202255
heartrate,7.5,1,1.0,47.70159721374512,47.70159721374512,47.70159721374512
heartrate,8.5,6,6.0,49.248456954956055,84.47984457015991,58.72948964436849
heartrate,9.5,7,7.0,47.199249267578125,59.9737787246704,48.01927294049944
heartrate,10.5,4,4.0,47.130584716796875,56.176133155822754,48.06971549987793
heartrate,11.5,8,8.0,43.015122413635254,60.815877914428704,44.52970623970032
heartrate,12.5,5,5.0,43.88022422790527,52.310495376586914,45.61285972595215
heartrate,13.5,3,3.0,49.23701286315918,75.9862232208252,57.81817436218262
heartrate,14.5,4,4.0,54.90720272064209,66.02170467376709,55.49013614654541
heartrate,15.5,2,2.0,47.45888710021973,47.52103805541992,47.45888710021973
heartrate,16.5,3,3.0,49.41940307617188,51.87950611114502,49.61474736531576
heartrate,17.5,4,4.0,57.08158016204834,68.04644584655762,57.368338108062744
heartrate,18.5,2,2.0,48.71690273284912,49.21936750411987,48.71690273284912
heartrate,19.5,3,3.0,47.33681678771973,47.64827251434326,47.02631632486979
heartrate,20.5,5,5.0,52.52504348754883,77.70942687988281,61.216115951538086
heartrate,21.5,7,7.0,87.64886856079102,114.51965808868408,81.25676427568708
heartrate,22.5,3,3.0,47.63054847717285,47.77564525604248,47.6375420888265
heartrate,23.5,5,5.0,50.33516883850098,76.64456367492676,59.496212005615234
heartrate,24.5,3,3.0,48.34794998168945,48.64118099212647,48.28635851542155
heartrate,25.5,3,3.0,50.34494400024414,76.54133796691895,58.953444163004555
heartrate,26.5,8,8.0,50.255656242370605,94.41072702407835,60.15801429748535
heartrate,27.5,5,5.0,71.72346115112305,77.0472526550293,66.69883728027344
heartrate,28.5,2,2.0,47.62387275695801,47.66756534576416,47.62387275695801
heartrate,29.5,7,7.0,48.24638366699219,97.2058868408203,59.606313705444336
heartrate,30.5,4,4.0,65.38045406341553,106.43949270248413,71.35838270187378
heartrate,31.5,4,4.0,50.23980140686035,76.11793756484985,56.424736976623535
heartrate,32.5,4,4.0,64.06891345977783,77.05089092254639,63.8958215713501
heartrate,33.5,4,4.0,54.31532859802246,76.51328086853027,59.30161476135254
heartrate,34.5,13,13.0,48.17342758178711,76.61499977111815,51.63255104651818
heartrate,35.5,4,4.0,47.74343967437744,49.67297077178955,47.78546094894409
heartrate,36.5,7,7.0,78.24206352233887,117.06949234008789,82.95668874468122
heartrate,37.5,4,4.0,47.504425048828125,51.067848205566406,48.10529947280884
heartrate,38.5,5,5.0,45.52602767944336,48.51344108581543,44.97332572937012
heartrate,39.5,2,2.0,47.994375228881836,48.46074104309083,47.994375228881836
heartrate,40.5,2,2.0,46.657562255859375,48.39077949523926,46.657562255859375
heartrate,41.5,5,5.0,47.42860794067383,67.13095664978027,50.74739456176758
heartrate,42.5,4,4.0,47.783732414245605,61.644041538238525,50.329625606536865
heartrate,43.5,6,6.0,68.17328929901123,109.04461145401002,70.13225555419922
heartrate,44.5,3,3.0,52.63018608093262,66.07885837554932,55.48342068990072
heartrate,45.5,5,5.0,47.58667945861816,48.36539268493652,47.398996353149414
heartrate,46.5,8,8.0,48.76554012298584,82.40065574645995,54.29959297180176
heartrate,47.5,4,4.0,62.0882511138916,86.01959705352783,62.99656629562378
heartrate,48.5,6,6.0,48.80332946777344,100.06530284881592,61.75462404886881
heartrate,49.5,1,1.0,47.92666435241699,47.92666435241699,47.92666435241699
heartrate,50.5,9,9.0,48.32220077514648,69.30990219116211,52.91440751817491
heartrate,51.5,4,4.0,72.27575778961182,79.20300483703613,67.97510385513306
heartrate,52.5,6,6.0,47.52993583679199,76.69631242752075,56.05363845825195
heartrate,53.5,4,4.0,54.761290550231934,61.4889121055603,54.86983060836792
heartrate,54.5,4,4.0,47.263145446777344,47.688901424407966,46.66578769683838
heartrate,55.5,11,11.0,58.11595916748047,99.21898841857912,62.45860186490145
heartrate,56.5,5,5.0,45.02248764038086,47.83836364746094,44.73915100097656
heartrate,57.5,10,10.0,43.69032382965088,63.96272659301758,48.67222309112549
heartrate,58.5,8,8.0,43.755292892456055,59.676353931426995,45.31437158584595
heartrate,59.5,3,3.0,43.89309883117676,44.048709869384766,43.88944307963053
heartrate,60.5,3,3.0,108.05153846740724,214.66893196105957,122.6812203725179
heartrate,61.5,5,5.0,136.66510581970215,196.41401290893558,134.83147621154785
heartrate,62.5,2,2.0,72.90804386138916,111.97938203811646,72.90804386138916
heartrate,63.5,4,4.0,122.70331382751465,177.7368402481079,123.11393022537231
heartrate,64.5,1,1.0,81.29429817199707,81.29429817199707,81.29429817199707
heartrate,65.5,3,3.0,74.50032234191895,138.48402976989746,84.64852968851726
heartrate,66.5,6,6.0,158.71155261993408,201.82933807373047,154.91239229838052
heartrate,67.5,3,3.0,99.84350204467772,114.08401489257812,95.41845321655273
heartrate,68.5,4,4.0,99.39539432525635,118.65387678146362,97.82630205154419
heartrate,69.5,4,4.0,132.02476501464844,177.90502071380615,129.43917512893677
heartrate,70.5,7,7.0,78.44209671020508,112.41997718811035,77.54220281328473
heartrate,71.5,8,8.0,89.53595161437988,140.7970643043518,91.25915169715881
heartrate,72.5,3,3.0,69.53620910644531,98.84902954101562,75.04653930664062
heartrate,73.5,7,7.0,161.3776683807373,234.95245456695554,151.9599301474435
heartrate,74.5,5,5.0,94.98405456542967,164.21096801757812,104.30927276611328
heartrate,75.5,4,4.0,70.59097290039062,302.3540019989013,123.10904264450073
heartrate,76.5,3,3.0,82.9308032989502,132.3424482345581,97.35973676045735
heartrate,77.5,3,3.0,282.48119354248047,353.85969638824463,271.42079671223956
heartrate,78.5,4,4.0,270.45702934265137,387.09903717041016,242.95181035995483
heartrate,79.5,6,6.0,82.19671249389648,146.22489213943481,85.05014578501384
heartrate,80.5,4,4.0,77.86023616790771,181.8305730819702,98.91480207443237
heartrate,81.5,3,3.0,82.40413665771484,131.00080966949463,94.09626324971516
heartrate,82.5,6,6.0,86.14027500152588,116.32471084594728,85.12139320373535
heartrate,83.5,8,8.0,144.9185609817505,190.75979471206665,149.15013313293457
heartrate,84.5,7,7.0,109.22813415527344,145.28711795806882,94.96348244803292
heartrate,85.5,3,3.0,73.66275787353516,95.70858955383301,80.47938346862793
heartrate,86.5,1,1.0,70.20211219787598,70.20211219787598,70.20211219787598
heartrate,87.5,8,8.0,78.90331745147705,116.13498210906984,76.87914371490479
heartrate,88.5,4,4.0,106.55379295349123,135.20531177520752,103.33430767059326
heartrate,89.5,3,3.0,63.25721740722656,90.11857986450195,65.4455025990804
heartrate,90.5,6,6.0,109.39550399780273,198.93711805343625,127.40484873453777
heartrate,91.5,4,4.0,218.10734272003174,347.99809455871576,215.21425247192383
heartrate,92.5,5,5.0,261.0509395599365,302.40777015686035,250.6883144378662
heartrate,93.5,5,5.0,144.69575881958008,311.0453414916992,191.19601249694824
heartrate,94.5,6,6.0,148.54884147644043,232.72659778594968,141.89322789510092
heartrate,95.5,3,3.0,68.34006309509277,82.33594417572021,72.78227806091309
heartrate,96.5,4,4.0,116.54973030090332,172.02095985412598,122.43825197219849
heartrate,97.5,5,5.0,106.96911811828612,148.24315071105957,101.56998634338379
heartrate,98.5,2,2.0,58.231353759765625,63.90788555145264,58.231353759765625
heartrate,99.5,3,3.0,169.32010650634766,213.10872554779053,179.489533106486
heartrate,100.5,9,9.0,274.350643157959,357.36176490783686,261.60041491190594
heartrate,101.5,4,4.0,158.2711935043335,215.14495134353635,157.09644556045532
heartrate,102.5,6,6.0,88.90581130981445,151.2094020843506,97.33736515045166
heartrate,103.5,4,4.0,88.69028091430664,107.58487939834595,90.8355712890625
heartrate,104.5,5,5.0,79.7722339630127,127.77009963989258,82.89713859558105
heartrate,105.5,5,5.0,54.01015281677246,71.31080627441406,53.737497329711914
heartrate,106.5,3,3.0,127.57682800292967,155.41998863220215,125.84360440572102
heartrate,107.5,5,5.0,120.09596824645996,165.76377868652344,125.96673965454102
heartrate,108.5,10,10.0,109.28583145141602,179.43907737731936,111.7722749710083
heartrate,109.5,6,6.0,152.32765674591064,236.80965900421143,145.5229918162028
heartrate,111.5,4,4.0,107.74052143096924,130.89317083358765,100.84128379821777
heartrate,112.5,9,9.0,83.22596549987793,111.80777549743652,78.2825681898329
heartrate,113.5,1,1.0,43.05672645568848,43.05672645568848,43.05672645568848
heartrate,114.5,6,6.0,155.40218353271484,247.83663749694824,146.33492628733316
heartrate,115.5,9,9.0,175.3835678100586,258.951473236084,170.190069410536
heartrate,116.5,2,2.0,136.74652576446533,154.2986798286438,136.74652576446533
heartrate,117.5,3,3.0,73.73166084289551,129.45910453796387,88.05934588114421
heartrate,118.5,5,5.0,69.74458694458008,121.3150691986084,78.84817123413086
heartrate,119.5,8,8.0,123.2767105102539,224.7888422012329,127.40111351013184
heartrate,120.5,1,1.0,112.1673583984375,112.1673583984375,112.1673583984375
heartrate,121.5,5,5.0,205.6427001953125,366.41308784484863,211.1929416656494
heartrate,122.5,7,7.0,258.1195831298828,324.3054246902466,268.8936846596854
heartrate,123.5,4,4.0,179.5978546142578,361.79928541183466,216.86655282974243
heartrate,124.5,3,3.0,120.6815242767334,228.9419460296631,147.5671927134196
heartrate,125.5,7,7.0,121.7796802520752,179.7648048400879,131.0239519391741
heartrate,126.5,5,5.0,66.73860549926758,73.49787712097168,62.98813819885254
heartrate,127.5,2,2.0,170.41349411010742,189.53566074371338,170.41349411010742
heartrate,128.5,4,4.0,99.4945764541626,124.81828927993773,99.25180673599243
heartrate,129.5,6,6.0,154.6090841293335,270.3650236129761,168.4262752532959
heartrate,130.5,3,3.0,113.7404441833496,114.51032161712646,95.91865539550781
heartrate,131.5,5,5.0,138.75675201416016,147.87363052368164,131.09312057495117
heartrate,132.5,6,6.0,95.4972505569458,113.48448991775511,94.93951002756755
heartrate,133.5,8,8.0,152.5963544845581,261.94509744644165,159.71964597702026
heartrate,134.5,6,6.0,251.8206834793091,355.09122610092163,268.8172658284505
heartrate,135.5,5,5.0,127.96306610107422,321.38463020324707,164.20068740844727
heartrate,136.5,6,6.0,278.7712812423706,316.53023958206177,262.7127567927043
heartrate,137.5,8,8.0,310.8144998550415,415.50617218017584,322.24157452583313
heartrate,138.5,9,9.0,299.99542236328125,399.8096179962158,269.3285942077637
heartrate,139.5,6,6.0,83.69934558868408,137.68383264541626,92.84186363220215
heartrate,140.5,3,3.0,148.67711067199707,163.69380950927734,128.31401824951172
heartrate,141.5,5,5.0,227.45943069458008,290.042724609375,229.2680263519287
heartrate,142.5,8,8.0,236.669659614563,363.94131660461426,222.64227271080017
heartrate,143.5,5,5.0,140.57469367980957,152.4337673187256,122.18790054321289
heartrate,144.5,3,3.0,115.90909957885742,331.6822624206543,168.65150133768717
heartrate,145.5,6,6.0,325.583815574646,462.5299572944641,341.1033550898234
heartrate,146.5,8,8.0,537.1462106704712,754.4712662696838,557.4283003807068
heartrate,147.5,5,5.0,487.4575138092041,703.5481929779053,442.1220302581787
heartrate,148.5,2,2.0,136.41810417175293,158.1697702407837,136.41810417175293
heartrate,149.5,3,3.0,112.2431755065918,118.91295433044434,109.92844899495442
heartrate,150.5,4,4.0,161.6543531417847,217.05580234527588,152.25523710250854
heartrate,151.5,1,1.0,283.05792808532715,283.05792808532715,283.05792808532715
heartrate,152.5,4,4.0,100.56591033935548,106.55740022659302,98.43647480010986
heartrate,153.5,5,5.0,109.94601249694824,232.0681095123291,139.4357681274414
heartrate,154.5,4,4.0,63.072919845581055,76.28841161727905,63.57407569885254
heartrate,155.5,2,2.0,84.25724506378174,92.27740526199341,84.25724506378174
heartrate,156.5,4,4.0,120.17393112182617,131.97009563446045,111.30094528198242
heartrate,157.5,5,5.0,413.61260414123535,563.5483455657959,379.65540885925293
