req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
0,0.0,site2,192.168.245.194:8000,momentlarge,heartrate,1777391996.8079739,1777391996.8079762,1777391996.8098361,1777391996.8521154,1777391996.852629,0.002384185791015625,-32.866716384887695,42.27924346923828,35.24017333984375,44.65508460998535,40.572642,0.0043170000000000005,0.939979,1411.48095703125
1,0.0,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391996.8080766,1777391996.808078,1777391996.810208,1777391996.857061,1777391996.857356,0.001430511474609375,-22.555828094482422,46.852827072143555,24.981021881103516,49.27945137023926,45.166007,0.00387,0.882761,1458.98046875
2,0.08578199830106252,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391996.8916354,1777391996.891638,1777391996.893603,1777391996.9354048,1777391996.9359639,0.0026226043701171875,-22.720813751220703,41.80169105529785,25.244951248168945,44.32845115661621,40.235172,0.0039369999999999995,0.852641,1458.98046875
3,0.13838308872796362,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391996.9443414,1777391996.9443438,1777391996.946288,1777391996.9835293,1777391996.9838164,0.002384185791015625,-22.74155616760254,37.241220474243164,24.972915649414062,39.4749641418457,35.70867,0.0038330000000000005,0.865428,1458.98046875
4,0.24469146319923749,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.0522695,1777391997.0522718,1777391997.054307,1777391997.0962942,1777391997.096703,0.002384185791015625,-22.650718688964844,41.98718070983887,25.09474754333496,44.43359375,40.032239999999994,0.003827,1.1756410000000002,1458.98046875
5,0.2525774090882517,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.058937,1777391997.0589395,1777391997.0606756,1777391997.105625,1777391997.1064768,0.002384185791015625,-32.990455627441406,44.94929313659668,35.57848930358887,47.539710998535156,43.171509,0.004157,1.011533,1411.48095703125
6,0.26209601798317683,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.0694911,1777391997.0694935,1777391997.0953639,1777391997.1324153,1777391997.1330137,0.002384185791015625,1.1844635009765625,37.05143928527832,25.284290313720703,63.5225772857666,35.510036,0.003903,0.864581,1458.98046875
7,0.35842225764393376,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.164434,1777391997.1644363,1777391997.1663792,1777391997.2026362,1777391997.2031863,0.002384185791015625,-22.74298667907715,36.257028579711914,25.235891342163086,38.75231742858887,34.465041,0.004237,1.086793,1458.98046875
8,0.37890794986948884,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.1850014,1777391997.1850042,1777391997.2018456,1777391997.2357068,1777391997.23596,0.00286102294921875,-7.844448089599609,33.86116027832031,24.93906021118164,50.95863342285156,32.342607,0.0038569999999999998,0.890814,1458.98046875
9,0.4306165994357623,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.2372992,1777391997.2373013,1777391997.2391887,1777391997.2745094,1777391997.2747812,0.0021457672119140625,-22.798538208007812,35.32075881958008,24.957656860351562,37.48202323913574,33.807996,0.00346,0.842784,1458.98046875
10,0.45186820735528643,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.2579448,1777391997.2579472,1777391997.2597044,1777391997.3049033,1777391997.3057513,0.002384185791015625,-32.96947479248047,45.198917388916016,35.57467460632324,47.806501388549805,43.483173,0.0039,0.943706,1411.48095703125
11,0.570371602828067,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.3762183,1777391997.3762212,1777391997.37796,1777391997.423958,1777391997.4246387,0.00286102294921875,-32.98783302307129,45.99809646606445,35.407304763793945,48.42042922973633,43.888277,0.00453,1.1986169999999998,1411.48095703125
13,0.5825536504241917,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.388319,1777391997.3883212,1777391997.390303,1777391997.4306738,1777391997.4311078,0.0021457672119140625,-22.704124450683594,40.370941162109375,25.119781494140625,42.78874397277832,38.784196,0.003806,0.873341,1458.98046875
12,0.5736927727103052,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.3797657,1777391997.3797684,1777391997.4227476,1777391997.4644592,1777391997.465321,0.0026226043701171875,8.252620697021484,41.71156883239746,35.58850288391113,85.5553150177002,40.108667000000004,0.004126,0.923716,1411.48095703125
14,0.6408172158641228,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.4475267,1777391997.447529,1777391997.4494185,1777391997.4882655,1777391997.4887335,0.002384185791015625,-22.7963924407959,38.84696960449219,25.15387535095215,41.20683670043945,37.308085,0.003563,0.8353780000000001,1458.98046875
15,0.7066128127854332,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.5131605,1777391997.5131633,1777391997.5151038,1777391997.5535007,1777391997.5537765,0.00286102294921875,-22.745370864868164,38.39683532714844,24.96170997619629,40.61603546142578,36.854643,0.0036669999999999997,0.849537,1458.98046875
16,0.7120706872961515,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.5186305,1777391997.5186331,1777391997.5202963,1777391997.568884,1777391997.5697033,0.0026226043701171875,-33.063411712646484,48.58756065368652,35.546064376831055,51.07283592224121,46.451532,0.004181000000000001,1.263167,1411.48095703125
17,0.7527138494220703,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.5591288,1777391997.5591311,1777391997.5679157,1777391997.6108336,1777391997.6115577,0.002384185791015625,-25.942087173461914,42.91796684265137,35.45069694519043,52.4289608001709,41.249719,0.004304,0.937478,1411.48095703125
18,0.8331961439432409,site2,192.168.245.194:8000,momentlarge,heartrate,1777391997.6389751,1777391997.6389775,1777391997.6406255,1777391997.6811457,1777391997.6820035,0.002384185791015625,-33.078670501708984,40.52019119262695,35.584449768066406,43.02835464477539,38.901982000000004,0.0038929999999999998,0.9223709999999999,1411.48095703125
19,0.8884140717427944,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.6944387,1777391997.6944408,1777391997.696437,1777391997.742837,1777391997.7433286,0.0021457672119140625,-22.6898193359375,46.40007019042969,25.177478790283203,48.889875411987305,44.780908000000004,0.00365,0.8808239999999999,1458.98046875
20,0.960184559769289,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.7667136,1777391997.7667162,1777391997.7687182,1777391997.8305,1777391997.830781,0.0026226043701171875,-22.68385887145996,61.78164482116699,24.966955184936523,64.06736373901367,59.738052,0.0038959999999999997,1.064282,1458.98046875
21,1.0002324919188035,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.8062763,1777391997.8062787,1777391997.8298478,1777391997.8917391,1777391997.8923805,0.002384185791015625,-1.1167526245117188,61.89131736755371,25.327205657958984,86.10415458679199,59.942054,0.004507000000000001,0.943771,1458.98046875
22,1.1572971516584902,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.9649441,1777391997.9649475,1777391997.9670246,1777391998.030056,1777391998.0304778,0.003337860107421875,-22.60875701904297,63.03143501281738,25.107622146606445,65.53363800048828,60.725196000000004,0.005017000000000001,1.2310809999999999,1458.98046875
24,1.2066542104127156,site2,192.168.245.194:8000,momentlarge,heartrate,1777391998.013879,1777391998.0138807,1777391998.0156245,1777391998.0710032,1777391998.0716865,0.0016689300537109375,-32.982826232910156,55.37867546081543,35.40992736816406,57.80744552612305,53.309001,0.004123,0.9798260000000001,1411.48095703125
23,1.1885352103457096,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391997.9944446,1777391997.9944465,1777391998.0291533,1777391998.0942137,1777391998.0946777,0.0019073486328125,10.020971298217773,65.06037712097168,25.149822235107422,100.23307800292969,62.455974,0.0051340000000000005,0.621196,1459.23046875
25,1.21952429556714,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.0254107,1777391998.0254128,1777391998.0291533,1777391998.0942137,1777391998.0947256,0.0021457672119140625,-20.945310592651367,65.06037712097168,25.197744369506836,69.31495666503906,62.455974,0.0051340000000000005,0.621196,1459.23046875
26,1.2290315799305926,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.03485,1777391998.034852,1777391998.0927382,1777391998.1548855,1777391998.1554468,0.0021457672119140625,33.20026397705078,62.14737892150879,25.24709701538086,120.59688568115234,60.286009,0.0043560000000000005,0.921422,1459.23046875
27,1.3659912604919004,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.171871,1777391998.1718736,1777391998.1739454,1777391998.2379394,1777391998.2385113,0.0026226043701171875,-22.614002227783203,63.99393081665039,25.25782585144043,66.64037704467773,61.503738000000006,0.005156,1.273558,1458.98046875
28,1.4040544013972847,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.2103822,1777391998.2103844,1777391998.23671,1777391998.2921972,1777391998.292638,0.0021457672119140625,1.6398429870605469,55.48715591430664,25.12669563293457,82.25584030151367,53.336177,0.0047929999999999995,0.988399,1458.98046875
30,1.4616062829811733,site2,192.168.245.194:8000,momentlarge,heartrate,1777391998.2685127,1777391998.2685156,1777391998.270308,1777391998.3154442,1777391998.3163016,0.00286102294921875,-32.93418884277344,45.136213302612305,35.5839729309082,47.78885841369629,43.395649,0.00399,0.9389529999999999,1411.48095703125
29,1.4519342486039568,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.2579248,1777391998.2579274,1777391998.2910364,1777391998.341183,1777391998.3416972,0.0026226043701171875,8.423089981079102,50.14657974243164,25.20012855529785,83.77242088317871,48.116906,0.004327,1.171014,1458.98046875
31,1.5261886489633554,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3327186,1777391998.332721,1777391998.3401487,1777391998.391565,1777391998.3919482,0.002384185791015625,-17.258167266845703,51.41639709472656,25.068998336791992,59.22961235046387,49.494055,0.004237,1.010829,1458.98046875
37,1.5889822296603613,site2,192.168.245.194:8000,momentlarge,heartrate,1777391998.395328,1777391998.39533,1777391998.397058,1777391998.4419615,1777391998.442592,0.0019073486328125,-32.99856185913086,44.90351676940918,35.356998443603516,47.26386070251465,43.213707,0.004167,0.9330890000000001,1411.48095703125
32,1.540755418740038,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3470633,1777391998.3470654,1777391998.3909066,1777391998.492662,1777391998.4934905,0.0021457672119140625,19.155263900756836,101.75538063049316,25.51436424255371,146.42715454101562,99.511775,0.004513,0.23624900000000001,1459.98046875
33,1.545641517159043,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3515844,1777391998.3515866,1777391998.3909066,1777391998.492662,1777391998.4935467,0.0021457672119140625,14.634132385253906,101.75538063049316,25.57063102722168,141.96228981018066,99.511775,0.004513,0.23624900000000001,1459.98046875
34,1.5460392964066492,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3516872,1777391998.3516884,1777391998.3909066,1777391998.492662,1777391998.493584,0.0011920928955078125,14.532327651977539,101.75538063049316,25.607824325561523,141.89672470092773,99.511775,0.004513,0.23624900000000001,1459.98046875
35,1.555918854347854,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3622973,1777391998.3623002,1777391998.3909066,1777391998.492662,1777391998.4936726,0.00286102294921875,3.9205551147460938,101.75538063049316,25.696516036987305,131.37531280517578,99.511775,0.004513,0.23624900000000001,1459.98046875
36,1.5698167111015913,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.3769007,1777391998.3769026,1777391998.3909066,1777391998.492662,1777391998.4937437,0.0019073486328125,-10.681867599487305,101.75538063049316,25.76756477355957,116.84298515319824,99.511775,0.004513,0.23624900000000001,1459.98046875
38,1.5992213687885881,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.4058836,1777391998.4058857,1777391998.4914877,1777391998.5448115,1777391998.545331,0.0021457672119140625,60.91618537902832,53.32374572753906,25.205373764038086,139.44745063781738,50.812527,0.004857,0.642965,1460.23046875
39,1.673740495600383,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.4800112,1777391998.4800134,1777391998.4914877,1777391998.5448115,1777391998.5453782,0.0021457672119140625,-13.211488723754883,53.32374572753906,25.252580642700195,65.36698341369629,50.812527,0.004857,0.642965,1460.23046875
40,1.73184851780431,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.5381048,1777391998.5381074,1777391998.5435033,1777391998.593795,1777391998.594349,0.0026226043701171875,-19.28997039794922,50.29177665710449,25.23970603942871,56.2441349029541,48.249868,0.004493,1.023839,1459.23046875
41,1.7354982425230574,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.5415897,1777391998.5415924,1777391998.592748,1777391998.6431317,1777391998.6436625,0.0026226043701171875,26.469707489013672,50.383806228637695,25.21657943725586,102.07271575927734,48.275522,0.004863,0.9839519999999999,1458.98046875
42,1.8121974400573817,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.618708,1777391998.6187103,1777391998.6419795,1777391998.6930623,1777391998.6936123,0.002384185791015625,-1.4166831970214844,51.08284950256348,25.235891342163086,74.9044418334961,49.063508999999996,0.004251,1.1711770000000001,1458.98046875
43,1.842463217240277,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.64903,1777391998.649032,1777391998.692054,1777391998.758424,1777391998.7588384,0.0021457672119140625,18.336057662963867,66.37001037597656,25.100231170654297,109.80844497680664,64.28675,0.0044,0.42145499999999997,1459.48046875
44,1.8609360642219739,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.668677,1777391998.6686795,1777391998.692054,1777391998.758424,1777391998.7588866,0.002384185791015625,-1.3113021850585938,66.37001037597656,25.148391723632812,90.2094841003418,64.28675,0.0044,0.42145499999999997,1459.48046875
45,1.864819789186141,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.671163,1777391998.6711655,1777391998.692054,1777391998.758424,1777391998.758961,0.002384185791015625,-3.797292709350586,66.37001037597656,25.2227783203125,87.79788017272949,64.28675,0.0044,0.42145499999999997,1459.48046875
46,1.8896780837902005,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.6959445,1777391998.6959467,1777391998.7574806,1777391998.8047533,1777391998.8050911,0.0021457672119140625,36.84806823730469,47.272682189941406,25.023698806762695,109.1465950012207,45.547668,0.0037570000000000004,0.505708,1459.73046875
47,1.9219865875349027,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391998.72848,1777391998.7284825,1777391998.7574806,1777391998.8047533,1777391998.8051298,0.002384185791015625,4.312276840209961,47.272682189941406,25.06232261657715,76.64966583251953,45.547668,0.0037570000000000004,0.505708,1459.73046875
48,1.9945648385614054,site2,192.168.245.194:8000,momentlarge,heartrate,1777391998.8003478,1777391998.8003504,1777391998.8020504,1777391998.8488896,1777391998.8497274,0.0026226043701171875,-33.026695251464844,46.839237213134766,35.564422607421875,49.379587173461914,45.121827,0.0039040000000000004,0.9306749999999999,1411.48095703125
49,2.085472486877493,site2,192.168.245.194:8000,momentlarge,heartrate,1777391998.8921988,1777391998.8922017,1777391998.893924,1777391998.94056,1777391998.9413388,0.00286102294921875,-33.0042839050293,46.636104583740234,35.50529479980469,49.139976501464844,44.925995,0.00418,0.927136,1411.48095703125
51,2.2272239046328393,site2,192.168.245.191:8000,momentlarge,trafficfore,1777391999.0333478,1777391999.03335,1777391999.0355678,1777391999.0825195,1777391999.0830636,0.0021457672119140625,-22.468090057373047,46.9517707824707,25.229930877685547,49.71575736999512,44.883599000000004,0.005106,0.9496450000000001,1459.23046875
