req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),gpu_alloc_peak_mb
1,0.0,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666458.724824,1777666458.724824,1777666458.7327974,1777666458.7590404,1777666458.7698383,0.0,1.5842914581298828,26.242971420288086,17.187118530273438,45.014381408691406,23.860257,0.00341,0.889124,93.01904296875
0,0.0,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666458.7247665,1777666458.7247665,1777666458.7249541,1777666458.7880194,1777666458.790803,0.0,-46.95439338684082,63.065290451049805,49.92556571960449,66.03646278381348,61.164687,0.00362,0.824896,1515.3564453125
4,0.025309220482903773,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666458.7481892,1777666458.7481892,1777666458.757985,1777666458.7852592,1777666458.7926896,0.0,3.4067630767822266,27.274131774902344,13.819456100463867,44.50035095214844,25.952195,0.001963,0.61275,93.01904296875
3,0.018558996894312785,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666458.7416809,1777666458.7416809,1777666458.786958,1777666458.8607094,1777666458.8634512,0.0,-1.8649101257324219,73.75144958496094,49.88384246826172,121.77038192749023,64.927257,0.004489,3.841567,1515.8564453125
5,0.026616823437932563,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666458.7493453,1777666458.7493453,1777666458.786958,1777666458.8607094,1777666458.8634746,0.0,-9.529352188110352,73.75144958496094,49.90720748901367,114.12930488586426,64.927257,0.004489,3.841567,1515.8564453125
2,0.0,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666458.7248445,1777666458.7248445,1777666458.786958,1777666458.8607666,1777666458.8634863,0.0,14.971494674682617,73.80867004394531,49.86166954040527,138.6418342590332,64.927257,0.00552,1.287269,1515.8564453125
6,0.1534579313073781,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666458.8779469,1777666458.8779469,1777666458.884354,1777666458.9066937,1777666458.9153848,0.0,0.01811981201171875,22.339582443237305,15.08021354675293,37.43791580200195,20.537732,0.00298,0.885304,93.01904296875
7,0.25734599490318755,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666458.9807608,1777666458.9807608,1777666458.9805272,1777666459.0335622,1777666459.03618,0.0,-47.37567901611328,53.03502082824707,49.759864807128906,55.419206619262695,51.236354,0.004806,1.172587,1515.6064453125
8,0.2796785759382333,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666459.003358,1777666459.003358,1777666459.0327475,1777666459.0854244,1777666459.0878239,0.0,-17.752408981323242,52.67691612243652,49.541473388671875,84.46598052978516,50.985893999999995,0.00447,0.881823,1515.8564453125
9,0.4151492661838909,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666459.1382647,1777666459.1382647,1777666459.138008,1777666459.202595,1777666459.2052913,0.0,-47.39856719970703,64.58687782287598,49.83830451965332,67.02661514282227,62.890874,0.004153,0.8657320000000001,1515.3564453125
10,0.5828557479319008,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.3057735,1777666459.3057735,1777666459.3121693,1777666459.3402746,1777666459.3506472,0.0,0.00667572021484375,28.10525894165039,16.76177978515625,44.873714447021484,25.498843,0.003077,1.559069,93.01904296875
11,0.5859067772390538,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.3095343,1777666459.3095343,1777666459.3388565,1777666459.3748388,1777666459.3836815,0.0,22.933006286621094,35.982370376586914,15.231847763061523,74.14722442626953,33.880614,0.002874,1.011269,93.01904296875
12,0.6534110890032622,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.3780968,1777666459.3780968,1777666459.3846161,1777666459.4160986,1777666459.4329386,0.0,0.13017654418945312,31.482458114624023,23.229122161865234,54.84175682067871,26.973497,0.003794,2.365621,93.01904296875
13,0.6835377305755895,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.407066,1777666459.407066,1777666459.4137628,1777666459.4559476,1777666459.4643376,0.0,0.3075599670410156,42.18482971191406,14.779090881347656,57.271480560302734,39.810385,0.00319,1.1061599999999998,93.01904296875
14,0.7125883858063866,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666459.4363215,1777666459.4363215,1777666459.4361634,1777666459.4971838,1777666459.4996047,0.0,-47.300100326538086,61.0203742980957,49.562931060791016,63.28320503234863,58.935117000000005,0.005977,0.9923829999999999,1515.3564453125
15,0.7340743895977125,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666459.4568284,1777666459.4568284,1777666459.4958622,1777666459.5521877,1777666459.5547328,0.0,-8.108139038085938,56.325435638427734,49.68714714050293,97.90444374084473,53.725417,0.004846,1.5070750000000002,1515.6064453125
16,0.754939080905369,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666459.4787922,1777666459.4787922,1777666459.4958622,1777666459.5522528,1777666459.554757,0.0,-30.07197380065918,56.39052391052246,49.64637756347656,75.96492767333984,53.725417,0.004246,1.413217,1515.6064453125
18,0.8193789035631478,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.5424905,1777666459.5424905,1777666459.548857,1777666459.5732949,1777666459.580908,0.0,-0.022649765014648438,24.437904357910156,14.002323150634766,38.41757774353027,22.404467,0.002927,1.025443,93.01904296875
17,0.7862880539495306,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666459.5099723,1777666459.5099723,1777666459.5506063,1777666459.6104832,1777666459.6131399,0.0,-6.508111953735352,59.87691879272461,49.79872703552246,103.16753387451172,58.262507,0.00469,0.87588,1515.3564453125
19,0.9400679267237386,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.6634948,1777666459.6634948,1777666459.6698232,1777666459.696303,1777666459.7041,0.0,-0.06079673767089844,26.479721069335938,14.18614387512207,40.60506820678711,24.466105,0.00307,1.0011830000000002,93.01904296875
20,1.0013622668715474,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.7243795,1777666459.7243795,1777666459.7306125,1777666459.758348,1777666459.7661216,0.0,-0.15616416931152344,27.735471725463867,14.162778854370117,41.74208641052246,25.659225,0.0030800000000000003,1.006186,93.01904296875
21,1.0403060005850158,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666459.7641404,1777666459.7641404,1777666459.7639954,1777666459.822993,1777666459.8256834,0.0,-47.2869873046875,58.99763107299805,49.83234405517578,61.54298782348633,56.952466,0.0055899999999999995,0.9584790000000001,1515.6064453125
22,1.0752667729318013,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666459.7985706,1777666459.7985706,1777666459.8217125,1777666459.8774617,1777666459.8802102,0.0,-24.000167846679688,55.74917793273926,49.89051818847656,81.63952827453613,53.035529999999994,0.005097,1.452461,1515.6064453125
23,1.0971391145002667,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666459.820285,1777666459.820285,1777666459.8217125,1777666459.8775437,1777666459.8802335,0.0,-45.714616775512695,55.831193923950195,49.83186721801758,59.94844436645508,53.035529999999994,0.00315,1.447114,1515.6064453125
24,1.1367238496084666,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666459.860068,1777666459.860068,1777666459.8754928,1777666459.925834,1777666459.928292,0.0,-31.717300415039062,50.341129302978516,49.60012435913086,68.22395324707031,48.848892,0.004324,0.867496,1515.3564453125
25,1.2035811306320492,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666459.9265049,1777666459.9265049,1777666459.9328017,1777666459.9604993,1777666459.9683526,0.0,-0.09226799011230469,27.69756317138672,14.242410659790039,41.84770584106445,25.601562,0.003126,1.0042790000000001,93.01904296875
26,1.291849798307287,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666460.0146618,1777666460.0146618,1777666460.014418,1777666460.0647087,1777666460.0673308,0.0,-47.38593101501465,50.290822982788086,49.764156341552734,52.66904830932617,48.711922,0.004123,0.832829,1515.6064453125
27,1.3764096781555795,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.0996685,1777666460.0996685,1777666460.1059983,1777666460.1350083,1777666460.142804,0.0,-0.05936622619628906,29.01005744934082,14.184713363647461,43.13540458679199,26.914102,0.003004,1.001942,93.01904296875
28,1.4196003325697955,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.1423793,1777666460.1423793,1777666460.142254,1777666460.2054234,1777666460.2081838,0.0,-47.26719856262207,63.169240951538086,49.90243911743164,65.80448150634766,60.661632,0.005894,1.373327,1515.6064453125
30,1.447341410015548,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.1717896,1777666460.1717896,1777666460.1781437,1777666460.2070363,1777666460.214862,0.0,-0.03504753112792969,28.89251708984375,14.21499252319336,43.07246208190918,26.789923,0.0028499999999999997,1.0053429999999999,93.01904296875
29,1.4325877842540302,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.1572235,1777666460.1572235,1777666460.2037492,1777666460.259475,1777666460.261965,0.0,-0.6163120269775391,55.725812911987305,49.63207244873047,104.74157333374023,54.198757,0.004076,0.832159,1515.3564453125
31,1.6559673246967215,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.3794816,1777666460.3794816,1777666460.3862197,1777666460.4173415,1777666460.4262161,0.0,0.3490447998046875,31.12173080444336,15.263795852661133,46.73457145690918,27.785527000000002,0.002983,2.125465,93.01904296875
32,1.6593523750931665,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.3823054,1777666460.3823054,1777666460.4153228,1777666460.450464,1777666460.458232,0.0,26.62825584411621,35.1412296295166,14.15705680847168,75.92654228210449,33.003978000000004,0.003126,1.0014729999999998,93.01904296875
33,1.6916313262594722,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.4154017,1777666460.4154017,1777666460.415125,1777666460.4662054,1777666460.4685245,0.0,-47.418832778930664,51.08046531677246,49.46112632751465,53.122758865356445,49.546107,0.004220000000000001,0.8294469999999999,1515.3564453125
34,1.7476609512725754,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666460.4708345,1777666460.4708345,1777666460.4704573,1777666460.519176,1777666460.521975,0.0,-47.51920700073242,48.71869087219238,49.941062927246094,51.140546798706055,47.197972,0.004117,0.832702,1515.3564453125
35,1.7977421960625495,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.5214677,1777666460.5214677,1777666460.527814,1777666460.5554256,1777666460.5631602,0.0,-0.04291534423828125,27.611732482910156,14.123678207397461,41.692495346069336,25.604018,0.002901,0.98708,93.01904296875
36,1.8280463992219795,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.5513923,1777666460.5513923,1777666460.561739,1777666460.5904088,1777666460.5981028,0.0,3.957509994506836,28.66983413696289,14.083147048950195,46.71049118041992,26.676831,0.002758,0.939963,93.01904296875
37,1.9224516475923683,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666460.6455243,1777666460.6455243,1777666460.6452255,1777666460.6971567,1777666460.6994658,0.0,-47.44076728820801,51.931142807006836,49.45111274719238,53.94148826599121,50.022525,0.005227,0.930276,1515.3564453125
38,1.9482904353161699,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.673032,1777666460.673032,1777666460.6959438,1777666460.7470002,1777666460.7496123,0.0,-24.230241775512695,51.0563850402832,49.75414276123047,76.58028602600098,49.127543,0.005033,0.97105,1515.3564453125
39,1.9788498550331812,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.7017188,1777666460.7017188,1777666460.7457342,1777666460.795416,1777666460.798008,0.0,-3.1266212463378906,49.681901931762695,49.733877182006836,96.28915786743164,48.148243,0.003973,0.851739,1515.3564453125
40,2.1198384383562994,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666460.843434,1777666460.843434,1777666460.8431544,1777666460.8935866,1777666460.8961062,0.0,-47.42169380187988,50.43220520019531,49.66163635253906,52.67214775085449,48.505385,0.0050799999999999994,0.951436,1515.3564453125
41,2.16051254687213,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666460.8840134,1777666460.8840134,1777666460.8923626,1777666460.9419556,1777666460.9444664,0.0,-38.79284858703613,49.59297180175781,49.652814865112305,60.452938079833984,48.035298,0.004256,0.855492,1515.3564453125
42,2.272140911324102,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666460.9959073,1777666460.9959073,1777666461.0022879,1777666461.0316966,1777666461.0393534,0.0,-0.00858306884765625,29.408693313598633,14.045953750610352,43.44606399536133,26.777226000000002,0.002994,1.0471860000000002,93.01904296875
43,2.3215842103342497,site2,192.168.245.194:8000,dinosmall,nyudepth,1777666461.0446432,1777666461.0446432,1777666461.0510128,1777666461.0783617,1777666461.086142,0.0,-0.019550323486328125,27.348995208740234,14.169454574584961,41.49889945983887,25.344908,0.0028,0.98279,93.01904296875
44,2.4811106299323566,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666461.2056308,1777666461.2056308,1777666461.205459,1777666461.2624648,1777666461.2648754,0.0,-47.313690185546875,57.00564384460449,49.55267906188965,59.244632720947266,55.025105999999994,0.0053430000000000005,0.901166,1515.3564453125
45,2.526703369554123,site2,192.168.245.193:8000,momentlarge,exchangefore,1777666461.2501974,1777666461.2501974,1777666461.26118,1777666461.312166,1777666461.314744,0.0,-36.159515380859375,50.98605155944824,49.720048904418945,64.54658508300781,49.438233999999994,0.004223,0.86136,1515.3564453125
46,2.6652422152283832,site2,192.168.245.193:8000,momentlarge,trafficfore,1777666461.3882375,1777666461.3882375,1777666461.3879876,1777666461.4380248,1777666461.4405806,0.0,-47.39189147949219,50.03714561462402,49.6978759765625,52.343130111694336,48.507222000000006,0.004204,0.838378,1515.3564453125
